model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.6833889	11	2.8548	0.032652421	-2.124507	-2.844949	0.25883832	-2.8455117	0.25856439	0.28710583	-2.2806754	8.0	0.1412127	0.91763127	-1.5060516	0.26968326	1.5063486	-0.26947004	0.36697769	-1.999094	1.8226	1	0.3032	1.1846025	1.5441516	-0.82836703	-0.35145	0.13376745	0.17146071	0.3898078	1.8688894	1.5764718	0.46222731	1.5753273	0.45702585	0.01964779	1.2184834	1.1080298	-1.9621195	-0.94696001	2.3256727	-1.3890862	-2.3305321	1.3775927	-0.41237199	3.294278	0.035376861	0.27434852	0.12095858	0.34225908	0.44902849	0.34295126	0.44629481	0.019750982	0.45067986	0.054315082	4.5625887	2.3444345	3.0914157	4.6460126	3.0935432	4.6472894	3.7805793	1.8297752	-59.015478	R0:N12:S0:1	-41.1616	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	221.0	0.00376	2022-07-25@08:50
2x2_2C_8b_C2v_L	4.7026994	11	2.8548	0.032586311	-2.1293963	-2.8508406	0.25819128	-2.8514942	0.25800175	0.28675343	-2.2879755	8.01	0.1410773	0.91784783	-1.5060802	0.26917401	1.5062915	-0.26908459	0.36620847	-1.9990492	1.8226	1	0.3032	1.1852488	1.5451123	-0.82640978	-0.3502964	0.13334156	0.17174201	0.38493375	1.8702172	1.5782692	0.45654992	1.5781238	0.45595632	0.019616119	1.2210699	1.108816	-1.9539254	-0.94160919	2.3207278	-1.38292	-2.3215025	1.3813091	-0.41152136	3.2900584	0.035422202	0.27230022	0.11987135	0.34130782	0.44443944	0.3413893	0.44418117	0.019723005	0.45042564	0.054217613	4.5711869	2.3438343	3.0976141	4.6491326	3.0978173	4.6492617	3.7804009	1.8380855	-59.095344	R0:N12:S0:1	-41.2416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	220.0	0.00696	2022-07-25@08:52
2x2_2C_8b_C2v_L	4.7200856	11	2.8548	0.032354407	-2.1328618	-2.8554077	0.25572864	-2.8554662	0.25607014	0.2852175	-2.2941552	8.02	0.14086178	0.91786538	-1.5061612	0.26815213	1.5061504	-0.26829794	0.36489833	-1.9991546	1.8226	1	0.3032	1.185824	1.5460591	-0.82460887	-0.34931943	0.1329915	0.17202831	0.37987033	1.8715382	1.5793715	0.45499251	1.5793799	0.4545156	0.019524076	1.222841	1.1094917	-1.9449453	-0.9358643	2.3176495	-1.3811023	-2.3176143	1.3806213	-0.41009545	3.2873544	0.035468415	0.27015866	0.11878847	0.34068168	0.44297714	0.34069031	0.44261948	0.019632588	0.45027185	0.054153208	4.5820297	2.3423198	3.0994248	4.6510167	3.0998332	4.6510993	3.7805443	1.8432668	-59.166114	R0:N12:S0:1	-41.3216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	219.0	1000000.0	2022-07-25@08:53
2x2_2C_8b_C2v_L	4.7392072	11	2.8548	0.031732841	-2.1412838	-2.8607015	0.25502591	-2.8622673	0.25486544	0.28369125	-2.3010538	8.03	0.14056911	0.91876274	-1.5060344	0.26791012	1.5064074	-0.26787265	0.36411765	-1.9989183	1.8226	1	0.3032	1.1864579	1.5470306	-0.82265202	-0.34819818	0.13258362	0.17229584	0.37503774	1.8729008	1.5813378	0.45084683	1.581724	0.45238962	0.019507333	1.2252891	1.1102417	-1.9366071	-0.9306266	2.3116731	-1.3781483	-2.310482	1.3811418	-0.40938688	3.2832103	0.035511573	0.26801908	0.11766472	0.33961815	0.43920878	0.33937025	0.44011975	0.019619717	0.45002419	0.054059784	4.5911751	2.3417959	3.104722	4.6534982	3.1040711	4.6531155	3.7806249	1.8514164	-59.253518	R0:N12:S0:1	-41.4016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	218.0	1000000.0	2022-07-25@08:54
2x2_2C_8b_C2v_L	5.6768321	11	2.8548	0.0084744356	-2.4104956	-3.0970706	0.1801967	-3.0932085	0.17917978	0.21457886	-2.6436584	8.56	0.12922993	0.93218121	-1.5025148	0.22471548	1.5015712	-0.22437693	0.30152628	-1.9987246	1.8226	1	0.3032	1.2168895	1.5925052	-0.72810941	-0.28855956	0.11185066	0.18774775	0.18645151	1.9209523	1.669915	0.29874681	1.6700095	0.300259	0.014391189	1.3463502	1.1482311	-1.4906538	-0.72730735	2.0292562	-1.2432984	-2.0279674	1.2468775	-0.34127101	3.0826335	0.037912535	0.15990276	0.076536582	0.28568282	0.28970698	0.28558917	0.29082095	0.014551488	0.43077366	0.049823976	5.1171004	2.2680556	3.2773724	4.7418314	3.2753173	4.7426839	3.7864015	2.2324872	-63.257641	R0:N12:S0:1	-45.6416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	177.0	1000000.0	2022-07-25@09:58
2x2_2C_8b_C2v_L	5.693954	11	2.8548	0.0077424439	-2.4183181	-3.0986715	0.17821112	-3.0997808	0.17821195	0.21367536	-2.6504984	8.57	0.12907737	0.93284879	-1.5018816	0.22350455	1.5021124	-0.22345713	0.30042651	-1.9989885	1.8226	1	0.3032	1.2174304	1.5932815	-0.72640316	-0.28738618	0.11145386	0.18804635	0.18410228	1.9215637	1.6716642	0.2965817	1.6715355	0.29585837	0.014270141	1.3486986	1.1489314	-1.4834111	-0.72479709	2.0227056	-1.2418554	-2.0235915	1.2397359	-0.33992103	3.0786857	0.037957246	0.15821933	0.075988754	0.2845149	0.28735678	0.28461234	0.28684747	0.014429211	0.43024027	0.049745122	5.1254823	2.266602	3.2791079	4.7433902	3.2799989	4.7431739	3.7864399	2.2396973	-63.340376	R0:N12:S0:1	-45.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	176.0	0.000514	2022-07-25@09:59
2x2_2C_8b_C2v_L	5.7106289	11	2.8548	0.0071469219	-2.4238293	-3.10263	0.17691074	-3.1033756	0.17636702	0.21202772	-2.6572002	8.58	0.12889895	0.93327157	-1.5017925	0.22260604	1.5018642	-0.22242692	0.29921646	-1.9991541	1.8226	1	0.3032	1.2179589	1.5940289	-0.72475174	-0.28622895	0.11106654	0.18834393	0.18179104	1.9221081	1.6730903	0.2926429	1.673283	0.29341935	0.014162484	1.3510106	1.1496231	-1.4759906	-0.72247844	2.0182119	-1.2357111	-2.0174714	1.2375031	-0.3385694	3.0748022	0.038001709	0.15655843	0.075502988	0.28360059	0.28373767	0.28344401	0.284327	0.01432106	0.42970922	0.049668149	5.1340481	2.2651794	3.2830849	4.7439832	3.2822421	4.7443181	3.7865379	2.2467703	-63.416746	R0:N12:S0:1	-45.8016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	175.0	1000000.0	2022-07-25@10:00
2x2_2C_8b_C2v_L	5.7275146	11	2.8548	0.0064057806	-2.4303271	-3.1068696	0.17462811	-3.1054123	0.17580588	0.21072667	-2.6634286	8.59	0.12874687	0.93374717	-1.5016221	0.22124831	1.501485	-0.22164528	0.29781004	-1.999055	1.8226	1	0.3032	1.2184941	1.5947764	-0.72308201	-0.28505187	0.11067198	0.18864072	0.17962349	1.9226597	1.6749514	0.29043921	1.6746181	0.28904033	0.014026366	1.3533448	1.1503241	-1.4690926	-0.72020708	2.0118075	-1.2336914	-2.0130429	1.2306043	-0.33696653	3.0708234	0.038046181	0.1549912	0.075007517	0.28233627	0.28140912	0.28261286	0.28033055	0.014183527	0.4291641	0.049588142	5.1418946	2.2638414	3.2850817	4.7454326	3.2866284	4.7447628	3.7866596	2.2540483	-63.490737	R0:N12:S0:1	-45.8816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	175.0	1000000.0	2022-07-25@10:01
2x2_2C_8b_C2v_L	5.7441847	11	2.8548	0.0058073713	-2.4346612	-3.1100341	0.17499302	-3.1132963	0.17324453	0.20940375	-2.669308	8.6	0.12853946	0.93380223	-1.5015909	0.22072974	1.5021759	-0.22042887	0.29640997	-1.9989574	1.8226	1	0.3032	1.2190252	1.5954939	-0.72145277	-0.28385949	0.11027161	0.18894719	0.17727016	1.9232342	1.6758967	0.28383404	1.6771541	0.28888904	0.01389071	1.3556872	1.151036	-1.4614014	-0.71763952	2.0094834	-1.2211593	-2.0040999	1.2343874	-0.33537431	3.066839	0.038091703	0.15328281	0.074491447	0.28182252	0.27572326	0.28082474	0.27951643	0.014046649	0.42861642	0.04950792	5.1508414	2.2620547	3.2921336	4.7448806	3.2864401	4.7465002	3.7868398	2.2612866	-63.570492	R0:N12:S0:1	-45.9616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	174.0	1000000.0	2022-07-25@10:02
2x2_2C_8b_C2v_L	5.7608715	11	2.8548	0.0051132787	-2.4407851	-3.1140806	0.17390705	-3.1159627	0.17195698	0.20855029	-2.6761305	8.61	0.12844342	0.9343106	-1.501579	0.21975997	1.5018111	-0.21929061	0.29520206	-1.9992161	1.8226	1	0.3032	1.2195546	1.5962203	-0.71981194	-0.28267831	0.10987354	0.18925453	0.1753275	1.9237189	1.6777085	0.2809206	1.6786318	0.28490149	0.013767411	1.3580471	1.1517442	-1.4551983	-0.7156446	2.0032228	-1.218007	-1.9991817	1.2280929	-0.33392019	3.0629072	0.038137471	0.15186624	0.074055229	0.28061761	0.27280197	0.27987012	0.27582546	0.013922172	0.42805225	0.049429785	5.1578538	2.2607206	3.2949766	4.7457822	3.2903357	4.7473584	3.7868321	2.2684294	-63.646929	R0:N12:S0:1	-46.0416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	173.0	0.00198	2022-07-25@10:03
