model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	28	12	7	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	11.6	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.6667616	0.00038285716	5.2151429e-07	1.9996572	1.9997277	2.5265036e-06	1.9997277	2.5265495e-06	4.9107023e-06	1.9993606	1.0003809	0.0028761561	-0.07417825	0.066128372	-0.0063154147	-0.066128519	0.0063154719	-0.0088320973	0.10122769	9.5679252e-05	5.2151422e-07	0.00034154243	0.00027106437	2.526502e-06	0.00027106559	2.526548e-06	4.9106963e-06	0.00063811433	9.5720222e-05	4.0005748	3.9994297	3.9976442	4.0023622	3.9976442	4.0023623	4.000795	3.999208	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:43
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	11.334444	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.6667852	0.00048855405	5.4747813e-07	1.9995427	1.9996551	2.6546694e-06	1.9996551	2.6547176e-06	5.1487749e-06	1.999194	1.000486	0.0029447046	-0.085560698	0.074290493	-0.0064667029	-0.07429077	0.0064667614	-0.0090386293	0.11356188	0.00012208206	5.4747805e-07	0.0004569313	0.00034451535	2.6546676e-06	0.00034451792	2.6547159e-06	5.1487682e-06	0.00080545266	0.000122585	4.0007551	3.9992456	3.9970033	4.0030006	3.9970033	4.0030006	4.0010203	3.998978	-66.242844	R0:N12:S0:1	-39.564444	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:44
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	11.068889	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9994529	0.00064567051	5.7604629e-07	1.999361	1.9995502	2.797397e-06	1.9995502	2.7974479e-06	5.4088034e-06	1.998954	1.0006426	0.0030173274	-0.10106737	0.084746357	-0.0066281231	-0.084746836	0.006628183	-0.0092569014	0.12931595	0.0001613204	5.7604621e-07	0.00063934892	0.00045011757	2.7973951e-06	0.00045012265	2.797446e-06	5.408796e-06	0.0010461539	0.00016223107	4.001035	3.998962	3.9960509	4.0039518	3.9960509	4.0039518	4.001344	3.9986492	-65.181401	R0:N12:S0:1	-42.328889	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:44
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	10.803333	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9998096	0.00089484894	6.0809491e-07	1.9990472	1.9993912	2.9606389e-06	1.9993912	2.9606928e-06	5.6965004e-06	1.9985902	1.0008918	0.0030949905	-0.12343391	0.098616948	-0.0068028546	-0.098617757	0.0068029161	-0.0094891806	0.15013987	0.0002235291	6.0809482e-07	0.00095270317	0.00060886666	2.9606367e-06	0.00060887665	2.9606907e-06	5.6964922e-06	0.0014093952	0.00022433162	4.0015042	3.9984919	3.9945365	4.0054709	3.9945365	4.0054709	4.0018236	3.9981665	-64.120232	R0:N12:S0:1	-45.093333	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:44
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	10.537778	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9999082	0.0013286106	6.454815e-07	1.9984288	1.9991295	3.1573795e-06	1.9991295	3.1574375e-06	6.0220826e-06	1.9979971	1.0013255	0.0031796683	-0.15849897	0.11788939	-0.0069976872	-0.11789077	0.0069977507	-0.0097393724	0.17894804	0.00033176034	6.4548139e-07	0.0015706064	0.00087031968	3.157377e-06	0.00087034012	3.157435e-06	6.0220734e-06	0.0020018964	0.00033254999	4.0023748	3.9976149	3.9918692	4.0081475	3.9918692	4.0081475	4.0025383	3.9974418	-63.05952	R0:N12:S0:1	-47.857778	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:45
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	10.272222	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9999483	0.0022054095	6.933619e-07	1.9969346	1.9986551	3.4241304e-06	1.9986551	3.4241945e-06	6.4069564e-06	1.9969328	1.0022021	0.0032766985	-0.22133587	0.14643446	-0.0072313875	-0.14643695	0.0072314538	-0.010015236	0.22142387	0.00055031822	6.9336177e-07	0.0030629748	0.0013444176	3.4241275e-06	0.0013444633	3.4241916e-06	6.4069458e-06	0.0030648564	0.00055112619	4.0043063	3.9956505	3.9863378	4.0137068	3.9863378	4.0137069	4.0035148	3.9964348	-61.999663	R0:N12:S0:1	-50.622222	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:45
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	10.006667	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9999682	0.0045908401	7.7442194e-07	1.9915908	1.9976605	3.9206738e-06	1.9976604	3.920749e-06	6.9054192e-06	1.9947233	1.0045874	0.003409058	-0.36631684	0.19274492	-0.0075845903	-0.19274984	0.007584661	-0.010333519	0.29042407	0.0011435094	7.7442176e-07	0.0083911833	0.0023381243	3.9206699e-06	0.0023382439	3.9207452e-06	6.9054067e-06	0.0052696102	0.001144361	4.0104218	3.98921	3.9704204	4.029757	3.9704201	4.0297572	4.0034629	3.9963447	-60.941816	R0:N12:S0:1	-53.386667	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:46
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.7411111	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9999796	0.022477387	1.2355634e-06	1.9310784	1.9951412	6.9467514e-06	1.9951407	6.946825e-06	7.6712398e-06	1.9887232	1.0224734	0.0039229416	-1.0404611	0.27302728	-0.0091950455	-0.27303907	0.0091951014	-0.010658595	0.42696536	0.0055045574	1.2355628e-06	0.067533549	0.0048535059	6.946736e-06	0.00485392	6.9468096e-06	7.6712259e-06	0.011243313	0.0055053968	4.0729319	3.9014216	3.8380654	4.1642374	3.8380691	4.1642339	3.9581777	4.0393315	-59.892959	R0:N12:S0:1	-56.151111	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:46
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.4755556	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.9999917	0.49027476	1.6546883e-05	0.098599736	1.9949592	6.2131497e-05	1.9949574	6.2130041e-05	1.4583322e-05	1.9502609	1.4902668	0.020838168	-1.4971379	0.1531914	-0.03789008	-0.15323297	0.037888952	-0.010135295	1.0421422	0.0093970122	1.6546713e-05	0.092396585	0.005102059	6.2129333e-05	0.0051039196	6.2127877e-05	1.4583625e-05	0.04897473	0.0093991124	7.6518515	6.6040265	1.2445641	6.8278103	1.2447966	6.8276006	2.5359959	5.3319607	-59.184542	R0:N12:S0:1	-58.915556	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:47
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1.3333333	1.999996	0.65594787	1.473054e-05	0.013598704	1.9442935	6.0121329e-05	1.9441164	6.010984e-05	4.7178932e-05	1.4740512	1.6559395	0.020651575	-0.6040282	0.37232367	-0.040267431	-0.37328358	0.040259913	-0.024903406	2.9455884	0.028001151	1.4730407e-05	0.01347888	0.070105876	6.011921e-05	0.070330568	6.0107722e-05	4.7178136e-05	0.41905753	0.028003838	7.8873705	7.7227276	1.3827348	7.3688534	1.3858443	7.3676187	3.8697523	3.1083617	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@13:48
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.999996	0	0	0	0.6559479	1.473054e-05	0.013598707	1.9442937	6.0121341e-05	1.9441165	6.0109841e-05	4.7178921e-05	1.4740508	1.6559395	0.020651575	-0.60402825	0.37232264	-0.040267438	-0.37328337	0.040259914	-0.024903401	2.9455896	0.028001154	1.4730407e-05	0.013478882	0.070105607	6.0119223e-05	0.070330489	6.0107724e-05	4.7178125e-05	0.4190577	0.028003841	7.8873704	7.7227274	1.3827315	7.3688545	1.3858436	7.3676188	3.8697518	3.1083592	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@17:05
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.999996	0	0	0	0.6559479	1.473054e-05	0.013598707	1.9442937	6.0121341e-05	1.9441165	6.0109841e-05	4.7178921e-05	1.4740508	1.6559395	0.020651575	-0.60402825	0.37232264	-0.040267438	-0.37328337	0.040259914	-0.024903401	2.9455896	0.028001154	1.4730407e-05	0.013478882	0.070105607	6.0119223e-05	0.070330489	6.0107724e-05	4.7178125e-05	0.4190577	0.028003841	7.8873704	7.7227274	1.3827315	7.3688545	1.3858436	7.3676188	3.8697518	3.1083592	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@17:05
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.999996	0	0	0	0.6559479	1.473054e-05	0.013598707	1.9442937	6.0121341e-05	1.9441165	6.0109841e-05	4.7178921e-05	1.4740508	1.6559395	0.020651575	-0.60402825	0.37232264	-0.040267438	-0.37328337	0.040259914	-0.024903401	2.9455896	0.028001154	1.4730407e-05	0.013478882	0.070105607	6.0119223e-05	0.070330489	6.0107724e-05	4.7178125e-05	0.4190577	0.028003841	7.8873704	7.7227274	1.3827315	7.3688545	1.3858436	7.3676188	3.8697518	3.1083592	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@17:05
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.999996	0	0	0	0.6559479	1.473054e-05	0.013598707	1.9442937	6.0121341e-05	1.9441165	6.0109841e-05	4.7178921e-05	1.4740508	1.6559395	0.020651575	-0.60402825	0.37232264	-0.040267438	-0.37328337	0.040259914	-0.024903401	2.9455896	0.028001154	1.4730407e-05	0.013478882	0.070105607	6.0119223e-05	0.070330489	6.0107724e-05	4.7178125e-05	0.4190577	0.028003841	7.8873704	7.7227274	1.3827315	7.3688545	1.3858436	7.3676188	3.8697518	3.1083592	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@17:05
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118444	-2.1957602	-2.7381036	0.24894062	-2.7380656	0.24893765	0.29628054	-2.7779186	9.21	-0.004192144	0.024074727	-0.025964762	0.0093092755	0.025964506	-0.009309357	0.013099573	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.999996	0	0	0	0.6559479	1.473054e-05	0.013598707	1.9442937	6.0121341e-05	1.9441165	6.0109841e-05	4.7178921e-05	1.4740508	1.6559395	0.020651575	-0.60402825	0.37232264	-0.040267438	-0.37328337	0.040259914	-0.024903401	2.9455896	0.028001154	1.4730407e-05	0.013478882	0.070105607	6.0119223e-05	0.070330489	6.0107724e-05	4.7178125e-05	0.4190577	0.028003841	7.8873704	7.7227274	1.3827315	7.3688545	1.3858436	7.3676188	3.8697518	3.1083592	-58.875137	R0:N12:S0:1	-61.68	uncorrelated	b7fd39a	v1.0.3	2022-06-29@17:05
