model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	3.2423908	10	2.0097	0.030877515	-4.5775176	-5.2124627	0.131801	-5.2141026	0.13196364	0.15927378	-5.0293215	11	0.088431359	1.1712503	-1.7430299	-0.15816826	1.7433157	0.15824804	0.21752061	-2.2861324	2.1394	1	0.2577	1.2548388	1.6844027	-0.59010895	-0.20039938	0.084695028	0.284541	0.0055315433	1.9546454	1.7427139	0.010684052	1.7427952	0.010698286	0.0027111593	1.4266372	1.2758958	-0.32854705	-0.49780398	1.7481828	0.3552525	-1.7478798	-0.35549793	-0.17776129	3.0804722	0.049564079	0.005512048	0.046429046	0.24714786	0.010669933	0.24707749	0.010684102	0.0027124263	0.41624815	0.050651691	6.5745018	1.6559247	3.4982132	4.9814017	3.4981515	4.9815096	3.8300598	2.1741957	-92.947568	R0:N12:S0:1	-71.9224	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 4.51e+02	 1.00e+06	2022-07-27@16:07
2x2_2C_8b_C2v_L	3.6952898	10	2.1036	0.023460304	-4.5687452	-5.1677823	0.12413645	-5.1682975	0.12417651	0.14300837	-4.9416763	11	0.085388142	1.156561	-1.7171284	-0.15488241	1.7172177	0.1549005	0.21084015	-2.2442781	2.1042	1	0.26275556	1.2554889	1.6872472	-0.58536753	-0.19965564	0.08411966	0.28410415	0.0051456999	1.9546985	1.7439334	0.010141823	1.7439568	0.01014523	0.0025783564	1.4263565	1.2757609	-0.31679875	-0.49965882	1.7449503	0.34658324	-1.7448663	-0.346643	-0.17433595	3.0761609	0.049546212	0.0051288116	0.046364953	0.24602057	0.010128795	0.24600009	0.010132187	0.0025793198	0.41652332	0.050577566	6.5664548	1.666465	3.4978366	4.9787399	3.497823	4.9787603	3.8441903	2.1794721	-92.416422	R0:N12:S0:1	-71.1712	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 4.30e+02	 9.00e-04	2022-07-27@16:08
2x2_2C_8b_C2v_L	4.1505867	10	2.1975	0.017808275	-4.547503	-5.097094	0.11556321	-5.0970554	0.11555793	0.12897984	-4.8553847	11	0.082571457	1.1405419	-1.6869129	-0.15089435	1.6868965	0.15089191	0.20427757	-2.2029083	2.069	1	0.26781111	1.2561899	1.6903802	-0.58020843	-0.19886098	0.083506064	0.28407125	0.0048118332	1.9547211	1.7443496	0.0095872967	1.7443641	0.0095877743	0.0024558664	1.426017	1.2760264	-0.30621729	-0.50146281	1.7435179	0.33732019	-1.7434358	-0.33733376	-0.17096519	3.0722975	0.049575192	0.0047970527	0.046333558	0.24564345	0.0095753933	0.24563245	0.0095758641	0.0024565883	0.41681548	0.05055213	6.5590715	1.6761149	3.4968079	4.9789983	3.4967766	4.9791042	3.8575684	2.1841439	-91.758985	R0:N12:S0:1	-70.42	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 4.10e+02	 7.89e-04	2022-07-27@16:10
2x2_2C_8b_C2v_L	4.6138308	10	2.2914	0.012915893	-4.5214339	-5.0206261	0.10656814	-5.0206786	0.10656112	0.1156177	-4.7705056	11	0.079827473	1.1240624	-1.6557685	-0.1465995	1.6557762	0.14659781	0.19748263	-2.1619685	2.0338	1	0.27286667	1.2570426	1.6942942	-0.57387985	-0.19787989	0.082798262	0.28412676	0.0044999525	1.9547306	1.7445939	0.0090299861	1.7445975	0.0090300304	0.0023315177	1.4256867	1.276375	-0.29597412	-0.50329089	1.7424378	0.32767884	-1.7424227	-0.32767981	-0.16732363	3.0685083	0.049614277	0.004487016	0.046315974	0.24542894	0.0090191891	0.24542592	0.0090192324	0.0023320364	0.41710145	0.05053807	6.55173	1.6856024	3.4956024	4.9800291	3.4955992	4.9800391	3.870738	2.1887414	-91.073253	R0:N12:S0:1	-69.6688	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.91e+02	 2.16e-03	2022-07-27@16:12
2x2_2C_8b_C2v_L	5.0800016	10	2.3853	0.0081559312	-4.4945715	-4.9561934	0.096863585	-4.9562117	0.096848659	0.10051673	-4.6760037	11	0.076996052	1.1074138	-1.6265323	-0.14215553	1.6265353	0.14215113	0.1894065	-2.1187956	1.9986	1	0.27792222	1.2579574	1.6985355	-0.56700244	-0.19684486	0.081979885	0.28411923	0.0041920982	1.9547513	1.7452503	0.0084736293	1.7452499	0.008473214	0.0021813117	1.424766	1.2766656	-0.28550338	-0.50506489	1.7404891	0.31767605	-1.7404929	-0.31766747	-0.16267764	3.0654721	0.049641857	0.0041808582	0.046286426	0.24482872	0.0084639144	0.24482897	0.0084635003	0.0021816381	0.41764436	0.050513194	6.5443755	1.6949728	3.4948682	4.9794848	3.494871	4.9794777	3.8861895	2.1913167	-90.413698	R0:N12:S0:1	-68.9176	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.72e+02	 2.88e-03	2022-07-27@16:13
2x2_2C_8b_C2v_L	5.535496	10	2.4792	0.0045205327	-4.4716091	-4.8928679	0.087355378	-4.892847	0.087356661	0.087206469	-4.5839891	11	0.074326643	1.0913969	-1.5974677	-0.13762713	1.5974612	0.13762365	0.18157137	-2.0763308	1.9634	1	0.28297778	1.2586853	1.7018718	-0.56139323	-0.19609394	0.081159049	0.28406738	0.0039086935	1.95478	1.7459486	0.0079246157	1.7459516	0.0079243318	0.0020374673	1.4239092	1.2769039	-0.27553207	-0.5068342	1.7384702	0.30745801	-1.7384519	-0.30745374	-0.15803498	3.0622975	0.049664738	0.0038989106	0.04624773	0.24418729	0.0079159335	0.24418508	0.0079156493	0.0020376388	0.41816177	0.050485501	6.5365563	1.7045184	3.4941692	4.9787184	3.4941623	4.9787442	3.9015205	2.1941968	-89.772622	R0:N12:S0:1	-68.1664	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.53e+02	 2.70e-03	2022-07-27@16:14
2x2_2C_8b_C2v_L	5.9844158	10	2.5731	0.0016889755	-4.4484026	-4.827832	0.077975098	-4.8279302	0.077978272	0.075402374	-4.4949681	11	0.071683066	1.0752891	-1.5681366	-0.13312961	1.5681413	0.13311516	0.17417739	-2.034692	1.9282	1	0.28803333	1.2593053	1.7046282	-0.55660979	-0.19542907	0.080444779	0.28402156	0.0036363529	1.9548251	1.7465808	0.0074011175	1.7466007	0.0074003289	0.0019053472	1.4231035	1.2771367	-0.26561885	-0.50847757	1.736631	0.29736409	-1.7365307	-0.29735262	-0.15358529	3.059123	0.049688346	0.0036278764	0.046191903	0.24360576	0.0073933801	0.2435899	0.0073925892	0.0019053986	0.41865408	0.05046115	6.5287266	1.7138707	3.4934514	4.9780635	3.4934214	4.97817	3.9164254	2.1971874	-89.131661	R0:N12:S0:1	-67.4152	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.35e+02	 3.03e-03	2022-07-27@16:15
2x2_2C_8b_C2v_L	6.4323193	10	2.667	0.00025456538	-4.4117391	-4.7450414	0.06954506	-4.7449945	0.069544941	0.066405577	-4.4151091	11	0.069150105	1.057875	-1.5361917	-0.1287165	1.53618	0.12871945	0.16793903	-1.9953734	1.893	1	0.29308889	1.2599146	1.7073617	-0.55187929	-0.19475918	0.079773784	0.28421126	0.0033861663	1.9548056	1.746553	0.0069232404	1.7465588	0.0069237588	0.0018033267	1.4227042	1.2775855	-0.25614554	-0.51034472	1.7362403	0.28784863	-1.7362049	-0.28786159	-0.1499619	3.0555785	0.049741767	0.0033788118	0.046204537	0.24363946	0.0069163145	0.24363518	0.0069168307	0.0018032982	0.41896586	0.050470862	6.5212792	1.7230377	3.4920002	4.9798688	3.4919847	4.9799195	3.9293409	2.2014075	-88.412815	R0:N12:S0:1	-66.664	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.17e+02	 2.14e-03	2022-07-27@16:16
2x2_2C_8b_C2v_L	6.8817957	10	2.7609	-0.00014486002	-4.385087	-4.671704	0.06229972	-4.6717645	0.062303896	0.059512539	-4.3406466	11	0.066429292	1.042461	-1.5065307	-0.12493763	1.5065363	0.12495213	0.16328704	-1.9580431	1.8578	1	0.29814444	1.2605614	1.7102656	-0.54683945	-0.19401127	0.079080441	0.28423751	0.0031222704	1.9547678	1.7467044	0.0065127756	1.7467203	0.0065148262	0.0017325249	1.4225117	1.2778533	-0.24580979	-0.51239706	1.7355399	0.27944511	-1.7354596	-0.27949233	-0.14753093	3.0515391	0.049777054	0.0031160141	0.046235067	0.24349521	0.0065065073	0.24348251	0.0065085514	0.0017324303	0.41919939	0.050466658	6.5133218	1.7328473	3.4906026	4.9806547	3.4905736	4.9807405	3.9419016	2.2065993	-87.770563	R0:N12:S0:1	-65.9128	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.99e+02	 3.52e-02	2022-07-27@16:17
2x2_2C_8b_C2v_L	7.3317075	10	2.8548	0.00033239081	-4.3618533	-4.6230002	0.054648317	-4.6230102	0.054647286	0.050669719	-4.2550092	11	0.0644247	1.0259407	-1.4794748	-0.12097086	1.4794756	0.12097089	0.15644368	-1.9171447	1.8226	1	0.3032	1.2612254	1.7132604	-0.5416315	-0.1932324	0.078384597	0.28386287	0.0029248807	1.9548449	1.7479497	0.0060665903	1.7479518	0.0060666709	0.0016151555	1.4216715	1.2777272	-0.23780768	-0.51396659	1.7323528	0.26998836	-1.7323423	-0.26999051	-0.14315767	3.0482422	0.049760448	0.0029193847	0.046144453	0.24233806	0.0060610258	0.24233637	0.0060611061	0.0016149992	0.41970467	0.050409788	6.5040939	1.7426879	3.4905227	4.9774985	3.4905192	4.9775095	3.9571836	2.2096675	-87.202469	R0:N12:S0:1	-65.1616	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.82e+02	 2.66e-03	2022-07-27@16:18
