CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-78.76175232	-112.2962963	5.570403843	YY	8	0.5295331171	self-energy	sharp_wc_2_b_50	2.981481481	2	1.211359765	-2.596534693	1.953347949	0.01074041957	0.09907377599	-3.491836941	1.7479721	0.1862442791	0.6514264589	-3.489777733	1.748021209	0.1864288003	0.6510694112	0.2127406635	0.007775065438	-3.388774137	1.083208623	a248bdd	2x2_2C_8b_C2v_L	10	1.514526352	2	1.697027677	1.5145263515445118	1.0	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053857641	0.2941387465	-0.1354704086	1.237560231	1.638872435	-1.285374777	0.2607475678	-2.655666081	1.638399252	-1.28489088	-0.2606987069	2.655057917	0.3263885974	-0.3254893313	2.210489702	-3.729683618	2024-09-30@13:19	2.148148148	-0.6842386922	1	1.101151886e-16	-0.3337170657	0.3888888889	2.618219977e-17	0.1252741354	v2.7.1	
1	Broyden	-78.70267825	-112.1362963	5.554703547	YY	8	0.5281821215	self-energy	sharp_wc_2_b_50	2.981481481	2	1.210989572	-2.592889067	1.952892409	0.0110904127	0.1002035523	-3.492434316	1.746981494	0.1875136504	0.6545473091	-3.490818881	1.746669757	0.1867781352	0.6551806695	0.2139479379	0.007809825744	-3.385987088	1.083495677	a248bdd	2x2_2C_8b_C2v_L	9.99	1.513054827	2	1.69610092	1.5130548264980495	0.9999999999999999	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053714199	0.2966949085	-0.1358449979	1.243385276	1.639844318	-1.291152581	0.261472411	-2.658221814	1.639451075	-1.292191478	-0.2611831216	2.65843508	0.3270100122	-0.3260828906	2.211404192	-3.729092215	2024-09-30@13:21	2.148148148	-0.6859081327	1	-4.823150099e-16	-0.3343349019	0.3888888889	-1.067571919e-16	0.1254652828	v2.7.1	
2	Broyden	-78.64057095	-111.9762963	5.539921588	YY	8	0.5266937953	self-energy	sharp_wc_2_b_50	2.981481481	2	1.210635501	-2.59107063	1.952455741	0.01137189429	0.1012511104	-3.491832907	1.745235041	0.1868458716	0.6592635493	-3.488251436	1.745103447	0.1868766726	0.6592302841	0.2152257635	0.007858196825	-3.384348728	1.083858097	a248bdd	2x2_2C_8b_C2v_L	9.98	1.511436134	2	1.695222531	1.5114361334559052	0.9999999999999998	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053945207	0.2992541677	-0.1362138696	1.248702832	1.640667238	-1.299761444	0.2615245287	-2.661109161	1.639912512	-1.299859627	-0.2614366238	2.660602688	0.3278830905	-0.3268645162	2.212910172	-3.728397593	2024-09-30@13:24	2.148148148	-0.6874683225	1	-3.45955616e-16	-0.3349266774	0.3888888889	-1.893192626e-16	0.1256494753	v2.7.1	
2	Broyden	-78.58348318	-111.8162963	5.524060788	YY	8	0.5253680678	self-energy	sharp_wc_2_b_50	2.981481481	2	1.210260695	-2.587656459	1.952021009	0.01205612168	0.1023306019	-3.492067869	1.744073592	0.1877906591	0.6628692329	-3.489688702	1.744052491	0.1879635994	0.6626611731	0.2168644273	0.007896781736	-3.381829453	1.084147676	a248bdd	2x2_2C_8b_C2v_L	9.97	1.50998686	2	1.69428851	1.5099868602703275	0.9999999999999999	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053924712	0.3017043742	-0.1365806129	1.254245403	1.641562983	-1.306223696	0.2622401194	-2.664091095	1.641067439	-1.306006534	-0.2622041377	2.663599261	0.3286634449	-0.3275612514	2.213960674	-3.727850406	2024-09-30@13:26	2.148148148	-0.6891536003	1	2.547705225e-16	-0.3355511765	0.3888888889	1.418054895e-16	0.1258430218	v2.7.1	
2	Broyden	-78.51733253	-111.6562963	5.508734277	YY	8	0.5239832516	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20989552	-2.583363138	1.951551535	0.01297014853	0.1034044685	-3.490369207	1.742744015	0.1886731654	0.6665582196	-3.488790965	1.742586979	0.1880588869	0.6668255522	0.2185872055	0.007947135138	-3.379902107	1.084485608	a248bdd	2x2_2C_8b_C2v_L	9.96	1.508474122	2	1.693382364	1.5084741218821223	1.0	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053975589	0.3042962251	-0.1369239205	1.259526103	1.642228864	-1.313103466	0.2628262937	-2.666499123	1.641724534	-1.31350291	-0.2625870228	2.666414764	0.3296260014	-0.3284244031	2.215273637	-3.72721951	2024-09-30@13:28	2.148148148	-0.6907767346	1	-3.174187092e-16	-0.3361584071	0.3888888889	8.008607893e-17	0.1260330259	v2.7.1	
2	Broyden	-78.4515402	-111.4962963	5.49338153	YY	8	0.5226122954	self-energy	sharp_wc_2_b_50	2.981481481	2	1.209529718	-2.579019124	1.951133456	0.01369136583	0.1043714721	-3.487772803	1.741126191	0.1882245655	0.6709004361	-3.489062489	1.741433038	0.1889434459	0.6702804965	0.2202075702	0.007988740642	-3.378286099	1.084858297	a248bdd	2x2_2C_8b_C2v_L	9.95	1.506976968	2	1.692472796	1.5069769678112626	1.0000000000000002	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053717449	0.3066525428	-0.1372332259	1.264234015	1.642392801	-1.320934048	0.262887192	-2.669003317	1.642692707	-1.319907554	-0.2632256866	2.668836109	0.3304342016	-0.3291048505	2.216679925	-3.726633854	2024-09-30@13:31	2.148148148	-0.6924030992	1	1.806680834e-16	-0.3367648891	0.3888888889	-1.884751502e-16	0.1262212634	v2.7.1	
2	Broyden	-78.40297463	-111.3362963	5.477924876	YY	8	0.5212420863	self-energy	sharp_wc_2_b_50	2.981481481	2	1.209160492	-2.576292187	1.950695347	0.01477623335	0.1054625668	-3.490389724	1.740058028	0.1894341284	0.6744708936	-3.49043134	1.740312184	0.1897430395	0.6738737114	0.2212399367	0.00802085625	-3.376427961	1.085202604	a248bdd	2x2_2C_8b_C2v_L	9.94	1.505475952	2	1.691561031	1.5054759521194105	1.0	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053967114	0.3091564707	-0.1376588307	1.269811828	1.644005176	-1.327308537	0.2637464388	-2.672075298	1.643870995	-1.326289126	-0.263901334	2.671686514	0.3310666968	-0.3296339411	2.218004958	-3.72606738	2024-09-30@13:33	2.148148148	-0.6940382069	1	-1.973237745e-16	-0.3373780694	0.3888888889	-3.060082135e-17	0.1264122091	v2.7.1	
2	Broyden	-78.35182341	-111.1762963	5.462620772	YY	8	0.5198639636	self-energy	sharp_wc_2_b_50	2.981481481	2	1.208793959	-2.572538651	1.950271904	0.01555381381	0.1064611282	-3.491233584	1.738941752	0.1898793024	0.6779676653	-3.49194597	1.739111487	0.1904676886	0.677634812	0.223623385	0.008073965796	-3.376007634	1.085673195	a248bdd	2x2_2C_8b_C2v_L	9.93	1.503966023	2	1.690656466	1.5039660228563614	0.9999999999999998	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053908934	0.3115410712	-0.1379769265	1.274674326	1.644910028	-1.333562218	0.2642797432	-2.674568701	1.645148034	-1.333037865	-0.2645737527	2.674556976	0.3322656997	-0.3305702098	2.219802435	-3.725439485	2024-09-30@13:36	2.148148148	-0.6956561082	1	-2.463904523e-16	-0.337984979	0.3888888889	9.749978234e-17	0.1266020913	v2.7.1	
2	Broyden	-78.26906768	-111.0162963	5.446307979	YY	8	0.5186556128	self-energy	sharp_wc_2_b_50	2.981481481	2	1.208409789	-2.567284916	1.949802331	0.01632159987	0.1075544066	-3.488888622	1.73775839	0.191183545	0.6813821622	-3.4896612	1.737756867	0.1910740331	0.6814623019	0.2242104756	0.00810456951	-3.369830154	1.085609839	a248bdd	2x2_2C_8b_C2v_L	9.92	1.502642283	2	1.689690335	1.5026422828520614	0.9999999999999998	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053684394	0.3140419557	-0.1382157864	1.279865537	1.645286095	-1.339834136	0.2649689939	-2.676899197	1.645439931	-1.339924471	-0.2649399392	2.677037697	0.3325791927	-0.3311159364	2.219723559	-3.725040265	2024-09-30@13:38	2.148148148	-0.6973982817	1	-5.168184757e-16	-0.338610956	0.3888888889	1.184495228e-16	0.1267980883	v2.7.1	
2	Broyden	-78.18772328	-110.8562963	5.430528442	YY	8	0.5173748158	self-energy	sharp_wc_2_b_50	2.981481481	2	1.208034572	-2.560494621	1.949351854	0.01704359043	0.1085219515	-3.487799983	1.736375567	0.191573954	0.6853727112	-3.486989311	1.736367413	0.1916337397	0.6852678766	0.2249280763	0.008135963485	-3.364848608	1.085650159	a248bdd	2x2_2C_8b_C2v_L	9.91	1.501239126	2	1.688754359	1.5012391256919135	1.0	recalcules_de_points_supra.py	R0:N14:S0:1	uncorrelated	-1.053088299	0.3164118387	-0.1383958188	1.284184257	1.645888307	-1.347019083	0.2654358854	-2.679487247	1.645737729	-1.346915775	-0.2653666454	2.679252643	0.3329520101	-0.3316445426	2.219958783	-3.724588489	2024-09-30@13:41	2.148148148	-0.6990753318	1	1.500619174e-16	-0.3392245392	0.3888888889	-6.644059117e-17	0.126990926	v2.7.1	
