CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-77.02804331	-112.2962963	5.497180893	YY	7.5	0.592788412	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20764618	0.01342757322	0.06719758452	-2.384667579	1.966279026	0.1582170921	0.5961372922	-3.091108614	1.73971952	-3.091617243	1.73970338	0.1582440545	0.5962291498	0.1926845838	0.008828367702	-2.881951189	0.9663920925	a248bdd	2x2_2C_8b_C2v_L	10	1.579878397	2	1.714541614	1.579878396705938	1.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.126894768	-1.042265356	1.019654068	-0.1972377482	0.2482290328	-2.57213969	1.582833343	-1.192734935	1.582988178	-1.192888905	-0.2482733766	2.572344099	0.3383686085	-0.3745256277	2.118769558	-3.806078091	2024-07-18@09:00	2.148148148	-0.6653561569	1	-1.099015338e-16	-0.3516751138	0.09259259259	-1.44574848e-16	0.1379983027	v2.7.1	
1	Broyden	-77.08548538	-112.4562963	5.515326149	YY	7.5	0.5939935473	self-energy	sharp_wc_2_b_50	2.981481481	2	1.2080666	0.01372898063	0.06655714251	-2.388444782	1.966568071	0.1551887726	0.5929978808	-3.09101369	1.74071799	-3.088554379	1.740495104	0.1546768216	0.5932004296	0.1935348624	0.008813499196	-2.884236206	0.9659022946	a248bdd	2x2_2C_8b_C2v_L	10.01	1.581186897	2	1.71553463	1.5811868968047498	2.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1268375757	-1.038191455	1.020033299	-0.19575026	0.2468421059	-2.567398836	1.581899512	-1.186937005	1.581260114	-1.187336547	-0.2465427102	2.567033976	0.3382228122	-0.3743615374	2.118087689	-3.806330907	2024-07-18@09:00	2.148148148	-0.6634498231	1	-6.815025804e-16	-0.3509513383	0.09259259259	1.9019297e-16	0.1377399563	v2.7.1	
1	Broyden	-77.14277214	-112.6162963	5.533730237	YY	7.5	0.5951650847	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20849196	0.01375723493	0.06592194483	-2.395898787	1.966872179	0.1510488433	0.5904303455	-3.085343118	1.741135403	-3.085250408	1.741314803	0.1506327474	0.5899601157	0.1945947617	0.008806002652	-2.888891827	0.9657143886	a248bdd	2x2_2C_8b_C2v_L	10.02	1.582461204	2	1.716537778	1.5824612039431214	2.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1268028842	-1.034346956	1.021081863	-0.1942931775	0.244772694	-2.561749024	1.579631617	-1.182354184	1.579346986	-1.181483007	-0.2444871217	2.561010959	0.338319761	-0.3742412736	2.118344105	-3.806601155	2024-07-18@09:01	2.148148148	-0.6615164243	1	3.313604074e-16	-0.3502139365	0.09259259259	1.088817226e-16	0.1374792941	v2.7.1	
1	Broyden	-77.1760187	-112.7762963	5.551503096	YY	7.5	0.5964280681	self-energy	sharp_wc_2_b_50	2.981481481	2	1.208905187	0.01377301145	0.06540951607	-2.399790728	1.967111764	0.1467142019	0.5873421614	-3.078578274	1.741725976	-3.078193609	1.741714558	0.1466339538	0.5873237662	0.1948201354	0.008792039513	-2.891073168	0.9652430551	a248bdd	2x2_2C_8b_C2v_L	10.03	1.583834291	2	1.717504188	1.5838342909055279	1.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1268394447	-1.03115188	1.021352605	-0.1930391571	0.2424708603	-2.555227941	1.576844575	-1.176851497	1.576723899	-1.176820809	-0.2424228152	2.555115708	0.3380387299	-0.3740071982	2.117527452	-3.806853029	2024-07-18@09:02	2.148148148	-0.6596577205	1	2.771542169e-16	-0.3494909218	0.09259259259	6.400161106e-17	0.1372251979	v2.7.1	
1	Broyden	-77.22355136	-112.9362963	5.569261701	YY	7.5	0.5977408746	self-energy	sharp_wc_2_b_50	2.981481481	2	1.209318215	0.01358543729	0.0647713097	-2.405954021	1.967434684	0.1437269239	0.5837870571	-3.074168943	1.742706367	-3.071805243	1.742426494	0.1432305186	0.5841297533	0.1949171975	0.008775861515	-2.894535928	0.9649391607	a248bdd	2x2_2C_8b_C2v_L	10.04	1.585257328	2	1.718472048	1.5852573277482087	2.000000000000001	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1267857217	-1.027215182	1.021805491	-0.1914405571	0.2407053115	-2.549079863	1.574825293	-1.170384851	1.574256852	-1.171033192	-0.2404400004	2.548907439	0.3378018169	-0.3736979199	2.117167569	-3.807183637	2024-07-18@09:02	2.148148148	-0.6578009644	1	1.963645104e-16	-0.3487677807	0.09259259259	3.363479098e-16	0.1369699997	v2.7.1	
1	Broyden	-77.26938445	-113.0962963	5.586658462	YY	7.5	0.5991032907	self-energy	sharp_wc_2_b_50	2.981481481	2	1.209723907	0.01328927568	0.06418575332	-2.411048673	1.967727226	0.1412598663	0.58033106	-3.069699831	1.743677323	-3.067737298	1.7435004	0.1407465565	0.5804874318	0.1942888558	0.008749951963	-2.89600762	0.9644101319	a248bdd	2x2_2C_8b_C2v_L	10.05	1.58673268	2	1.719419649	1.586732680126398	2.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1266855527	-1.023479994	1.02221489	-0.1899247862	0.2391276224	-2.543235567	1.572969724	-1.164052976	1.572418435	-1.164346609	-0.2388564554	2.542914055	0.3372146074	-0.3732322875	2.115993092	-3.807477547	2024-07-18@09:03	2.148148148	-0.6559863391	1	-1.157404041e-16	-0.348053255	0.09259259259	1.517187635e-16	0.1367188791	v2.7.1	
1	Broyden	-77.34050055	-113.2562963	5.604163824	YY	7.5	0.6004682174	self-energy	sharp_wc_2_b_50	2.981481481	2	1.2101307	0.01264183853	0.06358612748	-2.418574785	1.968062432	0.1398830256	0.5760884775	-3.068319125	1.745209277	-3.066587168	1.745063503	0.1394523505	0.5761914475	0.1938208245	0.008724949588	-2.900510988	0.9642514716	a248bdd	2x2_2C_8b_C2v_L	10.06	1.588205579	2	1.72037676	1.588205578592785	1.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1266004864	-1.019832982	1.022862618	-0.1882605511	0.23800492	-2.537445754	1.571873881	-1.156123296	1.571401111	-1.156330289	-0.237745795	2.537105309	0.3368590763	-0.3727239606	2.115864557	-3.807865835	2024-07-18@09:04	2.148148148	-0.6541561489	1	1.84266644e-16	-0.3473390614	0.09259259259	2.517463884e-16	0.1364657638	v2.7.1	
1	Broyden	-77.3907544	-113.4162963	5.621076886	YY	7.5	0.6019696283	self-energy	sharp_wc_2_b_50	2.981481481	2	1.210526784	0.01203929636	0.06303061974	-2.422637615	1.968351434	0.1388104465	0.5716423735	-3.064037636	1.746744336	-3.065265428	1.746773582	0.1391939956	0.5717839988	0.1920689403	0.008682197782	-2.901600657	0.9637001368	a248bdd	2x2_2C_8b_C2v_L	10.07	1.58982283	2	1.721302416	1.5898228299908828	1.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1264015096	-1.01614057	1.023149042	-0.1866691113	0.2368470143	-2.531122505	1.570050188	-1.147810203	1.570426708	-1.148031121	-0.2371682455	2.531723975	0.3358834701	-0.3719118849	2.114484873	-3.808280683	2024-07-18@09:04	2.148148148	-0.6523964454	1	-2.647130539e-16	-0.3466395113	0.09259259259	1.09778805e-16	0.1362186005	v2.7.1	
1	Broyden	-77.48635319	-113.5762963	5.638482008	YY	7.5	0.60342561	self-energy	sharp_wc_2_b_50	2.981481481	2	1.210929823	0.0112395271	0.06242525831	-2.429705899	1.968717177	0.1414242176	0.5661390926	-3.070766431	1.74948335	-3.067131366	1.749045565	0.1403372204	0.5666235849	0.1909791041	0.008646492674	-2.905262	0.96340268	a248bdd	2x2_2C_8b_C2v_L	10.08	1.5913792	2	1.722264928	1.5913791995701638	1.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1262504711	-1.012406215	1.023722439	-0.1847880712	0.2377662801	-2.527069152	1.571345095	-1.137199333	1.57042068	-1.138121731	-0.2371549236	2.526619584	0.3353402036	-0.3712738217	2.113978465	-3.808787594	2024-07-18@09:05	2.148148148	-0.6505705717	1	2.144697173e-17	-0.3459385126	0.09259259259	-1.906201277e-16	0.135968138	v2.7.1	
1	Broyden	-77.55470537	-113.7362963	5.65537441	YY	7.5	0.6049905034	self-energy	sharp_wc_2_b_50	2.981481481	2	1.211323729	0.01068665409	0.06182697414	-2.431163613	1.969034521	0.1421228805	0.5612128516	-3.06993753	1.751533919	-3.071820896	1.751796509	0.1430584284	0.5609056689	0.1887662044	0.008590185824	-2.90679427	0.9628853383	a248bdd	2x2_2C_8b_C2v_L	10.09	1.593053508	2	1.723197548	1.5930535077404204	1.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1259845584	-1.008228449	1.023406648	-0.1829691276	0.237486165	-2.521604787	1.570558306	-1.127715429	1.571129394	-1.127165569	-0.2379402931	2.521869522	0.3341713643	-0.370210276	2.11266777	-3.8093325	2024-07-18@09:05	2.148148148	-0.6488061481	1	1.528636023e-16	-0.3452492807	0.09259259259	2.251842755e-16	0.1357186661	v2.7.1	
