GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.4473	-0.004305043	-4.051891	-3.9205336	0.015242838	-3.9210584	0.015281438	0.010008624	-3.6852965	a248bdd	2x2_2C_8b_C2v_L	12	validity_data_2022.py	0.065365229	1.0580465	-1.465695	0.11299404	1.4657964	0.11301218	-0.14227885	-1.9025595	2024-08-14@09:01	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0041228073	-4.045843	-3.9123173	0.015140066	-3.9129185	0.01513621	0.0088875132	-3.6804349	a248bdd	2x2_2C_8b_C2v_L	11.99	validity_data_2022.py	0.065402941	1.0578135	-1.4646598	0.11260337	1.4647687	0.11258487	-0.14222507	-1.9019392	2024-08-14@09:02	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0042383049	-4.0384919	-3.9040672	0.014780321	-3.9043404	0.014871025	0.0076422409	-3.675479	a248bdd	2x2_2C_8b_C2v_L	11.98	validity_data_2022.py	0.065552121	1.0574251	-1.4635951	0.11219901	1.4636219	0.11219203	-0.14228267	-1.9011963	2024-08-14@09:03	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0041770304	-4.0286329	-3.8967707	0.013504478	-3.901119	0.013564608	0.0067812697	-3.674223	a248bdd	2x2_2C_8b_C2v_L	11.97	validity_data_2022.py	0.065642962	1.0566984	-1.4623961	0.11170097	1.4632209	0.11172974	-0.14266608	-1.9014581	2024-08-14@09:03	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0041768239	-4.0158377	-3.8899931	0.012590129	-3.8905181	0.013066438	0.0061745214	-3.6685977	a248bdd	2x2_2C_8b_C2v_L	11.96	validity_data_2022.py	0.065668322	1.0555493	-1.4614855	0.11133415	1.4617108	0.11131321	-0.14279874	-1.9008141	2024-08-14@09:04	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0043763955	-4.0044716	-3.8855563	0.01126446	-3.8840965	0.010820572	0.005268088	-3.6659144	a248bdd	2x2_2C_8b_C2v_L	11.95	validity_data_2022.py	0.06562757	1.0548428	-1.4608478	0.11091089	1.4605313	0.11098029	-0.14322783	-1.9006791	2024-08-14@09:04	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0041415672	-4.0009824	-3.8795943	0.01016419	-3.8765811	0.010012038	0.0048472564	-3.6619158	a248bdd	2x2_2C_8b_C2v_L	11.94	validity_data_2022.py	0.06577905	1.0546994	-1.4600106	0.11064025	1.4593126	0.1105618	-0.14341863	-1.9004242	2024-08-14@09:05	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.004633066	-3.9909195	-3.8744141	0.0078228992	-3.8720341	0.0080767874	0.0043461379	-3.6605173	a248bdd	2x2_2C_8b_C2v_L	11.93	validity_data_2022.py	0.065793887	1.0541237	-1.4588957	0.11042216	1.4586008	0.11047695	-0.14395634	-1.9007891	2024-08-14@09:06	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0051956016	-3.9841719	-3.8713775	0.0066672245	-3.8698211	0.0065756567	0.0040359036	-3.6554262	a248bdd	2x2_2C_8b_C2v_L	11.92	validity_data_2022.py	0.065906005	1.0536139	-1.4585578	0.11034259	1.458246	0.11036329	-0.14423087	-1.9003249	2024-08-14@09:06	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0054872501	-3.9736581	-3.868817	0.004799502	-3.8698474	0.0049573841	0.0037409066	-3.6519461	a248bdd	2x2_2C_8b_C2v_L	11.91	validity_data_2022.py	0.065873122	1.0527947	-1.4581048	0.11038376	1.4583181	0.11030347	-0.14464487	-1.9001804	2024-08-14@09:07	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0059941383	-3.9680063	-3.8625842	0.0037701482	-3.8645623	0.0040060307	0.0037165329	-3.6480429	a248bdd	2x2_2C_8b_C2v_L	11.9	validity_data_2022.py	0.065986999	1.0524312	-1.4571411	0.11041012	1.4575341	0.11035182	-0.14483302	-1.9001743	2024-08-14@09:07	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0068435905	-3.959665	-3.8623645	0.0019064792	-3.8606796	0.0019616927	0.0034953287	-3.6448687	a248bdd	2x2_2C_8b_C2v_L	11.89	validity_data_2022.py	0.066149184	1.0519516	-1.4570558	0.11064957	1.4568309	0.11064604	-0.14539529	-1.9001543	2024-08-14@09:08	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0069836759	-3.951996	-3.8602286	0.0017402321	-3.8601877	0.0013492466	0.0035248738	-3.6393011	a248bdd	2x2_2C_8b_C2v_L	11.88	validity_data_2022.py	0.066158438	1.0513296	-1.4571141	0.11063757	1.4569024	0.11079554	-0.14548157	-1.8996706	2024-08-14@09:08	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0078740704	-3.9470738	-3.8571973	0.00010917238	-3.8575446	0.00021178375	0.0034922133	-3.636959	a248bdd	2x2_2C_8b_C2v_L	11.87	validity_data_2022.py	0.066338253	1.0511485	-1.4565461	0.11108119	1.4566537	0.11104412	-0.14593526	-1.8999596	2024-08-14@09:09	1.9316	1	0.2377	v2.7.1	
