model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.8985434	8.4473	3.4473	0.00033830202	-2.5092869	-3.0043686	0.051342229	-3.0048508	0.05137017	0.060498762	-2.7785801	9.97	0.095289296	-0.98156749	1.4525432	-0.16269375	-1.4526819	0.16272741	0.22206328	-1.9459771	1.9316	1	0.2377	1.2165273	1.6976756	-0.65950856	-0.31648524	0.12412836	0.42704221	0.025250787	1.9593223	1.5627472	0.064548637	1.5627648	0.064576803	0.0050860294	1.0979419	1.4144404	-0.6615572	0.32775718	-2.0566786	0.7639143	2.0567282	-0.76407281	-0.26411205	3.6006472	0.058364459	0.024831563	0.041910997	0.40677722	0.064417718	0.40675293	0.064445684	0.0050834054	0.49189079	0.062175127	7.0858458	0.94239061	3.4421135	5.4632283	3.4420378	5.463047	4.3204664	0.997545	-73.003673	R0:N12:S0:1	-52.1816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.58e+02	 1.55e-03	2022-06-21@10:27
2x2_2C_8b_C2v_L	7.9117534	8.4473	3.4473	0.00084886206	-2.5151477	-3.0061115	0.05001496	-3.0062389	0.050032085	0.058225588	-2.7801078	9.98	0.094951418	-0.98205246	1.4518164	-0.16201195	-1.4518617	0.16201367	0.22038238	-1.9443246	1.9316	1	0.2377	1.2168421	1.6984849	-0.65805372	-0.31592987	0.12392795	0.42766444	0.024831757	1.9594682	1.5627947	0.063569131	1.5627316	0.06355427	0.0050074884	1.0974348	1.415152	-0.65664432	0.32690552	-2.0552947	0.75900594	2.0555722	-0.75888336	-0.26228002	3.6009349	0.058382366	0.024426495	0.04177036	0.40699762	0.063440694	0.40703287	0.063426789	0.0050048669	0.49196025	0.062159408	7.090886	0.94019482	3.4446894	5.466898	3.4446902	5.4666813	4.3230068	0.99683484	-73.067787	R0:N12:S0:1	-52.2616	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.57e+02	 5.50e-03	2022-06-21@10:29
2x2_2C_8b_C2v_L	7.924562	8.4473	3.4473	0.0013236736	-2.5204114	-3.0108228	0.049056492	-3.0103418	0.049033983	0.056526352	-2.7835534	9.99	0.09459393	-0.98226933	1.4516331	-0.16123224	-1.4514971	0.16122396	0.21875515	-1.943146	1.9316	1	0.2377	1.2171489	1.6992569	-0.65665686	-0.31536877	0.12372914	0.42816357	0.024377337	1.9596165	1.5631072	0.062314153	1.5631424	0.062315739	0.0049284114	1.097215	1.4157458	-0.6512127	0.32609913	-2.0537214	0.75263964	2.0534742	-0.75268207	-0.26037941	3.6010214	0.058394176	0.023986962	0.041626734	0.40701774	0.062190026	0.40700781	0.062190993	0.0049258073	0.49201	0.062132567	7.0960107	0.93820473	3.4479685	5.4699946	3.4479931	5.4702821	4.3249145	0.99653627	-73.145252	R0:N12:S0:1	-52.3416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.57e+02	 1.00e+06	2022-06-21@10:30
2x2_2C_8b_C2v_L	7.9378555	8.4473	3.4473	0.0015463804	-2.5300728	-3.0150914	0.048528426	-3.0152922	0.04848573	0.055370673	-2.7872399	10	0.094188897	-0.98317925	1.4514189	-0.16082513	-1.4514499	0.1608092	0.21782727	-1.9421696	1.9316	1	0.2377	1.217462	1.700079	-0.65518094	-0.31481959	0.12352612	0.42863987	0.023893163	1.9598003	1.5633231	0.061271855	1.5634111	0.061287882	0.0048744208	1.0969251	1.4163033	-0.64550196	0.3251473	-2.0522726	0.74755445	2.0519648	-0.7476811	-0.25922211	3.6011399	0.058405942	0.023518257	0.041447179	0.40709867	0.061150377	0.40704185	0.061165319	0.0048717607	0.49206555	0.062111731	7.1013445	0.93605921	3.4507539	5.472929	3.4507562	5.4731049	4.3267098	0.99617662	-73.234473	R0:N12:S0:1	-52.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.57e+02	 1.12e-03	2022-06-21@10:32
2x2_2C_8b_C2v_L	7.9512299	8.4473	3.4473	0.0022856417	-2.534449	-3.0186029	0.04742775	-3.0191659	0.047469045	0.053561747	-2.7903696	10.01	0.093796405	-0.9833335	1.4509998	-0.16025481	-1.451144	0.16021382	0.21640171	-1.9410048	1.9316	1	0.2377	1.2177769	1.7009045	-0.65369631	-0.31426658	0.12332435	0.42916412	0.023442854	1.9599389	1.563584	0.060282989	1.5634877	0.060232044	0.0048071953	1.0965831	1.4169103	-0.63994449	0.32432749	-2.0504641	0.74261182	2.0509476	-0.74224227	-0.25758923	3.6013215	0.058418869	0.023082136	0.041314686	0.40716006	0.060162897	0.40721023	0.06011349	0.0048045527	0.49212111	0.062091853	7.1066117	0.93399536	3.4534185	5.4763835	3.4534974	5.4759687	4.328749	0.99568057	-73.307692	R0:N12:S0:1	-52.5016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.56e+02	 1.00e+06	2022-06-21@10:34
2x2_2C_8b_C2v_L	7.9639727	8.4473	3.4473	0.0024798514	-2.545029	-3.0208467	0.046576134	-3.0208473	0.046266478	0.052116902	-2.7925532	10.02	0.093653427	-0.98445365	1.4503694	-0.15945263	-1.4502559	0.15939894	0.21495469	-1.9396062	1.9316	1	0.2377	1.2180794	1.70169	-0.6522928	-0.31372673	0.12312923	0.42975385	0.023126461	1.9600934	1.5633368	0.059105125	1.5638965	0.059230408	0.0047328421	1.0961244	1.4175885	-0.63638848	0.32351292	-2.0503682	0.7361749	2.0481547	-0.73716912	-0.2558993	3.6016204	0.058435614	0.022775498	0.0411605	0.40756651	0.058992552	0.40722846	0.059110947	0.0047301605	0.49218508	0.06207474	7.1104688	0.93191803	3.456427	5.4791801	3.4563842	5.4807353	4.3309914	0.99494607	-73.38433	R0:N12:S0:1	-52.5816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.56e+02	 1.00e+06	2022-06-21@10:36
2x2_2C_8b_C2v_L	7.9772261	8.4473	3.4473	0.0027328552	-2.5515521	-3.0228533	0.045576779	-3.0236427	0.046253796	0.051221801	-2.7961697	10.03	0.09311682	-0.98484386	1.4494783	-0.1589329	-1.4499098	0.15916198	0.21419804	-1.9385153	1.9316	1	0.2377	1.218389	1.7025248	-0.65080847	-0.31319583	0.12292962	0.43030465	0.022629647	1.9602553	1.5640217	0.058319428	1.563208	0.058218092	0.0046914156	1.0957919	1.4182161	-0.63013772	0.32256523	-2.0464022	0.73262484	2.04984	-0.73168003	-0.25498072	3.6017985	0.058450254	0.022293738	0.041004859	0.40740471	0.058200796	0.40786853	0.058108984	0.0046886998	0.4922419	0.062059341	7.1162168	0.92967648	3.4588436	5.4845504	3.4586801	5.4817998	4.3327354	0.99447863	-73.457936	R0:N12:S0:1	-52.6616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.56e+02	 1.00e+06	2022-06-21@10:37
2x2_2C_8b_C2v_L	7.9904651	8.4473	3.4473	0.003602812	-2.5580102	-3.0279242	0.045263655	-3.0258126	0.04441738	0.049260415	-2.7986011	10.04	0.09290956	-0.98533246	1.4497257	-0.15862776	-1.44885	0.15824392	0.21265809	-1.9372168	1.9316	1	0.2377	1.2186987	1.7033495	-0.64933101	-0.31265677	0.12272936	0.43083846	0.022279651	1.9603863	1.5632563	0.057263199	1.5642473	0.057306309	0.0046191245	1.0953245	1.4188293	-0.6258756	0.32180572	-2.0490143	0.72662647	2.0445342	-0.7273228	-0.25322574	3.6020778	0.05846358	0.0219542	0.040877038	0.40803879	0.0571575	0.40751027	0.057189436	0.0046164175	0.49230281	0.06204205	7.1205053	0.92768397	3.4612293	5.4843768	3.4616607	5.4883297	4.3350471	0.99377322	-73.53384	R0:N12:S0:1	-52.7416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.55e+02	 1.00e+06	2022-06-21@10:38
2x2_2C_8b_C2v_L	8.0039507	8.4473	3.4473	0.003909332	-2.567418	-3.0323558	0.043535005	-3.0319994	0.044403406	0.048201384	-2.8022036	10.05	0.092736954	-0.98629224	1.4491193	-0.15755743	-1.4496255	0.15801797	0.21159994	-1.9363242	1.9316	1	0.2377	1.2190131	1.704182	-0.64782657	-0.31210251	0.12252456	0.43129156	0.021947728	1.9605163	1.5651903	0.056366355	1.5628884	0.056095532	0.004561933	1.0949928	1.4193601	-0.62189438	0.32111629	-2.0406625	0.72270614	2.0498169	-0.72001969	-0.25191209	3.602226	0.058474069	0.021632009	0.040748871	0.40711003	0.056245511	0.40847336	0.055999218	0.0045591987	0.49235692	0.062021374	7.1243533	0.92593834	3.464499	5.4926657	3.4640556	5.4859112	4.336952	0.99333945	-73.625822	R0:N12:S0:1	-52.8216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.55e+02	 1.00e+06	2022-06-21@10:40
2x2_2C_8b_C2v_L	8.017218	8.4473	3.4473	0.0045905999	-2.5719696	-3.0342298	0.043057025	-3.0334901	0.04335578	0.046891389	-2.8046694	10.06	0.09232139	-0.98642254	1.448451	-0.15728021	-1.4487196	0.15734265	0.21047975	-1.93499	1.9316	1	0.2377	1.2193213	1.7050243	-0.64633429	-0.3115783	0.12232761	0.43189315	0.021536452	1.9606512	1.5651467	0.055622858	1.5627507	0.055151513	0.0045095906	1.0944859	1.4200362	-0.61657409	0.32024706	-2.0395713	0.71894102	2.0488832	-0.71485103	-0.25064948	3.6025559	0.058489869	0.021232602	0.040619302	0.40737208	0.055503605	0.40882488	0.055057813	0.0045068532	0.49242023	0.062009131	7.1294985	0.92368592	3.4665109	5.4959064	3.466594	5.4894688	4.3391425	0.99254001	-73.690364	R0:N12:S0:1	-52.9016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.55e+02	 1.61e-03	2022-06-21@10:42
