model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	10.828625	9.5	3.4473	-0.004305043	-4.051891	-3.9205336	0.015242838	-3.9210584	0.015281438	0.010008624	-3.6852965	12	0.065365229	1.0580465	-1.465695	0.11299404	1.4657964	0.11301218	-0.14227885	-1.9025595	1.9316	1	0.2377	1.2812927	1.8489186	-0.33976011	-0.16831266	0.072085222	0.43344561	0.0031981202	1.9660234	1.593617	0.0070514742	1.5937809	0.0070572257	0.0013840462	1.1226994	1.4262971	-0.26188823	-0.31483089	1.9609248	-0.30014423	-1.9603564	-0.30027871	0.14678411	3.5473739	0.058820183	0.0031915591	0.035246186	0.39171034	0.0070450112	0.3915979	0.0070507362	0.0013832507	0.49241663	0.060446641	7.2297319	0.96403635	3.5638094	5.5747449	3.56379	5.5751449	4.383526	1.1198924	-89.527491	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.89e+02	 1.81e-03	2022-07-07@13:32
2x2_2C_8b_C2v_L	10.804155	9.5	3.4473	-0.0041228073	-4.045843	-3.9123173	0.015140066	-3.9129185	0.01513621	0.0088875132	-3.6804349	11.99	0.065402941	1.0578135	-1.4646598	0.11260337	1.4647687	0.11258487	-0.14222507	-1.9019392	1.9316	1	0.2377	1.28084	1.8476504	-0.34258832	-0.16955207	0.072532385	0.43311689	0.0032200312	1.9659538	1.5938313	0.0070504013	1.5940268	0.0070526668	0.0013865469	1.1235838	1.4259737	-0.26266535	-0.31553595	1.9608011	-0.29987565	-1.9601153	-0.29993729	0.1468481	3.5463472	0.058816098	0.0032133782	0.03531778	0.3914773	0.007043967	0.39134403	0.0070462094	0.0013857509	0.49234577	0.060439102	7.2277702	0.96624809	3.5631997	5.5738346	3.5631869	5.5743378	4.3819692	1.1222685	-89.420468	R0:N12:S0:1	-68.3416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.90e+02	 2.68e-03	2022-07-07@13:34
2x2_2C_8b_C2v_L	10.780736	9.5	3.4473	-0.0042383049	-4.0384919	-3.9040672	0.014780321	-3.9043404	0.014871025	0.0076422409	-3.675479	11.98	0.065552121	1.0574251	-1.4635951	0.11219901	1.4636219	0.11219203	-0.14228267	-1.9011963	1.9316	1	0.2377	1.2804066	1.8464268	-0.34529854	-0.17072919	0.072952994	0.43279392	0.0032542165	1.9658686	1.5940482	0.0070502047	1.5942391	0.007052816	0.0013915761	1.1244702	1.4256563	-0.2639227	-0.31632622	1.9606521	-0.29961562	-1.9599271	-0.29969436	0.14704153	3.5452713	0.058812455	0.00324742	0.035405806	0.39124136	0.0070437968	0.39111726	0.0070463827	0.001390777	0.49227562	0.060432148	7.2256303	0.96861042	3.5625452	5.572966	3.5625281	5.5735783	4.3804696	1.1247557	-89.309311	R0:N12:S0:1	-68.2616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.91e+02	 1.00e+06	2022-07-07@13:35
2x2_2C_8b_C2v_L	10.758493	9.5	3.4473	-0.0041770304	-4.0286329	-3.8967707	0.013504478	-3.901119	0.013564608	0.0067812697	-3.674223	11.97	0.065642962	1.0566984	-1.4623961	0.11170097	1.4632209	0.11172974	-0.14266608	-1.9014581	1.9316	1	0.2377	1.279994	1.8452457	-0.34787498	-0.17183793	0.073345609	0.43226103	0.003278971	1.9657467	1.593926	0.0070171293	1.5952692	0.0070516157	0.0014016457	1.1258121	1.4251242	-0.26477401	-0.31739818	1.962249	-0.29863684	-1.957581	-0.29946059	0.14746127	3.5438191	0.058801731	0.0032720701	0.035532706	0.39117859	0.0070108589	0.39025622	0.0070451533	0.001400839	0.4921585	0.06041748	7.223047	0.9717372	3.5618248	5.5699508	3.5616918	5.5732688	4.3778348	1.1280724	-89.212106	R0:N12:S0:1	-68.1816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.92e+02	 1.00e+06	2022-07-07@13:37
2x2_2C_8b_C2v_L	10.736717	9.5	3.4473	-0.0041768239	-4.0158377	-3.8899931	0.012590129	-3.8905181	0.013066438	0.0061745214	-3.6685977	11.96	0.065668322	1.0555493	-1.4614855	0.11133415	1.4617108	0.11131321	-0.14279874	-1.9008141	1.9316	1	0.2377	1.2795904	1.8441019	-0.35039662	-0.17292543	0.073728705	0.43198699	0.0033022437	1.965659	1.5950073	0.0070467747	1.5945701	0.007031826	0.0014085432	1.1265592	1.4248537	-0.26555861	-0.31811141	1.9588386	-0.29907222	-1.9606951	-0.29870528	0.14774416	3.5429113	0.058797622	0.0032952432	0.035624246	0.39038076	0.007040389	0.39064419	0.0070255164	0.0014077315	0.49209477	0.060410798	7.2213968	0.97372259	3.5611706	5.5717805	3.561251	5.5699499	4.3765404	1.1301642	-89.088318	R0:N12:S0:1	-68.1016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.92e+02	 1.00e+06	2022-07-07@13:38
2x2_2C_8b_C2v_L	10.715261	9.5	3.4473	-0.0043763955	-4.0044716	-3.8855563	0.01126446	-3.8840965	0.010820572	0.005268088	-3.6659144	11.95	0.06562757	1.0548428	-1.4608478	0.11091089	1.4605313	0.11098029	-0.14322783	-1.9006791	1.9316	1	0.2377	1.2791924	1.8429503	-0.35288835	-0.17397985	0.074097245	0.43148906	0.0033168611	1.9655128	1.5953376	0.0070360084	1.5951325	0.0070426904	0.0014205863	1.1277651	1.424359	-0.26596846	-0.31928573	1.9591259	-0.29856367	-1.9597094	-0.2986896	0.14826772	3.5414221	0.058787735	0.0033097978	0.035777309	0.3899747	0.0070296814	0.39012961	0.0070363698	0.001419765	0.49199533	0.060396983	7.2189509	0.9769608	3.5603553	5.5692689	3.5603342	5.5690357	4.3745046	1.1335488	-88.984239	R0:N12:S0:1	-68.0216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.93e+02	 1.00e+06	2022-07-07@13:40
2x2_2C_8b_C2v_L	10.694478	9.5	3.4473	-0.0041415672	-4.0009824	-3.8795943	0.01016419	-3.8765811	0.010012038	0.0048472564	-3.6619158	11.94	0.06577905	1.0546994	-1.4600106	0.11064025	1.4593126	0.1105618	-0.14341863	-1.9004242	1.9316	1	0.2377	1.2788064	1.8418422	-0.3552985	-0.17500675	0.074454129	0.43108732	0.0033488932	1.9654782	1.5957636	0.0070534736	1.5953778	0.0070342292	0.0014268034	1.1286841	1.4239582	-0.2671562	-0.31983237	1.9586388	-0.29867253	-1.9596668	-0.29826964	0.14852671	3.5404563	0.058779907	0.0033416908	0.03581121	0.38956462	0.0070471364	0.38986447	0.0070279565	0.0014259771	0.49190874	0.060386513	7.2168754	0.97896426	3.5598514	5.5679624	3.559889	5.5677273	4.3726093	1.1357867	-88.889301	R0:N12:S0:1	-67.9416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.94e+02	 1.00e+06	2022-07-07@13:41
2x2_2C_8b_C2v_L	10.674079	9.5	3.4473	-0.004633066	-3.9909195	-3.8744141	0.0078228992	-3.8720341	0.0080767874	0.0043461379	-3.6605173	11.93	0.065793887	1.0541237	-1.4588957	0.11042216	1.4586008	0.11047695	-0.14395634	-1.9007891	1.9316	1	0.2377	1.2784275	1.84073	-0.35767249	-0.17599579	0.07479652	0.43053907	0.0033691118	1.9653461	1.5967357	0.0070843928	1.5953424	0.0070580567	0.0014401671	1.1299919	1.4234081	-0.2677882	-0.32094919	1.9561899	-0.29913074	-1.9614255	-0.29844606	0.14910636	3.53897	0.058767993	0.0033618212	0.035949065	0.38877329	0.0070779657	0.38968986	0.0070518236	0.0014393299	0.49179131	0.06037192	7.2143365	0.98215551	3.5589277	5.5680644	3.5590786	5.5637341	4.3701078	1.1391792	-88.793029	R0:N12:S0:1	-67.8616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.95e+02	 1.00e+06	2022-07-07@13:42
2x2_2C_8b_C2v_L	10.654142	9.5	3.4473	-0.0051956016	-3.9841719	-3.8713775	0.0066672245	-3.8698211	0.0065756567	0.0040359036	-3.6554262	11.92	0.065906005	1.0536139	-1.4585578	0.11034259	1.458246	0.11036329	-0.14423087	-1.9003249	1.9316	1	0.2377	1.2780569	1.8396464	-0.3599918	-0.17696328	0.075129609	0.43002505	0.0033992611	1.9652829	1.5968437	0.0071042075	1.5964701	0.0070983508	0.0014486944	1.1307802	1.4228932	-0.26885291	-0.3216545	1.9577298	-0.29924028	-1.9589765	-0.29909445	0.14948907	3.5379107	0.058753646	0.0033918372	0.036013378	0.38848885	0.0070978267	0.38875214	0.0070920168	0.0014478495	0.49171886	0.06035563	7.212151	0.98444568	3.5584567	5.5637833	3.5584816	5.5629748	4.3688991	1.141552	-88.705577	R0:N12:S0:1	-67.7816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.95e+02	 8.60e-04	2022-07-07@13:44
2x2_2C_8b_C2v_L	10.634338	9.5	3.4473	-0.0054872501	-3.9736581	-3.868817	0.004799502	-3.8698474	0.0049573841	0.0037409066	-3.6519461	11.91	0.065873122	1.0527947	-1.4581048	0.11038376	1.4583181	0.11030347	-0.14464487	-1.9001804	1.9316	1	0.2377	1.2776886	1.8385556	-0.36229992	-0.17791375	0.075455534	0.42941453	0.0034132286	1.9651651	1.5972881	0.0071430195	1.5974551	0.007135921	0.0014601439	1.1318168	1.4222807	-0.26924036	-0.32268789	1.9580819	-0.29978714	-1.9575747	-0.29964702	0.14999129	3.5365238	0.058736365	0.0034057421	0.036136032	0.38796816	0.0071366189	0.38784502	0.0071295176	0.0014592894	0.49162559	0.060336027	7.2097539	0.98744804	3.5576974	5.5603064	3.5577148	5.5605701	4.3673134	1.1446509	-88.61858	R0:N12:S0:1	-67.7016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.96e+02	 1.00e+06	2022-07-07@13:45
