model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6.6152817	11.5	3.4473	0.028636112	-2.1746892	-2.9557631	0.24897004	-2.956033	0.24993079	0.28879109	-2.4382027	8.9	0.14481048	0.95488248	-1.5798566	-0.27017313	1.5798763	0.27059399	0.3726127	-2.103726	1.9316	1	0.2377	1.1880408	1.5577663	-0.81676413	-0.34493751	0.13529662	0.19341289	0.30889808	1.8829274	1.5740831	0.42672216	1.5742749	0.42640492	0.018069938	1.2254517	1.1407919	-1.8071862	-0.85869201	2.3127317	1.3653672	-2.3119429	-1.3659746	-0.39982029	3.290555	0.038802415	0.23683665	0.10956361	0.34581326	0.41600742	0.34573034	0.41560701	0.018172074	0.45443183	0.055016589	4.7856157	2.2265337	3.0516374	4.6922209	3.0522822	4.6921528	3.8417477	1.815055	-64.075162	R0:N12:S0:1	-43.6216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	244.0	1000000.0	2022-06-30@16:10
2x2_2C_8b_C2v_L	6.5962148	11.5	3.4473	0.028865911	-2.1703221	-2.9504165	0.25085331	-2.9502284	0.25059937	0.29083796	-2.4320074	8.89	0.14502067	0.95461318	-1.5798206	-0.27097521	1.5797144	0.27110135	0.37405572	-2.1040174	1.9316	1	0.2377	1.1874611	1.5568824	-0.81853048	-0.34597726	0.13569409	0.19311729	0.31281365	1.8818473	1.5714637	0.4255179	1.573158	0.4333326	0.01815187	1.2233211	1.1400985	-1.8155025	-0.86304493	2.3214555	1.3587241	-2.3143427	-1.3758225	-0.40121318	3.2938295	0.038758664	0.23892272	0.11046358	0.34733364	0.41633985	0.34625877	0.42091906	0.01825161	0.45464632	0.055091729	4.7747448	2.2278259	3.0497784	4.6911683	3.0457957	4.6885146	3.8417037	1.8086396	-63.998013	R0:N12:S0:1	-43.5416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	245.0	1000000.0	2022-06-30@16:11
2x2_2C_8b_C2v_L	6.5777066	11.5	3.4473	0.029347931	-2.1639351	-2.9473497	0.25134414	-2.944863	0.25180314	0.29133805	-2.4259241	8.88	0.14526952	0.95419555	-1.5802136	-0.27141506	1.5794549	0.27176431	0.37504002	-2.104041	1.9316	1	0.2377	1.186893	1.5560313	-0.82022808	-0.34700335	0.13609004	0.19279804	0.31669189	1.8806723	1.5699662	0.42928195	1.5712525	0.43503758	0.018237567	1.2213016	1.1393896	-1.8232984	-0.86764905	2.3260932	1.3619167	-2.3200654	-1.3755224	-0.40234059	3.2968733	0.038711182	0.24099148	0.11144766	0.34810811	0.41976259	0.34732524	0.4229237	0.01833599	0.45483355	0.055159857	4.7643257	2.229364	3.0453207	4.688647	3.0426254	4.6866838	3.8417611	1.8027088	-63.921213	R0:N12:S0:1	-43.4616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	246.0	1000000.0	2022-06-30@16:12
2x2_2C_8b_C2v_L	6.5585761	11.5	3.4473	0.029394643	-2.1595133	-2.9403855	0.25339097	-2.9390647	0.25237848	0.29236782	-2.4189521	8.87	0.14542784	0.95390491	-1.5797277	-0.27242696	1.5793226	0.27206356	0.37607127	-2.1039412	1.9316	1	0.2377	1.1863112	1.555137	-0.82200442	-0.34803804	0.13648768	0.19249881	0.32087807	1.8795107	1.5683349	0.43273573	1.5690497	0.43727317	0.018300823	1.2191301	1.1386967	-1.8318892	-0.87234585	2.3302859	1.3658348	-2.3270492	-1.3745763	-0.40345079	3.3001316	0.038666918	0.2431668	0.11241124	0.34900514	0.42277121	0.34852339	0.42557307	0.018396792	0.45503941	0.055233384	4.7530043	2.230745	3.0411189	4.6860596	3.0384405	4.6847476	3.8419057	1.7963825	-63.838107	R0:N12:S0:1	-43.3816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	247.0	1000000.0	2022-06-30@16:14
2x2_2C_8b_C2v_L	6.5401462	11.5	3.4473	0.029948975	-2.1553702	-2.9342426	0.25327369	-2.9358372	0.25430285	0.29345272	-2.413198	8.86	0.14566166	0.95388984	-1.5792417	-0.2725967	1.5797532	0.27284591	0.37712049	-2.1041664	1.9316	1	0.2377	1.1857449	1.5542804	-0.82369834	-0.34904958	0.13687717	0.19218305	0.32462986	1.878432	1.5677905	0.44215999	1.5661406	0.43332328	0.018374523	1.2171701	1.1379948	-1.8394481	-0.87674181	2.3302741	1.3805537	-2.3374443	-1.3624387	-0.40455448	3.3031148	0.038619859	0.24511511	0.1133094	0.34915918	0.42948914	0.35021998	0.42424226	0.018468675	0.45521293	0.055300505	4.7430722	2.2322562	3.0335227	4.6817771	3.0381948	4.684644	3.8418793	1.7905527	-63.764861	R0:N12:S0:1	-43.3016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	248.0	1000000.0	2022-06-30@16:15
2x2_2C_8b_C2v_L	6.5214903	11.5	3.4473	0.030023378	-2.1517132	-2.930608	0.25624053	-2.9337216	0.25486328	0.2952655	-2.4067032	8.85	0.145913	0.95380406	-1.5797042	-0.2741005	1.5806723	0.27328925	0.37858429	-2.1043401	1.9316	1	0.2377	1.1851723	1.5534166	-0.82541845	-0.3500642	0.13726542	0.19188915	0.32887109	1.8772579	1.5663105	0.44372914	1.5645227	0.43655459	0.018456012	1.2150924	1.1373014	-1.8482494	-0.88149307	2.3345598	1.3820831	-2.3428368	-1.3642194	-0.40602455	3.3061904	0.038575968	0.24727675	0.11428004	0.35000399	0.43110852	0.35104898	0.42741963	0.018547854	0.45540912	0.05537561	4.7313378	2.233487	3.0310451	4.6794237	3.0338037	4.6821249	3.8419983	1.784509	-63.701433	R0:N12:S0:1	-43.2216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	248.0	1000000.0	2022-06-30@16:16
2x2_2C_8b_C2v_L	6.5029742	11.5	3.4473	0.030515176	-2.145526	-2.9280428	0.25617716	-2.9263065	0.25760302	0.2955097	-2.3999048	8.84	0.14612665	0.95334856	-1.5802681	-0.27414746	1.5800125	0.27442278	0.37913767	-2.1041131	1.9316	1	0.2377	1.1846062	1.5525341	-0.82713741	-0.35105474	0.13764592	0.19158214	0.3330189	1.8760283	1.5653037	0.4500903	1.5621885	0.43528345	0.018503023	1.213112	1.136618	-1.856273	-0.8863274	2.3375447	1.3895498	-2.3497879	-1.3593152	-0.40675715	3.30915	0.038530161	0.24938352	0.11529962	0.35043575	0.43610872	0.35240594	0.4273956	0.018593191	0.45557448	0.055441356	4.7205833	2.2349291	3.0252079	4.6758972	3.0322879	4.6809973	3.8421673	1.7787939	-63.619992	R0:N12:S0:1	-43.1416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	249.0	1000000.0	2022-06-30@16:17
2x2_2C_8b_C2v_L	6.4837273	11.5	3.4473	0.030828341	-2.1384898	-2.9217902	0.2592613	-2.9207496	0.25664002	0.29675029	-2.3928234	8.83	0.14639575	0.95264437	-1.5801157	-0.27536854	1.5797854	0.2743255	0.38017927	-2.1039152	1.9316	1	0.2377	1.1840172	1.551636	-0.82891956	-0.35209293	0.13804792	0.19128162	0.33745019	1.8747132	1.5612501	0.44153434	1.5623387	0.44958744	0.018565601	1.210909	1.1359129	-1.864793	-0.89139703	2.3516678	1.3688436	-2.3471214	-1.3826739	-0.40787996	3.3124328	0.038485335	0.25161493	0.11638763	0.35285155	0.43208247	0.35208399	0.4372239	0.018653118	0.45576761	0.055516799	4.7093102	2.2361972	3.0268242	4.6774318	3.0219643	4.6750358	3.8423462	1.772399	-63.533534	R0:N12:S0:1	-43.0616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	250.0	1000000.0	2022-06-30@16:18
2x2_2C_8b_C2v_L	6.4650963	11.5	3.4473	0.031026941	-2.1372128	-2.9149954	0.25735884	-2.9154902	0.26057101	0.29801614	-2.3871676	8.82	0.14657786	0.95306881	-1.5795957	-0.27454815	1.5795356	0.27616759	0.38156232	-2.1042337	1.9316	1	0.2377	1.1834448	1.5507531	-0.83064377	-0.35309218	0.13843695	0.19096833	0.34147806	1.8736309	1.5591154	0.44613048	1.5609238	0.45022087	0.018655729	1.208981	1.1352159	-1.8727856	-0.89608285	2.3582345	1.370136	-2.3507656	-1.3835898	-0.40928903	3.3153138	0.038438517	0.2535838	0.11727762	0.35389661	0.43651145	0.35292565	0.43799421	0.018741118	0.45592432	0.055583415	4.6988599	2.2378189	3.020472	4.6751833	3.0204873	4.6731174	3.8422745	1.7667686	-63.460999	R0:N12:S0:1	-42.9816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	251.0	1000000.0	2022-06-30@16:20
2x2_2C_8b_C2v_L	6.4463497	11.5	3.4473	0.03128788	-2.1312046	-2.9124526	0.26129223	-2.9111821	0.25901915	0.29909488	-2.3813095	8.81	0.1467624	0.95265653	-1.58034	-0.2763353	1.5798518	0.27580481	0.38260058	-2.1046106	1.9316	1	0.2377	1.1828642	1.5498944	-0.83235927	-0.35412025	0.13883453	0.19066945	0.34563179	1.8723659	1.5562636	0.44044393	1.5602509	0.46139011	0.018718211	1.2069246	1.1345027	-1.8805726	-0.90089665	2.3681495	1.3573991	-2.3517307	-1.3991424	-0.41034788	3.3185162	0.038393553	0.25562245	0.11832113	0.35558918	0.43375969	0.35308127	0.44598336	0.018801688	0.45609708	0.055660298	4.6886561	2.2388459	3.0212742	4.6749124	3.0112655	4.6674889	3.8422784	1.7604529	-63.391531	R0:N12:S0:1	-42.9016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	252.0	1000000.0	2022-06-30@16:21
