model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	9.754937	10.5	3.4473	0.0098434181	-4.2172784	-4.3334939	0.016834598	-4.3366945	0.016857488	0.015494015	-4.0487899	12	0.068021689	1.0537344	-1.4922336	0.11348241	1.4928191	0.11353118	-0.14479939	-1.9403287	1.9316	1	0.2377	1.2656478	1.7599844	-0.48478995	-0.19382611	0.07919321	0.33304595	0.0032792785	1.9554243	1.6976159	0.0059033102	1.697891	0.0059167016	0.0013624028	1.3245509	1.3270141	-0.25458453	-0.46711131	1.8319062	-0.26651007	-1.8309317	-0.26681559	0.13556549	3.2315214	0.054124467	0.0032723113	0.045836916	0.29022081	0.0058982474	0.28999398	0.0059115941	0.0013620328	0.45449118	0.054984424	6.739161	1.5124531	3.4826652	5.1736563	3.4825442	5.1741114	4.1080017	1.8246017	-90.364522	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.67e+02	 1.00e+06	2022-07-07@12:01
2x2_2C_8b_C2v_L	9.3444842	11	3.4473	0.00041578469	-4.4868772	-4.8751724	0.069968286	-4.8751096	0.06996732	0.069180599	-4.5278675	12	0.070357124	1.068804	-1.5671308	0.12895862	1.5671211	0.12895606	-0.17131734	-2.0329426	1.9316	1	0.2377	1.2608686	1.7065843	-0.5485057	-0.19113787	0.079374339	0.28034266	0.002974348	1.9533761	1.7499789	0.0058255188	1.749974	0.0058251194	0.0017211524	1.4320268	1.2745745	-0.23799215	-0.53001741	1.7272624	-0.26416898	-1.727284	-0.26415954	0.14682604	3.0170779	0.049484886	0.0029686753	0.047631001	0.24027926	0.0058201851	0.24028341	0.0058197869	0.001720994	0.4156727	0.050079197	6.4591781	1.7928371	3.4845948	4.9701314	3.4846005	4.9701155	3.9664752	2.2663669	-93.378685	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.38e+02	 6.35e-03	2022-07-07@12:02
2x2_2C_8b_C2v_L	9.2274766	11.5	3.4473	0.27138554	-5.2539835	-5.815457	0.37983652	-5.8156482	0.379929	0.43343883	-5.2290705	12	0.10928151	1.1528884	-1.7172037	0.18034311	1.7172412	0.180349	0.24010831	-2.1983653	1.9316	1	0.2377	1.2612011	1.6664951	-0.57518581	-0.17881026	0.075414848	0.23389936	0.0047497513	1.9550232	1.7955641	0.0070783242	1.7955598	0.0070781623	0.0025800216	1.5213288	1.2277595	-0.30072797	-0.56250123	1.6098129	-0.29687405	-1.6098505	-0.29686872	-0.17837215	2.8096291	0.04412649	0.0047357094	0.045639855	0.19709798	0.0070698401	0.19710115	0.00706968	0.0025799197	0.37332613	0.04469942	6.1934319	2.0201446	3.5183438	4.786539	3.5183749	4.786463	3.8436384	2.6589177	-99.813206	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	7	sharp_wc_2.0_b_50	 6.15e+02	 7.99e-04	2022-07-07@12:04
2x2_2C_8b_C2v_L	9.4629112	12	3.4473	0.51995061	-5.3387354	-5.9025034	0.75936061	-5.90018	0.75804558	0.9041153	-5.3244098	12	0.089457046	1.1622155	-1.7370676	0.16533028	1.7366977	0.1651203	0.23463599	-2.230159	1.9316	1	0.2377	1.2674883	1.6664316	-0.5535658	-0.16218079	0.068740647	0.21185725	0.0027121187	1.9560009	1.8159314	0.0046927157	1.8158921	0.004682944	0.0021728112	1.5714008	1.2066286	-0.2249327	-0.58197754	1.5464714	-0.24380761	-1.5466105	-0.24354594	-0.16363343	2.6709008	0.041276125	0.0027076107	0.04450636	0.17782388	0.0046887315	0.17786059	0.0046789787	0.0021726956	0.34594356	0.041587094	6.0445273	2.1664285	3.5338416	4.7149622	3.5338211	4.7150462	3.8135308	2.8872339	-100.1248	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.88e+03	 1.81e-03	2022-07-07@12:05
2x2_2C_8b_C2v_L	9.683853	12.5	3.4473	0.52734267	-5.3554802	-5.8895429	0.79191642	-5.8880848	0.79042754	0.9702211	-5.2638061	12	0.060884389	1.164184	-1.7366672	0.12174049	1.7364238	0.12155008	0.17666051	-2.2192254	1.9316	1	0.2377	1.2732034	1.666262	-0.53267698	-0.14713644	0.062651743	0.19320803	0.0012659923	1.9569582	1.8330305	0.0025187454	1.8330242	0.0025128806	0.0012503863	1.6132343	1.1890512	-0.15064976	-0.59925737	1.4881884	-0.17652721	-1.4881707	-0.17631466	-0.12320978	2.5417305	0.038664294	0.0012650126	0.043415332	0.16160769	0.0025175977	0.16161481	0.0025117384	0.0012504006	0.32093648	0.038731498	5.8973533	2.3052199	3.5492441	4.6557646	3.5491591	4.6559521	3.8090501	3.0744937	-99.549873	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.13e+02	 4.34e-03	2022-07-07@12:06
2x2_2C_8b_C2v_L	9.8881757	13	3.4473	0.52810923	-5.3592175	-5.8911411	0.79498054	-5.8897621	0.79347844	0.97592416	-5.2669552	12	0.0359872	1.166134	-1.7403881	0.084810686	1.7401693	0.084620637	0.13043876	-2.2242273	1.9316	1	0.2377	1.2782812	1.6661587	-0.51268662	-0.13386063	0.057239311	0.1762022	0.00044157249	1.9580987	1.8478465	0.0012195914	1.8478421	0.0012151352	0.00070257038	1.6513691	1.1728162	-0.087309318	-0.61195033	1.4334155	-0.12142106	-1.4333965	-0.12119352	-0.091392545	2.4169725	0.036101926	0.00044145392	0.042164985	0.14753293	0.0012193229	0.14753792	0.0012148687	0.00070259585	0.29633499	0.036021109	5.7569586	2.4321865	3.5669015	4.6018864	3.5668162	4.6020564	3.8026211	3.2393635	-99.204829	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.39e+01	 2.10e-03	2022-07-07@12:06
2x2_2C_8b_C2v_L	10.076584	13.5	3.4473	0.52815254	-5.399446	-5.906776	0.79521876	-5.9060034	0.79368763	0.98105652	-5.2680855	12	-0.012077358	1.1718309	-1.7467648	0.057305395	1.7466293	0.057156091	0.096354207	-2.2294864	1.9316	1	0.2377	1.2827959	1.6660573	-0.4937138	-0.1221245	0.052424048	0.16099442	4.9486338e-05	1.9594825	1.8608236	0.00055442355	1.8608311	0.00055207963	0.0003935635	1.6845995	1.1581784	0.028709518	-0.61984797	1.3817201	-0.080989236	-1.3816415	-0.080813654	-0.067844982	2.3005019	0.033667061	4.9484857e-05	0.040690448	0.13518191	0.00055436825	0.13517582	0.00055202478	0.00039357635	0.27354836	0.033509121	5.6248978	2.5478856	3.5861339	4.5527451	3.5860235	4.5529415	3.8005899	3.3773226	-99.032047	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 5.14e+01	 1.66e-02	2022-07-07@12:07
2x2_2C_8b_C2v_L	10.252274	14	3.4473	0.52818701	-5.4884049	-5.9307386	0.79541406	-5.9305709	0.79387083	0.98182592	-5.2771411	12	-0.0099153175	1.1842979	-1.7547406	0.023288788	1.7546925	0.022638352	0.063519863	-2.2367182	1.9316	1	0.2377	1.2868548	1.6660457	-0.47553362	-0.11164231	0.048100374	0.1473779	3.3060805e-05	1.9609336	1.872296	9.0919262e-05	1.8722974	8.5991805e-05	0.00017527245	1.7140111	1.1450192	0.023070874	-0.62463794	1.3326535	-0.032482144	-1.3326377	-0.031587079	-0.044982816	2.1908664	0.031372768	3.3060148e-05	0.039166453	0.12424683	9.0917779e-05	0.12424564	8.5990479e-05	0.00017527574	0.25234133	0.031173534	5.5007705	2.6545477	3.6057987	4.5088311	3.6057854	4.5088596	3.8019085	3.4933621	-99.04429	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.13e+01	 1.36e-03	2022-07-07@12:08
2x2_2C_8b_C2v_L	10.41438	14.5	3.4473	0.52826196	-5.5594457	-5.9951698	0.79576573	-5.9948485	0.79418852	0.98229483	-5.2915213	12	-0.00058550436	1.193447	-1.7685114	0.0056944306	1.7684564	0.0051127717	0.032712978	-2.2442556	1.9316	1	0.2377	1.2904753	1.666028	-0.45835629	-0.10235234	0.04424936	0.13511897	1.1354466e-07	1.9624859	1.8825716	5.3636027e-06	1.8825745	4.32808e-06	4.7518577e-05	1.739934	1.1330942	0.0013310403	-0.62593415	1.2857433	-0.0078246682	-1.2857126	-0.0070283119	-0.023296069	2.0887127	0.02921335	1.1354465e-07	0.037559416	0.11443257	5.3635976e-06	0.11443006	4.3280767e-06	4.7518855e-05	0.23284343	0.029004304	5.3879942	2.7511039	3.6262789	4.4682957	3.6262313	4.4683717	3.8048896	3.5900542	-99.223928	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.07e+01	 1.03e-02	2022-07-07@12:08
2x2_2C_8b_C2v_L	10.563604	15	3.4473	0.52826196	-5.5651775	-6.0002337	0.79577126	-5.9999291	0.7941935	0.98245756	-5.3040192	12	2.2387349e-05	1.1959354	-1.7735106	0.002237921	1.7734668	0.0020083524	0.015600435	-2.2516871	1.9316	1	0.2377	1.2937089	1.6659788	-0.44222344	-0.094104995	0.040817569	0.12444172	1.6415163e-10	1.964006	1.8913406	8.2224113e-07	1.8913419	6.6284245e-07	1.1113423e-05	1.7625957	1.1226758	-4.9852761e-05	-0.62489429	1.243165	-0.0030392588	-1.2431481	-0.0027285801	-0.011193692	1.9948276	0.027263345	1.6415163e-10	0.0359998	0.10604264	8.22241e-07	0.10604156	6.6284237e-07	1.1113439e-05	0.21518796	0.027058353	5.2871871	2.8373685	3.6455073	4.4334935	3.6454723	4.4335467	3.8085972	3.6696908	-99.045905	R0:N12:S0:1	-68.4216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.47e+01	 7.99e-03	2022-07-07@12:09
