model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	28	12	7	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	11.6	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.6667616	0.0003828572	5.2151343e-07	1.999656	1.9997265	2.5265622e-06	1.9997265	2.5265087e-06	4.9106973e-06	1.9993593	1.0003803	0.0028761528	-0.074178264	0.066128475	-0.0063154861	-0.066128406	0.0063154188	-0.00883209	0.10122763	9.5679262e-05	5.2151336e-07	0.00034403208	0.00027355487	2.5265607e-06	0.00027355432	2.5265071e-06	4.9106912e-06	0.00064060246	9.6343248e-05	4.0005723	3.9994272	3.9976417	4.0023597	3.9976417	4.0023598	4.0007925	3.9992055	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.41e-05	 1.94e+00	2022-06-27@11:06
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	11.418889	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9976432	0.00052111612	5.401304e-07	1.9995065	1.9996334	2.6212726e-06	1.9996334	2.6212169e-06	5.0800163e-06	1.9991439	1.0005187	0.002923751	-0.088893828	0.076600734	-0.0064223276	-0.076600802	0.0064222592	-0.0089753711	0.11704646	0.000130215	5.4013033e-07	0.00049298395	0.00036603569	2.6212709e-06	0.00036603635	2.6212152e-06	5.0800098e-06	0.00085539076	0.0001306335	4.0008168	3.9991844	3.996813	4.0031918	3.996813	4.0031918	4.0010991	3.9988995	-66.580792	R0:N12:S0:1	-40.24	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:07
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	11.237778	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9996917	0.0007520678	5.6109028e-07	1.9992311	1.9994817	2.7310878e-06	1.9994817	2.7310298e-06	5.267334e-06	1.9987967	1.0007493	0.0029744416	-0.1108882	0.091004129	-0.0065382887	-0.091004451	0.006538219	-0.00912716	0.13871916	0.00018788618	5.610902e-07	0.00076877765	0.00051828558	2.731086e-06	0.00051828925	2.731028e-06	5.267327e-06	0.0012030201	0.00018859901	4.0012443	3.9987534	3.9954239	4.0045816	3.9954238	4.0045816	4.0015816	3.9984115	-65.857426	R0:N12:S0:1	-43.68	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:07
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	11.056667	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9998896	0.0011854339	5.863909e-07	1.9986425	1.9992137	2.8702565e-06	1.9992137	2.8701959e-06	5.4839589e-06	1.9981876	1.0011826	0.0030303395	-0.1473299	0.11205038	-0.0066708467	-0.11205121	0.0066707757	-0.0092918351	0.17022945	0.00029604339	5.8639081e-07	0.0013571275	0.00078616481	2.8702545e-06	0.00078617646	2.8701938e-06	5.4839512e-06	0.0018116811	0.00029678468	4.0021081	3.9978843	3.9927946	4.0072186	3.9927945	4.0072186	4.0023761	3.997608	-65.134606	R0:N12:S0:1	-47.12	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:08
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	10.875556	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9999467	0.0021764773	6.2282626e-07	1.9969887	1.9986696	3.0869802e-06	1.9986696	3.0869162e-06	5.759093e-06	1.9969654	1.0021735	0.0030985085	-0.21937582	0.1456461	-0.0068449123	-0.14564808	0.0068448399	-0.0094802255	0.22024097	0.00054311088	6.2282616e-07	0.0030090281	0.00132991	3.0869779e-06	0.0013299461	3.0869138e-06	5.7590844e-06	0.0030323101	0.00054383719	4.0043077	3.9956513	3.9866127	4.0134305	3.9866126	4.0134305	4.0036087	3.9963431	-64.412921	R0:N12:S0:1	-50.56	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:08
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	10.694444	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9999703	0.0057529734	7.1401625e-07	1.9884891	1.997294	3.6851971e-06	1.9972939	3.6851226e-06	6.189376e-06	1.9939091	1.0057499	0.0032233797	-0.42839107	0.20708688	-0.0072142941	-0.20709206	0.007214219	-0.0097222573	0.31206001	0.001431728	7.1401609e-07	0.011476849	0.0027042152	3.6851937e-06	0.0027043505	3.6851192e-06	6.1893658e-06	0.0060814233	0.0014324752	4.0139663	3.9853321	3.9625516	4.0377134	3.9625514	4.0377136	4.0026071	3.9971108	-63.694493	R0:N12:S0:1	-54	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:09
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	10.513333	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.999985	0.22641488	7.4985117e-06	1.1252115	1.9951407	3.7096851e-05	1.99514	3.7095014e-05	9.1220489e-06	1.9787817	1.2264088	0.010235426	-3.0892926	0.21842645	-0.023822702	-0.2184451	0.023821882	-0.0093952837	0.63239106	0.033021983	7.4984846e-06	0.50018794	0.0048629033	3.7096025e-05	0.0048635835	3.7094188e-05	9.1221893e-06	0.021080686	0.033023087	5.251622	2.0763073	2.4826745	5.5420888	2.4827538	5.5420123	3.2865702	4.6766762	-63.032479	R0:N12:S0:1	-57.44	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:09
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	10.332222	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.999994	0.56213105	1.4805446e-05	0.019557361	1.9790406	5.7970135e-05	1.9790174	5.7963209e-05	2.354653e-05	1.7737325	1.5621245	0.020217017	-0.69886019	0.26762123	-0.038022449	-0.26785286	0.038018562	-0.014049984	2.1513972	0.015743414	1.4805309e-05	0.019308653	0.022622826	5.7968195e-05	0.022648289	5.7961269e-05	2.3546555e-05	0.20790852	0.015745117	7.8362066	7.60992	1.1846659	7.1382469	1.1854975	7.1377142	2.8806893	4.4467994	-63.12321	R0:N12:S0:1	-60.88	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:10
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	10.151111	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	1.9999999	0.98483639	1.4146901e-05	0.0063590292	1.3577059	6.2934108e-05	0.69633156	6.223201e-05	0.00012258266	1.9999973	1.9848361	0.021206689	-0.44912034	0.43038291	-0.044593862	-0.86605839	0.044144965	-0.062504861	3.1008333e-05	0.0036913312	1.4146782e-05	0.0063339262	0.8545884	6.293175e-05	0.8726507	6.2229713e-05	0.00012257368	4.5268167e-06	0.0036915603	7.9743831	7.8887728	2.7481282	7.9267606	5.151998	7.8550436	7.9978227	0.0006247099	-63.820116	R0:N12:S0:1	-64.32	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:11
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118403	-2.1957602	-2.7381035	0.24894056	-2.7380656	0.24893765	0.29628048	-2.7779187	9.97	-0.0041921418	0.024074746	-0.025964818	0.0093093865	0.025964478	-0.0093092845	0.013099571	-0.040230489	1.3333333	2	0.99677081	1.1032796e-05	0.0028343648	1.9816662	5.0071721e-05	0.028209258	4.9693805e-05	9.6766399e-05	1.9999998	1.9967707	0.018770887	-0.3008119	0.0052733351	-0.04001014	-0.55523517	0.039768164	-0.055610742	1.1459922e-05	0.00080282426	1.1032724e-05	0.002829426	0.036238952	5.0070243e-05	0.045879318	4.9692351e-05	9.6760881e-05	2.8563834e-07	0.00080291093	7.988475	7.9506532	0.076747227	7.9987627	7.7593797	7.9600649	7.9983519	0.00040246108	-64.803772	R0:N12:S0:1	-67.76	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-27@11:11
