model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.35887	12	7	-3.1177206e-05	-1.9004151	-2.1933051	0.21479505	-2.1933054	0.21479595	0.2689317	-1.4546885	11.6	0.12300501	-0.7762581	1.2251962	-0.23871331	-1.2251964	0.23871344	0.39666279	-1.5908273	1.5	1	1e-09	1.185055	1.6161865	-0.75747615	-0.37288068	0.14946459	0.3261689	0.1131896	1.9346036	1.5939304	0.19110522	1.5939294	0.19110384	0.022461142	1.1078128	1.312966	-1.239411	0.55227943	-2.0977431	1.1228556	2.0977471	-1.1228509	-0.55690312	3.3318161	0.053999507	0.10361622	0.064664342	0.35689297	0.18805963	0.35689366	0.18805847	0.022249189	0.488722	0.058575172	5.9011124	1.6454359	3.2058488	5.0140852	3.2058503	5.0140842	4.386379	1.6395683	-69.236195	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.49e-03	2022-06-16@11:46
2x2_2C_8b_C2v_L	18.988139	12	6.6052556	0.0012149103	-1.961724	-2.281915	0.22153962	-2.2819129	0.22154132	0.27729497	-1.5629013	11.311111	0.12587284	-0.80059308	1.2688413	-0.23842748	-1.2688407	0.23842805	0.38623334	-1.6545776	1.5479556	1	0.026411112	1.1893806	1.610722	-0.75603881	-0.360272	0.144001	0.30242417	0.12781425	1.9307825	1.6078412	0.20447367	1.6078417	0.20447401	0.019982101	1.1480123	1.2871946	-1.2959773	0.59061448	-2.0846449	1.1328627	2.0846421	-1.1328654	-0.51410813	3.2939262	0.051982643	0.11549555	0.068077078	0.34352263	0.20087852	0.34352236	0.20087871	0.019841773	0.48334163	0.057164476	5.7337069	1.7620427	3.2034825	4.9640644	3.2034826	4.964065	4.3043607	1.7260101	-68.66052	R0:N12:S0:1	-37.646844	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.41e+02	 1.35e-02	2022-06-16@11:47
2x2_2C_8b_C2v_L	17.579437	12	6.2105111	0.0040921258	-2.0149019	-2.3737428	0.22140629	-2.3737391	0.22140484	0.27607588	-1.6754125	11.022222	0.12854108	-0.8235944	1.3111891	-0.23971411	-1.3111881	0.23971428	0.37868834	-1.715461	1.5959111	1	0.052822223	1.1927456	1.6058728	-0.7548171	-0.35050597	0.13970154	0.28088615	0.14200209	1.9271856	1.6169783	0.22261433	1.6169808	0.22261937	0.018436175	1.1804152	1.263192	-1.3447391	0.62527122	-2.0797735	1.1523897	2.0797625	-1.1524059	-0.48225193	3.2579731	0.049895456	0.12670285	0.071284255	0.33378819	0.21822625	0.33378646	0.21823032	0.018348789	0.4773256	0.055825981	5.587549	1.8678486	3.1980945	4.9186729	3.1980887	4.9186753	4.2299744	1.8107907	-68.109104	R0:N12:S0:1	-38.493689	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.44e+02	 1.12e-02	2022-06-16@11:49
2x2_2C_8b_C2v_L	16.131487	12	5.8157667	0.0075770752	-2.0655624	-2.4692345	0.21857529	-2.4692304	0.21857677	0.27165296	-1.7918298	10.733333	0.13083434	-0.84649819	1.35306	-0.24211809	-1.3530594	0.24211814	0.37372297	-1.7749741	1.6438667	1	0.079233334	1.1951507	1.6006347	-0.75511392	-0.34305277	0.13636003	0.26143633	0.1558955	1.9237773	1.6224124	0.2443215	1.6224095	0.24431562	0.017569921	1.206117	1.2407953	-1.388138	0.65646729	-2.0820998	1.1773746	2.0821108	-1.177357	-0.45858401	3.226784	0.047795577	0.13737827	0.074312823	0.32698795	0.23891451	0.32699005	0.2389099	0.017526414	0.47126284	0.054620623	5.4605217	1.9623808	3.1916318	4.8785579	3.191638	4.8785565	4.1618852	1.8867242	-67.59754	R0:N12:S0:1	-39.340533	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.49e+02	 9.65e-03	2022-06-16@11:50
2x2_2C_8b_C2v_L	14.65094	12	5.4210222	0.011115766	-2.109081	-2.5639303	0.2166739	-2.5639344	0.21667455	0.26736283	-1.9100239	10.444444	0.1329082	-0.86825577	1.3938604	-0.24522998	-1.3938616	0.24523017	0.37014935	-1.8331599	1.6918222	1	0.10564444	1.196763	1.5950728	-0.75698274	-0.33748639	0.13379482	0.24396975	0.17090173	1.920191	1.6246945	0.26851815	1.624694	0.2685164	0.017165566	1.2258779	1.2198602	-1.4323645	0.68563134	-2.0910807	1.2047993	2.0910839	-1.2047942	-0.44035164	3.2025987	0.045734358	0.14858807	0.07748079	0.32274956	0.26193926	0.32274992	0.26193798	0.017161849	0.4655263	0.053602056	5.3446529	2.0458401	3.1852282	4.8436173	3.1852301	4.8436164	4.0986846	1.9487571	-67.091963	R0:N12:S0:1	-40.187378	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.55e+02	 8.61e-03	2022-06-16@11:51
2x2_2C_8b_C2v_L	13.147136	12	5.0262778	0.014425594	-2.1487294	-2.6582325	0.21621753	-2.6582359	0.21621652	0.2641405	-2.0285866	10.155556	0.13482535	-0.88926307	1.4338541	-0.24870817	-1.4338555	0.24870745	0.36741984	-1.8899017	1.7397778	1	0.13205556	1.1977949	1.5897234	-0.75985649	-0.33350629	0.13188817	0.22822524	0.18765468	1.9163131	1.6243219	0.29484689	1.6243186	0.2948384	0.017080109	1.2403652	1.2000653	-1.4798269	0.71363857	-2.106523	1.2330842	2.1065381	-1.2330584	-0.42592821	3.1864182	0.043733227	0.16070641	0.080882449	0.32064159	0.28699341	0.32064382	0.28698756	0.017113238	0.46034811	0.052799552	5.2363946	2.1191265	3.1787491	4.8127367	3.1787567	4.8127356	4.0391503	1.9946743	-66.596171	R0:N12:S0:1	-41.034222	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.64e+02	 7.80e-03	2022-06-16@11:53
2x2_2C_8b_C2v_L	11.618593	12	4.6315333	0.017526075	-2.1827086	-2.7504424	0.21710709	-2.7504395	0.21711151	0.26268734	-2.1477602	9.8666667	0.13662626	-0.90917615	1.4727131	-0.2521427	-1.4727123	0.25214467	0.36529592	-1.9456115	1.7877333	1	0.15846667	1.1982236	1.5839865	-0.76440895	-0.33087658	0.13054838	0.21397731	0.20694031	1.9118919	1.6214376	0.32317014	1.6214396	0.32317421	0.017219109	1.2502877	1.1811098	-1.5323534	0.74168643	-2.1287687	1.2609906	2.1287593	-1.2610063	-0.41412102	3.1789284	0.041804992	0.17414324	0.08473541	0.32046707	0.314019	0.32046588	0.31402126	0.017286149	0.45582816	0.052236488	5.1329747	2.1830425	3.1715293	4.7846782	3.1715268	4.7846775	3.9816211	2.0230004	-66.098785	R0:N12:S0:1	-41.881067	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.75e+02	 6.76e-03	2022-06-16@11:54
2x2_2C_8b_C2v_L	10.066787	12	4.2367889	0.020223283	-2.2159612	-2.8437618	0.22102094	-2.8437726	0.22101803	0.26285152	-2.2666539	9.5777778	0.13832386	-0.92871689	1.511492	-0.25606313	-1.5114947	0.25606153	0.36339242	-2.0001981	1.8356889	1	0.18487778	1.1980972	1.5776525	-0.77091531	-0.3293019	0.12967084	0.20102694	0.22945611	1.9068444	1.616869	0.35247201	1.6168669	0.35246362	0.017457987	1.2565883	1.1627454	-1.5916559	0.7706006	-2.1564239	1.287663	2.156436	-1.287638	-0.40377729	3.1797383	0.039955385	0.1891169	0.089094382	0.32162008	0.34211892	0.32162142	0.34211393	0.017554736	0.45196877	0.051919232	5.0315483	2.2381241	3.1644186	4.7575364	3.1644252	4.7575374	3.9249655	2.0343528	-65.622444	R0:N12:S0:1	-42.727911	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.89e+02	 5.93e-03	2022-06-16@11:56
2x2_2C_8b_C2v_L	8.4917343	12	3.8420444	0.022730156	-2.2404532	-2.9334348	0.22620933	-2.9334288	0.22620824	0.26528816	-2.3860752	9.2888889	0.13993385	-0.94651338	1.5488886	-0.25968595	-1.548888	0.25968844	0.36197276	-2.0541143	1.8836444	1	0.21128889	1.1974106	1.5706068	-0.77961921	-0.32871265	0.12926009	0.18918687	0.25636111	1.9006673	1.6101329	0.38325185	1.6101461	0.38331565	0.01776834	1.2596567	1.144675	-1.658637	0.80230344	-2.1910422	1.3122971	2.1909825	-1.3124468	-0.39447647	3.1892086	0.038183741	0.20603083	0.094389791	0.32428656	0.37188782	0.32427743	0.3719279	0.017889874	0.44876947	0.051864705	4.9305597	2.2851931	3.1553574	4.7302405	3.15531	4.7302304	3.8677644	2.0278968	-65.13074	R0:N12:S0:1	-43.574756	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.07e+02	 5.22e-03	2022-06-16@11:57
2x2_2C_8b_C2v_L	6.8951245	12	3.4473	0.02479188	-2.2611937	-3.02108	0.23340555	-3.0210987	0.2334003	0.26964764	-2.5060723	9	0.14143694	-0.96333542	1.5854927	-0.263266	-1.585499	0.26326081	0.36084707	-2.1075154	1.9316	1	0.2377	1.1962119	1.5627316	-0.79063386	-0.32886543	0.12926963	0.17829544	0.28861557	1.8931682	1.6017636	0.41487688	1.6017424	0.41477442	0.018041232	1.2603398	1.1266695	-1.7341836	0.83811631	-2.2315693	1.3346017	2.2316664	-1.3343621	-0.38539799	3.2064459	0.036486196	0.2248872	0.10075227	0.32803401	0.40273211	0.32804795	0.40267329	0.018181103	0.44615186	0.052071395	4.8282986	2.3247949	3.1441531	4.7014022	3.1442173	4.7014202	3.8091729	2.0051867	-64.642109	R0:N12:S0:1	-44.4216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.28e+02	 4.84e-03	2022-06-16@11:59
