CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
20	Broyden	-83.27531941	-84.0	18.64411004	YY	10.5	0.3964886554	self-energy	sharp_wc_2_b_50	6	2	1.227400905	45.18690685	3.074625458e-09	-2.286043135	1.947484334	0.03601685094	0.8421437686	-2.902978332	1.738317977	0.03161778323	0.8793146743	-2.896511311	1.731775574	-4.581613393	1.99999939	-2.76919304	1.298370277	a248bdd	2x2_2C_8b_C2v_L	11.25	1.390648501	2	1.683040255	1.390648500562092	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.001043772273	-0.0002899797206	0.835478891	-0.477999426	0.1413755954	-2.095571525	1.216815925	-1.560460591	-0.1393194558	2.110057467	1.216310953	-1.590181276	-0.002261785235	0.003041709006	1.63549151	-3.247429441	2024-08-05@14:47	1.5	-0.6407735313	1	-5.699139965e-16	-0.2756784518	1	-3.848351759e-17	0.08713666687	v2.7.1	
1	Broyden	-83.08341599	-83.92	18.63883054	YY	10.5	0.3957694708	self-energy	sharp_wc_2_b_50	6	2	1.227274612	45.24884555	2.739505367e-09	-2.284760317	1.947375425	0.03474639429	0.8568562322	-2.898801321	1.735564817	0.03339313209	0.8683291206	-2.896880155	1.733559146	-4.50511161	1.999999997	-2.766561222	1.298651034	a248bdd	2x2_2C_8b_C2v_L	11.245	1.389916056	2	1.68229798	1.38991605640621	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.0009867511802	0.0002736626644	0.835788189	-0.4791494432	0.140576303	-2.096380648	1.216948207	-1.573724839	-0.1399333374	2.100790243	1.216799443	-1.582840307	0.0001560433165	-0.0002125405855	1.635850534	-3.24633595	2024-08-05@14:48	1.5	-0.6413383895	1	-3.6245068079999995e-16	-0.2758354846	1	-7.664993792999999e-17	0.08713890729	v2.7.1	
1	Broyden	-83.07739032	-83.84	18.63361712	YY	10.5	0.3951460436	self-energy	sharp_wc_2_b_50	6	2	1.227149462	45.22925372	2.1580396e-12	-2.282203037	1.947296691	0.03499923064	0.8582937839	-2.896278494	1.735149819	0.03360303384	0.8703071628	-2.894202491	1.733050238	-4.524160469	2.0	-2.763652034	1.298803406	a248bdd	2x2_2C_8b_C2v_L	11.24	1.389274725	2	1.682186775	1.3892747247622057	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-2.768940896e-05	7.679445072e-06	0.8358646715	-0.4800375482	0.1406868909	-2.093306127	1.217094382	-1.576197572	-0.140036019	2.097875225	1.216927617	-1.585737518	-3.222161499e-06	4.370011001e-06	1.63613646	-3.245584669	2024-08-05@14:50	1.5	-0.6418830956	1	4.848858451e-17	-0.2760203654	1	2.341618586e-16	0.08715394616	v2.7.1	
1	Broyden	-82.66568999	-83.76	18.62817843	YY	10.5	0.3945316654	self-energy	sharp_wc_2_b_50	6	2	1.227018194	45.3929728	4.850086707e-11	-2.279387021	1.947218244	0.03425441665	0.8684596148	-2.892369579	1.733219811	0.0348230527	0.8635205557	-2.893134458	1.734078342	-4.34059293	1.999999977	-2.760560906	1.29893371	a248bdd	2x2_2C_8b_C2v_L	11.235	1.388642436	2	1.681863453	1.3886424363124898	1.0000000000000002	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.0001317327102	-3.640058878e-05	0.835898086	-0.4809131515	0.140337416	-2.093604405	1.21714948	-1.585568619	-0.1406022874	2.091740338	1.217199132	-1.581656466	-0.0004193992351	0.0005876096607	1.63637355	-3.244860794	2024-08-05@14:51	1.5	-0.6424479538	1	1.213548303e-16	-0.2762145298	1	1.3044362309999998e-16	0.08717010544	v2.7.1	
1	Broyden	-83.20815754	-83.68	18.62297231	YY	10.5	0.3939184186	self-energy	sharp_wc_2_b_50	6	2	1.226891427	45.2081539	8.688770452e-11	-2.276584236	1.947138668	0.03547203376	0.8610852593	-2.891104994	1.734319635	0.03394927657	0.8743534674	-2.888837833	1.732016608	-4.634780723	1.999999995	-2.757316836	1.29904208	a248bdd	2x2_2C_8b_C2v_L	11.23	1.388011072	2	1.68149665	1.388011072003621	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.0001756887851	4.871073886e-05	0.8359451431	-0.4817943958	0.1409245161	-2.087153278	1.217377061	-1.581113169	-0.140221011	2.09208008	1.217187616	-1.591580925	-0.000215454826	0.0002860332081	1.636579508	-3.244161059	2024-08-05@14:53	1.5	-0.6429831573	1	-1.7955673669999998e-16	-0.2764027011	1	9.270506077e-17	0.08718630833	v2.7.1	
1	Broyden	-81.68057732	-83.6	18.61760894	YY	10.5	0.3933127791	self-energy	sharp_wc_2_b_50	6	2	1.226761074	45.83380765	3.641360553e-12	-2.273651092	1.947061493	0.03414725296	0.8762832213	-2.88617205	1.731521561	0.03572012238	0.8625121641	-2.888524175	1.733902879	-3.893633447	1.999999941	-2.754236143	1.299169107	a248bdd	2x2_2C_8b_C2v_L	11.225	1.387387408	2	1.681164193	1.3873874081077102	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-3.643336038e-05	9.97103326e-06	0.8359629722	-0.4826553387	0.1403133401	-2.08918352	1.2173168	-1.594394612	-0.1410370747	2.084133131	1.217520733	-1.583571172	-0.0006174736137	0.0009413969896	1.636823312	-3.243453883	2024-08-05@14:54	1.5	-0.6435352979	1	1.8859241400000001e-16	-0.2765964141	1	2.266855145e-16	0.08720256404	v2.7.1	
1	Broyden	-84.35511374	-83.52	18.6126119	YY	10.5	0.3927041797	self-energy	sharp_wc_2_b_50	6	2	1.226638366	44.86913906	1.447373118e-09	-2.270508733	1.94698006	0.0364663684	0.8590929242	-2.886466259	1.734306931	0.03375348823	0.8831151154	-2.882517966	1.73016048	-5.254151986	1.999999903	-2.751204803	1.299301541	a248bdd	2x2_2C_8b_C2v_L	11.22	1.386760761	2	1.680792778	1.3867607610194224	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.0007123599335	-0.0001987298666	0.8359616749	-0.4835396253	0.1413887421	-2.079149131	1.217661619	-1.582252578	-0.140142185	2.087864697	1.217346061	-1.601117389	0.001013322148	-0.001211671904	1.637083136	-3.242738083	2024-08-05@14:56	1.5	-0.6440447546	1	-6.255307317e-16	-0.2767778763	1	-1.0644037689999999e-16	0.08721878028	v2.7.1	
1	Broyden	-77.73109166	-83.44	18.60718007	YY	10.5	0.3921180099	self-energy	sharp_wc_2_b_50	6	2	1.22650564	47.28596856	3.359780181e-10	-2.267843988	1.946913774	0.03360156146	0.8885424057	-2.879431118	1.729083779	0.03716343891	0.8568978255	-2.884922435	1.734539095	-1.963919917	1.99999889	-2.748006267	1.299401117	a248bdd	2x2_2C_8b_C2v_L	11.215	1.386155778	2	1.680404504	1.3861557782716707	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.0003603519133	-9.576339789e-05	0.8360154773	-0.4843279258	0.1400976156	-2.086495253	1.217468484	-1.606575273	-0.141728704	2.075183271	1.21796093	-1.581793506	-0.001624628201	0.004061033458	1.637294063	-3.242093619	2024-08-05@14:58	1.5	-0.6445971508	1	-5.163192405999999e-16	-0.276981092	1	1.5957226119999998e-17	0.08723633315	v2.7.1	
1	Broyden	-91.01013416	-83.36	18.60236889	YY	10.5	0.391504231	self-energy	sharp_wc_2_b_50	6	2	1.226384175	42.32803824	7.196727255e-10	-2.265159238	1.946834765	0.0382022235	0.8505869017	-2.883351222	1.735416899	0.03286909707	0.8983854621	-2.874927453	1.727175098	-8.626808199	1.999999992	-2.744718347	1.299504178	a248bdd	2x2_2C_8b_C2v_L	11.21	1.385524176	2	1.68003507	1.385524175578137	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.0004761944339	-0.0001400291714	0.8360923776	-0.4852090733	0.142211509	-2.068887884	1.218167128	-1.578310777	-0.1397525522	2.085718336	1.217407385	-1.615718476	0.0004541718237	-0.0003543490325	1.637504286	-3.241404539	2024-08-05@14:59	1.5	-0.6450721451	1	6.429593511999999e-16	-0.2771583785	1	2.5681355449999997e-16	0.08725117974	v2.7.1	
20	Broyden	-83.27531941	-84.0	18.64411004	YY	10.5	0.3964886554	self-energy	sharp_wc_2_b_50	6	2	1.227400905	45.18690685	3.074625458e-09	-2.286043135	1.947484334	0.03601685094	0.8421437686	-2.902978332	1.738317977	0.03161778323	0.8793146743	-2.896511311	1.731775574	-4.581613393	1.99999939	-2.76919304	1.298370277	a248bdd	2x2_2C_8b_C2v_L	11.25	1.390648501	2	1.683040255	1.3906485005298972	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.001043772273	-0.0002899797205	0.835478891	-0.477999426	0.1413755954	-2.095571525	1.216815925	-1.560460592	-0.1393194558	2.110057467	1.216310953	-1.590181276	-0.002261785235	0.003041709004	1.63549151	-3.247429441	2024-08-05@14:46	1.5	-0.6407735313	1	-5.699139965e-16	-0.2756784518	1	-3.848351759e-17	0.08713666687	v2.7.1	
