CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-202.93983	-64	23.53584269	YY	12	0.3728158962	self-energy	sharp_wc_2_b_50	8	2	1.169791116	34.47349142	8.088266669e-13	-1.33039111	1.89212857	12.44061359	8.834999025e-15	44.56312449	3.517575361e-15	0.6940400378	0.0163455675	-2.308022357	1.435940364	-68.58690265	2	-1.811790368	1.191850574	a248bdd	2x2_2C_8b_C2v_L	12	1.365933731	2	1.583457878	1.365933731148429	0.9999999999999999	new_boucle_param.py	R0:N12:S0:1	uncorrelated	1.367313601e-05	-4.547922623e-06	0.7868410388	-0.758227263	5.530859872e-07	-4.876978304e-07	-1.084609291e-06	3.136133169e-07	0.2427458698	-0.3725544624	1.259424554	-2.922957733	6.906951635e-06	-7.49586938e-07	1.64160988	-3.501801003	2024-07-18@16:55	1.5	-0.8205449776	1	1.668139686e-16	-0.3816805479	1	3.314967962e-16	0.0994499825	v2.7.1	
1	Broyden	-202.7821419	-63.92	23.52240157	YY	12	0.3727441042	self-energy	sharp_wc_2_b_50	8	2	1.16947658	34.49190431	2.023014408e-11	-1.327681328	1.892786825	12.49174339	6.607062811e-14	44.62177943	7.226730305e-14	0.6943430334	0.01621971702	-2.302765068	1.435479597	-68.53074281	2	-1.808180087	1.192071499	a248bdd	2x2_2C_8b_C2v_L	11.995	1.365860591	2	1.582901015	1.3658605905172134	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-6.839321433e-05	2.27486314e-05	0.7863962636	-0.7554467625	-1.517333134e-06	1.333752092e-06	4.921874198e-06	-1.421454337e-06	0.2421306945	-0.3711305169	1.259099482	-2.92506158	5.344988044e-06	-5.805791325e-07	1.641738313	-3.501586157	2024-07-18@16:56	1.5	-0.821498051	1	-1.306686107e-17	-0.3821406415	1	2.520176519e-16	0.0993756002	v2.7.1	
1	Broyden	-202.7458801	-63.84	23.50872973	YY	12	0.3726695102	self-energy	sharp_wc_2_b_50	8	2	1.169156259	34.5079297	1.151770164e-10	-1.324955432	1.893415581	12.46345388	1.535911067e-15	44.62448862	2.115380476e-13	0.6946146636	0.01610210662	-2.297600594	1.435052192	-68.53520551	2	-1.804575686	1.192291683	a248bdd	2x2_2C_8b_C2v_L	11.99	1.36578461	2	1.582334317	1.3657846095286368	0.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.0001632102473	5.428813384e-05	0.7859610931	-0.752790649	-2.308492224e-07	2.033347258e-07	-8.42085835e-06	2.431877342e-06	0.2415390608	-0.3697825973	1.258788863	-2.927049977	0.0001107950196	-1.203481949e-05	1.641869607	-3.501369892	2024-07-18@16:58	1.5	-0.8224641593	1	-3.314100088e-16	-0.3826061594	1	-2.775231212e-16	0.09929556776	v2.7.1	
1	Broyden	-202.6206615	-63.76	23.49570599	YY	12	0.3725696896	self-energy	sharp_wc_2_b_50	8	2	1.168850058	34.56661508	1.078566718e-11	-1.322308168	1.89396804	12.60007093	1.619937431e-13	44.73129969	1.104895438e-13	0.6952644168	0.01601289741	-2.293283008	1.434774482	-68.49421481	2	-1.801016	1.19251336	a248bdd	2x2_2C_8b_C2v_L	11.985	1.365682805	2	1.581792767	1.365682804959829	0.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	5.000864713e-05	-1.661516999e-05	0.7855408376	-0.750479143	-2.392062681e-06	2.088661153e-06	6.09912649e-06	-1.75751359e-06	0.2411512911	-0.3687403301	1.258637365	-2.928631171	-0.0001286250493	1.398065452e-05	1.641996308	-3.501133746	2024-07-18@17:00	1.5	-0.8233782312	1	1.887039394e-16	-0.3830485364	1	8.05113828e-17	0.09921741468	v2.7.1	
1	Broyden	-202.777951	-63.68	23.48242306	YY	12	0.3724820994	self-energy	sharp_wc_2_b_50	8	2	1.16853806	34.58387228	6.781982849e-12	-1.319683815	1.894558238	12.38112666	2.072763216e-14	44.62620427	1.979363983e-13	0.6955385441	0.01590949452	-2.288495363	1.434419282	-68.59494824	2	-1.79745601	1.192738618	a248bdd	2x2_2C_8b_C2v_L	11.98	1.365593592	2	1.581240458	1.3655935918213948	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-3.966196842e-05	1.317708612e-05	0.7851185695	-0.7479938153	8.429490261e-07	-7.467831755e-07	-8.145181123e-06	2.352220365e-06	0.2406381836	-0.3675336092	1.258393031	-2.930419484	1.298702805e-05	-1.40968619e-06	1.642123731	-3.500902581	2024-07-18@17:01	1.5	-0.8243128392	1	2.152526434e-16	-0.3834967971	1	-3.034497496e-16	0.09913592591	v2.7.1	
1	Broyden	-202.3427975	-63.6	23.46902	YY	12	0.3723930655	self-energy	sharp_wc_2_b_50	8	2	1.168223174	34.72868663	6.159906596e-12	-1.317058746	1.895152992	12.95873671	7.533271455e-13	44.95844824	8.758996246e-14	0.6959936834	0.0158047773	-2.283778917	1.434063552	-68.39934147	2	-1.793928232	1.192967492	a248bdd	2x2_2C_8b_C2v_L	11.975	1.365502797	2	1.580683249	1.3655027965667879	1.0000000000000004	new_boucle_param.py	R0:N12:S0:1	uncorrelated	3.793232721e-05	-1.256048998e-05	0.7846907084	-0.7454850617	5.279330779e-06	-4.506651018e-06	-5.45555052e-06	1.564762836e-06	0.2401466881	-0.3663246108	1.25817377	-2.932220067	2.991322575e-05	-3.256243156e-06	1.642257279	-3.50066862	2024-07-18@17:03	1.5	-0.8252554386	1	1.360036513e-16	-0.3839474034	1	-2.338150319e-16	0.09905183614	v2.7.1	
1	Broyden	-203.0764139	-63.52	23.45581501	YY	12	0.3723015699	self-energy	sharp_wc_2_b_50	8	2	1.167912307	34.60036742	4.346113561e-11	-1.314534959	1.895743716	11.85448318	1.553563148e-12	44.35525776	2.47539045e-13	0.6961840785	0.01570226633	-2.279040965	1.433714844	-68.78807304	2	-1.790414701	1.193200597	a248bdd	2x2_2C_8b_C2v_L	11.97	1.365409644	2	1.580132453	1.3654096438791672	1.0000000000000004	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.0001003898305	3.336635888e-05	0.7842688196	-0.7429956056	7.033605566e-06	-6.457902367e-06	9.056559241e-06	-2.630184828e-06	0.2396378379	-0.3651241825	1.257934112	-2.933997422	1.238803596e-05	-1.341199144e-06	1.642382339	-3.500427093	2024-07-18@17:04	1.5	-0.8261804554	1	-3.068762996e-16	-0.3843893889	1	-8.051780101e-17	0.09896662205	v2.7.1	
1	Broyden	-201.2730299	-63.44	23.44245347	YY	12	0.3722093269	self-energy	sharp_wc_2_b_50	8	2	1.167597739	35.065172	1.511777951e-12	-1.312041417	1.896337133	14.34816457	1.46456022e-16	45.7949567	3.30150086e-15	0.6963720201	0.01559893304	-2.274315231	1.433362848	-67.90822081	2	-1.786934689	1.193438332	a248bdd	2x2_2C_8b_C2v_L	11.965	1.365315688	2	1.579575131	1.365315688253189	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	1.894666567e-05	-6.224784889e-06	0.7838507685	-0.7404911918	8.02228184e-08	-6.297447052e-08	-1.077396737e-06	3.038072512e-07	0.2391273195	-0.3639149097	1.25770472	-2.935787424	8.70471001e-05	-9.543863278e-06	1.642512396	-3.500181398	2024-07-18@17:06	1.5	-0.8271165242	1	-6.917980775e-16	-0.384834376	1	-1.685743975e-16	0.09887840993	v2.7.1	
1	Broyden	-204.9289218	-63.36	23.42912008	YY	12	0.372115674	self-energy	sharp_wc_2_b_50	8	2	1.167283598	34.26194564	8.591329283e-12	-1.309638223	1.896926697	9.112174518	1.569476691e-12	42.85163985	8.233196782e-14	0.696516591	0.01549521147	-2.269566917	1.43301543	-69.75791596	2	-1.783485453	1.193681104	a248bdd	2x2_2C_8b_C2v_L	11.96	1.365220389	2	1.579018514	1.3652203892098427	1.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-4.421256652e-05	1.48372547e-05	0.7834521181	-0.7380081598	-5.692954242e-06	6.44675354e-06	5.058079313e-06	-1.516381159e-06	0.2386065683	-0.3627001072	1.257466039	-2.937556613	5.057507097e-05	-5.402289377e-06	1.642647864	-3.499929769	2024-07-18@17:07	1.5	-0.8280492674	1	5.852617861e-16	-0.3852765129	1	4.737630977e-16	0.09878831966	v2.7.1	
1	Broyden	-196.8523122	-63.28	23.41592522	YY	12	0.3720196372	self-energy	sharp_wc_2_b_50	8	2	1.1669724	36.16906532	3.561288935e-13	-1.307189282	1.897506499	20.47741814	3.777964927e-15	49.33487884	1.088670644e-13	0.6966852868	0.01539595472	-2.26493309	1.432681375	-65.74125743	2	-1.780057628	1.193925977	a248bdd	2x2_2C_8b_C2v_L	11.955	1.365122549	2	1.578467194	1.3651225485780352	1.0000000000000007	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-9.454078624e-06	3.02302546e-06	0.7830450698	-0.7355581253	5.548082827e-07	-3.22021467e-07	6.63107394e-06	-1.745270199e-06	0.2381134702	-0.3615291184	1.257261934	-2.939290524	7.278744202e-05	-8.237645294e-06	1.642782042	-3.499674832	2024-07-18@17:09	1.5	-0.8289707617	1	5.712022204e-16	-0.3857123739	1	5.622056111e-16	0.09869771922	v2.7.1	
