GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	11.5	3.1695	0.29614715	-4.1994046	-4.8236586	0.66995136	-4.8227849	0.66809158	0.90558593	-4.398151	a248bdd	2x2_2C_8b_C2v_L	11.0	validity_data_2022.py	-0.03118743	1.1144403	-1.6790595	-0.092719014	1.6788975	-0.092480933	-0.15545517	-2.1862662	2024-08-14@10:13	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.29031883	-4.1819742	-4.8069062	0.6565229	-4.8071182	0.65868888	0.90312472	-4.3859326	a248bdd	2x2_2C_8b_C2v_L	10.99	validity_data_2022.py	-0.029784243	1.1133717	-1.677613	-0.090258929	1.6776785	-0.090438983	-0.15358978	-2.1855045	2024-08-14@10:14	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.26939866	-4.1663775	-4.7895396	0.64287348	-4.7902274	0.64346321	0.89439737	-4.3720826	a248bdd	2x2_2C_8b_C2v_L	10.98	validity_data_2022.py	-0.028054259	1.1125278	-1.6760775	-0.087876158	1.6761984	-0.087940491	-0.15107746	-2.1842794	2024-08-14@10:14	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.25639986	-4.1514687	-4.7747665	0.63226379	-4.7753302	0.6330837	0.8829155	-4.358216	a248bdd	2x2_2C_8b_C2v_L	10.97	validity_data_2022.py	-0.026667099	1.1117751	-1.6750251	-0.085896819	1.6751317	-0.085956919	-0.14830061	-2.1830311	2024-08-14@10:15	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.24141176	-4.1349849	-4.7599373	0.62165053	-4.7605956	0.62340808	0.87447277	-4.3452157	a248bdd	2x2_2C_8b_C2v_L	10.96	validity_data_2022.py	-0.025080683	1.1107755	-1.6739379	-0.083972398	1.6740656	-0.084137667	-0.14602174	-2.1820084	2024-08-14@10:15	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.22702581	-4.1181898	-4.7446195	0.61057211	-4.743443	0.60759747	0.86664159	-4.3318434	a248bdd	2x2_2C_8b_C2v_L	10.95	validity_data_2022.py	-0.023519034	1.1097711	-1.6727668	-0.081902209	1.6725445	-0.081624645	-0.14361115	-2.1808982	2024-08-14@10:16	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.21467966	-4.1045447	-4.7286745	0.59682543	-4.728196	0.59746617	0.85471021	-4.3182068	a248bdd	2x2_2C_8b_C2v_L	10.94	validity_data_2022.py	-0.022206567	1.1091852	-1.6714729	-0.079603345	1.6714075	-0.079635136	-0.14085178	-2.1797151	2024-08-14@10:16	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.20091272	-4.0880425	-4.7122366	0.58472875	-4.7132458	0.58536668	0.845458	-4.3048807	a248bdd	2x2_2C_8b_C2v_L	10.93	validity_data_2022.py	-0.02074653	1.1082116	-1.6701297	-0.077448967	1.6702947	-0.077598624	-0.1384088	-2.1786102	2024-08-14@10:16	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.18245825	-4.0715168	-4.696963	0.5706797	-4.699071	0.57457865	0.838005	-4.2927201	a248bdd	2x2_2C_8b_C2v_L	10.92	validity_data_2022.py	-0.019041055	1.107216	-1.6689505	-0.075313752	1.6693526	-0.075769622	-0.13635581	-2.1778354	2024-08-14@10:17	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.16659913	-4.0580171	-4.6819947	0.55819126	-4.6838252	0.56181057	0.82644226	-4.2785636	a248bdd	2x2_2C_8b_C2v_L	10.91	validity_data_2022.py	-0.017600835	1.1066159	-1.6678368	-0.073187	1.6681767	-0.073560492	-0.1335195	-2.1764849	2024-08-14@10:17	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.29614715	-4.1994046	-4.8236586	0.66995136	-4.8227849	0.66809158	0.90558593	-4.398151	a248bdd	2x2_2C_8b_C2v_L	11.0	validity_data_2022.py	-0.03118743	1.1144403	-1.6790595	-0.092719014	1.6788975	-0.092480933	-0.15545517	-2.1862662	2024-08-14@10:18	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.30739147	-4.2128506	-4.8382083	0.67863167	-4.8373871	0.6780338	0.91386423	-4.4112951	a248bdd	2x2_2C_8b_C2v_L	11.01	validity_data_2022.py	-0.032347808	1.1150695	-1.680105	-0.094400516	1.6799663	-0.094300964	-0.15764695	-2.1873349	2024-08-14@10:19	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.31987703	-4.2295176	-4.8541191	0.6904184	-4.8536733	0.68862981	0.92450281	-4.4252203	a248bdd	2x2_2C_8b_C2v_L	11.02	validity_data_2022.py	-0.033920195	1.1160681	-1.6813882	-0.09655817	1.6813001	-0.096399323	-0.16033709	-2.1886083	2024-08-14@10:19	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.33684576	-4.2486581	-4.8707792	0.69922982	-4.8710658	0.70198156	0.93440377	-4.4397159	a248bdd	2x2_2C_8b_C2v_L	11.03	validity_data_2022.py	-0.035772959	1.1173864	-1.6827877	-0.098592364	1.6828483	-0.098842024	-0.16313839	-2.190024	2024-08-14@10:20	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.34522576	-4.2626966	-4.8871222	0.71073171	-4.8876302	0.7112792	0.94078096	-4.4528741	a248bdd	2x2_2C_8b_C2v_L	11.04	validity_data_2022.py	-0.03695633	1.1180186	-1.68415	-0.1008479	1.6842296	-0.100908	-0.16541529	-2.1910624	2024-08-14@10:20	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.35568684	-4.278356	-4.9031298	0.72235381	-4.9015267	0.71934796	0.94640354	-4.4657929	a248bdd	2x2_2C_8b_C2v_L	11.05	validity_data_2022.py	-0.038320138	1.1189028	-1.6854564	-0.10294632	1.6851555	-0.10261283	-0.16742543	-2.1920412	2024-08-14@10:20	1.9492	1	0.2373	v2.7.1	
