model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.0345507	14.5	3.1695	-0.010929405	-2.9774184	-3.4700433	0.046881488	-3.4707844	0.046943421	0.080640642	-3.0867484	9.68	-0.12226229	1.0350793	-1.6024269	0.16239733	1.6026315	-0.16242566	-0.22770513	-2.129217	1.9492	1	0.2373	1.256421	1.6215851	-0.576113	-0.20017997	0.08047479	0.1211783	0.12144374	1.9464193	1.7823117	0.22594933	1.7822933	0.22575338	0.010965678	1.5378143	1.0917623	1.1229673	-0.68325456	1.6151354	-0.99909874	-1.615369	0.99848292	0.26056721	2.5101476	0.026632082	0.10987955	0.052638668	0.19782052	0.21354127	0.19783783	0.21340148	0.01110748	0.35074911	0.034795218	4.9897327	2.7970767	3.5658968	4.6996671	3.5662914	4.6993266	3.7331375	3.2412658	-69.886662	R0:N12:S0:1	-52.084	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.20e+02	 2.79e-03	2022-06-29@16:11
2x2_2C_8b_C2v_L	8.0537514	14.5	3.1695	-0.011238582	-2.9827744	-3.4787394	0.046281198	-3.477283	0.046262342	0.079255173	-3.0930504	9.69	-0.12210126	1.03529	-1.6031193	0.16192446	1.602784	-0.16187411	-0.22641374	-2.1288878	1.9492	1	0.2373	1.2569668	1.6221709	-0.57441335	-0.19869511	0.079937889	0.1212976	0.1198124	1.9467336	1.784626	0.22115322	1.7845589	0.22091617	0.01083372	1.541791	1.0923937	1.1168878	-0.68210423	1.6075987	-0.99213972	-1.6077451	0.99145536	0.25930916	2.5015366	0.026655106	0.10855938	0.052342762	0.19602627	0.20921386	0.19608402	0.20902424	0.010973913	0.34904149	0.034672723	4.9916341	2.7973867	3.5685949	4.6943792	3.5688705	4.6941959	3.7344235	3.2516713	-69.977057	R0:N12:S0:1	-52.164	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.18e+02	 4.89e-03	2022-06-29@16:13
2x2_2C_8b_C2v_L	8.0713119	14.5	3.1695	-0.012320274	-2.9914756	-3.4850659	0.044572263	-3.4859207	0.044593484	0.076248546	-3.0991199	9.7	-0.12213409	1.0363689	-1.6040116	0.16065212	1.6041982	-0.16067388	-0.22370085	-2.129414	1.9492	1	0.2373	1.2574479	1.622832	-0.57276529	-0.19747517	0.079500537	0.12146582	0.11904096	1.9469476	1.7861409	0.2174901	1.7861672	0.21751969	0.010574513	1.5443599	1.0929398	1.1143849	-0.6814559	1.6025031	-0.98596834	-1.6024969	0.98604397	0.25634833	2.4963142	0.026687143	0.10793216	0.052138545	0.1948567	0.20587406	0.19483483	0.20590121	0.010709491	0.34792363	0.034597603	4.9923913	2.7969949	3.5700288	4.6914848	3.5700461	4.6914574	3.7349128	3.2578228	-70.077333	R0:N12:S0:1	-52.244	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.18e+02	 1.46e-03	2022-06-29@16:15
2x2_2C_8b_C2v_L	8.0898097	14.5	3.1695	-0.013120749	-3.0001378	-3.4939418	0.043710982	-3.4929156	0.043711895	0.074682649	-3.1064718	9.71	-0.1219812	1.0372805	-1.6051666	0.1598711	1.6049496	-0.15984299	-0.22209316	-2.1299771	1.9492	1	0.2373	1.2579648	1.623453	-0.57108809	-0.19609887	0.079004235	0.12162065	0.117726	1.9472213	1.7881259	0.21334487	1.7880722	0.21316131	0.01040892	1.5477684	1.0935428	1.1096211	-0.68051472	1.5960143	-0.97967391	-1.5961563	0.97912694	0.25461891	2.4892133	0.02671673	0.1068612	0.051879818	0.19331042	0.20210018	0.19335677	0.20195409	0.010541076	0.34643171	0.034499443	4.9940612	2.7968562	3.5718946	4.6872684	3.5721295	4.6870935	3.7357916	3.2661617	-70.181053	R0:N12:S0:1	-52.324	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.17e+02	 2.45e-03	2022-06-29@16:17
2x2_2C_8b_C2v_L	8.1081781	14.5	3.1695	-0.014522823	-3.0068307	-3.5002623	0.042711493	-3.5003956	0.042691658	0.073028945	-3.1136701	9.72	-0.12196649	1.037731	-1.6058164	0.15880756	1.6058599	-0.15881138	-0.2201588	-2.1305597	1.9492	1	0.2373	1.2584757	1.6240827	-0.56941012	-0.19475133	0.078519743	0.1217771	0.11690515	1.9474412	1.7899705	0.20896392	1.7899755	0.20901539	0.01021103	1.5509797	1.0941344	1.1069105	-0.67976347	1.5897989	-0.97241149	-1.5897885	0.97254251	0.25244785	2.4826205	0.026746575	0.10619032	0.051669268	0.19187984	0.19813128	0.1918749	0.19817367	0.010339554	0.34500686	0.034404924	4.9945201	2.796655	3.5739877	4.6830306	3.5739209	4.683084	3.7363778	3.2738923	-70.275978	R0:N12:S0:1	-52.404	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.16e+02	 1.00e+06	2022-06-29@16:18
2x2_2C_8b_C2v_L	8.1264797	14.5	3.1695	-0.014848644	-3.0151838	-3.5059002	0.041020419	-3.509165	0.04112861	0.070056628	-3.1192201	9.73	-0.12199053	1.0386546	-1.6060347	0.15788174	1.6067278	-0.15796348	-0.21782425	-2.1302973	1.9492	1	0.2373	1.2589829	1.6247057	-0.56773395	-0.19341049	0.078034899	0.12190426	0.115664	1.9477123	1.791772	0.20501909	1.7918604	0.20505545	0.0099983442	1.5541407	1.0946944	1.1023293	-0.67891369	1.583638	-0.96583547	-1.5836651	0.96591521	0.25001174	2.4758017	0.026770919	0.10517904	0.05141298	0.19047133	0.19452821	0.19039791	0.19457077	0.010122927	0.34358797	0.034305674	4.9960656	2.7967856	3.5757236	4.6792419	3.5759119	4.679031	3.737339	3.281827	-70.370605	R0:N12:S0:1	-52.484	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.15e+02	 1.00e+06	2022-06-29@16:20
2x2_2C_8b_C2v_L	8.1443814	14.5	3.1695	-0.0156199	-3.0235332	-3.5142846	0.040646792	-3.5133559	0.04073989	0.069655139	-3.1272642	9.74	-0.12168322	1.0397405	-1.6071703	0.15721035	1.6070055	-0.15720236	-0.21693586	-2.1312191	1.9492	1	0.2373	1.2594855	1.6252877	-0.5661322	-0.19204139	0.077541674	0.1220722	0.11426547	1.9479469	1.7936919	0.20109205	1.7936092	0.20072194	0.0099007733	1.5575698	1.0953005	1.0969553	-0.67815901	1.577382	-0.95964736	-1.5777193	0.95851453	0.24906965	2.4687194	0.026802897	0.10403174	0.051192426	0.18896233	0.19094567	0.18903584	0.1906527	0.010023938	0.34204366	0.034212102	4.9981837	2.796674	3.5773385	4.6749819	3.5779282	4.6744797	3.7383413	3.289832	-70.469286	R0:N12:S0:1	-52.564	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.14e+02	 1.00e+06	2022-06-29@16:21
2x2_2C_8b_C2v_L	8.1638565	14.5	3.1695	-0.017685607	-3.0327888	-3.5224867	0.039615661	-3.521603	0.039392877	0.067656993	-3.1361537	9.75	-0.12187128	1.0400459	-1.6081335	0.15612294	1.6078653	-0.15603816	-0.21467126	-2.132198	1.9492	1	0.2373	1.2600223	1.6259613	-0.56433849	-0.19062602	0.077031474	0.12222101	0.11368421	1.948209	1.7956612	0.19615388	1.7956854	0.19637201	0.0096569011	1.5609779	1.0958999	1.0955724	-0.67715274	1.57087	-0.95086514	-1.5705932	0.95151353	0.2463448	2.4618647	0.026831254	0.10355295	0.050938766	0.18742925	0.18649447	0.18740585	0.18665941	0.0097752863	0.34047879	0.034110324	4.9978541	2.7962661	3.5801372	4.6697372	3.5796641	4.6702265	3.7385048	3.2977698	-70.578235	R0:N12:S0:1	-52.644	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.12e+02	 1.00e+06	2022-06-29@16:22
2x2_2C_8b_C2v_L	8.1812048	14.5	3.1695	-0.017628614	-3.0406441	-3.5306621	0.037506402	-3.5312079	0.037837349	0.064055667	-3.1397306	9.76	-0.12179661	1.0414875	-1.6090283	0.15509913	1.6092501	-0.15526377	-0.21198524	-2.1314998	1.9492	1	0.2373	1.2604976	1.6265732	-0.5627322	-0.1893729	0.076576803	0.12235771	0.11239731	1.9484261	1.7972642	0.19279598	1.7973056	0.19300446	0.0094381202	1.5636681	1.096425	1.0903946	-0.67664746	1.5655887	-0.94464893	-1.5654026	0.94551528	0.24365348	2.4558584	0.026857339	0.1024983	0.05073522	0.18616066	0.18340326	0.18612534	0.18357305	0.0095524037	0.33923417	0.0340255	4.9999923	2.7964662	3.5814051	4.6667243	3.581037	4.6668695	3.7397544	3.3044795	-70.676047	R0:N12:S0:1	-52.724	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.12e+02	 1.00e+06	2022-06-29@16:24
2x2_2C_8b_C2v_L	8.1992329	14.5	3.1695	-0.018584447	-3.0483849	-3.5363651	0.03831004	-3.5368027	0.037741461	0.065040398	-3.1490289	9.77	-0.12151928	1.0419767	-1.6095866	0.1548611	1.609567	-0.15468282	-0.21201408	-2.1326375	1.9492	1	0.2373	1.2610087	1.6271202	-0.56115513	-0.18793461	0.076059087	0.1225218	0.11093294	1.9486933	1.799199	0.1883276	1.7992405	0.18858923	0.0093996372	1.5674362	1.0970454	1.0847908	-0.67559765	1.5591088	-0.93739698	-1.5589514	0.93790799	0.24356717	2.4481408	0.026888611	0.10128987	0.050482876	0.18464149	0.17936358	0.18460036	0.17957561	0.0095136532	0.33748769	0.033924779	5.0022541	2.7962198	3.583567	4.6611994	3.5831877	4.661724	3.7407052	3.3130243	-70.773257	R0:N12:S0:1	-52.804	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.11e+02	 1.00e+06	2022-06-29@16:25
