model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.2118634	9.5	3.1695	-0.30612181	-3.2636006	-3.2989228	0.016704457	-3.2974806	0.01672811	0.02692906	-3.0333071	9.91	-0.18610276	1.0374955	-1.5126074	-0.13617018	1.5123052	0.13616506	0.17459973	-2.015125	1.9492	1	0.2373	1.2319862	1.6756398	-0.64748973	-0.26406497	0.1067265	0.32910384	0.14127815	1.9360316	1.6575478	0.055235766	1.6574382	0.055190691	0.0026742037	1.2411123	1.3133728	1.5118962	-0.55355448	1.9286972	0.67852028	-1.9289563	-0.67821457	-0.1848562	3.4069828	0.053743415	0.1272066	0.062700238	0.32201877	0.055117206	0.32211331	0.055073572	0.0026741443	0.46903513	0.058427015	5.6807031	1.5287181	3.4618033	5.1728241	3.4618852	5.1728778	4.0338944	1.466109	-74.386811	R0:N12:S0:1	-53.924	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	226.0	0.00172	2022-07-12@19:45
2x2_2C_8b_C2v_L	7.2162966	9.5	3.1695	-0.30323055	-3.2653882	-3.3035457	0.015491398	-3.3035922	0.015468866	0.025700637	-3.0386498	9.92	-0.18429091	1.0379625	-1.5124524	-0.13555828	1.5124416	0.13557122	0.17370625	-2.0147404	1.9492	1	0.2373	1.2321373	1.6757437	-0.64720358	-0.26358478	0.10656127	0.32958724	0.13730949	1.9368213	1.6581092	0.054161489	1.6581955	0.054198218	0.0026497175	1.2422985	1.3140642	1.4924167	-0.54900422	1.9273625	0.6726721	-1.9269845	-0.67295325	-0.18393348	3.4052928	0.05377287	0.12401868	0.061991301	0.32163841	0.054047236	0.32157601	0.054082635	0.002649699	0.46892273	0.058368712	5.7126279	1.5227253	3.462949	5.1734993	3.4628434	5.1738094	4.0345105	1.469537	-74.462197	R0:N12:S0:1	-54.004	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	227.0	0.00213	2022-07-12@19:47
2x2_2C_8b_C2v_L	7.2265209	9.5	3.1695	-0.30865948	-3.2754571	-3.3099015	0.016553025	-3.311665	0.016502636	0.026997976	-3.0467908	9.93	-0.18436735	1.0386417	-1.5127248	-0.13447565	1.5130563	0.13450192	0.17271023	-2.0152079	1.9492	1	0.2373	1.2324046	1.6761941	-0.64622945	-0.26286243	0.10630788	0.32987848	0.13694484	1.9369449	1.6588605	0.052307477	1.659133	0.052413885	0.0026072653	1.242849	1.3144848	1.4911279	-0.54840051	1.924798	0.66259978	-1.9238556	-0.66339653	-0.18257408	3.4048558	0.053792397	0.12372555	0.061874941	0.32125199	0.052201138	0.32103757	0.052303963	0.0026072224	0.46884773	0.058334771	5.7151908	1.5215603	3.4666809	5.1754533	3.4664212	5.1759241	4.0343233	1.470301	-74.571114	R0:N12:S0:1	-54.084	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	227.0	0.00299	2022-07-12@19:48
2x2_2C_8b_C2v_L	7.2324642	9.5	3.1695	-0.30779609	-3.2793884	-3.3172443	0.01573877	-3.317322	0.015720649	0.026089099	-3.0528552	9.94	-0.18311382	1.0390766	-1.5130814	-0.13409655	1.513089	0.1340792	0.17210426	-2.0149671	1.9492	1	0.2373	1.2325793	1.6764221	-0.64572957	-0.2623682	0.10613422	0.33028275	0.13393113	1.9375641	1.6595891	0.051377357	1.6595953	0.051369429	0.0025880181	1.2437577	1.315057	1.4762588	-0.54486472	1.9227703	0.65773007	-1.9227492	-0.65767987	-0.18188226	3.4035954	0.053816963	0.12128949	0.061317292	0.32074909	0.051272007	0.32074482	0.05126405	0.002587994	0.46876219	0.058288427	5.7395125	1.5168273	3.4678022	5.176456	3.4678224	5.1764646	4.0348231	1.4728192	-74.658066	R0:N12:S0:1	-54.164	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	228.0	0.00347	2022-07-12@19:49
2x2_2C_8b_C2v_L	7.2406931	9.5	3.1695	-0.31151326	-3.2871873	-3.3247639	0.016666267	-3.3240845	0.016718771	0.027289664	-3.0603179	9.95	-0.18268536	1.0396501	-1.5135423	-0.13307816	1.5134242	0.13307779	0.17114453	-2.0151931	1.9492	1	0.2373	1.2328052	1.6767481	-0.64499263	-0.26172432	0.1059096	0.3306093	0.13273855	1.937828	1.6604786	0.0497466	1.6603578	0.049706102	0.0025503736	1.244466	1.315532	1.4705568	-0.5434034	1.9199259	0.6486734	-1.9203654	-0.64835724	-0.18063227	3.4028278	0.053837765	0.12032175	0.06107642	0.32021528	0.049646194	0.32030883	0.049607127	0.002550339	0.46867522	0.058247228	5.7489526	1.5146021	3.4708207	5.1782945	3.4709275	5.1780389	4.0348505	1.4742821	-74.759664	R0:N12:S0:1	-54.244	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	228.0	0.00166	2022-07-12@19:51
2x2_2C_8b_C2v_L	7.2452863	9.5	3.1695	-0.30970672	-3.2901707	-3.3305367	0.015870969	-3.3303763	0.015890904	0.026508491	-3.0664899	9.96	-0.18108735	1.0401449	-1.5136319	-0.13246533	1.5136158	0.13247531	0.17036198	-2.0150734	1.9492	1	0.2373	1.2329545	1.6768733	-0.64467008	-0.26125742	0.10574977	0.33104578	0.12930272	1.9385131	1.6610727	0.04870057	1.661025	0.048692472	0.0025273429	1.2455465	1.3161549	1.4530923	-0.53945243	1.9184135	0.64270064	-1.9186084	-0.64262268	-0.17976727	3.4013347	0.053863849	0.1175221	0.060459824	0.31981297	0.048603535	0.31984794	0.048595968	0.0025273357	0.46856436	0.058193975	5.7769565	1.5093023	3.4720468	5.1790908	3.4720741	5.1789471	4.0352936	1.4773035	-74.842785	R0:N12:S0:1	-54.324	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	229.0	0.00141	2022-07-12@19:52
2x2_2C_8b_C2v_L	7.2549954	9.5	3.1695	-0.31550702	-3.2996605	-3.3375886	0.017251865	-3.3378951	0.01724479	0.028088369	-3.0742622	9.97	-0.18122961	1.0406251	-1.5140105	-0.13154286	1.5140789	0.13154383	0.16955049	-2.0153401	1.9492	1	0.2373	1.2332034	1.6773255	-0.64372021	-0.26060628	0.10551733	0.33132176	0.12907771	1.938603	1.661754	0.047099287	1.6617635	0.047104427	0.0024914861	1.2459392	1.3165419	1.4524016	-0.53900271	1.9160556	0.63354891	-1.916061	-0.63357996	-0.17861847	3.4010665	0.053882451	0.11733934	0.060374043	0.31945699	0.047008054	0.31944664	0.047013124	0.0024914503	0.46851338	0.058166924	5.7785832	1.5082943	3.4752954	5.180927	3.4752912	5.1808638	4.0352663	1.4777069	-74.949998	R0:N12:S0:1	-54.404	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	230.0	0.00134	2022-07-12@19:53
2x2_2C_8b_C2v_L	7.2550284	9.5	3.1695	-0.31091745	-3.2913447	-3.3434495	0.017650819	-3.3446148	0.017656205	0.028510364	-3.0822113	9.98	-0.17829084	1.0401298	-1.5140461	-0.13093145	1.5142871	0.13094271	0.1689716	-2.015602	1.9492	1	0.2373	1.2332686	1.6770991	-0.64400508	-0.26021834	0.10539897	0.33180564	0.12396413	1.9394667	1.6625666	0.045966535	1.6626603	0.046000019	0.0024806403	1.247804	1.3172728	1.4247637	-0.53367134	1.9142344	0.6268958	-1.9139909	-0.62715234	-0.17799945	3.3984453	0.053907862	0.11314003	0.059604209	0.31884974	0.045878431	0.31876994	0.045911036	0.002480674	0.46828301	0.058083962	5.8212679	1.5010306	3.4761708	5.1812945	3.4761041	5.1812866	4.0351839	1.4831913	-75.01275	R0:N12:S0:1	-54.484	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	232.0	0.00588	2022-07-12@19:55
2x2_2C_8b_C2v_L	7.2668385	9.5	3.1695	-0.31762397	-3.3096201	-3.3513703	0.017941388	-3.3507698	0.017927305	0.029061705	-3.089381	9.99	-0.17920478	1.0414863	-1.5146245	-0.13006379	1.5144866	0.13005736	0.16809465	-2.0158436	1.9492	1	0.2373	1.2335501	1.6777456	-0.64274195	-0.25957984	0.1051623	0.33204719	0.12452641	1.9395267	1.6630964	0.04463087	1.6630878	0.044623801	0.0024393973	1.2477415	1.3175818	1.4290214	-0.53368016	1.912194	0.61902001	-1.9121389	-0.61897989	-0.17675452	3.3988567	0.053926124	0.11360476	0.059538809	0.31860441	0.044547108	0.31861752	0.044540067	0.0024393764	0.46829987	0.058076252	5.8158662	1.5008244	3.4791609	5.1832228	3.479158	5.1833885	4.0353735	1.4821407	-75.13714	R0:N12:S0:1	-54.564	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	231.0	0.000775	2022-07-12@19:58
2x2_2C_8b_C2v_L	7.2717629	9.5	3.1695	-0.3166005	-3.3178084	-3.3579702	0.017147282	-3.3579456	0.017155247	0.028334123	-3.0948624	10.0	-0.17801562	1.042444	-1.5148536	-0.12946457	1.5148527	0.12945426	0.16730695	-2.0155051	1.9492	1	0.2373	1.2336996	1.6779143	-0.64235176	-0.25913744	0.10501262	0.33243794	0.1216637	1.94016	1.6636818	0.043681168	1.6636529	0.043667343	0.0024138072	1.2485418	1.3181344	1.4143436	-0.53019844	1.9105911	0.61329355	-1.9107157	-0.61318134	-0.17586317	3.3977033	0.053949592	0.11123967	0.058964471	0.31820969	0.043599847	0.31823108	0.043586323	0.0024137915	0.46822777	0.058031489	5.839097	1.4962624	3.4803446	5.1841786	3.4803874	5.1840734	4.0360898	1.4844104	-75.233366	R0:N12:S0:1	-54.644	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	233.0	0.00467	2022-07-12@20:01
