model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.947281	9.5	3.1695	0.019997417	-3.5729789	-3.8863666	0.02987549	-3.8819153	0.028861737	0.026919294	-3.6243664	11	-0.073776086	1.0415677	-1.4968716	-0.12879688	1.4958975	-0.12847132	-0.16655668	-1.9608949	1.9492	1	0.2373	1.2483319	1.7305421	-0.56115984	-0.23624912	0.095101781	0.36613434	0.0060145828	1.9576702	1.6617748	0.0130553	1.6614475	0.012985575	0.0021485475	1.251988	1.3582289	0.34250408	-0.41076139	1.8935572	0.38281703	-1.8944177	0.38174791	0.16981672	3.3783068	0.05602241	0.0059909609	0.043725331	0.32413772	0.013037918	0.32441813	0.012968514	0.002147969	0.4723325	0.057525503	6.9373891	1.2810954	3.5001895	5.2877194	3.5003257	5.2878359	4.1474225	1.5072428	-83.160774	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.79e+02	 1.00e+06	2022-07-13@09:12
2x2_2C_8b_C2v_L	7.7889932	9.8333333	3.1695	-0.00032335142	-3.7384498	-4.1907677	0.0782325	-4.1907498	0.078234776	0.073665161	-3.892048	11	-0.075789277	1.053361	-1.5497096	-0.14473366	1.5497073	-0.14473459	-0.19166585	-2.0261749	1.9492	1	0.2373	1.2471485	1.7046418	-0.58944816	-0.2298563	0.093985229	0.33051806	0.0059996104	1.9559642	1.6979876	0.013771677	1.6979845	0.0137716	0.0026551988	1.3217382	1.3225318	0.33898035	-0.45209333	1.8375815	0.39358473	-1.8375945	0.39358311	0.1836432	3.262059	0.053660392	0.0059760322	0.045306117	0.28939245	0.01375042	0.28939482	0.013750346	0.0026550979	0.45414087	0.055003314	6.773061	1.4528299	3.4895699	5.1443535	3.489572	5.1443425	4.0364037	1.7690676	-84.832908	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.12e+02	 4.52e-03	2022-07-13@09:14
2x2_2C_8b_C2v_L	7.634697	10.166667	3.1695	0.069135742	-4.0383585	-4.6161075	0.17449525	-4.616074	0.17448434	0.21810058	-4.2595167	11	-0.09479105	1.0897018	-1.6253627	-0.17040913	1.6253561	-0.17040448	-0.23735574	-2.1240097	1.9492	1	0.2373	1.2460514	1.6743634	-0.61798051	-0.22184048	0.092486584	0.29632812	0.0078191941	1.9549771	1.7321011	0.014800422	1.7320988	0.014799597	0.0035713403	1.3879711	1.2879653	0.38623651	-0.48867321	1.7725109	0.41134811	-1.7725197	0.41133597	0.20898398	3.1372983	0.050766063	0.0077793918	0.046105227	0.25692417	0.014773282	0.25692613	0.014772461	0.0035720349	0.43188965	0.052065799	6.5913998	1.6192968	3.4927634	5.0083783	3.4927661	5.0083742	3.9311821	2.0407815	-87.595874	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 3.46e+02	 5.05e-03	2022-07-13@09:15
2x2_2C_8b_C2v_L	7.7388512	10.5	3.1695	0.33713065	-4.2789845	-4.9197838	0.47870391	-4.919762	0.47874425	0.55631846	-4.4668973	11	-0.11001997	1.1228736	-1.6862473	-0.19196382	1.6862416	-0.19196364	-0.26415509	-2.1885833	1.9492	1	0.2373	1.2498138	1.6656864	-0.61227059	-0.2089884	0.087478263	0.27200617	0.0079783109	1.9551516	1.7573924	0.013355727	1.7573939	0.013355346	0.0037686209	1.436528	1.263769	0.39204447	-0.51219198	1.7144556	0.398733	-1.7144454	0.39872969	0.21465275	3.032591	0.048360159	0.0079374406	0.045771147	0.23311599	0.013330815	0.23311496	0.013330433	0.0037690651	0.4126522	0.049527675	6.4561415	1.7472046	3.5037918	4.9141084	3.5037876	4.914124	3.8711229	2.2561231	-89.485929	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 4.38e+02	 8.61e-04	2022-07-13@09:16
2x2_2C_8b_C2v_L	7.9163529	10.833333	3.1695	0.42897402	-4.2576733	-4.9010073	0.65260375	-4.9000418	0.65239332	0.78117568	-4.4599189	11	-0.086500105	1.1202844	-1.6868967	-0.16647404	1.6867324	-0.16641447	-0.23963181	-2.193509	1.9492	1	0.2373	1.2549821	1.6658809	-0.59672003	-0.19522753	0.082059983	0.25602968	0.0047510932	1.9553184	1.7741688	0.0089949218	1.7741379	0.008988186	0.0029608371	1.4749232	1.2489391	0.29972141	-0.53102504	1.6700014	0.32783714	-1.6701118	0.32771137	0.1893053	2.9400034	0.046677424	0.0047366123	0.045510279	0.21739091	0.0089830231	0.21741875	0.008976312	0.0029612047	0.3957708	0.047445614	6.3693689	1.8534527	3.5089958	4.8647614	3.5090102	4.8647608	3.847929	2.4327256	-88.992704	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.88e+03	 1.22e-03	2022-07-13@09:17
2x2_2C_8b_C2v_L	8.0848848	11.166667	3.1695	0.43587785	-4.2388446	-4.8619388	0.68703732	-4.8616203	0.68669842	0.84389813	-4.4195706	11	-0.061799773	1.1184825	-1.6826015	-0.13011882	1.6825302	-0.13007266	-0.1952639	-2.1870668	1.9492	1	0.2373	1.2597743	1.6658911	-0.5816114	-0.18248795	0.076998463	0.24100587	0.0025060267	1.9555394	1.7892782	0.0055254145	1.7892883	0.0055233989	0.0019947073	1.5102923	1.2350131	0.21463709	-0.54918923	1.627511	0.25448675	-1.6274305	0.25443965	0.153916	2.8480539	0.044973603	0.0025019838	0.045185982	0.20315137	0.0055208842	0.20314394	0.0055188703	0.0019950443	0.37873352	0.045404474	6.2723413	1.9593244	3.5144519	4.8184115	3.5143958	4.8185635	3.8343038	2.5972266	-88.356878	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 4.17e+02	 1.72e-03	2022-07-13@09:18
2x2_2C_8b_C2v_L	8.2446386	11.5	3.1695	0.43584801	-4.2333122	-4.8505304	0.69143293	-4.850348	0.69110161	0.85753928	-4.3980305	11	-0.038807076	1.1190695	-1.6838485	-0.096660605	1.68382	-0.096623097	-0.15271324	-2.1858312	1.9492	1	0.2373	1.2641866	1.6658464	-0.5668969	-0.17079129	0.072314644	0.22643261	0.0010170172	1.9558815	1.8033491	0.0031117176	1.8033418	0.0031099959	0.0012551991	1.5436563	1.2213194	0.13479987	-0.5655674	1.5855598	0.18883334	-1.5855946	0.18877547	0.12075016	2.756407	0.043191921	0.0010163496	0.044740234	0.18984869	0.0031102764	0.18985511	0.0031085567	0.0012554141	0.3613153	0.043376895	6.1700947	2.0622455	3.52186	4.7718416	3.5218735	4.7718174	3.8221124	2.7518227	-87.937082	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.88e+02	 9.14e-04	2022-07-13@09:19
2x2_2C_8b_C2v_L	8.3956156	11.833333	3.1695	0.435759	-4.2349911	-4.8447514	0.69124495	-4.8446533	0.6909064	0.86006508	-4.3854366	11	-0.0061427098	1.1205744	-1.68657	-0.066534548	1.6865579	-0.066506447	-0.11535598	-2.1872898	1.9492	1	0.2373	1.2682464	1.6657592	-0.55265721	-0.16006301	0.067989931	0.21272347	2.6081987e-05	1.9563739	1.8160357	0.0015028553	1.8160297	0.0015019481	0.0007387382	1.5745327	1.2083146	0.021287197	-0.57956915	1.5454893	0.12977945	-1.545523	0.12973591	0.091627593	2.6668713	0.041403928	2.6081547e-05	0.044149189	0.17782457	0.001502518	0.17782983	0.0015016113	0.0007388394	0.34403984	0.041415631	6.0674395	2.1602056	3.5308165	4.7272394	3.5308346	4.7272033	3.8120171	2.8937344	-87.604547	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.13e+02	 2.54e-03	2022-07-13@09:20
2x2_2C_8b_C2v_L	8.5386052	12.166667	3.1695	0.43575191	-4.2440395	-4.8476593	0.6910408	-4.8475995	0.690701	0.85950454	-4.3863773	11	0.00029563268	1.1241587	-1.6908992	-0.030937802	1.6908871	-0.030919212	-0.080599657	-2.1923829	1.9492	1	0.2373	1.2719857	1.6656735	-0.53884353	-0.15023144	0.064004065	0.19982062	6.1420078e-08	1.9568989	1.8276104	0.00032935321	1.8276118	0.00032905977	0.00037206554	1.6030047	1.1959609	-0.0010188598	-0.59207582	1.5066888	0.06013249	-1.5066769	0.060104172	0.064335762	2.5799577	0.039620038	6.1420075e-08	0.043529776	0.16684273	0.00032933694	0.16684163	0.00032904353	0.0003720974	0.32711621	0.039519107	5.9620365	2.2539993	3.54131	4.6850811	3.5412986	4.6851055	3.8035655	3.0230747	-87.37863	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 7.68e+01	 1.56e-03	2022-07-13@09:21
2x2_2C_8b_C2v_L	8.6726579	12.5	3.1695	0.43575191	-4.2588147	-4.8620226	0.69113781	-4.8619874	0.69079734	0.85942603	-4.3898089	11	2.5408872e-06	1.1275326	-1.6976537	-0.0028179028	1.6976475	-0.0028151547	-0.048626311	-2.197791	1.9492	1	0.2373	1.2754032	1.6655281	-0.52562529	-0.1412779	0.060354914	0.18778656	0	1.9576082	1.8379894	2.755204e-06	1.8379899	2.7506815e-06	0.00013937346	1.6289743	1.1843233	-8.6920789e-06	-0.60174728	1.4700234	0.0054470072	-1.4700186	0.0054423815	0.039005581	2.4965471	0.037868664	0	0.042736258	0.15696669	2.7552029e-06	0.1569663	2.7506803e-06	0.00013937863	0.31086161	0.037711126	5.8619051	2.3417486	3.5529154	4.6449815	3.5529097	4.6449928	3.7973752	3.1392516	-87.239851	R0:N12:S0:1	-62.644	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 5.61e+01	 1.22e-02	2022-07-13@09:21
