model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	20.358847	12	7	-3.2020495e-05	-1.9000983	-2.1930292	0.21499207	-2.1930307	0.2149948	0.26936971	-1.4545276	11.6	0.12301139	-0.77619909	1.2251426	-0.23867984	-1.2251436	0.23868065	0.39665926	-1.5908161	1.5	1	1e-09	1.1850562	1.61617	-0.75749504	-0.37286887	0.14945892	0.32618292	0.11324395	1.934591	1.5939467	0.19104034	1.593945	0.19103802	0.022457695	1.1078083	1.3129822	-1.2396693	0.55231727	-2.0976664	1.1227185	2.0976736	-1.122711	-0.55686952	3.3318499	0.054000579	0.10366131	0.064675068	0.35688968	0.18799716	0.35689086	0.18799522	0.022245767	0.48872221	0.058575452	5.9008016	1.6454018	3.2059698	5.0141873	3.2059724	5.0141849	4.3863913	1.6394918	-69.23408	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.38e+02	 5.05e-03	2022-06-16@12:20
2x2_2C_8b_C2v_L	19.075804	12	6.5743889	-0.0090513571	-2.0157122	-2.3225154	0.21332598	-2.3225153	0.21332595	0.26649316	-1.624414	11.377778	0.12416862	-0.8041004	1.2694461	-0.22822382	-1.2694461	0.22822388	0.3679099	-1.6584195	1.5499111	1	0.026366668	1.1948107	1.6174266	-0.74307083	-0.34854625	0.13998401	0.30466427	0.11534723	1.9346635	1.6218203	0.17938292	1.6218203	0.17938296	0.017767612	1.1671103	1.2906762	-1.2440103	0.57437251	-2.047219	1.0787857	2.0472192	-1.0787857	-0.48376398	3.2859346	0.052157016	0.10532567	0.064497656	0.3352984	0.17653865	0.33529843	0.17653869	0.017662661	0.48208722	0.056840879	5.8078398	1.7422063	3.2427715	4.9824624	3.2427714	4.9824623	4.2951895	1.7370636	-69.298836	R0:N12:S0:1	-38.427111	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.40e+02	 3.02e-03	2022-06-16@12:22
2x2_2C_8b_C2v_L	17.743613	12	6.1487778	-0.018281865	-2.1377005	-2.4510304	0.20301828	-2.4510336	0.20301762	0.25220949	-1.7977485	11.155556	0.12685606	-0.83259521	1.311957	-0.21804408	-1.3119578	0.21804393	0.34235023	-1.7223401	1.5998222	1	0.052733334	1.2034455	1.6192521	-0.72814734	-0.32721934	0.13168485	0.28507065	0.11900419	1.9346214	1.6448512	0.17133977	1.6448512	0.17133984	0.014486294	1.2187791	1.2701817	-1.2570673	0.59535728	-2.0026066	1.0443469	2.0026075	-1.0443465	-0.42599216	3.234585	0.050276892	0.10827883	0.064427462	0.31688615	0.16858898	0.31688612	0.16858908	0.014442852	0.47329254	0.055120343	5.7103798	1.8345473	3.2730597	4.949839	3.2730596	4.9498383	4.2105841	1.8487552	-69.395908	R0:N12:S0:1	-40.054222	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.40e+02	 6.10e-03	2022-06-16@12:23
2x2_2C_8b_C2v_L	16.356454	12	5.7231667	-0.025906356	-2.2622408	-2.586771	0.18648325	-2.5867846	0.18647695	0.23068692	-1.9777504	10.933333	0.12930813	-0.86179806	1.3542962	-0.21040425	-1.3542983	0.21040332	0.32235372	-1.7843997	1.6497333	1	0.079100001	1.2108412	1.6203922	-0.71459221	-0.3086558	0.12449963	0.26716938	0.12091296	1.9349213	1.6641515	0.1670951	1.6641562	0.16710246	0.012384331	1.2643883	1.251222	-1.2618461	0.61262255	-1.9638507	1.0219899	1.9638331	-1.0220154	-0.38311187	3.1800484	0.048383383	0.1098051	0.064074312	0.30099563	0.164305	0.30099193	0.16431139	0.012378426	0.46323232	0.053446018	5.6303341	1.9198001	3.2976795	4.9153704	3.2976681	4.9153781	4.1325161	1.9672855	-69.559843	R0:N12:S0:1	-41.681333	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.40e+02	 5.04e-03	2022-06-16@12:25
2x2_2C_8b_C2v_L	14.924948	12	5.2975556	-0.033534264	-2.3794847	-2.7248055	0.16936628	-2.7247979	0.16937045	0.20909392	-2.1591528	10.711111	0.13200502	-0.88963016	1.3963677	-0.20371586	-1.3963668	0.20371625	0.3051168	-1.8447509	1.6996444	1	0.10546667	1.2172482	1.6211258	-0.7021904	-0.2924502	0.11820423	0.25106202	0.12361362	1.9350824	1.6805788	0.16471636	1.6805754	0.16471057	0.010931603	1.304119	1.2339181	-1.2705947	0.62807962	-1.9291884	1.0066694	1.9292021	-1.0066487	-0.34934871	3.1264221	0.046533645	0.11198395	0.063847977	0.28726749	0.16183559	0.28727017	0.16183057	0.010950803	0.4526032	0.051866694	5.5529056	1.9974456	3.3200929	4.8828051	3.3201025	4.882798	4.0613974	2.0833196	-69.738813	R0:N12:S0:1	-43.308444	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.40e+02	 5.79e-03	2022-06-16@12:27
2x2_2C_8b_C2v_L	13.451435	12	4.8719444	-0.040299503	-2.4948687	-2.861459	0.15157278	-2.8614779	0.15157141	0.1873676	-2.3414333	10.488889	0.13443596	-0.91710158	1.4371375	-0.19804983	-1.4371409	0.19804984	0.29056573	-1.9033401	1.7495556	1	0.13183333	1.2227097	1.6213313	-0.69133145	-0.27850464	0.11275724	0.23653725	0.12626606	1.9352823	1.6940899	0.16481004	1.6940926	0.16481378	0.0099706363	1.3385868	1.218022	-1.2795316	0.64134299	-1.899863	0.99927712	1.8998543	-0.99929093	-0.32323167	3.075142	0.044747572	0.11412143	0.063593121	0.27574184	0.16176048	0.2757397	0.16176371	0.010007866	0.44194011	0.05041285	5.4823882	2.0678894	3.3392991	4.8525523	3.3392935	4.8525556	3.9967153	2.1935163	-69.923615	R0:N12:S0:1	-44.935556	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.41e+02	 5.66e-03	2022-06-16@12:29
2x2_2C_8b_C2v_L	11.941423	12	4.4463333	-0.044324447	-2.5917265	-2.994286	0.13399667	-2.9942826	0.13399435	0.16771621	-2.5222756	10.266667	0.13584669	-0.94204679	1.476227	-0.19262007	-1.476226	0.19261925	0.2778734	-1.9599907	1.7994667	1	0.1582	1.2273602	1.6210252	-0.68206597	-0.26651284	0.10802492	0.22347643	0.12818238	1.9354388	1.705139	0.16721479	1.7051387	0.16721464	0.0093779715	1.3685745	1.2034298	-1.2843054	0.65245567	-1.8755693	0.99849651	1.8755702	-0.99849495	-0.30292082	3.0271665	0.043044274	0.11566618	0.063393883	0.266106	0.16390225	0.26610622	0.16390214	0.0094300309	0.43154863	0.049093481	5.4233602	2.1309172	3.3554896	4.8253949	3.3554896	4.8253953	3.937752	2.2957753	-70.061366	R0:N12:S0:1	-46.562667	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.44e+02	 6.91e-03	2022-06-16@12:31
2x2_2C_8b_C2v_L	10.410393	12	4.0207222	-0.045405541	-2.6762523	-3.126615	0.1222916	-3.1266201	0.12228807	0.15616274	-2.7042086	10.044444	0.13615324	-0.96538671	1.5148986	-0.18815756	-1.5148982	0.18815573	0.26756667	-2.0163501	1.8493778	1	0.18456667	1.2315616	1.6211246	-0.67315221	-0.25587954	0.10379006	0.21175219	0.12922203	1.9356838	1.7148405	0.17033078	1.7148408	0.17033036	0.0090585572	1.3954505	1.1900607	-1.285285	0.66106012	-1.8538692	1.0014866	1.8538684	-1.0014844	-0.28752277	2.9821605	0.04143541	0.11650286	0.063119956	0.25760148	0.16671791	0.2576012	0.16671749	0.009123531	0.42141035	0.04789909	5.3748633	2.1861918	3.3711529	4.8005012	3.3711537	4.8005019	3.8827469	2.3906929	-70.186854	R0:N12:S0:1	-48.189778	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.48e+02	 2.64e-03	2022-06-16@12:34
2x2_2C_8b_C2v_L	8.8493093	12	3.5951111	-0.044028012	-2.7574502	-3.2553173	0.11424478	-3.2553465	0.11425171	0.14853391	-2.884138	9.8222222	0.13659824	-0.98817725	1.5523471	-0.18494117	-1.5523541	0.1849427	0.25948117	-2.0711435	1.8992889	1	0.21093333	1.2350749	1.6207077	-0.66585294	-0.24694624	0.10018061	0.20112113	0.13108571	1.9358088	1.722365	0.17565939	1.7223637	0.17565355	0.008956725	1.4180892	1.1775045	-1.2909744	0.66885984	-1.8375567	1.0110506	1.8375682	-1.0110307	-0.27643363	2.9426414	0.03991335	0.11800253	0.062957613	0.25082908	0.17165471	0.25083014	0.1716498	0.0090333477	0.41212859	0.046880203	5.3269504	2.2359185	3.3844863	4.7784449	3.3844992	4.7784325	3.8318257	2.4742805	-70.297638	R0:N12:S0:1	-49.816889	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.55e+02	 6.32e-03	2022-06-16@12:36
2x2_2C_8b_C2v_L	7.260094	12	3.1695	-0.039231291	-2.805773	-3.3899307	0.11234529	-3.3899228	0.11234221	0.14757895	-3.0671064	9.6	0.13528092	-1.0065476	1.5907615	-0.18392573	-1.5907589	0.18392488	0.25432164	-2.1262462	1.9492	1	0.2373	1.23798	1.6194064	-0.66054564	-0.23923719	0.097035531	0.19149	0.13109632	1.935924	1.7287114	0.18259969	1.7287125	0.18260289	0.0091602416	1.4382989	1.1657235	-1.2872618	0.6740951	-1.8249889	1.0264474	1.8249821	-1.0264586	-0.27004906	2.9069731	0.038479508	0.11802293	0.062823831	0.24501349	0.1781237	0.24501262	0.17812632	0.0092520458	0.40335778	0.046006828	5.2951434	2.2778351	3.39669	4.7573429	3.3966834	4.757349	3.7833851	2.5496129	-70.384699	R0:N12:S0:1	-51.444	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.64e+02	 4.07e-03	2022-06-16@12:37
