GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	3.4314	0.17589828	-2.5809871	-3.4803936	0.28292949	-3.4796964	0.28283485	0.35142546	-3.2659247	a248bdd	2x2_2C_8b_C2v_L	10.22	validity_data_2022.py	-0.11324898	1.0374884	-1.6219877	0.20838286	1.6218405	-0.2083367	-0.29206813	-2.1743619	2024-08-14@12:02	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.17556251	-2.5938485	-3.4903758	0.28245826	-3.4891367	0.28194412	0.35057213	-3.274537	a248bdd	2x2_2C_8b_C2v_L	10.23	validity_data_2022.py	-0.1134998	1.0387034	-1.622762	0.20853427	1.6224494	-0.20838601	-0.29207677	-2.1746143	2024-08-14@12:03	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.17256349	-2.6118718	-3.5010907	0.27615646	-3.501616	0.27654302	0.34448147	-3.2852358	a248bdd	2x2_2C_8b_C2v_L	10.24	validity_data_2022.py	-0.11441111	1.0406041	-1.6233364	0.20871129	1.6235004	-0.20877676	-0.29241757	-2.1752587	2024-08-14@12:03	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.02131331	-3.0353613	-3.7106653	0.13438313	-3.7111864	0.13419168	0.15534203	-3.5146429	a248bdd	2x2_2C_8b_C2v_L	10.67	validity_data_2022.py	0.09361912	1.0626164	-1.6058297	-0.18284304	1.6059492	0.18274057	0.25493495	-2.1382741	2024-08-14@13:32	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.023320517	-3.0274355	-3.7133671	0.13762575	-3.7126156	0.13756313	0.16027653	-3.5150572	a248bdd	2x2_2C_8b_C2v_L	10.66	validity_data_2022.py	0.09415123	1.0623976	-1.6077673	-0.1840992	1.6076082	0.18403496	0.25703643	-2.1407465	2024-08-14@13:34	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.02431087	-3.0198506	-3.7075487	0.13811061	-3.7073787	0.13805081	0.16178268	-3.510488	a248bdd	2x2_2C_8b_C2v_L	10.65	validity_data_2022.py	0.094445336	1.0621621	-1.6078549	-0.18420683	1.6077964	0.18422003	0.25753924	-2.1416416	2024-08-14@13:36	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.026762756	-3.0105065	-3.705348	0.14070422	-3.7052144	0.14056479	0.16688427	-3.5086503	a248bdd	2x2_2C_8b_C2v_L	10.64	validity_data_2022.py	0.094926536	1.0618186	-1.6087436	-0.18488278	1.608661	0.18484861	0.25905823	-2.143473	2024-08-14@13:37	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.028148914	-3.0046663	-3.7022214	0.14246567	-3.702674	0.1424927	0.16975863	-3.5063343	a248bdd	2x2_2C_8b_C2v_L	10.63	validity_data_2022.py	0.09537823	1.0618275	-1.6093943	-0.18566271	1.6094887	0.18565673	0.26039344	-2.1450853	2024-08-14@13:38	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.029182628	-2.996877	-3.6997098	0.14285037	-3.699727	0.1426517	0.17137216	-3.5024264	a248bdd	2x2_2C_8b_C2v_L	10.62	validity_data_2022.py	0.095673554	1.0616697	-1.6101727	-0.18581605	1.6101597	0.1857352	0.2608567	-2.1462356	2024-08-14@13:39	2.0425	1	0.2353	v2.7.1	
YY	9.5	3.4314	0.032146143	-2.9850746	-3.6946645	0.14554117	-3.6959088	0.14573428	0.17667069	-3.4993443	a248bdd	2x2_2C_8b_C2v_L	10.61	validity_data_2022.py	0.096223896	1.0609303	-1.6104381	-0.18641377	1.6107246	0.18648849	0.26225812	-2.1477097	2024-08-14@13:41	2.0425	1	0.2353	v2.7.1	
