model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.22	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1e-09	1e-09	1e-09	1.3333333	2	0	0	0	0.99807491	9.6462813e-06	0.0019859215	1.9970769	4.3993562e-05	0.0084553153	4.3780395e-05	8.5149159e-05	1.9999999	1.9980748	0.017557842	-0.25190361	0.00063585065	-0.03750879	-0.41942281	0.037371824	-0.052172605	9.2183802e-06	0.00047973526	9.6462265e-06	0.0019835079	0.0058293071	4.3992425e-05	0.011327236	4.3779271e-05	8.5144903e-05	9.5180563e-08	0.00047978381	7.9918933	7.9655388	0.012348914	7.9992188	7.8922451	7.9771758	7.9985586	0.0003452585	-66.801282	R0:N12:S0:1	-69.76	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@10:14
2x2_2C_8b_C2v_L	6.8584	6.9444444	1.7146	0.092109425	-2.1955001	-2.737784	0.24924373	-2.7377461	0.24924067	0.29827447	-2.7793947	10.22	0.00069369488	0.084698347	-0.13218692	-0.00052268601	0.13218598	0.00052267338	7.7759574e-05	-0.16417452	0.22694445	0.11111111	0.026144445	1.3333333	2	-4.624058e-10	0	0	0.89703313	3.0832156e-07	0.041796678	1.9095986	1.6630888e-07	1.909023	1.6628657e-07	2.7616921e-09	0.55162172	1.8969898	-0.0030757754	-1.1224803	0.17526004	0.0022627652	-0.17626991	-0.0022625525	-0.00026881813	2.7392831	0.02104485	3.083215e-07	0.040719531	0.15769754	1.6630886e-07	0.15865769	1.6628655e-07	2.7616921e-09	0.52418032	0.02107127	7.8329764	7.3021786	0.72226434	7.9095548	0.72624238	7.9091162	6.7001823	3.7249556	-65.30205	R0:N12:S0:1	-68.0432	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.76e-02	 1.71e-02	2022-06-29@10:15
2x2_2C_8b_C2v_L	7.7167878	7.3888889	1.9292	0.092109252	-2.558578	-3.5625325	0.24924493	-3.562531	0.24924186	0.29827449	-4.634523	10.22	-1.7128011e-05	0.18520174	-0.30699496	-0.00026157131	0.30699484	0.00026164735	-1.5387919e-05	-0.43550017	0.45388889	0.22222222	0.05228889	1.3333331	1.9999851	-7.7807543e-06	-4.9740863e-07	2.4886167e-07	0.45411475	1.1655246e-10	0.70352208	1.7541934	1.753091e-08	1.754184	1.7540286e-08	1.2636861e-10	1.9720004	1.454025	4.9082769e-05	-3.1137426	1.7203095	0.00053267172	-1.720371	-0.00053280852	5.5347343e-05	0.30358444	0.051509991	1.1655246e-10	0.4716635	0.23882565	1.753091e-08	0.23883281	1.7540286e-08	1.2636861e-10	0.028603475	0.051537342	6.1232198	2.4032914	3.6146684	4.9823047	3.6147013	4.9822053	7.1766707	1.0021667	-71.222086	R0:N12:S0:1	-66.3264	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.09e-01	 5.98e-02	2022-06-29@10:16
2x2_2C_8b_C2v_L	8.5750788	7.8333333	2.1438	0.09210949	-4.1218637	-5.8848649	0.24924496	-5.8849041	0.24924187	0.29827465	-6.574375	10.22	0.00047215387	0.3571278	-0.60264347	0.00036519421	0.60264537	-0.00034499528	-0.00091230742	-0.80184264	0.68083333	0.33333333	0.078433334	1.3333313	1.9999057	-5.1462939e-05	-3.6459398e-06	1.6602604e-06	0.096437744	1.8267934e-08	1.9141828	1.9113608	9.1462138e-09	1.9113634	8.1625168e-09	5.5193435e-08	1.878589	1.096126	-0.00055668874	-1.0649607	1.1363247	-0.00037440259	-1.1363047	0.00035369742	0.00087050472	1.3701927	0.021774004	1.8267933e-08	0.084705477	0.086708993	9.1462138e-09	0.086706623	8.1625167e-09	5.5193434e-08	0.11684254	0.021727321	4.695606	3.4297373	3.6807836	4.354201	3.6807669	4.3542249	4.1339839	3.7983825	-87.373348	R0:N12:S0:1	-64.6096	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.97e+00	 1.10e-01	2022-06-29@10:17
2x2_2C_8b_C2v_L	9.4332175	8.2777778	2.3584	0.093268244	-5.2475545	-6.4035682	0.24924635	-6.403578	0.24924277	0.29906378	-6.0439828	10.22	-0.00018485671	0.55208209	-0.86268186	-0.0010263456	0.86268852	0.00088200148	0.0027360158	-1.0695731	0.90777778	0.44444444	0.10457778	1.3333283	1.9998146	-0.00012244142	-1.1030388e-05	5.0778606e-06	0.12041708	4.1574892e-09	1.9488098	1.8945104	8.3641004e-08	1.8945065	6.1766888e-08	3.890406e-07	1.7849219	1.1193127	0.00027250165	-0.76690604	1.2273991	0.0011290455	-1.2274307	-0.0009702355	-0.0023235713	1.8688286	0.026492393	4.1574892e-09	0.051085975	0.10292587	8.3641002e-08	0.10292936	6.1766887e-08	3.8904057e-07	0.19775635	0.026358533	5.1270952	3.0222829	3.644282	4.4211302	3.6443183	4.4210761	3.9397019	3.6941147	-91.588128	R0:N12:S0:1	-62.8928	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 9.09e+00	 1.71e-01	2022-06-29@10:18
2x2_2C_8b_C2v_L	10.290381	8.7222222	2.573	0.092415998	-5.1461436	-5.3746183	0.25299968	-5.3745329	0.25277818	0.30275975	-5.1260939	10.22	-0.001750576	0.71064824	-1.0286457	0.00042584811	1.0286363	-0.00017093173	-0.00067910523	-1.2964865	1.1347222	0.55555556	0.13072222	1.333313	1.9994805	-0.00040942777	-4.5747477e-05	2.0750177e-05	0.17973548	6.9781323e-07	1.9512591	1.839761	2.3441032e-08	1.8397564	3.7769604e-09	2.6191617e-08	1.6592434	1.1774949	0.0036086301	-0.6759638	1.4639676	-0.00058606052	-1.4639935	0.00023524583	0.00059435772	2.360965	0.036806318	6.9781297e-07	0.048998387	0.15498379	2.3441032e-08	0.15498792	3.7769604e-09	2.6191617e-08	0.29187205	0.036676262	5.6550418	2.5526349	3.5347093	4.6382927	3.534721	4.6382702	3.9083099	3.2650871	-86.741119	R0:N12:S0:1	-61.176	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.32e+01	 2.52e-01	2022-06-29@10:19
2x2_2C_8b_C2v_L	9.4552593	9.1666667	2.7876	0.18877624	-5.0773303	-4.8908677	0.0075889475	-4.8906538	0.0075853306	0.004755419	-4.470119	10.22	-0.064943859	0.85096652	-1.1843931	0.07172391	1.1843686	-0.071723946	-0.087781162	-1.4897695	1.3616667	0.66666667	0.15686667	1.2997352	1.820113	-0.30299597	-0.098215064	0.042503653	0.21790948	0.0015201352	1.9554316	1.8088221	0.001198426	1.8088061	0.0011983007	0.00051106709	1.5650567	1.2143639	0.17055502	-0.59594941	1.5681653	-0.12640229	-1.5682495	0.12639514	0.082184524	2.6626911	0.042312518	0.0015187706	0.045028444	0.18445546	0.0011981124	0.18446938	0.0011979872	0.00051101672	0.35049424	0.042380573	5.9943691	2.2219379	3.5093279	4.7556406	3.5093629	4.7555632	3.9137659	2.8686372	-84.495251	R0:N12:S0:1	-59.4592	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 9.12e+01	 9.68e-03	2022-06-29@10:22
2x2_2C_8b_C2v_L	8.3988947	9.6111111	3.0022	0.041320517	-4.5598931	-4.8723649	0.12401789	-4.8724475	0.1240206	0.14656234	-4.4452282	10.22	-0.069798287	0.95125491	-1.3946909	0.12280372	1.394705	-0.12280261	-0.1656453	-1.7815733	1.5886111	0.77777778	0.18301111	1.2649802	1.683607	-0.55248219	-0.17202996	0.073156909	0.2341709	0.0027926806	1.9545031	1.7945378	0.0047941715	1.7945379	0.0047940837	0.0018328463	1.5268116	1.2288489	0.22971708	-0.57078569	1.6120773	-0.2441833	-1.6120827	0.24418016	0.15068509	2.7896689	0.044241035	0.002787832	0.046154179	0.1980499	0.0047901692	0.19804961	0.0047900817	0.0018327512	0.37074345	0.044613876	6.179165	2.0489281	3.5100207	4.7989364	3.5100289	4.7989156	3.8638909	2.6863541	-84.528646	R0:N12:S0:1	-57.7424	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.20e+02	 3.66e-03	2022-06-29@10:24
2x2_2C_8b_C2v_L	8.2926872	10.055556	3.2168	0.46526561	-3.8368491	-4.4146411	0.62662999	-4.4142169	0.62645564	0.74196521	-4.0144261	10.22	-0.08590575	1.0510158	-1.5771351	0.15735846	1.5770711	-0.1572877	-0.22556668	-2.0468452	1.8155556	0.88888889	0.20915556	1.2518632	1.6656616	-0.60624602	-0.20243009	0.085327223	0.26462505	0.0056543126	1.9548875	1.7651013	0.010200017	1.7650546	0.010189613	0.0031139476	1.4567471	1.2572629	0.32732872	-0.52471438	1.6937756	-0.34682303	-1.6940049	0.34663076	0.19429379	2.9826625	0.047632018	0.0056337329	0.046000258	0.22590004	0.010185295	0.22593884	0.010174941	0.003114393	0.40407302	0.048515855	6.4135631	1.8072179	3.5031112	4.896302	3.5032037	4.8960846	3.866332	2.3508249	-81.848071	R0:N12:S0:1	-56.0256	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	 1.61e+03	 6.01e-04	2022-06-29@10:27
2x2_2C_8b_C2v_L	7.9354198	10.5	3.4314	-0.25922526	-3.2727195	-3.3388748	0.025690919	-3.3388735	0.025691529	0.034484835	-3.095776	10.22	0.20483252	1.0731261	-1.5884054	0.15420914	1.5884033	-0.15420939	-0.19358618	-2.1234898	2.0425	1	0.2353	1.2317312	1.6607152	-0.65768214	-0.26311206	0.10627022	0.29059637	0.19068333	1.9252582	1.6638067	0.096468129	1.6638111	0.096470753	0.0032696362	1.2775006	1.2706829	-1.6878298	-0.64606888	1.9434311	-0.83917782	-1.9434105	0.83919409	0.19550097	3.3216206	0.050600691	0.16460878	0.07241041	0.30955192	0.096056608	0.30954873	0.09605898	0.0032718497	0.45854703	0.056816564	5.2312173	1.7651122	3.3910193	5.0500079	3.3910135	5.0500226	3.957017	1.6742131	-75.714018	R0:N12:S0:1	-54.3088	uncorrelated	b7fd39a	v1.0.3	8	sharp_wc_2.0_b_50	 2.21e+02	 3.83e-03	2022-06-29@10:32
