w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-20	0.000685271	0.000311124	0.000311942	0	0	0
-19.975	0.000662187	0.000311506	0.000312154	1.65547e-05	7.78765e-06	7.80385e-06
-19.95	0.000646508	0.000312245	0.000312765	3.27174e-05	1.55938e-05	1.5623e-05
-19.925	0.00063682	0.000313276	0.000313697	4.86379e-05	2.34257e-05	2.34654e-05
-19.9	0.000632174	0.000314553	0.000314897	6.44422e-05	3.12895e-05	3.13378e-05
-19.875	0.000631973	0.000316046	0.000316329	8.02416e-05	3.91907e-05	3.9246e-05
-19.85	0.000635898	0.000317739	0.000317972	9.6139e-05	4.71341e-05	4.71953e-05
-19.825	0.000643872	0.000319623	0.000319816	0.000112236	5.51247e-05	5.51907e-05
-19.8	0.000656051	0.000321702	0.000321862	0.000128637	6.31673e-05	6.32373e-05
-19.775	0.000672846	0.000323987	0.000324119	0.000145458	7.12669e-05	7.13403e-05
-19.75	0.000694969	0.000326502	0.00032661	0.000162832	7.94295e-05	7.95055e-05
-19.725	0.000723521	0.000329285	0.000329373	0.00018092	8.76616e-05	8.77398e-05
-19.7	0.000760134	0.000332392	0.000332462	0.000199924	9.59714e-05	9.60514e-05
-19.675	0.000807183	0.000335906	0.00033596	0.000220103	0.000104369	0.00010445
-19.65	0.000868075	0.000339943	0.000339982	0.000241805	0.000112868	0.00011295
-19.625	0.000947606	0.000344669	0.000344694	0.000265495	0.000121484	0.000121567
-19.6	0.00105218	0.000350306	0.000350318	0.0002918	0.000130242	0.000130325
-19.575	0.00118918	0.000357117	0.000357117	0.000321529	0.00013917	0.000139253
-19.55	0.00136368	0.000365313	0.000365301	0.000355621	0.000148303	0.000148386
-19.525	0.00156876	0.000374776	0.000374752	0.00039484	0.000157672	0.000157754
-19.5	0.00177042	0.000384613	0.000384576	0.000439101	0.000167287	0.000167369
-19.475	0.00190969	0.000393243	0.000393194	0.000486843	0.000177119	0.000177199
-19.45	0.00195369	0.00039992	0.000399857	0.000535685	0.000187117	0.000187195
