GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	1.9906	-0.00031364619	-2.454556	-3.3610922	0.21577439	-3.3630159	0.21473057	0.26757763	-3.0838463	a248bdd	2x2_2C_8b_C2v_L	8.45	validity_data_2022.py	-0.13457224	0.97962983	-1.6146491	-0.22697068	1.6148533	0.22686804	-0.30564072	-2.1729755	2024-08-14@14:33	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.00054964147	-2.4509881	-3.3586194	0.21578586	-3.357489	0.21610472	0.26839104	-3.0778512	a248bdd	2x2_2C_8b_C2v_L	8.44	validity_data_2022.py	-0.1347541	0.97953103	-1.6148152	-0.22775452	1.6146578	0.22776623	-0.30676075	-2.1730187	2024-08-14@14:33	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0014254917	-2.4446024	-3.3564206	0.21601403	-3.3545383	0.21693673	0.26895298	-3.0723335	a248bdd	2x2_2C_8b_C2v_L	8.43	validity_data_2022.py	-0.13489109	0.97895661	-1.6151891	-0.22866078	1.6149517	0.22875697	-0.30801008	-2.1732159	2024-08-14@14:34	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.002274927	-2.4397325	-3.3534123	0.21741017	-3.3537278	0.21703441	0.26932727	-3.0663358	a248bdd	2x2_2C_8b_C2v_L	8.42	validity_data_2022.py	-0.13502582	0.97867201	-1.6155005	-0.22969923	1.6155575	0.22968081	-0.30911183	-2.1732329	2024-08-14@14:34	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0030629445	-2.4350301	-3.3473924	0.21810331	-3.3499543	0.21738751	0.27066078	-3.0614866	a248bdd	2x2_2C_8b_C2v_L	8.41	validity_data_2022.py	-0.13525204	0.97833178	-1.615127	-0.23042475	1.6155482	0.23041256	-0.3104628	-2.1737208	2024-08-14@14:35	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0038965308	-2.4298849	-3.34618	0.21841978	-3.3452066	0.21795499	0.27101991	-3.0556034	a248bdd	2x2_2C_8b_C2v_L	8.4	validity_data_2022.py	-0.13543254	0.97796089	-1.615656	-0.23134019	1.6153735	0.23124146	-0.31159059	-2.1737497	2024-08-14@14:35	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0045522206	-2.425883	-3.3455848	0.21985341	-3.343279	0.21811899	0.27126546	-3.0491401	a248bdd	2x2_2C_8b_C2v_L	8.39	validity_data_2022.py	-0.13561588	0.97777211	-1.6166079	-0.23249914	1.615808	0.23201657	-0.31254697	-2.1736267	2024-08-14@14:36	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0053516896	-2.4195108	-3.3401326	0.21934055	-3.3373559	0.22005664	0.27296574	-3.0445423	a248bdd	2x2_2C_8b_C2v_L	8.38	validity_data_2022.py	-0.13579848	0.97721141	-1.6160815	-0.23293717	1.6156198	0.23293878	-0.31398002	-2.1742498	2024-08-14@14:36	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0061047248	-2.4133045	-3.3370118	0.2199619	-3.3350269	0.2208965	0.27362711	-3.0388311	a248bdd	2x2_2C_8b_C2v_L	8.37	validity_data_2022.py	-0.13599545	0.97666471	-1.6163009	-0.23376564	1.6160264	0.23388373	-0.31512016	-2.1743824	2024-08-14@14:37	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0067982975	-2.4093758	-3.3315815	0.22114765	-3.3330489	0.22095588	0.27434768	-3.0328698	a248bdd	2x2_2C_8b_C2v_L	8.36	validity_data_2022.py	-0.13619165	0.97649149	-1.6161284	-0.23460928	1.6163873	0.23459442	-0.3162166	-2.1744519	2024-08-14@14:37	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0074562098	-2.4063806	-3.327789	0.22028396	-3.3295616	0.22297275	0.27495132	-3.0275072	a248bdd	2x2_2C_8b_C2v_L	8.35	validity_data_2022.py	-0.13640946	0.97650942	-1.6159819	-0.23508267	1.6167327	0.23571223	-0.31728265	-2.1746774	2024-08-14@14:38	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0081795472	-2.4003719	-3.3274993	0.22214291	-3.3248051	0.22311997	0.27598444	-3.0215136	a248bdd	2x2_2C_8b_C2v_L	8.34	validity_data_2022.py	-0.13661748	0.97596761	-1.6169589	-0.23623045	1.6165348	0.23632563	-0.31851002	-2.1748055	2024-08-14@14:38	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0088460579	-2.3948415	-3.3210971	0.22392947	-3.3241791	0.22288494	0.27685673	-3.0160424	a248bdd	2x2_2C_8b_C2v_L	8.33	validity_data_2022.py	-0.13683505	0.97551935	-1.616663	-0.23710801	1.6171364	0.23699781	-0.31964639	-2.1750716	2024-08-14@14:39	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0094997426	-2.390371	-3.3194152	0.22343706	-3.3171653	0.2242897	0.27760291	-3.0104191	a248bdd	2x2_2C_8b_C2v_L	8.32	validity_data_2022.py	-0.13704026	0.97527925	-1.6169929	-0.23770761	1.6166531	0.23777651	-0.32079004	-2.1752655	2024-08-14@14:39	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.010137126	-2.3857376	-3.3153659	0.22417143	-3.3136238	0.22503565	0.27823446	-3.0038285	a248bdd	2x2_2C_8b_C2v_L	8.31	validity_data_2022.py	-0.13725119	0.97498464	-1.6170562	-0.23846892	1.6167956	0.23858626	-0.32178751	-2.1751087	2024-08-14@14:40	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.010798995	-2.3800941	-3.3113129	0.22481724	-3.3093229	0.22578355	0.27880913	-2.9982712	a248bdd	2x2_2C_8b_C2v_L	8.3	validity_data_2022.py	-0.13750371	0.97447795	-1.6170293	-0.23914693	1.6167862	0.23935605	-0.32276021	-2.175299	2024-08-14@14:40	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.011330612	-2.378585	-3.3056417	0.22633423	-3.3076303	0.22584004	0.27989828	-2.9920254	a248bdd	2x2_2C_8b_C2v_L	8.29	validity_data_2022.py	-0.1376799	0.97479042	-1.6168942	-0.24005306	1.6171906	0.23993452	-0.32398875	-2.1753316	2024-08-14@14:41	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.011950925	-2.3713752	-3.3029105	0.22751096	-3.305017	0.22664403	0.28099847	-2.9867578	a248bdd	2x2_2C_8b_C2v_L	8.28	validity_data_2022.py	-0.1378896	0.97404701	-1.617279	-0.24086559	1.6176129	0.24076922	-0.32511276	-2.1757199	2024-08-14@14:41	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.012616018	-2.3669072	-3.3008199	0.22790943	-3.3007684	0.22768014	0.28160963	-2.9804996	a248bdd	2x2_2C_8b_C2v_L	8.27	validity_data_2022.py	-0.13813037	0.97377265	-1.6176722	-0.24162238	1.6176307	0.24153541	-0.32613824	-2.1756425	2024-08-14@14:42	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.013125261	-2.3615282	-3.2971076	0.22919675	-3.2992776	0.22791814	0.28230412	-2.9749814	a248bdd	2x2_2C_8b_C2v_L	8.26	validity_data_2022.py	-0.13829526	0.97338278	-1.6179272	-0.2425227	1.6181686	0.24220463	-0.32724612	-2.1759462	2024-08-14@14:42	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.013704795	-2.358085	-3.2919732	0.22993699	-3.2939618	0.22892169	0.28332146	-2.9688323	a248bdd	2x2_2C_8b_C2v_L	8.25	validity_data_2022.py	-0.13856617	0.97330512	-1.6177006	-0.24308614	1.6179969	0.24296927	-0.32825263	-2.1759637	2024-08-14@14:43	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.014324489	-2.3518579	-3.2868699	0.2297327	-3.2890612	0.23024789	0.28418012	-2.9631874	a248bdd	2x2_2C_8b_C2v_L	8.24	validity_data_2022.py	-0.1387849	0.97270741	-1.6173157	-0.24348489	1.6179555	0.24376296	-0.32927978	-2.1761724	2024-08-14@14:43	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.01479385	-2.3486571	-3.286129	0.23192948	-3.2860358	0.23034809	0.28484837	-2.9571828	a248bdd	2x2_2C_8b_C2v_L	8.23	validity_data_2022.py	-0.13899209	0.97268311	-1.618356	-0.24470711	1.618051	0.24439978	-0.33040766	-2.1762005	2024-08-14@14:44	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.01538252	-2.3430355	-3.2799604	0.23246888	-3.28274	0.23104384	0.2860723	-2.9514376	a248bdd	2x2_2C_8b_C2v_L	8.22	validity_data_2022.py	-0.13921681	0.97225515	-1.6179581	-0.24527062	1.6183492	0.24494119	-0.33146138	-2.1764678	2024-08-14@14:44	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.015949944	-2.3388857	-3.2781192	0.23260899	-3.2790427	0.23270133	0.28661618	-2.9456946	a248bdd	2x2_2C_8b_C2v_L	8.21	validity_data_2022.py	-0.1394168	0.97205879	-1.6183498	-0.24584319	1.6186045	0.24598712	-0.33245369	-2.1765633	2024-08-14@14:45	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.016434003	-2.3341273	-3.2745821	0.23331921	-3.2735241	0.2338745	0.28786322	-2.9397464	a248bdd	2x2_2C_8b_C2v_L	8.2	validity_data_2022.py	-0.13966084	0.97178308	-1.6185853	-0.24648719	1.6184382	0.24657577	-0.33348631	-2.1767842	2024-08-14@14:45	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.017004464	-2.3294699	-3.2685648	0.23426361	-3.2675848	0.23351937	0.2887027	-2.9338341	a248bdd	2x2_2C_8b_C2v_L	8.19	validity_data_2022.py	-0.13989726	0.97145294	-1.6181882	-0.24714828	1.6178273	0.24686028	-0.33456497	-2.1769017	2024-08-14@14:46	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.0174661	-2.3254438	-3.2648292	0.23523563	-3.2671383	0.23482476	0.28925102	-2.9276846	a248bdd	2x2_2C_8b_C2v_L	8.18	validity_data_2022.py	-0.14009945	0.97135446	-1.6183718	-0.2478494	1.6188442	0.24786714	-0.33547177	-2.1769016	2024-08-14@14:46	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.017962503	-2.3200375	-3.2633536	0.23654792	-3.26489	0.23639272	0.28972841	-2.9194571	a248bdd	2x2_2C_8b_C2v_L	8.17	validity_data_2022.py	-0.14032494	0.97097549	-1.6191227	-0.24864782	1.6195438	0.24877503	-0.33610073	-2.1761989	2024-08-14@14:47	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.01855257	-2.315422	-3.2586737	0.23672555	-3.258976	0.23738705	0.29222656	-2.9170387	a248bdd	2x2_2C_8b_C2v_L	8.16	validity_data_2022.py	-0.14058349	0.97063481	-1.6189591	-0.24910046	1.6191091	0.24933747	-0.33780265	-2.1776999	2024-08-14@14:47	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.018981766	-2.3111703	-3.2526058	0.23872532	-3.254606	0.23640842	0.29229802	-2.9109626	a248bdd	2x2_2C_8b_C2v_L	8.15	validity_data_2022.py	-0.14076245	0.97045081	-1.6187173	-0.25012735	1.6189194	0.24943694	-0.33870296	-2.1777851	2024-08-14@14:48	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.019446279	-2.307278	-3.2513153	0.23848731	-3.2503103	0.23899997	0.29308367	-2.9039362	a248bdd	2x2_2C_8b_C2v_L	8.14	validity_data_2022.py	-0.14099227	0.97031944	-1.6193295	-0.25051037	1.6191561	0.25063787	-0.33954896	-2.177463	2024-08-14@14:48	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.01994577	-2.3023776	-3.2481039	0.23893201	-3.2455002	0.24022544	0.29409658	-2.8981458	a248bdd	2x2_2C_8b_C2v_L	8.13	validity_data_2022.py	-0.14121621	0.9700086	-1.6195432	-0.25105233	1.6191292	0.25134804	-0.34057528	-2.1776547	2024-08-14@14:49	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.020386344	-2.2976555	-3.2426704	0.2402879	-3.242108	0.23995753	0.29501455	-2.8926443	a248bdd	2x2_2C_8b_C2v_L	8.12	validity_data_2022.py	-0.14143654	0.96973165	-1.6194214	-0.25181752	1.6192189	0.25164751	-0.34164537	-2.1779475	2024-08-14@14:49	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.020853453	-2.2929964	-3.2377364	0.24012791	-3.2380386	0.24184775	0.29582118	-2.8869344	a248bdd	2x2_2C_8b_C2v_L	8.11	validity_data_2022.py	-0.14161898	0.9694663	-1.6191489	-0.25220201	1.619452	0.2526419	-0.34276045	-2.1781592	2024-08-14@14:50	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.021311467	-2.2885822	-3.2356877	0.24180942	-3.2331262	0.2423532	0.29681377	-2.8803173	a248bdd	2x2_2C_8b_C2v_L	8.1	validity_data_2022.py	-0.14186875	0.9692237	-1.6198429	-0.2530398	1.6193249	0.25310172	-0.34355899	-2.1780822	2024-08-14@14:50	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.021812866	-2.2849571	-3.2322987	0.24280504	-3.2278415	0.2431446	0.29749118	-2.8736785	a248bdd	2x2_2C_8b_C2v_L	8.09	validity_data_2022.py	-0.14210783	0.96911456	-1.6201316	-0.25372812	1.6191487	0.25361295	-0.34433195	-2.1779473	2024-08-14@14:51	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.02225361	-2.2783972	-3.2244639	0.24394533	-3.2284032	0.2438316	0.29927419	-2.8693365	a248bdd	2x2_2C_8b_C2v_L	8.08	validity_data_2022.py	-0.14232605	0.96853533	-1.6193473	-0.25429119	1.6201939	0.2542719	-0.34583501	-2.1787445	2024-08-14@14:51	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.022704198	-2.2762376	-3.2223196	0.24446234	-3.2219876	0.24534193	0.2991885	-2.8629764	a248bdd	2x2_2C_8b_C2v_L	8.07	validity_data_2022.py	-0.14257097	0.96875973	-1.6199562	-0.25477767	1.6200259	0.25518597	-0.34630491	-2.1786785	2024-08-14@14:52	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.023141908	-2.2687762	-3.2209257	0.24647982	-3.2193949	0.24567899	0.30076392	-2.8559106	a248bdd	2x2_2C_8b_C2v_L	8.06	validity_data_2022.py	-0.14275453	0.9679542	-1.620715	-0.25584669	1.6202746	0.25564257	-0.34752142	-2.1784249	2024-08-14@14:53	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.023667648	-2.2654088	-3.2129625	0.24570969	-3.2132409	0.24696289	0.30187393	-2.8513543	a248bdd	2x2_2C_8b_C2v_L	8.05	validity_data_2022.py	-0.14303462	0.96795498	-1.6198533	-0.25580643	1.6200546	0.25608108	-0.3484448	-2.1791788	2024-08-14@14:53	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.024031067	-2.2610338	-3.2105233	0.24727139	-3.2095546	0.24762199	0.30232456	-2.8447203	a248bdd	2x2_2C_8b_C2v_L	8.04	validity_data_2022.py	-0.14322323	0.96774058	-1.620376	-0.25669727	1.6201796	0.25678105	-0.34937521	-2.1789906	2024-08-14@14:54	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.024485178	-2.2561101	-3.2061209	0.248467	-3.2059962	0.24830813	0.30356748	-2.8390799	a248bdd	2x2_2C_8b_C2v_L	8.03	validity_data_2022.py	-0.14344908	0.96743375	-1.6204556	-0.25735805	1.6204108	0.25729447	-0.35043251	-2.1792924	2024-08-14@14:54	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.024947866	-2.2514032	-3.2007677	0.24933284	-3.2029909	0.24956502	0.30491518	-2.8336888	a248bdd	2x2_2C_8b_C2v_L	8.02	validity_data_2022.py	-0.14365567	0.96718838	-1.6202988	-0.25795598	1.6208168	0.25803172	-0.3516182	-2.1797015	2024-08-14@14:55	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.025327489	-2.2482997	-3.194908	0.24962823	-3.1963504	0.24982912	0.30535905	-2.8271628	a248bdd	2x2_2C_8b_C2v_L	8.01	validity_data_2022.py	-0.14391765	0.96713783	-1.6199473	-0.25822245	1.6202691	0.25835582	-0.35228239	-2.1796003	2024-08-14@14:55	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.025748558	-2.2420642	-3.1949682	0.25140064	-3.1947657	0.25125468	0.30542639	-2.8209575	a248bdd	2x2_2C_8b_C2v_L	8.0	validity_data_2022.py	-0.14412412	0.96675486	-1.6210196	-0.25932318	1.6210142	0.25932639	-0.35310719	-2.179534	2024-08-14@14:56	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.025035552	-2.2427226	-3.1938502	0.249963	-3.1940216	0.24981856	0.30317102	-2.8213899	a248bdd	2x2_2C_8b_C2v_L	8.0	validity_data_2022.py	-0.14379511	0.96674838	-1.620768	0.25917549	1.6207854	0.25903929	-0.35307419	-2.1795591	2024-08-14@14:56	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.025513637	-2.2450367	-3.1984006	0.25063798	-3.1971812	0.25010522	0.30501083	-2.8266694	a248bdd	2x2_2C_8b_C2v_L	8.01	validity_data_2022.py	-0.14389	0.9666343	-1.6206962	0.25874688	1.6203514	0.258532	-0.35228137	-2.1791743	2024-08-14@14:57	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.025108103	-2.2503354	-3.2008213	0.24921012	-3.2019862	0.24957404	0.30514351	-2.8328469	a248bdd	2x2_2C_8b_C2v_L	8.02	validity_data_2022.py	-0.14374908	0.96696082	-1.6202979	0.25771588	1.6206036	0.25786303	-0.35127096	-2.1794495	2024-08-14@14:57	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.02441091	-2.2582653	-3.2054	0.24855975	-3.206821	0.24849779	0.30308428	-2.8389659	a248bdd	2x2_2C_8b_C2v_L	8.03	validity_data_2022.py	-0.14340451	0.96784857	-1.6202608	0.25748603	1.6205748	0.2575737	-0.35051068	-2.1791317	2024-08-14@14:58	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.023889806	-2.2602772	-3.2118887	0.24721133	-3.208946	0.24726377	0.30188424	-2.844863	a248bdd	2x2_2C_8b_C2v_L	8.04	validity_data_2022.py	-0.1431904	0.96760135	-1.6207079	0.25670944	1.6200119	0.25666841	-0.34926556	-2.1790438	2024-08-14@14:58	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.023667679	-2.2650117	-3.2131917	0.2468828	-3.2130162	0.24585695	0.3008485	-2.8502017	a248bdd	2x2_2C_8b_C2v_L	8.05	validity_data_2022.py	-0.14299641	0.96790027	-1.6199439	0.25633768	1.6198424	0.25589643	-0.34828775	-2.1786171	2024-08-14@14:59	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.023082247	-2.2708939	-3.2187976	0.24538028	-3.2209043	0.24684993	0.3012215	-2.856769	a248bdd	2x2_2C_8b_C2v_L	8.06	validity_data_2022.py	-0.14277953	0.9682675	-1.620159	0.25547327	1.6207812	0.25593343	-0.34768848	-2.1787439	2024-08-14@14:59	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.022739181	-2.273903	-3.2235294	0.24483059	-3.2223137	0.24520901	0.29972727	-2.8626374	a248bdd	2x2_2C_8b_C2v_L	8.07	validity_data_2022.py	-0.14255348	0.96829838	-1.6202308	0.25496363	1.6199861	0.25506981	-0.3465084	-2.1785813	2024-08-14@15:00	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.022252227	-2.2794956	-3.2256945	0.24390627	-3.2262571	0.24379118	0.29863049	-2.868511	a248bdd	2x2_2C_8b_C2v_L	8.08	validity_data_2022.py	-0.14232741	0.9687414	-1.619668	0.25433064	1.6197872	0.25424547	-0.34547343	-2.1783863	2024-08-14@15:00	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.021816346	-2.2856706	-3.2272982	0.24200708	-3.2310081	0.24286754	0.29744935	-2.8744998	a248bdd	2x2_2C_8b_C2v_L	8.09	validity_data_2022.py	-0.14211864	0.96931742	-1.618869	0.25332534	1.6198218	0.25369797	-0.34450669	-2.178244	2024-08-14@15:01	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.021309283	-2.2889392	-3.2346322	0.24188312	-3.2338152	0.24224545	0.2968327	-2.8805153	a248bdd	2x2_2C_8b_C2v_L	8.1	validity_data_2022.py	-0.14187963	0.96929214	-1.6196421	0.25300094	1.6194735	0.25308708	-0.34353483	-2.178162	2024-08-14@15:01	2.0219	1	0.2194	v2.7.1	
YY	9.5	1.9906	0.020905318	-2.2928389	-3.2388556	0.24145322	-3.2391207	0.24128046	0.29586545	-2.8861409	a248bdd	2x2_2C_8b_C2v_L	8.11	validity_data_2022.py	-0.14166002	0.96944643	-1.6195648	0.25252585	1.6196372	0.25249075	-0.34255376	-2.177862	2024-08-14@15:02	2.0219	1	0.2194	v2.7.1	
