model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	3.8531816	11	1.9906	-0.33513589	-4.4553834	-4.5002818	-0.26661803	-3.8591599	5.3148589	-0.032799264	-3.8100241	9.68	0.1881596	1.1686693	-1.6838881	-0.19646347	1.6051031	-0.00054769543	0.14209583	-2.1537866	2.0219	1	0.2194	1.2668733	1.6832436	-0.53479895	-0.17215799	0.073035159	0.21024195	0.1173597	1.9470769	1.8318461	0.2388991	1.6550567	1.0404578e-08	0.0018577126	1.4543455	1.1883896	-1.3339604	-0.63162596	1.3401623	1.5107448	-2.2050385	0.00038500909	-0.13656811	2.9348155	0.041178786	0.10754261	0.05243717	0.15882159	0.21019559	0.30227799	1.0404578e-08	0.0018629123	0.3996882	0.04741612	5.3636827	2.182423	2.9628661	4.7911874	3.5659731	4.1371621	3.7540699	2.4986528	-79.136238	R0:N12:S0:1	-61.5152	uncorrelated	b7fd39a	v1.0.3	12	sharp_wc_2.0_b_50	 1.28e+02	 1.01e-03	2022-06-29@15:23
2x2_2C_8b_C2v_L	3.8571827	11	1.9906	-0.34389156	-4.4759602	-4.512116	-0.27002696	-3.8747531	5.3824517	-0.029321396	-3.8129341	9.69	0.18876487	1.1700253	-1.6851802	-0.19546409	1.6068973	-0.00022206654	0.13876875	-2.1539708	2.0219	1	0.2194	1.2670013	1.6833147	-0.53448495	-0.17167084	0.072838718	0.21043543	0.11839643	1.9471208	1.832113	0.23373809	1.6572808	1.6921478e-09	0.0017504808	1.4545463	1.1887635	-1.3403722	-0.63137062	1.3401209	1.4945758	-2.1969225	0.00015549103	-0.13295712	2.9348931	0.041202783	0.10839285	0.052381014	0.15873055	0.2063878	0.30086647	1.6921478e-09	0.0017549509	0.39962273	0.047379168	5.3570789	2.1809715	2.9708859	4.8031594	3.5710125	4.1439365	3.7543717	2.4980704	-79.283352	R0:N12:S0:1	-61.5952	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.28e+02	 1.73e-03	2022-06-29@15:24
2x2_2C_8b_C2v_L	3.861584	11	1.9906	-0.34974707	-4.4957083	-4.5231607	-0.27175516	-3.8865275	5.5017806	-0.027602251	-3.8168772	9.7	0.18928718	1.171337	-1.6861803	-0.19472403	1.6080369	-0.00022819325	0.13659492	-2.1538545	2.0219	1	0.2194	1.2671447	1.6833794	-0.53414199	-0.17113563	0.072624523	0.21063998	0.11877893	1.9472282	1.8325207	0.22825468	1.6594666	1.7471954e-09	0.0016804816	1.4552919	1.1891946	-1.3434001	-0.63079847	1.3394911	1.4777256	-2.1889731	0.00015835465	-0.13057119	2.9337514	0.041229123	0.1087028	0.052268942	0.15852328	0.20229609	0.29946398	1.7471954e-09	0.0016844966	0.39935204	0.047328474	5.3540427	2.1796216	2.9788773	4.8151557	3.5753711	4.1507883	3.7547007	2.4996497	-79.419596	R0:N12:S0:1	-61.6752	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.27e+02	 1.93e-03	2022-06-29@15:26
2x2_2C_8b_C2v_L	3.8654334	11	1.9906	-0.35651092	-4.5153903	-4.5327813	-0.27241739	-3.9040692	5.8453109	-0.024508843	-3.8240013	9.71	0.18933268	1.1728811	-1.6874161	-0.19293926	1.610178	-0.0002374168	0.1338675	-2.1549794	2.0219	1	0.2194	1.2673063	1.6832744	-0.53397671	-0.17044772	0.072348235	0.21085702	0.11892141	1.9473551	1.8328648	0.21960737	1.6635085	1.7713461e-09	0.0015986168	1.4570172	1.1897818	-1.3451648	-0.63004781	1.3400555	1.449411	-2.174179	0.00016031742	-0.12761396	2.9309122	0.041254735	0.10880549	0.05213626	0.15845032	0.19578561	0.29682946	1.7713461e-09	0.0016021342	0.3986871	0.0472248	5.3519766	2.1777769	2.9928944	4.8336597	3.5833479	4.1628472	3.7544193	2.5040603	-79.571295	R0:N12:S0:1	-61.7552	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.26e+02	 1.03e-03	2022-06-29@15:27
2x2_2C_8b_C2v_L	3.8698244	11	1.9906	-0.36252708	-4.5350403	-4.5451405	-0.27163318	-3.9231502	6.37539	-0.023924767	-3.8360125	9.72	0.18945599	1.1744338	-1.6892513	-0.19095642	1.6127055	9.1697333e-06	0.13189517	-2.1567466	2.0219	1	0.2194	1.2674949	1.6831218	-0.53380249	-0.16964075	0.07202465	0.21103421	0.11878426	1.9475113	1.8333196	0.20919419	1.6683494	0	0.0015401992	1.4596715	1.1904074	-1.3456038	-0.62919009	1.3407039	1.414828	-2.156323	-5.9391726e-06	-0.12543071	2.9262815	0.041274356	0.10867804	0.051975825	0.15832678	0.18781839	0.29363165	0	0.0015433729	0.39764074	0.047085835	5.3509501	2.1760964	3.0100931	4.8545227	3.5921828	4.1775149	3.7534527	2.5116851	-79.740834	R0:N12:S0:1	-61.8352	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.25e+02	 1.27e-03	2022-06-29@15:28
2x2_2C_8b_C2v_L	3.8737459	11	1.9906	-0.36655173	-4.5488961	-4.5590027	-0.26999648	-3.9464456	7.2586417	-0.025695866	-3.8560011	9.73	0.18889365	1.1755939	-1.6916181	-0.18839482	1.6160186	-0.0005100046	0.13063305	-2.1599697	2.0219	1	0.2194	1.2676996	1.6828163	-0.53377279	-0.16872083	0.071658055	0.21116472	0.11732521	1.947766	1.8337835	0.19663632	1.674587	6.353076e-09	0.0015052499	1.4638827	1.1911285	-1.338941	-0.62766445	1.3421769	1.3716317	-2.1334132	0.00030900969	-0.12400023	2.9186578	0.041285847	0.10745386	0.051727816	0.15824427	0.17802758	0.28942792	6.353076e-09	0.0015082065	0.39594931	0.046884476	5.3574755	2.1739304	3.0317199	4.877701	3.6024234	4.1958254	3.7514878	2.5245745	-79.92512	R0:N12:S0:1	-61.9152	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.24e+02	 2.57e-03	2022-06-29@15:30
2x2_2C_8b_C2v_L	3.8772322	11	1.9906	-0.37059211	-4.5605198	-4.5728331	-0.26693938	-3.9695216	8.6034441	-0.025392483	-3.8738193	9.74	0.18781599	1.1767827	-1.6940994	-0.18551883	1.6191223	0.0012713277	0.12889448	-2.1631532	2.0219	1	0.2194	1.2679047	1.6824491	-0.53382907	-0.1677698	0.071278401	0.2113379	0.11563505	1.9480168	1.8340911	0.18356628	1.6813323	3.194599e-08	0.0014588566	1.4681432	1.1919391	-1.3307608	-0.62606712	1.3448462	1.3246964	-2.1081777	-0.00070128515	-0.12211079	2.9108946	0.041302373	0.10603026	0.051484574	0.15831648	0.16762441	0.2848244	3.194599e-08	0.0014615442	0.3942211	0.046671571	5.3656924	2.1713537	3.0557141	4.8998939	3.6126503	4.2166047	3.7498991	2.5374576	-80.09993	R0:N12:S0:1	-61.9952	uncorrelated	b7fd39a	v1.0.3	10	sharp_wc_2.0_b_50	 1.22e+02	 1.86e-03	2022-06-29@15:36
2x2_2C_8b_C2v_L	3.8833684	11	1.9906	-0.37360571	-4.5775975	-4.5873793	-0.26247442	-3.9956306	10.480939	-0.031325857	-3.9031441	9.75	0.18696053	1.1784764	-1.6968618	-0.18227146	1.6229651	0.00039752178	0.1291528	-2.1678521	2.0219	1	0.2194	1.268179	1.6823013	-0.53357682	-0.16668425	0.070839364	0.21139353	0.11334874	1.9483543	1.8343936	0.1686203	1.6890048	2.41493e-09	0.0014644242	1.4739267	1.1927218	-1.3196259	-0.62414573	1.3482015	1.2692053	-2.0791722	-0.00019521286	-0.12219745	2.9001106	0.041302689	0.10411045	0.051160163	0.15844333	0.15546332	0.27949185	2.41493e-09	0.0014670781	0.39181348	0.046406537	5.3764223	2.1693794	3.0836257	4.9224774	3.6226208	4.2408239	3.7468172	2.5558289	-80.315443	R0:N12:S0:1	-62.0752	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.21e+02	 1.50e-03	2022-06-29@15:37
2x2_2C_8b_C2v_L	3.8935136	11	1.9906	-0.37575637	-4.5921281	-4.6075794	-0.25353465	-4.0313162	12.961394	-0.041370721	-3.9491612	9.76	0.18479916	1.1805108	-1.7014923	-0.17695065	1.6285058	0.00034688415	0.13101055	-2.1762575	2.0219	1	0.2194	1.2685993	1.682182	-0.53299678	-0.1651634	0.070162461	0.21136127	0.10928191	1.9488264	1.8343963	0.14764141	1.7004907	1.3840407e-09	0.0015137688	1.4828415	1.193752	-1.2984483	-0.62134262	1.3557872	1.1860073	-2.034763	-0.00014968178	-0.12385333	2.883226	0.041286741	0.10068185	0.050712028	0.15898851	0.13792213	0.27134337	1.3840407e-09	0.0015165335	0.38800259	0.045998445	5.3969662	2.166677	3.1263582	4.9479441	3.6349392	4.278828	3.741718	2.5845626	-80.589995	R0:N12:S0:1	-62.1552	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.18e+02	 2.82e-03	2022-06-29@15:41
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
