model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	3.1840777	10.5	1.9906	0.71859503	-2.2853957	-3.4130845	0.93103396	-3.4131346	1.0023992	1.0487699	-3.3379939	9.2	9.0577791e-07	0.96345829	-1.5820118	1.4991406e-06	1.5820221	4.4124736e-06	-1.5189776e-06	-2.1381474	2.0219	1	0.2194	1.2539299	1.6434114	-0.62144554	-0.19582536	0.080275884	0.23994938	0.0	1.9584021	1.7911214	0.0	1.7911196	0.0	0.0	1.5220181	1.2343347	-4.9879272e-06	-0.52679738	1.6198094	-4.641448e-06	-1.6198234	-1.3078439e-05	1.4393844e-06	2.8454458	0.044770205	0.0	0.042337024	0.20189814	0.0	0.20189949	0.0	0.0	0.37176307	0.044815697	6.3286405	1.9110172	3.5248234	4.8299693	3.5248336	4.8299428	3.7608026	2.6224694	-68.845119	R0:N12:S0:1	-57.6752	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	146.0	5.7e-05	2022-07-13@14:12
2x2_2C_8b_C2v_L	3.226158	10.5	1.9906	0.74305597	-2.3008458	-3.4204905	0.9338648	-3.4209852	1.0395527	1.1263489	-3.3446595	9.21	7.7894144e-06	0.9657188	-1.5831703	-3.347742e-05	1.5832791	-4.1898917e-05	-7.8552966e-06	-2.1388672	2.0219	1	0.2194	1.2549151	1.6457302	-0.61657018	-0.19347735	0.079637913	0.24017978	1.0712998e-10	1.9583344	1.7908874	1.0802493e-09	1.7908599	1.448307e-09	0.0	1.521656	1.2345656	-4.2040172e-05	-0.52708484	1.6204266	0.00010311321	-1.6206229	0.00012113758	7.3215716e-06	2.8462447	0.044799245	1.0712998e-10	0.042407005	0.20211938	1.0802493e-09	0.20214056	1.448307e-09	0.0	0.37196066	0.044845991	6.3295363	1.9105233	3.5244009	4.8311113	3.5245323	4.8307717	3.7616301	2.62088	-68.969375	R0:N12:S0:1	-57.7552	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	146.0	0.00131	2022-07-13@14:14
2x2_2C_8b_C2v_L	3.3310672	10.5	1.9906	0.78718832	-2.3162762	-3.4289553	0.97787607	-3.4289494	1.1205554	1.2332123	-3.3515422	9.22	-1.8717367e-06	0.96784	-1.5843749	-1.465187e-05	1.58437	-1.5469389e-05	1.0212573e-05	-2.1394886	2.0219	1	0.2194	1.2573589	1.6517491	-0.60428558	-0.18801441	0.078744463	0.24038296	0.0	1.958272	1.7906573	1.9188299e-10	1.790662	1.7541031e-10	0.0	1.5213304	1.2347696	9.7806769e-06	-0.52735839	1.6211535	4.376432e-05	-1.6211247	4.2635096e-05	-9.3169379e-06	2.8469479	0.044824825	0.0	0.042471349	0.20233204	1.9188299e-10	0.20232818	1.7541031e-10	0.0	0.37213879	0.044872685	6.3303016	1.9101232	3.5241518	4.8317768	3.524136	4.8318167	3.7624181	2.6194632	-69.09548	R0:N12:S0:1	-57.8352	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	145.0	0.000117	2022-07-13@14:16
2x2_2C_8b_C2v_L	3.4043191	10.5	1.9906	0.92642667	-2.3343206	-3.4385926	1.091846	-3.4385999	1.2417705	1.3590763	-3.3593075	9.23	-8.9020857e-07	0.97028254	-1.585744	-6.8207963e-09	1.5857485	1.3392873e-06	1.6246581e-07	-2.1403004	2.0219	1	0.2194	1.2590739	1.6557258	-0.59582132	-0.18390186	0.077727589	0.24055519	0.0	1.9582154	1.790482	0.0	1.790478	0.0	0.0	1.5210543	1.2349426	4.2659797e-06	-0.52761988	1.621645	1.9024213e-08	-1.6216694	-3.4597317e-06	-1.4470445e-07	2.8475296	0.044846499	0.0	0.042529582	0.20249599	0.0	0.20249924	0.0	0.0	0.37229127	0.044895302	6.3309171	1.9098296	3.5238459	4.8325345	3.5238594	4.8325003	3.7631297	2.6182754	-69.234613	R0:N12:S0:1	-57.9152	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	144.0	2.71e-05	2022-07-13@14:18
2x2_2C_8b_C2v_L	3.4700119	10.5	1.9906	1.1841189	-2.3538285	-3.4495257	1.3310447	-3.4495846	1.4203986	1.5449922	-3.3679817	9.24	-8.4538359e-07	0.97285489	-1.5872546	2.9215249e-08	1.5872665	1.5923023e-06	2.0027982e-08	-2.1412456	2.0219	1	0.2194	1.2606206	1.6590925	-0.58833281	-0.17995327	0.076493354	0.24069167	0.0	1.9581632	1.790341	0.0	1.7903391	0.0	0.0	1.5208374	1.2350798	3.5359885e-06	-0.52787877	1.6220561	-7.2146704e-08	-1.6220713	-3.7807341e-06	-1.7261282e-08	2.8479675	0.044863643	0.0	0.04258293	0.20262677	0.0	0.20262818	0.0	0.0	0.37241273	0.044913194	6.3313677	1.9096643	3.5235958	4.8330962	3.523607	4.8330669	3.7637465	2.6173596	-69.38361	R0:N12:S0:1	-57.9952	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	144.0	1.86e-05	2022-07-13@14:19
2x2_2C_8b_C2v_L	3.5327452	10.5	1.9906	1.578256	-2.3748685	-3.4619249	1.696012	-3.4619173	1.7047003	1.7841203	-3.3776526	9.25	-7.4201396e-07	0.97557294	-1.5889201	9.8090111e-07	1.588918	-2.3907167e-07	-1.6103559e-06	-2.14232	2.0219	1	0.2194	1.2621065	1.6621176	-0.58128194	-0.17593137	0.075012755	0.24078783	0.0	1.9581136	1.7902431	0.0	1.7902441	0.0	0.0	1.5206916	1.2351769	2.6197044e-06	-0.52815511	1.6223513	-2.0837374e-06	-1.622345	5.0627272e-07	1.3346685e-06	2.8482253	0.044875733	0.0	0.042633482	0.20271636	0.0	0.20271558	0.0	0.0	0.37249724	0.044925807	6.3316102	1.9096782	3.5233891	4.8334696	3.5233854	4.8334793	3.7642713	2.6167772	-69.543074	R0:N12:S0:1	-58.0752	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	143.0	1.22e-05	2022-07-13@14:21
2x2_2C_8b_C2v_L	3.534466	10.5	1.9906	2.1490088	-2.3974581	-3.4757831	2.2212096	-3.4757888	2.1098266	2.0995742	-3.3883159	9.26	7.6704959e-07	0.97844763	-1.5907294	6.5691485e-08	1.5907307	-1.357289e-07	-5.1505149e-07	-2.1435072	2.0219	1	0.2194	1.2621391	1.6622491	-0.58105923	-0.17586705	0.07498562	0.24084099	0.0	1.9580645	1.790194	0.0	1.7901937	0.0	0.0	1.5206226	1.2352313	-2.2309664e-06	-0.52846583	1.6225012	-1.1772273e-07	-1.6225032	2.5118264e-07	4.0718838e-07	2.8482817	0.044882459	0.0	0.042683189	0.20275993	0.0	0.20276014	0.0	0.0	0.37254221	0.044932814	6.3316149	1.909909	3.5232077	4.8336856	3.5232091	4.833682	3.7647186	2.6165604	-69.713349	R0:N12:S0:1	-58.1552	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	142.0	6.61e-06	2022-07-13@14:22
2x2_2C_8b_C2v_L	3.536142	10.5	1.9906	2.8994552	-2.4213887	-3.4910548	2.9476584	-3.4910628	2.637947	2.5177235	-3.3999508	9.27	4.1518027e-07	0.98145051	-1.5926722	-2.5044712e-07	1.592674	6.9029475e-07	8.5003574e-07	-2.1448008	2.0219	1	0.2194	1.262171	1.6623714	-0.58084349	-0.17580198	0.074958186	0.24085243	0.0	1.9580156	1.7901893	0.0	1.7901889	0.0	0.0	1.5206289	1.2352443	-9.8979864e-07	-0.52881132	1.6225287	3.7434595e-07	-1.6225317	-1.1073581e-06	-6.3496066e-07	2.8481417	0.044883978	0.0	0.042732361	0.20276104	0.0	0.20276136	0.0	0.0	0.37254836	0.04493438	6.3313907	1.91035	3.5230632	4.8337183	3.5230653	4.8337131	3.7650871	2.616701	-69.893568	R0:N12:S0:1	-58.2352	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	141.0	3.23e-06	2022-07-13@14:23
2x2_2C_8b_C2v_L	3.5377378	10.5	1.9906	3.8757034	-2.4463692	-3.507542	3.8698989	-3.5075451	3.3082196	3.0698822	-3.4124011	9.28	-1.4687151e-06	0.98454423	-1.5947199	-1.660664e-06	1.5947207	5.8446985e-07	3.188983e-07	-2.1461725	2.0219	1	0.2194	1.2622013	1.6624832	-0.58063861	-0.17573867	0.074931459	0.2408273	0.0	1.9579669	1.7902244	0.0	1.790224	0.0	0.0	1.5207004	1.2352211	2.8608879e-06	-0.52918799	1.6224457	2.0772815e-06	-1.6224479	-8.0952116e-07	-2.2271983e-07	2.8478304	0.044880935	0.0	0.04278118	0.20272434	0.0	0.2027246	0.0	0.0	0.37252084	0.044931178	6.3309657	1.9109762	3.5229506	4.8335924	3.5229519	4.8335891	3.76539	2.6171521	-70.08203	R0:N12:S0:1	-58.3152	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	140.0	1.12e-05	2022-07-13@14:24
2x2_2C_8b_C2v_L	3.5393018	10.5	1.9906	5.0487858	-2.4720675	-3.5249441	5.0251682	-3.5248998	4.1426222	3.7835585	-3.4254666	9.29	-1.1005964e-06	0.98768662	-1.5968343	-1.3487538e-05	1.5968254	7.4162917e-06	7.253087e-06	-2.1475942	2.0219	1	0.2194	1.2622311	1.6625881	-0.58043903	-0.17567434	0.074904312	0.24077381	0.0	1.9579188	1.7902896	0.0	1.7902909	0.0	0.0	1.520822	1.2351697	1.7696525e-06	-0.52958564	1.622282	1.4164064e-05	-1.6222711	-8.8556502e-06	-4.688107e-06	2.8473884	0.044874347	0.0	0.042829277	0.20265884	0.0	0.20265785	0.0	0.0	0.37246734	0.044924274	6.3303875	1.9117415	3.522868	4.8333332	3.5228599	4.8333545	3.7656399	2.6178408	-70.276404	R0:N12:S0:1	-58.3952	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	139.0	1.79e-05	2022-07-13@14:25
