model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	9.2	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1e-09	1e-09	1e-09	1.3333333	1.9999958	0	0	0	0.64243922	1.4709355e-05	0.01400813	1.9505102	5.9760859e-05	1.9503738	5.9751423e-05	4.3716231e-05	1.5152071	1.6424307	0.020588534	-0.61038152	0.35891956	-0.039985982	-0.35971688	0.039979547	-0.023335776	2.8800421	0.026722912	1.4709222e-05	0.013880915	0.060804168	5.9758772e-05	0.060973837	5.9749337e-05	4.3715599e-05	0.39421886	0.026725542	7.8804774	7.7119237	1.3474599	7.3407062	1.350063	7.3396046	3.7167162	3.2398951	-58.809173	R0:N12:S0:1	-61.6	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-29@13:27
2x2_2C_8b_C2v_L	6.2180444	7.4444444	1.5545111	0.09210742	-2.1954604	-2.7377166	0.24927737	-2.7376787	0.24927432	0.29877811	-2.7793322	9.2	0.00066659246	0.08873641	-0.1381414	-0.0005989799	0.13814044	0.0005989767	-0.00040980702	-0.17202499	0.22465556	0.11111111	0.024377779	1.3333333	1.9999999	-2.290051e-08	-6.855612e-10	3.2674191e-10	0.082091947	6.1683117e-08	1.8838241	1.9397863	5.4331822e-08	1.9397826	5.4332423e-08	1.7271404e-08	1.9082538	1.0820883	-0.0008587452	-1.3138249	0.92903255	0.00081363238	-0.92906096	-0.00081363457	0.00046857614	1.1813301	0.018902503	6.1683115e-08	0.11251306	0.059410343	5.433182e-08	0.059414011	5.4332422e-08	1.7271404e-08	0.089400079	0.018901852	4.2854229	3.7107265	3.6304897	4.415366	3.6304859	4.4153716	4.1972513	3.7901152	-58.013434	R0:N12:S0:1	-61.163911	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.28e-02	 1.88e-02	2022-06-29@13:28
2x2_2C_8b_C2v_L	6.4360823	8.3888889	1.6090222	0.092107247	-2.5385963	-3.5149822	0.24932722	-3.5149928	0.24932425	0.29885648	-4.5483682	9.2	-6.7584073e-05	0.19106746	-0.3163134	-0.00023355745	0.31631429	0.00023371472	-0.00071642973	-0.44770479	0.44931111	0.22222222	0.048755556	1.3333332	1.9999876	-4.407546e-06	-2.0084341e-07	9.4314845e-08	0.046271909	4.1191644e-10	1.9625845	1.9528119	4.5364527e-09	1.952812	4.5425748e-09	4.170044e-08	1.94688	1.0462279	7.6903734e-05	-0.74497214	0.84801984	0.00024937329	-0.84801915	-0.00024954137	0.00072619819	0.91373986	0.011036315	4.1191644e-10	0.037125918	0.046633834	4.5364526e-09	0.046633757	4.5425747e-09	4.170044e-08	0.052335657	0.011027325	4.2916967	3.7325165	3.8206935	4.188689	3.8206938	4.1886887	4.0705715	3.9167747	-65.601969	R0:N12:S0:1	-60.727822	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.28e+00	 6.39e-02	2022-06-29@13:29
2x2_2C_8b_C2v_L	6.0885056	9.3333333	1.6635333	0.092017759	-3.9444107	-5.629529	0.24893527	-5.6294324	0.24892867	0.29800645	-6.2179444	9.2	0.0041965169	0.35280749	-0.59955868	0.015094937	0.59955827	-0.015125948	-0.028673509	-0.79877312	0.67396667	0.33333333	0.073133334	1.3221355	1.6676706	-0.24118527	-0.024555656	0.011231111	0.040258087	1.4794195e-06	1.9766892	1.9615577	1.580572e-05	1.9615561	1.5870359e-05	4.9580285e-05	1.9397705	1.040086	-0.0048241944	-0.58119415	0.76889748	-0.0152986	-0.76891589	0.015329826	0.02618385	0.98683975	0.0096708279	1.4794188e-06	0.02320845	0.038076342	1.5805652e-05	0.0380779	1.587029e-05	4.9579766e-05	0.059155146	0.0096419958	4.376557	3.6468355	3.8531748	4.1536664	3.853196	4.1536422	3.9575231	4.0045628	-80.632078	R0:N12:S0:1	-60.291733	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.19e+01	 4.91e-04	2022-06-29@13:30
2x2_2C_8b_C2v_L	5.9699851	10.277778	1.7180444	0.094713542	-4.30327	-5.820194	0.24896351	-5.8201284	0.24895777	0.31855081	-6.1465409	9.2	0.00037610093	0.4959092	-0.82306503	0.0009283156	0.82306005	-0.00091897201	0.02581726	-1.0857469	0.89862222	0.44444444	0.097511112	1.3172691	1.6668741	-0.28794976	-0.035898816	0.016216735	0.052210288	1.608185e-08	1.9755076	1.9511028	7.2822801e-08	1.9511025	7.1364066e-08	4.2314229e-05	1.9148393	1.0518513	-0.00050081777	-0.58251922	0.86234214	-0.0010196392	-0.86234429	0.0010093763	-0.023631057	1.1813475	0.01239574	1.608185e-08	0.02439696	0.048311388	7.28228e-08	0.048311645	7.1364065e-08	4.2313939e-05	0.082862363	0.012328824	4.5357689	3.500169	3.8166644	4.195468	3.8166632	4.1954694	3.9029429	4.0137534	-82.535595	R0:N12:S0:1	-59.855644	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.05e+00	 1.65e-01	2022-06-29@13:31
2x2_2C_8b_C2v_L	5.8168675	11.222222	1.7725556	0.098398939	-5.4260315	-6.2777285	0.24980252	-6.2777314	0.2497918	0.32118506	-5.8135016	9.2	-0.00076380959	0.70334431	-1.085203	0.01448844	1.0852062	-0.014486178	0.026804779	-1.3594836	1.1232778	0.55555556	0.12188889	1.3127757	1.6664803	-0.32463853	-0.046614185	0.020871742	0.063130781	9.6506983e-08	1.9755421	1.9428419	2.2434722e-05	1.9428413	2.2427484e-05	4.6057679e-05	1.8885435	1.062535	0.0012147912	-0.56958801	0.9281925	-0.01748062	-0.9281993	0.017477772	-0.024412851	1.3584139	0.014825238	9.6506979e-08	0.024377415	0.056367283	2.2434604e-05	0.056367885	2.2427365e-05	4.6057472e-05	0.10729525	0.014722644	4.6831739	3.3628977	3.7895869	4.2283793	3.7895983	4.2283655	3.8606868	3.9959254	-86.622151	R0:N12:S0:1	-59.419556	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 4.08e+00	 2.29e-01	2022-06-29@13:32
2x2_2C_8b_C2v_L	5.6407503	12.166667	1.8270667	0.09840576	-5.5340883	-6.1559424	0.25700244	-6.1559423	0.25699102	0.37937804	-5.3269198	9.2	0.00026313555	0.8705208	-1.3162908	-0.021707696	1.316292	0.021727192	0.014865076	-1.6151297	1.3479333	0.66666667	0.14626667	1.3087343	1.6665202	-0.35383286	-0.05643454	0.025100798	0.07549053	1.8861244e-08	1.9732326	1.9326882	7.409565e-05	1.9326881	7.4229185e-05	1.5849419e-05	1.8626855	1.0746353	-0.00052777366	-0.58318416	1.0016947	0.030401686	-1.0016956	-0.030429049	-0.013863024	1.5126372	0.017493678	1.8861244e-08	0.026690254	0.066230391	7.4094533e-05	0.066230479	7.4228064e-05	1.584942e-05	0.13071351	0.017358079	4.8230926	3.2374457	3.7576277	4.2687429	3.7576281	4.2687423	3.8336796	3.9553521	-86.09947	R0:N12:S0:1	-58.983467	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 3.19e+00	 3.01e-03	2022-06-29@13:33
2x2_2C_8b_C2v_L	5.445757	13.111111	1.8815778	0.098406075	-5.4887915	-5.5124398	0.30122836	-5.5124652	0.30123398	0.39406165	-4.8313962	9.2	0.00028331467	1.0356727	-1.4879685	0.00016888547	1.4879718	-0.00010776707	0.0055152931	-1.8632334	1.5725889	0.77777778	0.17064444	1.3050983	1.6662945	-0.37803671	-0.065353939	0.028923037	0.087371817	4.2825237e-08	1.9710133	1.9222306	7.9184377e-09	1.9222304	3.2242131e-09	2.6973674e-06	1.8393627	1.08629	-0.00077542851	-0.5951037	1.0704862	-0.00029357855	-1.0704878	0.00018733384	-0.0054375155	1.6399815	0.019984201	4.2825235e-08	0.028916915	0.076349001	7.9184377e-09	0.076349115	3.2242131e-09	2.6973688e-06	0.15128936	0.019814235	4.9453949	3.1294775	3.7261025	4.3106619	3.7261063	4.3106568	3.8139311	3.906527	-83.148623	R0:N12:S0:1	-58.547378	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 4.57e+00	 8.87e-03	2022-06-29@13:34
2x2_2C_8b_C2v_L	5.2255904	14.055556	1.9360889	0.09925987	-4.2262961	-4.70183	0.30125921	-4.7018782	0.30124497	0.40474149	-4.1991925	9.2	-6.1573248e-05	1.0806991	-1.6205465	-3.307667e-05	1.6205514	1.8791778e-05	0.00047867257	-2.0758254	1.7972444	0.88888889	0.19502222	1.3016559	1.6650334	-0.40001975	-0.073885021	0.032564314	0.098282393	5.8700552e-09	1.9691601	1.9130449	8.4510025e-10	1.9130451	2.7277996e-10	3.1246148e-08	1.8171079	1.0969105	0.0002742895	-0.60161232	1.1260253	8.5329247e-05	-1.1260243	-4.8478498e-05	-0.00052890424	1.7547696	0.02219936	5.8700552e-09	0.030791211	0.085213234	8.4510025e-10	0.085213035	2.7277996e-10	3.1246149e-08	0.17037226	0.021999923	5.0657228	3.0240435	3.7010367	4.3471983	3.701038	4.3471965	3.7904503	3.8541301	-76.725322	R0:N12:S0:1	-58.111289	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.63e+01	 8.55e-04	2022-06-29@13:37
2x2_2C_8b_C2v_L	4.0450559	15	1.9906	-0.025883655	-3.3675265	-3.9188985	0.025026409	-3.9188871	0.025024173	0.045010416	-3.5731525	9.2	0.11993629	1.0829139	-1.673797	-0.14433499	1.6737985	-0.14433368	0.18891805	-2.2103584	2.0219	1	0.2194	1.2730924	1.632309	-0.51570245	-0.15741418	0.064936846	0.10104319	0.10427169	1.9550861	1.8330423	0.16689563	1.8330392	0.16688325	0.0089279925	1.6354643	1.0740974	-1.0525464	-0.65172833	1.4292757	0.89869176	-1.4292937	0.89864177	-0.23184103	2.2517433	0.022731997	0.095751108	0.044250811	0.15575762	0.15902915	0.15576032	0.15901929	0.0090315364	0.29753264	0.029953308	4.8823466	2.939643	3.6722684	4.5876347	3.6722965	4.5876108	3.676586	3.5759118	-71.149732	R0:N12:S0:1	-57.6752	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.13e+02	 3.19e-03	2022-06-29@13:41
