GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	2.8413	-0.30263376	-3.3382249	-3.4047862	0.015362019	-3.4048253	0.015353953	0.024806248	-3.1781202	a248bdd	2x2_2C_8b_C2v_L	9.8	validity_data_2022.py	0.19223108	1.064499	-1.558872	0.13907744	1.5588871	0.13906977	-0.17560139	-2.0798115	2024-08-14@16:08	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.30572122	-3.346831	-3.4098508	0.015595903	-3.4092205	0.015603821	0.025015673	-3.1836895	a248bdd	2x2_2C_8b_C2v_L	9.81	validity_data_2022.py	0.19220676	1.0650093	-1.5587748	0.13886178	1.5586336	0.13886518	-0.1754393	-2.0793403	2024-08-14@16:09	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.30632795	-3.3507084	-3.4178298	0.014919824	-3.4173906	0.014910588	0.024375986	-3.1913516	a248bdd	2x2_2C_8b_C2v_L	9.82	validity_data_2022.py	0.19076693	1.0655803	-1.5593433	0.13797184	1.5592612	0.13794964	-0.17432445	-2.07969	2024-08-14@16:09	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.30997295	-3.3646086	-3.424385	0.014662771	-3.4253269	0.014671551	0.024224583	-3.1983477	a248bdd	2x2_2C_8b_C2v_L	9.83	validity_data_2022.py	0.19078885	1.0670565	-1.5597624	0.13675658	1.5600051	0.13676965	-0.17290871	-2.0800066	2024-08-14@16:10	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31053159	-3.3686292	-3.431988	0.01457942	-3.4311691	0.014624659	0.024148521	-3.205128	a248bdd	2x2_2C_8b_C2v_L	9.84	validity_data_2022.py	0.18975811	1.0674207	-1.5602171	0.13624173	1.5600033	0.13622506	-0.17231675	-2.0799081	2024-08-14@16:10	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31378839	-3.3757329	-3.4379574	0.015130365	-3.4398855	0.015085361	0.024822465	-3.2131141	a248bdd	2x2_2C_8b_C2v_L	9.85	validity_data_2022.py	0.1892214	1.0680487	-1.5604223	0.13504023	1.5608343	0.13506405	-0.17106317	-2.0804077	2024-08-14@16:11	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31530504	-3.3871963	-3.445563	0.014165849	-3.4473311	0.014259417	0.024077142	-3.2180858	a248bdd	2x2_2C_8b_C2v_L	9.86	validity_data_2022.py	0.18875565	1.069398	-1.5610174	0.13406744	1.5613799	0.13407605	-0.16978395	-2.0800965	2024-08-14@16:11	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31375018	-3.383842	-3.4522263	0.014054504	-3.452118	0.014076961	0.023833774	-3.2254992	a248bdd	2x2_2C_8b_C2v_L	9.87	validity_data_2022.py	0.18691067	1.0688827	-1.5611551	0.13388964	1.5611206	0.13388977	-0.16962546	-2.0800906	2024-08-14@16:11	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31721196	-3.3862513	-3.4583708	0.015230633	-3.4588311	0.015188023	0.025061869	-3.2338148	a248bdd	2x2_2C_8b_C2v_L	9.88	validity_data_2022.py	0.18627064	1.068933	-1.5613726	0.13282846	1.5614308	0.1328269	-0.16857554	-2.0805519	2024-08-14@16:12	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.31965801	-3.4032999	-3.4656338	0.014510822	-3.4653643	0.014477415	0.02448209	-3.2396962	a248bdd	2x2_2C_8b_C2v_L	9.89	validity_data_2022.py	0.18625659	1.0706496	-1.5617992	0.13206774	1.5616939	0.13205684	-0.16763622	-2.0804074	2024-08-14@16:12	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32018846	-3.3977105	-3.471892	0.015587385	-3.4722982	0.015569878	0.025668498	-3.2478453	a248bdd	2x2_2C_8b_C2v_L	9.9	validity_data_2022.py	0.18445557	1.0699541	-1.5619423	0.1312224	1.5620269	0.13122334	-0.16687793	-2.0807349	2024-08-14@16:13	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32204907	-3.415427	-3.4803697	0.014808098	-3.4798856	0.014780057	0.024972477	-3.2540048	a248bdd	2x2_2C_8b_C2v_L	9.91	validity_data_2022.py	0.18429975	1.0717588	-1.5625879	0.13060885	1.562459	0.1305981	-0.16606991	-2.080626	2024-08-14@16:13	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32485213	-3.4141858	-3.4839697	0.016192998	-3.4856021	0.016175725	0.026700623	-3.2621223	a248bdd	2x2_2C_8b_C2v_L	9.92	validity_data_2022.py	0.18320906	1.0714302	-1.5623051	0.12933826	1.5626554	0.12934785	-0.16493908	-2.0811565	2024-08-14@16:14	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32615551	-3.4215373	-3.4950659	0.016608315	-3.4927951	0.016621074	0.027280572	-3.2683423	a248bdd	2x2_2C_8b_C2v_L	9.93	validity_data_2022.py	0.18228012	1.0721577	-1.5634975	0.12861102	1.5630112	0.12856788	-0.16413157	-2.0809852	2024-08-14@16:14	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32721041	-3.4249822	-3.4997043	0.016687913	-3.49974	0.016698724	0.027330613	-3.2760273	a248bdd	2x2_2C_8b_C2v_L	9.94	validity_data_2022.py	0.18128912	1.0722746	-1.5632042	0.12814998	1.5632374	0.12815577	-0.16369685	-2.0811225	2024-08-14@16:14	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.32853813	-3.4366497	-3.5074669	0.01636798	-3.5073075	0.016353889	0.02721176	-3.2826632	a248bdd	2x2_2C_8b_C2v_L	9.95	validity_data_2022.py	0.18063834	1.0734858	-1.5637495	0.12733442	1.5637096	0.12734421	-0.1627994	-2.0812054	2024-08-14@16:15	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33086494	-3.4409782	-3.5148626	0.017233384	-3.5146817	0.017231512	0.028286964	-3.2901974	a248bdd	2x2_2C_8b_C2v_L	9.96	validity_data_2022.py	0.1797972	1.0736896	-1.5641119	0.12661127	1.5640737	0.12661875	-0.1621614	-2.0813692	2024-08-14@16:15	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33171414	-3.4461883	-3.5223097	0.017839526	-3.5216682	0.01783215	0.029032611	-3.2979413	a248bdd	2x2_2C_8b_C2v_L	9.97	validity_data_2022.py	0.17867667	1.0741354	-1.5645016	0.1259506	1.5643521	0.12594526	-0.16155863	-2.0816066	2024-08-14@16:16	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.3322387	-3.4511664	-3.5299893	0.018493572	-3.5286754	0.018484967	0.029920701	-3.3065737	a248bdd	2x2_2C_8b_C2v_L	9.98	validity_data_2022.py	0.17732937	1.0746571	-1.5649084	0.1252998	1.5646406	0.12529599	-0.16100612	-2.0821326	2024-08-14@16:16	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33504513	-3.4575145	-3.536528	0.019090309	-3.5363872	0.019108476	0.030777406	-3.3127307	a248bdd	2x2_2C_8b_C2v_L	9.99	validity_data_2022.py	0.17666919	1.0750077	-1.5650839	0.12455837	1.5650856	0.12455615	-0.16035089	-2.0819315	2024-08-14@16:17	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.3337181	-3.4598089	-3.5432365	0.018941967	-3.5437411	0.018934766	0.030543921	-3.3195561	a248bdd	2x2_2C_8b_C2v_L	10	validity_data_2022.py	0.17516727	1.075157	-1.5652293	0.12421063	1.5653465	0.12422488	-0.15996416	-2.0818115	2024-08-14@16:17	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33827258	-3.4642652	-3.5519029	0.021210255	-3.5516994	0.021214477	0.033515785	-3.3289796	a248bdd	2x2_2C_8b_C2v_L	10.01	validity_data_2022.py	0.17447439	1.0752214	-1.5659125	0.12334013	1.5658423	0.12335618	-0.15957286	-2.0826024	2024-08-14@16:17	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33432288	-3.4664711	-3.5578988	0.020068169	-3.5577213	0.020095228	0.032171398	-3.3345826	a248bdd	2x2_2C_8b_C2v_L	10.02	validity_data_2022.py	0.17252014	1.0756256	-1.565888	0.12289824	1.5658688	0.12289604	-0.1588461	-2.0821518	2024-08-14@16:18	2.0159	1	0.2381	v2.7.1	
NY	9.5	2.8413	-0.33613034	-3.4707433	-3.5653298	0.021485993	-3.5658208	0.021494824	0.034036209	-3.3431541	a248bdd	2x2_2C_8b_C2v_L	10.03	validity_data_2022.py	0.17138695	1.0758282	-1.5662174	0.12230747	1.566332	0.12232848	-0.15859136	-2.0826096	2024-08-14@16:18	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.33668819	-3.4725783	-3.5738456	0.022443697	-3.5741839	0.02238483	0.035238399	-3.3509839	a248bdd	2x2_2C_8b_C2v_L	10.04	validity_data_2022.py	0.17005544	1.0757881	-1.566756	0.12182886	1.5668317	0.12181779	-0.15826591	-2.0827989	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.3394656	-3.4853497	-3.5813474	0.02306655	-3.5816136	0.023033735	0.036107184	-3.3589893	a248bdd	2x2_2C_8b_C2v_L	10.05	validity_data_2022.py	0.16954183	1.0768991	-1.5670795	0.12136696	1.5671013	0.12136538	-0.15799736	-2.0830648	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.34033388	-3.4750765	-3.5891925	0.025744906	-3.5892388	0.02577779	0.039638912	-3.368717	a248bdd	2x2_2C_8b_C2v_L	10.06	validity_data_2022.py	0.16727557	1.0754876	-1.5674041	0.1210462	1.5674317	0.12102976	-0.15836366	-2.0837556	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
