model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	10.082727	11.5	3.3038	-0.011449666	-5.0336746	-5.062732	-0.00080721951	-5.0570819	-0.00074224547	0.0040265547	-4.8151842	13	0.057544546	1.0696643	-1.5137058	0.09796303	1.5129338	-0.097992971	-0.12332436	-1.9603339	1.9469	1	0.292	1.2850939	1.792964	-0.39053638	-0.14168133	0.059015545	0.28623535	0.001408421	1.9526002	1.7425082	0.0024673352	1.7418896	0.0024605247	0.00078799996	1.4294343	1.2816109	-0.16574295	-0.54047777	1.7414774	-0.17728731	-1.7442644	0.17701359	0.10183718	3.0062289	0.050289081	0.00140717	0.048406872	0.2473218	0.0024661672	0.24782776	0.0024593725	0.00078787703	0.41752683	0.050672665	6.4415556	1.8251867	3.4680927	5.0140295	3.4687816	5.0116681	4.0236093	2.2762352	-99.622623	R0:N12:S0:1	-77.5696	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 2.59e+02	 1.00e+06	2022-07-25@15:31
2x2_2C_8b_C2v_L	10.015663	11.388889	3.2524111	-0.01112157	-5.0255546	-5.0234397	-0.0048168531	-5.0211278	-0.0047968177	0.00046031246	-4.7752496	13	0.0557248	1.0727316	-1.5145626	0.096237107	1.514236	-0.096273537	-0.12247876	-1.9596866	1.9545667	1	0.28601111	1.2870912	1.8052479	-0.37153467	-0.13795839	0.057872852	0.29548426	0.0013445834	1.9532131	1.7336059	0.0024462267	1.733347	0.0024447567	0.00077904262	1.4099488	1.2907176	-0.16287763	-0.52647206	1.7609581	-0.17699947	-1.7620957	0.17693526	0.10187284	3.0505339	0.051164706	0.0013434406	0.047841903	0.25580986	0.0024450935	0.25602037	0.0024436286	0.00077890971	0.42539192	0.051595569	6.5014238	1.7663969	3.4684492	5.047699	3.468703	5.0467627	4.0404587	2.19118	-99.551049	R0:N12:S0:1	-77.980711	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.49e+02	 1.53e-02	2022-07-25@15:33
2x2_2C_8b_C2v_L	9.9464206	11.277778	3.2010222	-0.0016076302	-5.0110214	-4.9629073	-0.00025338283	-4.9622122	-0.00027146759	-0.0011422939	-4.7465479	13	0.054342656	1.0763159	-1.5138087	0.094289551	1.5137137	-0.094312405	-0.12145237	-1.961131	1.9622333	1	0.28002222	1.2890725	1.8168565	-0.35303888	-0.1339921	0.056640634	0.30529831	0.0012939308	1.9537365	1.7234202	0.0024099809	1.723327	0.002410077	0.00076903651	1.3910728	1.3003901	-0.16071066	-0.51297412	1.7818156	-0.17628478	-1.7822237	0.1762834	0.10173346	3.0927454	0.052057957	0.0012928714	0.047369356	0.26551578	0.0024088895	0.26559028	0.0024089868	0.00076889696	0.43259206	0.052539405	6.5605805	1.7083669	3.4681439	5.0872375	3.4682288	5.0868892	4.0560536	2.1088041	-99.412485	R0:N12:S0:1	-78.391822	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.41e+02	 1.42e-02	2022-07-25@15:35
2x2_2C_8b_C2v_L	9.8719289	11.166667	3.1496333	0.0023081225	-5.0038848	-4.9400739	0.0079931971	-4.9396952	0.0079800444	0.00065296484	-4.7179095	13	0.054691668	1.0802017	-1.5189821	0.095531699	1.5189248	-0.095535172	-0.12102106	-1.9630892	1.9699	1	0.27403333	1.2909904	1.8274764	-0.3354691	-0.12983159	0.055353412	0.31459992	0.001323414	1.9544138	1.7144296	0.0025115832	1.714383	0.0025112329	0.00076345338	1.3715702	1.3095234	-0.16346454	-0.49868836	1.7992652	-0.1806361	-1.7994605	0.18062155	0.1019836	3.134588	0.052839514	0.0013223045	0.046734429	0.27413411	0.0025104082	0.27417137	0.0025100589	0.0007633041	0.43959942	0.053382074	6.6181737	1.6499872	3.4702338	5.1219472	3.4702694	5.1217936	4.0738369	2.0249567	-99.44584	R0:N12:S0:1	-78.802933	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.32e+02	 3.05e-03	2022-07-25@15:38
2x2_2C_8b_C2v_L	9.8378233	11.055556	3.0982444	0.0053695695	-5.0010678	-4.9338819	0.011642197	-4.9336182	0.011638318	0.0080133444	-4.6986876	13	0.054836134	1.0842011	-1.5256374	0.098694256	1.5255985	-0.098693637	-0.12142572	-1.9684878	1.9775667	1	0.26804444	1.293588	1.8397525	-0.31320526	-0.12343014	0.053114638	0.32354867	0.0013379057	1.9552699	1.706037	0.0027123366	1.7059978	0.0027118311	0.00076462723	1.3520684	1.3182751	-0.16531575	-0.48338378	1.8147864	-0.18841083	-1.8149517	0.1883913	0.1026988	3.1756195	0.053534858	0.0013367706	0.045912066	0.2822302	0.00271098	0.282261	0.0027104756	0.0007644656	0.44614186	0.054146198	6.6755883	1.5905153	3.4742527	5.1540162	3.4742821	5.1538796	4.091035	1.9412013	-99.579268	R0:N12:S0:1	-79.214044	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.24e+02	 1.46e-03	2022-07-25@15:41
2x2_2C_8b_C2v_L	9.8028458	10.944444	3.0468556	0.0066718079	-5.0005927	-4.9335197	0.0057479219	-4.9332683	0.0057442684	0.010276846	-4.6991279	13	0.05493754	1.0878281	-1.5312214	0.10051821	1.531186	-0.10051907	-0.12447433	-1.976287	1.9852333	1	0.26205556	1.2961928	1.8513683	-0.29133285	-0.11659567	0.050608585	0.33183836	0.0013421681	1.9560326	1.698047	0.0028450549	1.6980024	0.0028445643	0.00079883048	1.3346035	1.3263709	-0.166486	-0.46942357	1.8288372	-0.19365008	-1.8290263	0.19363077	0.10551085	3.2119195	0.054139807	0.0013410259	0.045180508	0.2899561	0.0028435754	0.2899906	0.0028430861	0.0007986439	0.45161859	0.054817155	6.7280797	1.5359971	3.4786045	5.1848312	3.4786364	5.1846691	4.105357	1.8660182	-99.771408	R0:N12:S0:1	-79.625156	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.17e+02	 1.54e-02	2022-07-25@15:44
2x2_2C_8b_C2v_L	9.7527375	10.833333	2.9954667	0.0069346237	-5.001542	-4.9423955	-0.0014645806	-4.9422263	-0.0014684917	0.0061640294	-4.7196884	13	0.054725172	1.0917472	-1.5382463	0.10152856	1.5382226	-0.10152756	-0.12676613	-1.9868278	1.9929	1	0.25606667	1.2985692	1.8616629	-0.27154667	-0.11007235	0.048148896	0.33943283	0.0013232287	1.956628	1.6904243	0.0029204232	1.6903908	0.0029199693	0.00082343783	1.3194645	1.3337763	-0.16613982	-0.45729579	1.8416521	-0.19692501	-1.8417933	0.19690762	0.10754656	3.2433603	0.054662184	0.0013221196	0.044617574	0.29732728	0.0029188752	0.29735288	0.0029184223	0.00082323219	0.45607115	0.055401538	6.7754143	1.4873041	3.4827995	5.2143923	3.4828218	5.2142702	4.1165725	1.800164	-100.04223	R0:N12:S0:1	-80.036267	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.11e+02	 1.75e-02	2022-07-25@15:46
2x2_2C_8b_C2v_L	9.6951996	10.722222	2.9440778	0.0074956918	-5.004921	-4.9542445	-0.0078245496	-4.9541334	-0.0078269543	0.0010672022	-4.7322086	13	0.054799212	1.0959009	-1.5459446	0.10229656	1.5459291	-0.10229855	-0.12842798	-1.9957465	2.0005667	1	0.25007778	1.3008404	1.8712414	-0.25285255	-0.10360712	0.045639308	0.3471675	0.0013185445	1.9573122	1.6828632	0.0029817324	1.68284	0.0029815766	0.00084085883	1.3035589	1.3413258	-0.16666837	-0.44461839	1.8538032	-0.19969701	-1.8538998	0.19969036	0.1091674	3.2750289	0.055159248	0.0013174443	0.043960305	0.30466846	0.0029801311	0.30468601	0.0029799759	0.00084063561	0.46048939	0.055963886	6.8227417	1.4377213	3.487962	5.2438094	3.4879757	5.2437261	4.1303155	1.7325954	-100.31785	R0:N12:S0:1	-80.447378	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.05e+02	 4.27e-04	2022-07-25@15:49
2x2_2C_8b_C2v_L	9.6341026	10.611111	2.8926889	0.0097408778	-5.0196817	-4.9899029	-0.014012823	-4.9898378	-0.014014237	-0.0041638199	-4.7551069	13	0.054875539	1.1009558	-1.5571003	0.10277182	1.5570911	-0.10277161	-0.12968651	-2.0067962	2.0082333	1	0.24408889	1.3030676	1.8802807	-0.23477156	-0.097023674	0.043009853	0.35405565	0.0013049059	1.9580332	1.6764992	0.0030034299	1.6764849	0.0030032546	0.00085000297	1.2887329	1.3480221	-0.16662091	-0.43236467	1.8636195	-0.20115976	-1.8636785	0.20115301	0.11024499	3.3041424	0.055560478	0.0013038297	0.043258722	0.31090113	0.0030018179	0.31091187	0.0030016431	0.00084976641	0.46433596	0.056429058	6.8666948	1.3909979	3.4940563	5.2687633	3.4940643	5.2687127	4.1429823	1.6695835	-100.73255	R0:N12:S0:1	-80.858489	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.00e+02	 1.76e-02	2022-07-25@15:52
2x2_2C_8b_C2v_L	9.5704484	10.5	2.8413	0.010963653	-5.0455074	-5.0355358	-0.020333611	-5.0355701	-0.020335469	-0.0097047431	-4.7860628	13	0.055385012	1.1071162	-1.569654	0.10350691	1.5696616	-0.10350982	-0.13098684	-2.0195569	2.0159	1	0.2381	1.3052673	1.8888751	-0.21717389	-0.090288333	0.040246163	0.36046387	0.0013083056	1.9588	1.6706521	0.0030284038	1.6706534	0.0030285967	0.00085748432	1.2747544	1.3542293	-0.16763834	-0.42031326	1.8723252	-0.20274314	-1.8723236	0.20274929	0.11120104	3.3313792	0.055903847	0.0013072254	0.042503933	0.31665956	0.0030267771	0.31665834	0.0030269699	0.00085723555	0.46772244	0.056837962	6.9080426	1.3461543	3.5006607	5.2916651	3.500661	5.2916598	4.1544091	1.6100002	-101.22696	R0:N12:S0:1	-81.2696	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.95e+02	 1.75e-02	2022-07-25@15:54
