w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-25	0.000107292	0.00011076	0.00011076	0	0	0
-24.975	0.000107681	0.000111102	0.000111102	2.69202e-06	2.77755e-06	2.77755e-06
-24.95	0.000108076	0.000111446	0.000111446	5.39392e-06	5.56369e-06	5.56369e-06
-24.925	0.000108477	0.000111792	0.000111792	8.10584e-06	8.35849e-06	8.35848e-06
-24.9	0.000108883	0.000112139	0.000112139	1.08279e-05	1.1162e-05	1.1162e-05
-24.875	0.000109293	0.000112488	0.000112488	1.35602e-05	1.39742e-05	1.39742e-05
-24.85	0.000109708	0.000112839	0.000112839	1.63029e-05	1.67952e-05	1.67952e-05
-24.825	0.000110127	0.000113192	0.000113192	1.90561e-05	1.9625e-05	1.9625e-05
-24.8	0.000110551	0.000113546	0.000113546	2.18199e-05	2.24636e-05	2.24636e-05
-24.775	0.000110979	0.000113903	0.000113903	2.45944e-05	2.53112e-05	2.53112e-05
-24.75	0.000111411	0.000114261	0.000114261	2.73796e-05	2.81677e-05	2.81677e-05
-24.725	0.000111848	0.00011462	0.00011462	3.01758e-05	3.10332e-05	3.10332e-05
-24.7	0.000112289	0.000114982	0.000114982	3.2983e-05	3.39077e-05	3.39077e-05
-24.675	0.000112735	0.000115345	0.000115345	3.58014e-05	3.67914e-05	3.67914e-05
-24.65	0.000113186	0.00011571	0.00011571	3.86311e-05	3.96841e-05	3.96841e-05
-24.625	0.000113643	0.000116077	0.000116077	4.14722e-05	4.25861e-05	4.25861e-05
-24.6	0.000114107	0.000116446	0.000116446	4.43248e-05	4.54972e-05	4.54972e-05
-24.575	0.000114577	0.000116817	0.000116817	4.71892e-05	4.84176e-05	4.84176e-05
-24.55	0.000115055	0.00011719	0.00011719	5.00656e-05	5.13474e-05	5.13474e-05
-24.525	0.000115543	0.000117564	0.000117564	5.29542e-05	5.42865e-05	5.42865e-05
-24.5	0.000116043	0.000117941	0.000117941	5.58553e-05	5.7235e-05	5.7235e-05
-24.475	0.000116557	0.00011832	0.00011832	5.87692e-05	6.0193e-05	6.0193e-05
-24.45	0.00011709	0.0001187	0.0001187	6.16965e-05	6.31605e-05	6.31605e-05
-24.425	0.000117647	0.000119083	0.000119083	6.46376e-05	6.61376e-05	6.61376e-05
-24.4	0.000118233	0.000119469	0.000119469	6.75935e-05	6.91243e-05	6.91243e-05
-24.375	0.000118848	0.000119856	0.000119856	7.05646e-05	7.21207e-05	7.21207e-05
-24.35	0.000119479	0.000120246	0.000120246	7.35516e-05	7.51269e-05	7.51269e-05
-24.325	0.000120091	0.000120637	0.000120637	7.65539e-05	7.81428e-05	7.81428e-05
-24.3	0.000120637	0.00012103	0.00012103	7.95698e-05	8.11685e-05	8.11685e-05
-24.275	0.000121111	0.000121424	0.000121424	8.25976e-05	8.42041e-05	8.42041e-05
-24.25	0.000121559	0.00012182	0.00012182	8.56366e-05	8.72496e-05	8.72496e-05
-24.225	0.000122028	0.000122219	0.000122219	8.86873e-05	9.03051e-05	9.03051e-05
-24.2	0.000122546	0.00012262	0.00012262	9.17509e-05	9.33706e-05	9.33706e-05
-24.175	0.000123128	0.000123025	0.000123025	9.48291e-05	9.64463e-05	9.64463e-05
-24.15	0.000123781	0.000123434	0.000123434	9.79236e-05	9.95321e-05	9.95321e-05
-24.125	0.000124519	0.000123847	0.000123847	0.000101037	0.000102628	0.000102628
-24.1	0.000125354	0.000124264	0.000124264	0.00010417	0.000105735	0.000105735
-24.075	0.000126283	0.000124686	0.000124686	0.000107328	0.000108852	0.000108852
-24.05	0.000127251	0.000125111	0.000125111	0.000110509	0.00011198	0.00011198
-24.025	0.000128116	0.000125535	0.000125535	0.000113712	0.000115118	0.000115118
-24	0.000128704	0.000125953	0.000125953	0.000116929	0.000118267	0.000118267
-23.975	0.000128986	0.000126364	0.000126364	0.000120154	0.000121426	0.000121426
-23.95	0.000129111	0.000126773	0.000126773	0.000123382	0.000124595	0.000124595
-23.925	0.000129243	0.000127183	0.000127183	0.000126613	0.000127775	0.000127775
-23.9	0.000129457	0.000127598	0.000127599	0.000129849	0.000130965	0.000130965
-23.875	0.000129765	0.000128018	0.000128019	0.000133093	0.000134165	0.000134165
-23.85	0.000130155	0.000128443	0.000128443	0.000136347	0.000137377	0.000137377
-23.825	0.00013061	0.000128871	0.000128871	0.000139613	0.000140598	0.000140598
-23.8	0.000131117	0.000129303	0.000129303	0.00014289	0.000143831	0.000143831
-23.775	0.000131668	0.000129739	0.000129739	0.000146182	0.000147074	0.000147074
-23.75	0.000132256	0.000130177	0.000130178	0.000149489	0.000150329	0.000150329
-23.725	0.000132881	0.000130619	0.000130619	0.000152811	0.000153594	0.000153594
-23.7	0.000133543	0.000131064	0.000131064	0.000156149	0.000156871	0.000156871
-23.675	0.000134246	0.000131512	0.000131513	0.000159505	0.000160159	0.000160159
-23.65	0.000134995	0.000131964	0.000131965	0.00016288	0.000163458	0.000163458
-23.625	0.000135802	0.000132419	0.00013242	0.000166275	0.000166768	0.000166768
-23.6	0.000136681	0.000132878	0.00013288	0.000169692	0.00017009	0.00017009
