GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.0461	-0.29636237	-3.270936	-3.2781424	0.013182165	-3.2781437	0.013193195	0.022868441	-2.9755822	a248bdd	2x2_2C_8b_C2v_L	9.68	validité_data_2022.py	-0.18499089	1.0199385	-1.4889422	0.13602095	1.4889351	-0.13601006	0.17472621	-1.9798198	2024-08-12@14:36	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.29896536	-3.2768444	-3.283384	0.01344528	-3.2831686	0.013437995	0.023118692	-2.9813969	a248bdd	2x2_2C_8b_C2v_L	9.69	validité_data_2022.py	-0.18465977	1.0201663	-1.4888704	0.13563761	1.4888113	-0.13564998	0.17434464	-1.9794237	2024-08-12@14:36	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.30291058	-3.2895027	-3.2920179	0.013326354	-3.2918455	0.013360688	0.023096575	-2.9903227	a248bdd	2x2_2C_8b_C2v_L	9.7	validité_data_2022.py	-0.18432052	1.0215303	-1.4896412	0.13424906	1.4895815	-0.13425586	0.1727002	-1.9802348	2024-08-12@14:37	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.30250167	-3.2853537	-3.2976152	0.013205088	-3.299103	0.013209937	0.022909117	-2.9972109	a248bdd	2x2_2C_8b_C2v_L	9.71	validité_data_2022.py	-0.18265071	1.0211216	-1.4896902	0.13350562	1.4899857	-0.13353279	0.17178039	-1.9802346	2024-08-12@14:37	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.30652159	-3.3066971	-3.3061343	0.012396464	-3.3064142	0.012375357	0.022104745	-3.0038819	a248bdd	2x2_2C_8b_C2v_L	9.72	validité_data_2022.py	-0.18314312	1.0231572	-1.4903223	0.1328641	1.4903825	-0.13286392	0.17088538	-1.9802358	2024-08-12@14:38	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.30846236	-3.3012944	-3.3132093	0.013326172	-3.3132266	0.013300191	0.023136975	-3.0121438	a248bdd	2x2_2C_8b_C2v_L	9.73	validité_data_2022.py	-0.18192873	1.0223682	-1.4907287	0.13165884	1.4907199	-0.13164597	0.16958789	-1.980715	2024-08-12@14:38	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.30925546	-3.3143388	-3.31887	0.012650015	-3.3202526	0.012614718	0.022603186	-3.0175577	a248bdd	2x2_2C_8b_C2v_L	9.74	validité_data_2022.py	-0.18125843	1.0238577	-1.490844	0.13062176	1.4910986	-0.13062957	0.16824967	-1.9804182	2024-08-12@14:39	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.3067539	-3.3158732	-3.3259316	0.01185345	-3.3264864	0.011811492	0.021706145	-3.0245028	a248bdd	2x2_2C_8b_C2v_L	9.75	validité_data_2022.py	-0.17943569	1.0241699	-1.4910718	0.13036314	1.4911651	-0.13036128	0.16784737	-1.9803811	2024-08-12@14:39	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31111055	-3.3312351	-3.3333736	0.011960239	-3.333406	0.01195054	0.021959245	-3.0313328	a248bdd	2x2_2C_8b_C2v_L	9.76	validité_data_2022.py	-0.1796474	1.0255438	-1.4915522	0.12918245	1.4915596	-0.12918985	0.16644354	-1.9804943	2024-08-12@14:39	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31375014	-3.3286762	-3.340251	0.012914766	-3.3409307	0.012908029	0.023069107	-3.0394879	a248bdd	2x2_2C_8b_C2v_L	9.77	validité_data_2022.py	-0.17853524	1.0250172	-1.4918531	0.12812961	1.4919701	-0.12812422	0.16537444	-1.9808909	2024-08-12@14:40	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31477207	-3.3412367	-3.3489685	0.01225361	-3.3478265	0.012258052	0.022253035	-3.0463915	a248bdd	2x2_2C_8b_C2v_L	9.78	validité_data_2022.py	-0.17800229	1.0261784	-1.4923977	0.12790903	1.4921618	-0.12789057	0.16499469	-1.9807667	2024-08-12@14:40	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31439803	-3.3388284	-3.3535676	0.013261936	-3.353597	0.013156748	0.023535331	-3.0535473	a248bdd	2x2_2C_8b_C2v_L	9.79	validité_data_2022.py	-0.17610912	1.0261008	-1.492372	0.12638506	1.4922992	-0.1264183	0.16339747	-1.9810419	2024-08-12@14:41	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31907658	-3.3503648	-3.3615649	0.013478947	-3.3599651	0.013513904	0.023886108	-3.0609132	a248bdd	2x2_2C_8b_C2v_L	9.8	validité_data_2022.py	-0.17621575	1.0268471	-1.4928238	0.1256816	1.4924952	-0.12567944	0.16262165	-1.9811519	2024-08-12@14:41	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.31991735	-3.364152	-3.3683962	0.012664912	-3.3681066	0.012666535	0.023065601	-3.0670718	a248bdd	2x2_2C_8b_C2v_L	9.81	validité_data_2022.py	-0.17578265	1.0282012	-1.4930524	0.12508193	1.4929787	-0.12510128	0.16177223	-1.9809467	2024-08-12@14:42	1.9019	1	0.2229	v2.7.1	
