model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6.9022515	9.5	3.0461	-0.29636237	-3.270936	-3.2781424	0.013182165	-3.2781437	0.013193195	0.022868441	-2.9755822	9.68	-0.18499089	1.0199385	-1.4889422	0.13602095	1.4889351	-0.13601006	0.17472621	-1.9798198	1.9019	1	0.2229	1.2341302	1.6729963	-0.64328726	-0.25840718	0.10471769	0.31329246	0.14902989	1.9358787	1.6714072	0.059187684	1.6714072	0.059177101	0.0027841791	1.2632045	1.2969809	1.5452556	-0.57240642	1.9080928	-0.6955637	-1.908088	0.69550484	-0.18692641	3.3636339	0.052496886	0.13320889	0.062774388	0.30864334	0.059026341	0.30864437	0.059015812	0.0027845042	0.4638306	0.057341041	5.5641813	1.6095522	3.4569472	5.1145758	3.4569725	5.1145811	3.999601	1.5676967	-72.83865	R0:N12:S0:1	-53.0712	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.03e+02	 2.93e-03	2022-07-13@09:41
2x2_2C_8b_C2v_L	6.9111205	9.5	3.0461	-0.29896536	-3.2768444	-3.283384	0.01344528	-3.2831686	0.013437995	0.023118692	-2.9813969	9.69	-0.18465977	1.0201663	-1.4888704	0.13563761	1.4888113	-0.13564998	0.17434464	-1.9794237	1.9019	1	0.2229	1.2343732	1.6733997	-0.64244043	-0.25774902	0.10448267	0.31366334	0.14763342	1.936176	1.6719371	0.057885363	1.6719842	0.057910002	0.002765305	1.2637432	1.2974914	1.5390731	-0.57068778	1.9063555	-0.68918138	-1.9061083	0.68936802	-0.18637233	3.3629857	0.05252555	0.13211071	0.062505013	0.30835109	0.057730551	0.30831867	0.057754222	0.0027656111	0.46377473	0.05731409	5.5749272	1.6069728	3.4591092	5.1157653	3.4590257	5.116016	4.0000278	1.56886	-72.924172	R0:N12:S0:1	-53.1512	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.03e+02	 4.58e-03	2022-07-13@09:42
2x2_2C_8b_C2v_L	6.9214837	9.5	3.0461	-0.30291058	-3.2895027	-3.2920179	0.013326354	-3.2918455	0.013360688	0.023096575	-2.9903227	9.7	-0.18432052	1.0215303	-1.4896412	0.13424906	1.4895815	-0.13425586	0.1727002	-1.9802348	1.9019	1	0.2229	1.2346624	1.6737996	-0.64149291	-0.25691328	0.10419347	0.3139475	0.1463783	1.936485	1.6730298	0.055852172	1.6730877	0.055868716	0.0027025959	1.2647842	1.2979529	1.5337536	-0.5691325	1.9030062	-0.67843313	-1.90271	0.67858813	-0.18432607	3.3618525	0.052545224	0.13111729	0.062221732	0.30765745	0.05570715	0.30761791	0.055722669	0.0027028834	0.46360488	0.057260374	5.5838101	1.6049362	3.4626989	5.117354	3.4626321	5.1176411	3.9996429	1.5710989	-73.04513	R0:N12:S0:1	-53.2312	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.03e+02	 2.25e-03	2022-07-13@09:43
2x2_2C_8b_C2v_L	6.9269455	9.5	3.0461	-0.30250167	-3.2853537	-3.2976152	0.013205088	-3.299103	0.013209937	0.022909117	-2.9972109	9.71	-0.18265071	1.0211216	-1.4896902	0.13350562	1.4899857	-0.13353279	0.17178039	-1.9802346	1.9019	1	0.2229	1.2348448	1.6739225	-0.64111853	-0.25631206	0.10397686	0.3143727	0.14306244	1.936995	1.6738251	0.054448508	1.6739781	0.054519484	0.0026760085	1.266129	1.2985916	1.5172631	-0.56581318	1.9008178	-0.67099316	-1.9003478	0.67149805	-0.18329805	3.3600301	0.052573906	0.12848743	0.061768102	0.30711856	0.054309717	0.30699155	0.05437842	0.0026763384	0.46341667	0.057199726	5.6103614	1.6001339	3.4644939	5.1182598	3.4643331	5.1183929	3.9997951	1.5747636	-73.116134	R0:N12:S0:1	-53.3112	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.04e+02	 4.94e-03	2022-07-13@09:45
2x2_2C_8b_C2v_L	6.9381739	9.5	3.0461	-0.30652159	-3.3066971	-3.3061343	0.012396464	-3.3064142	0.012375357	0.022104745	-3.0038819	9.72	-0.18314312	1.0231572	-1.4903223	0.1328641	1.4903825	-0.13286392	0.17088538	-1.9802358	1.9019	1	0.2229	1.2351308	1.6744952	-0.6399496	-0.25560864	0.10373074	0.31462416	0.14248641	1.9373273	1.6745068	0.053145777	1.674519	0.053153389	0.0026340429	1.2664298	1.2989494	1.5160841	-0.56448329	1.8985474	-0.66419328	-1.8985352	0.66423786	-0.18208677	3.3597755	0.052593776	0.12802914	0.061457855	0.3067106	0.053012031	0.30669857	0.053019495	0.0026343133	0.46338683	0.057177968	5.6133542	1.5987566	3.4669103	5.1196575	3.4668992	5.1196175	4.0001635	1.5751155	-73.247862	R0:N12:S0:1	-53.3912	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 2.04e+02	 3.32e-03	2022-07-13@09:48
2x2_2C_8b_C2v_L	6.9447309	9.5	3.0461	-0.30846236	-3.3012944	-3.3132093	0.013326172	-3.3132266	0.013300191	0.023136975	-3.0121438	9.73	-0.18192873	1.0223682	-1.4907287	0.13165884	1.4907199	-0.13164597	0.16958789	-1.980715	1.9019	1	0.2229	1.2353385	1.674657	-0.63946444	-0.25492424	0.10348686	0.31500798	0.14028004	1.9376024	1.675508	0.051325149	1.6755267	0.051324639	0.0025923535	1.2676961	1.2995362	1.5046353	-0.56244559	1.8956027	-0.65413112	-1.8955149	0.65413765	-0.18054267	3.3582689	0.05261928	0.1262704	0.061215032	0.30605443	0.051199434	0.30604129	0.051198688	0.0025926494	0.463186	0.057118013	5.6315237	1.595298	3.4697913	5.1209979	3.4697845	5.1210761	3.9998569	1.578126	-73.322179	R0:N12:S0:1	-53.4712	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.04e+02	 5.94e-03	2022-07-13@09:51
2x2_2C_8b_C2v_L	6.9519683	9.5	3.0461	-0.30925546	-3.3143388	-3.31887	0.012650015	-3.3202526	0.012614718	0.022603186	-3.0175577	9.74	-0.18125843	1.0238577	-1.490844	0.13062176	1.4910986	-0.13062957	0.16824967	-1.9804182	1.9019	1	0.2229	1.2355506	1.6749229	-0.63883528	-0.254306	0.10327012	0.31538631	0.13807565	1.9381304	1.6761652	0.049903108	1.6763342	0.049964315	0.0025453588	1.2685167	1.3000913	1.4946538	-0.55968586	1.8936584	-0.645988	-1.8930847	0.64645869	-0.17899906	3.3571685	0.052647027	0.12450243	0.060733929	0.30564192	0.049784124	0.3055052	0.049843218	0.0025456366	0.46308417	0.057074159	5.6480379	1.591872	3.4719272	5.1221767	3.4717687	5.1224359	4.0004625	1.5802314	-73.425951	R0:N12:S0:1	-53.5512	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 2.05e+02	 3.74e-03	2022-07-13@09:54
2x2_2C_8b_C2v_L	6.9556167	9.5	3.0461	-0.3067539	-3.3158732	-3.3259316	0.01185345	-3.3264864	0.011811492	0.021706145	-3.0245028	9.75	-0.17943569	1.0241699	-1.4910718	0.13036314	1.4911651	-0.13036128	0.16784737	-1.9803811	1.9019	1	0.2229	1.2356843	1.674981	-0.63862794	-0.25385526	0.10310774	0.31579483	0.13399389	1.9388823	1.6768451	0.049046848	1.6769326	0.049076292	0.0025346633	1.2698867	1.3007004	1.4742934	-0.5552279	1.892054	-0.64136	-1.8917305	0.64159198	-0.17853629	3.3551999	0.052673803	0.12121394	0.060058267	0.30512819	0.048930092	0.30505912	0.048958461	0.0025349764	0.46289692	0.057015896	5.6804313	1.5860765	3.4725404	5.1224395	3.4724548	5.1226306	4.000722	1.584237	-73.509278	R0:N12:S0:1	-53.6312	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.06e+02	 1.38e-03	2022-07-13@09:55
2x2_2C_8b_C2v_L	6.965508	9.5	3.0461	-0.31111055	-3.3312351	-3.3333736	0.011960239	-3.333406	0.01195054	0.021959245	-3.0313328	9.76	-0.1796474	1.0255438	-1.4915522	0.12918245	1.4915596	-0.12918985	0.16644354	-1.9804943	1.9019	1	0.2229	1.2359464	1.6754315	-0.63765351	-0.25315468	0.10286039	0.31608461	0.1334691	1.9391067	1.6776081	0.047447969	1.6776196	0.047457326	0.0024805719	1.2703352	1.3011189	1.4726424	-0.55423917	1.8894533	-0.63211072	-1.8894075	0.63217785	-0.17679017	3.3548166	0.052695978	0.12078963	0.059848174	0.30467736	0.047337821	0.30466814	0.047347015	0.0024808396	0.46283324	0.056986644	5.6837701	1.584717	3.475445	5.1242438	3.4754185	5.1242788	4.0009441	1.5848551	-73.625794	R0:N12:S0:1	-53.7112	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.06e+02	 4.29e-03	2022-07-13@09:57
2x2_2C_8b_C2v_L	6.9719407	9.5	3.0461	-0.31375014	-3.3286762	-3.340251	0.012914766	-3.3409307	0.012908029	0.023069107	-3.0394879	9.77	-0.17853524	1.0250172	-1.4918531	0.12812961	1.4919701	-0.12812422	0.16537444	-1.9808909	1.9019	1	0.2229	1.2361434	1.6756185	-0.63714514	-0.25252819	0.10263969	0.31643291	0.13150079	1.939368	1.67843	0.045860049	1.6785174	0.045881314	0.0024455238	1.2714169	1.301645	1.462132	-0.55237947	1.8870231	-0.6227619	-1.8867131	0.62294712	-0.17548246	3.3535079	0.052719051	0.11919489	0.059616173	0.30414425	0.045756607	0.30407466	0.045776977	0.0024458027	0.46266039	0.056934683	5.7001171	1.5816012	3.4779352	5.1254287	3.4778724	5.1255876	4.0007752	1.5874542	-73.706909	R0:N12:S0:1	-53.7912	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 2.06e+02	 2.04e-03	2022-07-13@10:00
