model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118411	-2.1957602	-2.7381036	0.24894058	-2.7380656	0.24893761	0.29628048	-2.7779187	9.68	-0.0041921439	0.024074738	-0.025964788	0.0093093302	0.025964495	-0.009309326	0.013099573	-0.040230491	1e-09	1e-09	1e-09	1.3333333	1.9999999	0	0	0	0.99217084	1.302624e-05	0.0047179229	1.7430603	5.8629942e-05	0.28329785	5.7876383e-05	0.00011332729	1.9999987	1.9921706	0.020376613	-0.38759097	0.1199957	-0.043237579	-0.79173214	0.042754958	-0.06015274	2.1087951e-05	0.00193094	1.3026139e-05	0.0047041656	0.44443514	5.8627906e-05	0.46372898	5.7874407e-05	0.00011331968	2.2790492e-06	0.0019311125	7.9809127	7.9175997	1.0915901	7.9849548	6.6688884	7.9077017	7.998032	0.00052719953	-62.48958	R0:N12:S0:1	-65.44	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@20:20
2x2_2C_8b_C2v_L	6.6871554	7	1.6717889	0.092109909	-2.1954784	-2.7376279	0.24934385	-2.7375899	0.24934088	0.29848078	-2.7785934	9.68	0.0007948809	0.078016283	-0.12692268	0.0058995685	0.12692175	-0.0058995773	0.0016684165	-0.15944633	0.21132222	0.11111111	0.024766668	1.3333333	1.9999992	-1.5840575e-07	-4.4466804e-09	2.0118299e-09	0.68660459	4.9852351e-07	0.13217835	1.9346106	2.503739e-05	1.9345512	2.5036043e-05	8.7743078e-07	1.2524743	1.6865335	-0.0037190407	-1.8110945	0.36910443	-0.026188854	-0.36937796	0.026187584	-0.0037541255	3.2142069	0.037839593	4.9852336e-07	0.12168706	0.085842808	2.5037016e-05	0.085921261	2.5035669e-05	8.7743045e-07	0.52012704	0.037865641	7.5286527	6.1074797	1.3196316	7.4624031	1.3205154	7.4621015	4.5308419	2.4605745	-61.188037	R0:N12:S0:1	-64.065689	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.53e-02	 1.58e-02	2022-06-28@20:21
2x2_2C_8b_C2v_L	7.3743097	7.5	1.8435778	0.092109906	-2.4469177	-3.3103292	0.25233362	-3.3103131	0.25232995	0.29876931	-4.0712706	9.68	-4.5860027e-06	0.17347385	-0.28424952	-0.0010656581	0.28424886	0.0010651723	-0.00013110523	-0.39217399	0.42264445	0.22222222	0.049533334	1.3333333	1.999998	-9.4518445e-07	-6.8013601e-08	2.8721267e-08	0.19146457	0	1.6111965	1.8740761	2.6296173e-07	1.8740735	2.6271963e-07	2.0623262e-09	1.8748359	1.1914543	8.0552296e-06	-2.2160114	1.2343391	0.0019498944	-1.2343543	-0.0019489947	0.00016517589	1.3661421	0.038025945	0	0.33826456	0.12317925	2.629617e-07	0.12318169	2.627196e-07	2.0623262e-09	0.12078724	0.038024826	4.8419921	3.1009482	3.2545786	4.9745762	3.2545895	4.974564	4.272136	3.7170794	-65.994097	R0:N12:S0:1	-62.691378	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 3.60e-01	 5.45e-02	2022-06-28@20:22
2x2_2C_8b_C2v_L	8.0614175	8	2.0153667	0.092109978	-3.7540139	-5.4479763	0.2524082	-5.4479717	0.25240453	0.29877611	-6.4048965	9.68	-1.8030041e-05	0.32746677	-0.55606548	0.00036402021	0.55606568	-0.00036430279	0.00034505635	-0.75937127	0.63396667	0.33333333	0.074300001	1.3333326	1.9999533	-2.2697973e-05	-1.4289548e-06	6.5364944e-07	0.073115545	0	1.9389385	1.9303762	9.491311e-09	1.9303758	9.5060447e-09	8.1768467e-09	1.9087463	1.0728908	2.1067e-05	-0.9187226	1.0176822	-0.0003777606	-1.0176859	0.00037805332	-0.00033198579	1.1983658	0.016944089	0	0.060433258	0.06842765	9.491311e-09	0.06842804	9.5060447e-09	8.1768466e-09	0.088745324	0.016904717	4.5440423	3.5304031	3.7432171	4.2783043	3.7432211	4.2782991	4.0656073	3.8849619	-82.08269	R0:N12:S0:1	-61.317067	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 2.36e+00	 1.02e-01	2022-06-28@20:23
2x2_2C_8b_C2v_L	8.7484376	8.5	2.1871556	0.09210967	-4.5854603	-5.7992331	0.25241117	-5.7992306	0.25240778	0.29895109	-5.6895597	9.68	-0.00014864089	0.49494153	-0.78662618	-0.00010419522	0.78662601	0.00010383779	-0.0014327883	-0.99574913	0.84528889	0.44444444	0.099066667	1.3333309	1.9998926	-6.4097073e-05	-5.173963e-06	2.3797779e-06	0.096991622	2.7659003e-09	1.9543179	1.9126556	9.3050221e-10	1.9126555	9.2412978e-10	1.2344164e-07	1.8353038	1.0962668	0.00021599502	-0.75283586	1.1284774	0.00011755137	-1.1284779	-0.00011714815	0.0012943222	1.6344471	0.021931046	2.7659003e-09	0.045493731	0.085534119	9.3050221e-10	0.085534186	9.2412978e-10	1.2344164e-07	0.15513473	0.021824016	4.8980039	3.2089733	3.6928857	4.348856	3.6928861	4.3488554	3.9445533	3.826497	-84.512609	R0:N12:S0:1	-59.942756	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.35e+01	 1.56e-01	2022-06-28@20:24
2x2_2C_8b_C2v_L	8.6076431	9	2.3589444	0.022223093	-4.7256857	-5.6372376	-0.022835836	-5.6372331	-0.022839218	-0.019584408	-5.1373431	9.68	-0.031547356	0.62878716	-0.97998693	-0.050365033	0.97998624	0.050361621	-0.062187355	-1.2190041	1.0566111	0.55555556	0.12383333	1.3163524	1.8401655	-0.20195117	-0.045081836	0.019715912	0.12576582	0.00020286009	1.9566013	1.8907491	0.00033094228	1.890749	0.00033089773	0.00026425206	1.7638417	1.1242325	0.058977902	-0.69288261	1.2460956	0.067963165	-1.2460959	-0.067958588	0.058473354	1.9703017	0.027507961	0.00020283945	0.043382338	0.1065633	0.00033091419	0.10656335	0.00033086965	0.00026424077	0.21454015	0.027386675	5.2306826	2.910177	3.640485	4.4345845	3.6404851	4.4345844	3.8869592	3.6484059	-83.919804	R0:N12:S0:1	-58.568444	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 5.00e+01	 4.59e-03	2022-06-28@20:25
2x2_2C_8b_C2v_L	7.7683402	9.5	2.5307333	0.21605657	-4.9624306	-5.6550128	0.30450279	-5.655161	0.30446756	0.33590161	-5.0973384	9.68	-0.064489281	0.78217938	-1.198418	-0.10699491	1.1984296	0.10699812	-0.13771724	-1.5054874	1.2679333	0.66666667	0.1486	1.2869728	1.6669304	-0.47347261	-0.11152052	0.04805246	0.14652883	0.0011062416	1.958344	1.8732004	0.0017293412	1.8732069	0.0017295857	0.0011521957	1.7148132	1.1436795	0.13996988	-0.64616561	1.328514	0.15329336	-1.3284705	-0.15330447	0.12067069	2.1814865	0.031209888	0.001105579	0.041762108	0.12334993	0.0017286659	0.12334403	0.0017289101	0.0011520775	0.25186119	0.031198925	5.4799434	2.6784188	3.6099104	4.4987767	3.6098786	4.4988277	3.8161488	3.4966096	-85.391146	R0:N12:S0:1	-57.194133	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 2.31e+02	 6.75e-03	2022-06-28@20:27
2x2_2C_8b_C2v_L	7.7847255	10	2.7025222	0.45203356	-4.9179163	-5.2074129	0.79637923	-5.2072761	0.79640076	0.87308011	-4.5340657	9.68	-0.06391284	0.93749297	-1.3817984	-0.12447165	1.3817855	0.12446199	-0.16344408	-1.7344534	1.4792556	0.77777778	0.17336667	1.2775007	1.6664785	-0.51497436	-0.13612466	0.058187589	0.17593766	0.0016317541	1.9589611	1.8488442	0.0028745582	1.8488368	0.0028738886	0.0014523206	1.6465647	1.1719902	0.17145488	-0.60389928	1.4297667	0.19372209	-1.4298126	-0.19369886	0.13534167	2.4316904	0.036039589	0.0016301804	0.041287916	0.14657503	0.0028729282	0.14658162	0.0028722596	0.0014521999	0.29955145	0.036128787	5.759939	2.4195598	3.5728431	4.5915646	3.5728734	4.5915114	3.8000036	3.2222382	-83.506556	R0:N12:S0:1	-55.819822	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.42e+02	 2.10e-03	2022-06-28@20:28
2x2_2C_8b_C2v_L	7.7744782	10.5	2.8743111	0.64997665	-3.8255726	-4.2893463	0.929585	-4.2893389	0.92951128	0.98448587	-3.8264512	9.68	-0.0074347243	0.99142049	-1.4832309	-0.069197583	1.4832294	0.069194105	-0.11998975	-1.9186191	1.6905778	0.88888889	0.19813333	1.2689886	1.6659234	-0.54919432	-0.15846358	0.067313573	0.20838714	3.8398002e-05	1.9571706	1.8205555	0.0015613908	1.8205555	0.0015613287	0.00092675031	1.5813701	1.2040651	0.026101422	-0.57887601	1.5307149	0.13568704	-1.5307145	-0.13568358	0.10425663	2.6449417	0.040808278	3.8397065e-05	0.043306875	0.17354197	0.0015609941	0.17354198	0.001560932	0.00092684115	0.34009588	0.040819745	6.0354446	2.1854476	3.5365365	4.7088428	3.5365359	4.7088444	3.81215	2.926196	-77.242438	R0:N12:S0:1	-54.445511	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 7.34e+01	 1.18e-03	2022-06-28@20:30
2x2_2C_8b_C2v_L	7.3197061	11	3.0461	0.65381441	-2.1621594	-3.1436691	0.95362098	-3.1436709	0.95353253	1.0366401	-2.9561892	9.68	-0.00052210218	0.92484083	-1.5056885	2.8310471e-07	1.505689	-9.0420242e-07	1.1164534e-07	-2.0278646	1.9019	1	0.2229	1.251474	1.6434638	-0.62461486	-0.20254633	0.082047682	0.24197208	5.5755212e-07	1.958042	1.7900903	0	1.79009	0	0	1.5132502	1.2371317	0.0029688852	-0.53506986	1.6224531	-8.3821059e-07	-1.6224549	2.6772858e-06	-1.0772185e-07	2.8457125	0.045135745	5.5755191e-07	0.0426791	0.20279086	0	0.20279108	0	0	0.37688145	0.045190696	6.2905514	1.9483119	3.5183666	4.8338094	3.5183676	4.8338067	3.8359369	2.6007501	-68.368325	R0:N12:S0:1	-53.0712	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 1.19e+02	 1.95e-03	2022-06-28@20:33
