CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-64.39500895	-96.4848	0.4965308189	YY	9.5	0.2344194405	self-energy	sharp_wc_2_b_50	2.0097	2	1.177648005	0.03390081333	0.3314171637	-2.146046976	1.860287989	-3.209628061	1.499153553	0.2728513353	0.4711678788	-3.210105228	1.498868058	0.2730084017	0.4697210704	0.331285231	0.01485384037	-2.89931342	1.180922322	a248bdd	2x2_2C_8b_C2v_L	8.04	1.168402031	2	1.550870651	1.168402030840723	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1542091477	1.963988143	0.9995309829	-0.8629240133	-1.698163571	2.567833548	-0.2757717412	1.46980176	1.698252021	-2.569113569	0.2757829186	-1.466807934	0.3735558773	-0.3701852869	-2.30069983	3.53092089	2024-07-17@17:18	2.1394	-0.878048947	1	-7.930765983e-17	-0.3600554445	0.2577	1.762188633e-16	0.1449143953	v2.7.1	
2	Broyden	-64.46683389	-96.6448	0.5121411505	YY	9.5	0.2348757755	self-energy	sharp_wc_2_b_50	2.0097	2	1.178140561	0.03366633824	0.3277260797	-2.150710999	1.861602079	-3.213853578	1.501130907	0.2719177789	0.4690942661	-3.214539135	1.500370746	0.2722290386	0.4657480961	0.3304460667	0.01481418796	-2.904580261	1.182257262	a248bdd	2x2_2C_8b_C2v_L	8.05	1.169314094	2	1.55170524	1.1693140937662394	1.9999999999999993	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1541166123	1.956386643	0.9998413358	-0.857817585	-1.697980124	2.561072944	-0.275329749	1.471033106	1.698176116	-2.564332147	0.275371946	-1.463893156	0.3726892089	-0.3694341011	-2.300257586	3.528725974	2024-07-17@17:19	2.1394	-0.8764101165	1	-8.59815602e-17	-0.3592596744	0.2577	-3.585635259e-16	0.1445716292	v2.7.1	
2	Broyden	-64.54243152	-96.8048	0.5280649448	YY	9.5	0.2353393957	self-energy	sharp_wc_2_b_50	2.0097	2	1.178643495	0.03324879304	0.3237104577	-2.155614054	1.862993944	-3.219229998	1.503085605	0.2712508367	0.4661037783	-3.218951333	1.502161092	0.2716411285	0.4624388051	0.3297833174	0.01477975252	-2.9103435	1.183726677	a248bdd	2x2_2C_8b_C2v_L	8.06	1.170249972	2	1.552546708	1.1702499719188664	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.153779593	1.947747306	1.000176388	-0.852310326	-1.698104959	2.554786175	-0.2749475292	1.470510877	1.698127827	-2.558458736	0.2750420034	-1.462685092	0.3718497704	-0.3686963641	-2.299962109	3.52634669	2024-07-17@17:20	2.1394	-0.8747429122	1	-5.366643721e-16	-0.3584380425	0.2577	2.316789605e-16	0.1442174787	v2.7.1	
2	Broyden	-64.61047655	-96.9648	0.5437047402	YY	9.5	0.2358043784	self-energy	sharp_wc_2_b_50	2.0097	2	1.179136015	0.03305911963	0.3199988267	-2.159220565	1.864282319	-3.222661148	1.504272323	0.2704047652	0.461444304	-3.222867854	1.50426702	0.2706069437	0.4612111	0.3288856214	0.01475037151	-2.916099928	1.18510121	a248bdd	2x2_2C_8b_C2v_L	8.07	1.171168131	2	1.553383479	1.1711681312142532	2.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.153666363	1.939794973	1.000208499	-0.8471631343	-1.697798019	2.551039659	-0.2743983199	1.465723757	1.697871448	-2.551096403	0.274493942	-1.465440678	0.3711158335	-0.3680377791	-2.29973429	3.524158917	2024-07-17@17:21	2.1394	-0.8731009139	1	-5.606940483e-17	-0.3576388694	0.2577	7.259812158e-16	0.1438736065	v2.7.1	
2	Broyden	-64.68465966	-97.1248	0.5597728506	YY	9.5	0.2362677682	self-energy	sharp_wc_2_b_50	2.0097	2	1.179641387	0.03275235046	0.3162704651	-2.164247269	1.865567426	-3.226385151	1.506324784	0.2696130173	0.4590989611	-3.227749207	1.505982828	0.270152453	0.456986193	0.3283791789	0.01472789667	-2.922273697	1.186620133	a248bdd	2x2_2C_8b_C2v_L	8.08	1.172105329	2	1.554230509	1.1721053282596388	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1534153396	1.931670493	1.000658666	-0.8421511398	-1.697493055	2.543950115	-0.2739265167	1.466610517	1.6978488	-2.545666678	0.2741080318	-1.46244354	0.3704448516	-0.3674374039	-2.299573855	3.521717266	2024-07-17@17:22	2.1394	-0.8714163169	1	3.364039292e-16	-0.3568104257	0.2577	6.1427215e-16	0.1435162971	v2.7.1	
2	Broyden	-64.75645587	-97.2848	0.5756411769	YY	9.5	0.2367351944	self-energy	sharp_wc_2_b_50	2.0097	2	1.180140325	0.03252686291	0.3124880624	-2.168294735	1.866873548	-3.232260572	1.508321543	0.2691246034	0.4563154292	-3.231115143	1.507578665	0.2692941842	0.4535710248	0.3271941444	0.01468375677	-2.927509989	1.188024687	a248bdd	2x2_2C_8b_C2v_L	8.09	1.173035821	2	1.555071876	1.1730358207514076	1.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.153203834	1.923330834	1.000804711	-0.8369248456	-1.697831925	2.537541316	-0.2736112334	1.466471573	1.697519745	-2.540291784	0.2735726123	-1.460499724	0.3694343312	-0.3665847815	-2.299110541	3.519421415	2024-07-17@17:23	2.1394	-0.8697533939	1	8.612230762e-17	-0.3559906141	0.2577	5.140273347e-16	0.1431641705	v2.7.1	
1	Broyden	-64.82157802	-97.4448	0.5910439682	YY	9.5	0.2371966423	self-energy	sharp_wc_2_b_50	2.0097	2	1.180625406	0.03204834181	0.3088757734	-2.172866608	1.868132106	-3.23513427	1.509312394	0.2682473802	0.4510544135	-3.233539917	1.509671034	0.2677845531	0.4531154632	0.3264475762	0.0146459044	-2.933248921	1.189398455	a248bdd	2x2_2C_8b_C2v_L	8.1	1.173948614	2	1.555888741	1.1739486139556965	2.0000000000000004	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1529901501	1.915295308	1.001005931	-0.831956632	-1.697289066	2.534477991	-0.2730513631	1.460123911	1.696852437	-2.532623293	0.2728956081	-1.464382977	0.3686693351	-0.3658784467	-2.298822793	3.517221164	2024-07-17@17:24	2.1394	-0.8681420437	1	-1.562134717e-16	-0.3551918761	0.2577	4.821500326e-17	0.1428278711	v2.7.1	
2	Broyden	-64.89882765	-97.6048	0.6068990631	YY	9.5	0.2376505957	self-energy	sharp_wc_2_b_50	2.0097	2	1.181120311	0.03182121339	0.3050792279	-2.176714637	1.869407121	-3.240429617	1.512270009	0.2671414748	0.4523432698	-3.239149649	1.510328146	0.2669830289	0.445723677	0.3257754363	0.01461091206	-2.939253172	1.190835576	a248bdd	2x2_2C_8b_C2v_L	8.11	1.174850515	2	1.556734312	1.1748505147141755	1.9999999999999993	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1527654606	1.906639707	1.001190021	-0.826784461	-1.697389996	2.523867123	-0.2727222186	1.468952754	1.697121931	-2.531578447	0.27241859	-1.453377924	0.3678874941	-0.3651688196	-2.298632071	3.514910429	2024-07-17@17:25	2.1394	-0.8664752088	1	8.115275744e-17	-0.3543792318	0.2577	5.267182471e-16	0.14248542	v2.7.1	
2	Broyden	-64.97419558	-97.7648	0.622715329	YY	9.5	0.2381196889	self-energy	sharp_wc_2_b_50	2.0097	2	1.181616718	0.03151149455	0.3015761298	-2.181637727	1.870610498	-3.243926344	1.512745188	0.266619764	0.4441903063	-3.245373781	1.513687685	0.2667472535	0.4471751188	0.3247975124	0.0145771099	-2.944580168	1.192293233	a248bdd	2x2_2C_8b_C2v_L	8.12	1.175786183	2	1.557559426	1.1757861826148306	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1525414897	1.898734079	1.001617656	-0.8220496149	-1.697175872	2.523188662	-0.2721987875	1.456475704	1.697519212	-2.51964706	0.2723681095	-1.463558699	0.3670300105	-0.3644670275	-2.298181563	3.512489176	2024-07-17@17:26	2.1394	-0.8648216465	1	-5.663640339e-17	-0.3535500659	0.2577	3.337877859e-17	0.1421271052	v2.7.1	
2	Broyden	-65.04848549	-97.9248	0.6387930116	YY	9.5	0.2385868914	self-energy	sharp_wc_2_b_50	2.0097	2	1.182118825	0.03129252241	0.2979235185	-2.18609557	1.871883832	-3.248562584	1.514552642	0.2658405458	0.440736714	-3.249928116	1.515587371	0.2660322266	0.4441307717	0.3242302562	0.01453153982	-2.950560236	1.193781123	a248bdd	2x2_2C_8b_C2v_L	8.13	1.176718122	2	1.55840543	1.1767181217119067	1.9999999999999993	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1523752827	1.890436042	1.001798735	-0.8169935252	-1.697072297	2.517275481	-0.2715979021	1.454597877	1.697461897	-2.513310222	0.271844971	-1.462687976	0.3662066564	-0.3636819582	-2.298073931	3.51012187	2024-07-17@17:27	2.1394	-0.8631354569	1	3.062403756e-16	-0.3527152422	0.2577	2.931633782e-16	0.1417696566	v2.7.1	
2	Broyden	-65.12469609	-98.0848	0.6546216108	YY	9.5	0.2390518709	self-energy	sharp_wc_2_b_50	2.0097	2	1.182611504	0.03096532548	0.2944355775	-2.191365653	1.873106736	-3.252315324	1.516348312	0.2649074658	0.4382333386	-3.254838832	1.517237269	0.2656110218	0.4404147526	0.3235215465	0.01448770407	-2.956631725	1.195225575	a248bdd	2x2_2C_8b_C2v_L	8.14	1.177627684	2	1.559247563	1.177627683470445	2.000000000000001	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1522123249	1.882526719	1.002224598	-0.8121707855	-1.696931171	2.511081253	-0.2710987926	1.454443076	1.697635937	-2.507969039	0.2715440095	-1.460291733	0.3654048105	-0.362925546	-2.297931799	3.507831489	2024-07-17@17:28	2.1394	-0.8614718801	1	-2.753068545e-16	-0.3518988007	0.2577	3.729300378e-17	0.1414226042	v2.7.1	
2	Broyden	-65.19426429	-98.2448	0.6701020866	YY	9.5	0.239520288	self-energy	sharp_wc_2_b_50	2.0097	2	1.1830974	0.03052404889	0.2909308381	-2.195779461	1.874300445	-3.257225592	1.518531197	0.2644081721	0.436177925	-3.257619473	1.518584235	0.2645094444	0.4361390622	0.3225161301	0.01444409907	-2.962010709	1.196666398	a248bdd	2x2_2C_8b_C2v_L	8.15	1.17855645	2	1.560050144	1.1785564496959153	2.0	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.151952777	1.874262797	1.002424122	-0.8073908637	-1.696981076	2.503658814	-0.2708975174	1.455974394	1.697051206	-2.503532648	0.2709291613	-1.456028171	0.3644979818	-0.3621438802	-2.297478094	3.505467619	2024-07-17@17:29	2.1394	-0.8598596122	1	2.180144736e-16	-0.3510749121	0.2577	2.065507106e-16	0.1410752198	v2.7.1	
2	Broyden	-65.27020408	-98.4048	0.6865975195	YY	9.5	0.2399861628	self-energy	sharp_wc_2_b_50	2.0097	2	1.183609998	0.03022918708	0.287621829	-2.198991264	1.875382608	-3.262671427	1.519832752	0.2640016614	0.4299731804	-3.26343675	1.521373788	0.264016324	0.4352420096	0.3218793966	0.01440809638	-2.96781461	1.198197407	a248bdd	2x2_2C_8b_C2v_L	8.16	1.179492082	2	1.5609158	1.17949208227199	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1517502178	1.866272541	1.002503837	-0.8029787307	-1.697129102	2.500058709	-0.2703443126	1.44816609	1.697292994	-2.493814736	0.2705603037	-1.460772618	0.3636846202	-0.3614253702	-2.297244758	3.502972497	2024-07-17@17:30	2.1394	-0.85812807	1	-1.09234043e-18	-0.3502170854	0.2577	-2.004403044e-16	0.1407105367	v2.7.1	
2	Broyden	-65.33657423	-98.5648	0.701592507	YY	9.5	0.2404473623	self-energy	sharp_wc_2_b_50	2.0097	2	1.18407903	0.02990203909	0.2841161778	-2.20404644	1.876597396	-3.266215103	1.52197099	0.2627087302	0.4293565636	-3.265207615	1.522191468	0.2626219928	0.4302887725	0.3208554425	0.01436188809	-2.973339095	1.199553091	a248bdd	2x2_2C_8b_C2v_L	8.17	1.180390914	2	1.561698655	1.1803909133576085	2.000000000000001	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1515486832	1.85793329	1.00283203	-0.7981693076	-1.69680849	2.492361532	-0.2698454081	1.451798928	1.696497133	-2.491191382	0.2698142427	-1.454062012	0.3628279121	-0.3606550287	-2.296882317	3.500771442	2024-07-17@17:31	2.1394	-0.8565648414	1	-1.572869918e-16	-0.3494207359	0.2577	1.770780737e-16	0.140380674	v2.7.1	
1	Broyden	-65.41397921	-98.7248	0.7181551082	YY	9.5	0.2409322557	self-energy	sharp_wc_2_b_50	2.0097	2	1.184592386	0.02941162966	0.2809798591	-2.207194237	1.877645504	-3.269662794	1.523231165	0.2623983129	0.4235527566	-3.273705165	1.525123019	0.2632736063	0.4287176107	0.3199488314	0.01431370792	-2.978622744	1.201061111	a248bdd	2x2_2C_8b_C2v_L	8.18	1.181343817	2	1.562569672	1.181343816552373	1.9999999999999996	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1513456794	1.850343536	1.002769824	-0.7938302982	-1.696611755	2.488475996	-0.2693074085	1.444793549	1.697654121	-2.481498193	0.2699457377	-1.458128309	0.3618915411	-0.3598399123	-2.296505934	3.498310538	2024-07-17@17:32	2.1394	-0.8548274181	1	-2.050759298e-17	-0.3485530215	0.2577	2.027882912e-16	0.1400097668	v2.7.1	
2	Broyden	-65.49047727	-98.8848	0.7338530069	YY	9.5	0.2413866513	self-energy	sharp_wc_2_b_50	2.0097	2	1.185079515	0.02922034618	0.2773552571	-2.213400329	1.878900058	-3.275607993	1.525554935	0.2616811495	0.4219620125	-3.27532686	1.52616366	0.2615766253	0.4242124218	0.3193245135	0.0142721493	-2.98538657	1.202600453	a248bdd	2x2_2C_8b_C2v_L	8.19	1.182244764	2	1.563387946	1.1822447633529918	1.9999999999999998	new_boucle_param.py	R0:N12:S0:1	uncorrelated	-0.1511235004	1.841607027	1.003426959	-0.7889362263	-1.696868022	2.480596048	-0.2690089866	1.447078734	1.696790044	-2.477974842	0.2690571706	-1.452446664	0.3611466965	-0.3591032723	-2.296563941	3.495888953	2024-07-17@17:33	2.1394	-0.8531858049	1	-8.162422263e-17	-0.347723992	0.2577	-1.371078432e-16	0.1396704308	v2.7.1	
