CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
# 2	Broyden	0	-0.00013372024	-77.50360356	-89.9504	7.780649458	NY	14	0.1594848772	self-energy	sharp_wc_5_b_50	4.0781	2	1.175182061	0.2539874162	0.4192275104	-3.508554751	1.89032412	-3.833713495	1.607436544	-0.4914545248	1.569411636	-3.832707658	1.60768513	-0.4909509031	1.567831039	0.5689569612	0.02130057962	-2.824986596	1.233533389	53e768a	2x2_2C_8b_C2v_L	9.7	1.089487774	2	1.524256872	0.9999999996384179	1.0000000000000004	-0.008922936097	0.04229444185	-0.003016003092	-0.003003667855	0.001140790383	-0.000931728744	-0.384844793	1.411405597	-0.001078994131	0.009309621038	-0.3846995541	1.4146312	0.004208975601	-0.01063927241	-0.0009635214166	0.000945534705	run_cdmft.py	R0:S0:1	uncorrelated	-0.2714273392	2.157218514	-1.322444891	0.9361827572	1.990476407	-2.259821207	0.004504387204	-0.01656075147	-1.990213237	2.258631879	0.004193519745	-0.002326181981	0.5260366159	-0.4556678875	-2.505519488	3.254615	2024-12-07@23:51	2.1719	-0.8590323035	1	8.702312108e-16	-0.3569407304	0.1609	-2.668988876e-16	0.1473763061	v2.7.9	
# 2	Broyden	0	-7.395082861e-05	-77.967407	-90.9104	7.934866483	YY	14	0.1604155698	self-energy	sharp_wc_5_b_50	4.0781	2	1.179160623	0.2468327054	0.3985067696	-3.545979789	1.894386266	-3.876888517	1.614559	-0.4771813216	1.584291423	-3.875445648	1.616357189	-0.475278326	1.574679247	0.5568336501	0.02084424165	-2.871418257	1.244032152	53e768a	2x2_2C_8b_C2v_L	9.76	1.092630752	2	1.531499238	0.9999999996823461	1.0000000000000004	0.008710212234	-0.04005982277	0.002915025123	0.002479212727	-0.0009127202794	0.00179531513	-0.3794875846	1.393947513	0.0009751253219	-0.007535408564	-0.3790907401	1.414543617	-0.004160198583	0.01070312223	0.0009501042494	-0.0008883901242	run_cdmft.py	R0:S0:1	uncorrelated	-0.2671515402	2.116382945	-1.323569936	0.9159777313	1.991241854	-2.238350224	-0.004187477171	0.01376268319	-1.990820251	2.230504121	-0.003909169962	0.003907018734	0.5175325438	-0.4483362362	-2.506576626	3.236952718	2024-12-07@23:39	2.1719	-0.8450311471	1	3.250820523e-16	-0.3516822431	0.1609	2.931604142e-16	0.1443502048	v2.7.9	
# 2	Broyden	0	0.0001709881035	-78.13190051	-91.2304	7.995863316	YY	14	0.1607333008	self-energy	sharp_wc_5_b_50	4.0781	2	1.180691537	0.2442489843	0.3918978472	-3.56043772	1.89571007	-3.891239581	1.617991092	-0.4721436257	1.585197383	-3.890807788	1.618655793	-0.4721417922	1.582128329	0.5536966649	0.02067260062	-2.886643317	1.247673304	53e768a	2x2_2C_8b_C2v_L	9.78	1.093708718	2	1.534436079	0.9999999996589017	1.0	-0.005817250568	0.02660938683	-0.001954217923	-0.001672768355	0.0008513975804	-0.0009382049021	-0.3775542895	1.397523042	-0.0007072422849	0.005914867333	-0.377711395	1.404722405	0.003048147633	-0.007987471243	-0.0006911627697	0.0004827319361	run_cdmft.py	R0:S0:1	uncorrelated	-0.2659281426	2.103628365	-1.324098209	0.9095518997	1.991431442	-2.226804311	0.003125743103	-0.01123040323	-1.991313368	2.223860558	0.002726437666	-0.001575308041	0.5148348296	-0.4459350775	-2.506894394	3.230729305	2024-12-07@23:35	2.1719	-0.8392935671	1	4.207396463e-16	-0.3498284692	0.1609	-4.739677133e-17	0.1429445852	v2.7.9	
# 2	Broyden	0	0.001239900747	-79.5409113	-95.0704	8.551695007	YY	14	0.1634258901	self-energy	sharp_wc_5_b_50	4.0781	2	1.195047387	0.04195218288	0.3057486593	-3.599976528	1.904795661	-4.051429391	1.645600879	-0.3915800549	1.619183142	-4.051569037	1.646625755	-0.3918008048	1.61427751	0.4469532308	0.02002561302	-3.066789814	1.289679035	53e768a	2x2_2C_8b_C2v_L	10.02	1.105530382	2	1.557415332	0.9999999996012382	1.0	0.0005795784034	-0.00468473234	6.411846751e-05	0.0001938463045	0.0009100110058	0.02636273358	-0.3511994954	1.348562456	0.001009750584	0.02583867385	-0.3514874007	1.360789227	-0.0002522270001	0.0007927970733	6.026534871e-05	2.397184013e-06	run_cdmft.py	R0:S0:1	uncorrelated	-0.1704328434	1.832469399	-1.302683605	0.8484157743	1.992255324	-2.139668287	0.002919448733	-0.0625162995	-1.992196521	2.134923571	-0.003434654583	0.06362355537	0.4732406358	-0.4196808607	-2.508411918	3.150661184	2024-12-07@22:39	2.1719	-0.7909892542	1	5.433395584e-16	-0.3264146369	0.1609	1.797870358e-16	0.1330419609	v2.7.9	
# 2	Broyden	0	0.001832422152	-79.70746683	-95.3904	8.5914023	YY	14	0.1637666844	self-energy	sharp_wc_5_b_50	4.0781	2	1.196112852	0.03793535485	0.2972409779	-3.616861969	1.906590708	-4.066266328	1.648700178	-0.3865144329	1.620906546	-4.065841278	1.649218952	-0.3870618651	1.618751552	0.4418461632	0.0198829707	-3.082899692	1.29415899	53e768a	2x2_2C_8b_C2v_L	10.04	1.106685915	2	1.558909288	0.9999999996029103	1.0	0.0002117704183	-0.001752556533	-2.320124021e-05	0.0001395567904	0.001441190161	0.03796028981	-0.3490619816	1.34836812	0.001508988888	0.03803068001	-0.3493455428	1.354264614	7.700142418e-05	-0.0003577053684	2.350705228e-05	-0.0001682332413	run_cdmft.py	R0:S0:1	uncorrelated	-0.1681827024	1.810315111	-1.303065325	0.8396599843	1.992528328	-2.129733752	0.004855693332	-0.09350233227	-1.992310656	2.127232068	-0.004595880427	0.09304430298	0.4702313668	-0.4173622816	-2.508877123	3.142715221	2024-12-07@22:35	2.1719	-0.78775719	1	9.307244388e-16	-0.3244164454	0.1609	-2.420881885e-17	0.1322512815	v2.7.9	
# 2	Broyden	0	0.001934807007	-77.35511248	-89.6304	7.734540576	NY	14	0.1591640386	self-energy	sharp_wc_5_b_50	4.0781	2	1.173951118	0.2561012456	0.4262484404	-3.498029982	1.888962759	-3.819290225	1.604895734	-0.4966171804	1.56350447	-3.818342486	1.603968272	-0.496139605	1.567804384	0.5736078225	0.02141032162	-2.80932068	1.229690871	53e768a	2x2_2C_8b_C2v_L	9.68	1.088357891	2	1.522216096	0.9999999996255075	0.9999999999999999	0.008800617424	-0.0421933856	0.00289486824	0.003313336861	-0.001435364208	-0.03668753564	-0.3868617836	1.419073352	0.0008803185423	-0.04696070379	-0.3866397635	1.4096006	-0.004124575456	0.01037341108	0.0008706579138	-0.0008732070011	run_cdmft.py	R0:S0:1	uncorrelated	-0.2730440584	2.170756523	-1.322397656	0.9429516425	1.990340633	-2.267165935	-0.005540915528	0.07903446595	-1.990146512	2.2709149	-0.003153536312	-0.05984816642	0.5288182651	-0.4579472978	-2.505180194	3.261059955	2024-12-07@23:55	2.1719	-0.8630304946	1	1.776338665e-16	-0.358738883	0.1609	-1.046546989e-16	0.148197347	v2.7.9	
# 2	Broyden	0	0.002723445342	-79.87213652	-95.7104	8.630629372	YY	14	0.1641223565	self-energy	sharp_wc_5_b_50	4.0781	2	1.197162562	0.03552655514	0.2903145829	-3.633048338	1.90825802	-4.079608192	1.65146196	-0.3820753632	1.623191837	-4.079828927	1.651966755	-0.3823257644	1.620855844	0.437820088	0.01974061257	-3.098939231	1.298406311	53e768a	2x2_2C_8b_C2v_L	10.06	1.107813406	2	1.560420249	0.9999999996492782	1.0000000000000002	0.0003090524332	-0.002569251871	-1.574610237e-06	0.0001998424037	0.002181061041	0.0571779601	-0.3469667709	1.346023963	0.002271401976	0.05679904333	-0.3471695434	1.352020281	-0.0002062148341	0.0006876395496	2.628952825e-05	4.935371255e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.166769281	1.79013309	-1.303406384	0.8317108921	1.992563568	-2.120980588	0.00702967907	-0.1409690446	-1.992571144	2.118630135	-0.007363633238	0.141675175	0.4673436063	-0.4150363509	-2.509354027	3.135334217	2024-12-07@22:30	2.1719	-0.7845513377	1	3.174573685e-16	-0.3224601351	0.1609	3.326785658e-17	0.1314791828	v2.7.9	
# 2	Broyden	0	0.01288086497	-78.70307938	-92.5104	8.13048515	YY	14	0.1612800538	self-energy	sharp_wc_5_b_50	4.0781	2	1.18393381	0.2249835965	0.3596323413	-3.588887731	1.90144172	-3.948061483	1.612663906	-0.4456663113	1.591804525	-3.949314223	1.612156024	-0.4462968994	1.594910958	0.5277761288	0.01990343292	-2.951074273	1.247139678	53e768a	2x2_2C_8b_C2v_L	9.86	1.094563292	2	1.541952405	0.9999999996263406	0.9999999999999999	9.328889744e-05	-0.0002636810276	0.0001034817476	-0.0001396576446	0.01116702638	0.2894393062	-0.3701082305	1.355234881	0.01133990935	0.2887521695	-0.3701214568	1.34820967	-0.0002471576365	0.0008699389763	8.657436495e-05	0.0001793076018	run_cdmft.py	R0:S0:1	uncorrelated	-0.2563518233	2.015605604	-1.323717314	0.8759316722	1.990402528	-2.247738519	0.03758969738	-0.6426739786	-1.990635727	2.250229011	-0.03801543407	0.6428831759	0.5083342613	-0.4385696893	-2.506715865	3.232124698	2024-12-07@23:12	2.1719	-0.8263370872	1	5.998886875e-16	-0.34612128	0.1609	2.922675763e-17	0.1417280583	v2.7.9	
# 2	Broyden	0	0.01388228684	-78.86670283	-92.8304	8.165002666	YY	14	0.1615641424	self-energy	sharp_wc_5_b_50	4.0781	2	1.184845266	0.2212679535	0.3551638164	-3.600863184	1.90251357	-3.964491827	1.614338209	-0.4405770211	1.591701262	-3.963913977	1.614513598	-0.440384869	1.590972736	0.524115008	0.01971955498	-2.967869268	1.249261038	53e768a	2x2_2C_8b_C2v_L	9.88	1.095324035	2	1.543481653	0.9999999996400806	0.9999999999999999	-0.0003868938847	0.001875983289	-2.038171717e-05	-0.0004804365409	0.0126833621	0.3005082335	-0.3679702951	1.350631074	0.01254780484	0.301461335	-0.3680084629	1.352763657	0.0004901877417	-0.00150051865	-0.000134520666	-4.447114884e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.2546565081	2.001771314	-1.32407626	0.8705847059	1.990706244	-2.243546679	0.0433422441	-0.690118141	-1.990512401	2.242646382	-0.04238073286	0.6882032223	0.5063225637	-0.4363934756	-2.507247409	3.229015642	2024-12-07@23:09	2.1719	-0.8233814109	1	4.701241833e-18	-0.344662992	0.1609	1.329407517e-16	0.1411755998	v2.7.9	
# 2	Broyden	0	0.01469436056	-79.02949687	-93.1504	8.201147096	YY	14	0.1618711624	self-energy	sharp_wc_5_b_50	4.0781	2	1.185813238	0.217684669	0.350725019	-3.613116858	1.903575985	-3.980099838	1.616985529	-0.4353777887	1.590096639	-3.979834975	1.617328211	-0.4347657717	1.588208721	0.5205568411	0.01955748583	-2.984295803	1.252047268	53e768a	2x2_2C_8b_C2v_L	9.9	1.096232119	2	1.544981203	0.9999999996459135	0.9999999999999998	3.159625778e-05	-0.0001476218811	1.83215838e-05	-6.463224995e-05	0.01354978794	0.3074947888	-0.3657612893	1.351245152	0.01353412047	0.3077503762	-0.3656254505	1.355393313	4.384072871e-05	-0.0001794876903	-3.92959018e-05	-3.507540682e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.252670029	1.987959768	-1.324342842	0.8654323849	1.990842293	-2.235529478	0.04706064727	-0.7219128582	-1.990680871	2.233979939	-0.04667870503	0.7215580665	0.5040766954	-0.4341997589	-2.507662994	3.224633433	2024-12-07@23:05	2.1719	-0.8203548524	1	-3.864928081e-16	-0.3430323089	0.1609	1.503238937e-16	0.1405329081	v2.7.9	
