CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
8	Broyden	-65.65793463	-43.68	12.30499588	YY	12	0.2592061758	self-energy	sharp_wc_5_b_50	7	2	1.009247367	0.4122932396	0.9986170368	1.342999835	0.4266786763	-0.7684972012	1.965222022	-1.580421974	0.9147913151	1.965215814	0.9147973219	-0.4683921532	0.7650821764	0.7188707252	0.06615509218	4af8b29	2x2_2C_8b_C2v_L	9.73	1.173610682	2	1.393618286	1.173610682	2	COBYLA	0.009599623193	-0.1047792977	1.180102743	-1.89073134	0.6017264044	-0.7317433068	0.001179082883	-0.00538358437	0.7317646592	-0.003385531158	-0.0003773113915	0.001333315861	-0.0108166671	0.01568289695	run_cdmft.py	R0:S0:1	uncorrelated	0.5013150425	-2.721994255	-0.001571338571	-0.05603695339	-0.002675156095	0.005560890309	1.861825146	-3.643114268	0.009355660221	-3.643104055	2.32140306	-3.555736151	-0.8398358671	1.056450357	2025-01-27@10:28	2.148148148	-1.133642767	1	1.304382672e-16	-0.5954773395	0.3888888889	1.364634386e-16	0.1739408802	v2.9.0	
2	Broyden	-66.42442968	-45.28	12.4285608	YY	12	0.2599426232	self-energy	sharp_wc_5_b_50	7	2	1.012865629	0.366141554	0.9726876382	1.416966173	0.4417182683	-0.7752092064	1.966787158	-1.662802673	0.9153538609	1.96679189	0.9153502221	-0.5603127907	0.7692374995	0.8131242015	0.06406901518	4af8b29	2x2_2C_8b_C2v_L	9.83	1.174560166	2	1.399721765	1.174560166	2	COBYLA	-0.07565804626	0.5469787934	1.184737049	-1.917368749	0.5972225587	-0.7160917073	0.0002383527213	0.01626200914	0.7160767461	0.0167459033	0.03927263999	-0.05231239961	-0.08754486922	0.1242320038	run_cdmft.py	R0:S0:1	uncorrelated	0.4810462566	-2.641540097	0.03260863526	0.1308195421	-0.0004767809329	0.008832028778	1.86604607	-3.64636177	-0.00611422088	-3.646367893	2.330856408	-3.561614123	-0.8438127197	1.030813172	2025-01-27@10:30	2.148148148	-1.127584622	1	-2.788268573e-16	-0.5940668438	0.3888888889	-1.992888971e-16	0.177633921	v2.9.0	
4	Broyden	-67.03866609	-46.88	12.58066736	YY	12	0.2627918162	self-energy	sharp_wc_5_b_50	7	2	1.017725339	0.3941795491	0.9294866414	1.468951982	0.3964944303	-0.7510317662	1.968214794	-1.752695043	0.9250156544	1.968214653	0.9250161262	-0.6554875928	0.7765710702	0.8075456746	0.05978362249	4af8b29	2x2_2C_8b_C2v_L	9.93	1.179333083	2	1.40549431	1.179333083	2	COBYLA	0.007291171152	-0.03775941588	1.197138601	-1.771996346	0.5901351404	-0.6984899401	-0.0001822295402	0.0001004193724	0.6984904234	-0.001390289951	0.009826808262	-0.01265484723	-0.02638740838	0.03840193679	run_cdmft.py	R0:S0:1	uncorrelated	0.4777995904	-2.710871649	-0.005998095035	0.005858656945	-0.0001133805519	0.0003186666823	1.871128114	-3.647118799	0.0009629261547	-3.647117899	2.342316941	-3.573843676	-0.8337749632	1.003555011	2025-01-27@10:33	2.148148148	-1.122167396	1	1.203564866e-17	-0.5899610116	0.3888888889	2.499763988e-16	0.1800546156	v2.9.0	
3	Broyden	-67.82198446	-48.48	12.72957152	YY	12	0.2647616994	self-energy	sharp_wc_5_b_50	7	2	1.022212657	0.3793783565	0.8978608318	1.509982749	0.3860533187	-0.7713148272	1.969584121	-1.831074553	0.9292322262	1.969584489	0.929232058	-0.7488490832	0.7824336697	0.8363163752	0.05674758123	4af8b29	2x2_2C_8b_C2v_L	10.03	1.182473999	2	1.41182588	1.182473999	2	COBYLA	0.0002233069812	-0.005898547689	1.199328286	-1.721839671	0.5864099918	-0.6830752167	-0.0005350243649	9.058067648e-05	0.6830741694	-0.001287400923	0.006597992026	-0.007470907601	-0.02224803666	0.03320684241	run_cdmft.py	R0:S0:1	uncorrelated	0.463913443	-2.693552317	0.0009025291582	-0.006987614753	0.0008652761488	-0.002879809725	1.874960899	-3.648469712	-0.002295563403	-3.648469983	2.351868954	-3.582640241	-0.8279405363	0.9777667307	2025-01-27@10:35	2.148148148	-1.115626582	1	3.75541763e-16	-0.5868770157	0.3888888889	2.942013512e-16	0.1828545472	v2.9.0	
2	Broyden	-68.55078147	-50.08	12.8887178	YY	12	0.2666588011	self-energy	sharp_wc_5_b_50	7	2	1.0269009	0.3710092375	0.8527170732	1.590705626	0.3639827376	-0.7747854733	1.970843352	-1.914620708	0.9345465529	1.970843246	0.9345467229	-0.8391109118	0.788078021	0.8427705418	0.05348072195	4af8b29	2x2_2C_8b_C2v_L	10.13	1.185583488	2	1.418569648	1.185583487	2	COBYLA	-0.003761855707	0.01657120429	1.209476387	-1.646126936	0.5820303781	-0.6682053663	-1.757555232e-05	-0.0006007146441	0.6682056474	0.0007999111438	0.0008917940824	-0.0009398126587	-0.003029453572	0.004641965455	run_cdmft.py	R0:S0:1	uncorrelated	0.4566083427	-2.684214779	0.003300872436	-0.006092805662	0.0004991882398	-0.001947123298	1.879719619	-3.648918972	-0.00207479659	-3.648918633	2.358562543	-3.591132817	-0.8158176478	0.9497461514	2025-01-27@10:37	2.148148148	-1.108203527	1	-8.691208943e-17	-0.5836205038	0.3888888889	-2.762046907e-17	0.1854998328	v2.9.0	
2	Broyden	-69.25918174	-51.68	13.06013727	YY	12	0.2688016927	self-energy	sharp_wc_5_b_50	7	2	1.03190112	0.3732830437	0.8055161127	1.624070436	0.3455943554	-0.7723806958	1.971798218	-2.000618957	0.9410132349	1.97179819	0.9410132491	-0.9337093312	0.7939506721	0.8321628284	0.05140830582	4af8b29	2x2_2C_8b_C2v_L	10.23	1.189118815	2	1.425694859	1.189118815	2	COBYLA	0.001593956725	-0.007038806675	1.21089231	-1.570694532	0.5789834689	-0.6557272341	0.0001538328904	-0.000329399262	0.6557272971	0.0001030157896	-0.007035197046	0.007890858167	0.01996377148	-0.03129727765	run_cdmft.py	R0:S0:1	uncorrelated	0.4453798258	-2.656323643	-0.001274199133	0.002061840447	-0.0002200320659	0.0006330016407	1.883900563	-3.648149058	0.0007680983787	-3.648149036	2.366119416	-3.597641288	-0.8091903249	0.9295619669	2025-01-27@10:39	2.148148148	-1.100030214	1	7.715250981e-17	-0.5799488686	0.3888888889	1.707174132e-16	0.1878376727	v2.9.0	
2	Broyden	-69.92240978	-53.28	13.23324005	YY	12	0.2704203205	self-energy	sharp_wc_5_b_50	7	2	1.03676159	0.3437023914	0.7749172096	1.688162527	0.3346948029	-0.7621266719	1.972755155	-2.082702076	0.9453151954	1.972755239	0.9453151231	-1.02361923	0.7990232984	0.8240654533	0.04925132534	4af8b29	2x2_2C_8b_C2v_L	10.33	1.191828378	2	1.433127823	1.191828378	2	COBYLA	-0.003681779353	0.02015853326	1.216965864	-1.523843968	0.5746708146	-0.6437234539	3.842459965e-05	0.0008060963762	0.6437232456	0.0008226512278	-0.01583658684	0.01749445876	0.04349166271	-0.07015924394	run_cdmft.py	R0:S0:1	uncorrelated	0.4311258983	-2.630514042	0.001617826653	0.002224190838	-7.470345253e-05	0.0007773031128	1.887154593	-3.647417543	-0.0002101305058	-3.647417683	2.371143145	-3.603498311	-0.7980689109	0.9059254883	2025-01-27@10:41	2.148148148	-1.090986224	1	6.436566034e-16	-0.576617833	0.3888888889	4.406080696e-16	0.1902002246	v2.9.0	
3	Broyden	-70.57136666	-54.88	13.42174827	YY	12	0.2726462152	self-energy	sharp_wc_5_b_50	7	2	1.042084426	0.3492387092	0.7201079501	1.73950148	0.3105369646	-0.7457208261	1.973709538	-2.165942699	0.9524512688	1.973708557	0.9524519373	-1.115264947	0.8043116316	0.8103294004	0.04660458108	4af8b29	2x2_2C_8b_C2v_L	10.43	1.19554567	2	1.440870108	1.19554567	2	COBYLA	0.001812618187	-0.0059515546	1.221415149	-1.435767883	0.5682003772	-0.6299238589	-0.002276896475	0.0001231268605	0.6299265553	0.0003020225115	-0.0008873812329	0.001147745367	0.001804088815	-0.002935660715	run_cdmft.py	R0:S0:1	uncorrelated	0.4239678771	-2.595646261	-0.001923220145	0.0055152974	0.00432982806	-0.01772691592	1.891456609	-3.645469597	-0.01796246772	-3.645468234	2.377707258	-3.610336562	-0.7888870402	0.8848738921	2025-01-27@10:43	2.148148148	-1.081329889	1	-1.853946701e-16	-0.5724818195	0.3888888889	-5.20960734e-17	0.1919924283	v2.9.0	
3	Broyden	-71.24884603	-56.48	13.62091732	YY	12	0.2744893347	self-energy	sharp_wc_5_b_50	7	2	1.047510295	0.32784635	0.682930812	1.791486462	0.2975127454	-0.7404778686	1.974637069	-2.246301515	0.9577860504	1.974637067	0.9577860564	-1.205367176	0.8090622295	0.7992928068	0.04457655612	4af8b29	2x2_2C_8b_C2v_L	10.53	1.198664208	2	1.449274009	1.198664208	2	COBYLA	-0.0006749759531	0.002723834102	1.225966622	-1.380370871	0.5630788505	-0.6176561531	-8.377926581e-05	-0.0001579898996	0.6176561535	0.0001092624554	-0.001835530291	0.002088996192	0.004191632644	-0.007157180406	run_cdmft.py	R0:S0:1	uncorrelated	0.4090365702	-2.555355287	0.0005327091878	-0.001072455323	0.0001919840092	-0.0009223160695	1.89433538	-3.643294698	-0.0009065606249	-3.643294685	2.382864764	-3.615585648	-0.7801430149	0.8649198998	2025-01-27@10:46	2.148148148	-1.070256458	1	-3.360346166e-16	-0.5685082737	0.3888888889	5.365000152e-17	0.1936579218	v2.9.0	
2	Broyden	-71.87237938	-58.08	13.8303161	YY	12	0.2766806084	self-energy	sharp_wc_5_b_50	7	2	1.053196051	0.3253306146	0.6321053013	1.847432869	0.2759165725	-0.7252093679	1.975433502	-2.32312686	0.9641295792	1.975433503	0.9641295778	-1.293416357	0.8146251799	0.7783139755	0.04229298779	4af8b29	2x2_2C_8b_C2v_L	10.63	1.202377949	2	1.457873114	1.202377949	2	COBYLA	0.0011289717	-0.004132099472	1.23063639	-1.301412117	0.5567087877	-0.6057945508	-1.377025665e-05	2.540515179e-05	0.6057945496	1.479937759e-05	-0.001168633935	0.001063008302	0.003268974745	-0.005903444344	run_cdmft.py	R0:S0:1	uncorrelated	0.4007667749	-2.508443691	-0.0009373119138	0.002208704446	2.056293995e-05	-9.070022592e-05	1.896386181	-3.639750622	-9.539875178e-05	-3.639750625	2.387532153	-3.621374527	-0.7668209228	0.8417881615	2025-01-27@10:48	2.148148148	-1.058604156	1	-9.497089526e-19	-0.5639771176	0.3888888889	-3.016783085e-16	0.194782341	v2.9.0	
