model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.4565404	0	13.8	3.3038	-0.00019671716	-3.0734562	-3.6941918	-0.10817056	-3.6939997	-0.10807733	0.14608106	-3.2691516	9.88	0.0021501383	-4.0318242e-06	0.010818523	-0.17011392	0.010798023	-0.17005595	-2.3563946e-05	1.7561393e-06	-0.11277437	-1.0481653	1.6360481	0.051699916	-1.636013	-0.051685058	0.23477436	-2.1566774	1.9469	1	0.292	0.014632575	1.2552944	1.6206206	-0.59320586	-0.19669253	0.079487264	0.14101368	0.23526159	1.939905	1.8018713	1.581664	1.8018307	1.5816694	0.016248795	1.5478761	1.1168754	-0.022000838	-1.1511666e-05	0.10734906	1.1336236	0.10736622	1.1331318	0.00017440492	3.5808295e-05	1.1485509	0.73268447	-1.5653417	-0.5940418	1.5655719	0.59412491	-0.28909968	2.5455355	0.030247241	0.21334662	0.058538113	0.18136954	0.35186603	0.18140435	0.35192364	0.016349313	0.35113419	0.037024884	3.9420783	5.4448646	5.2039545	5.0511038	5.204011	5.051151	4.2791184	6.2137377	5.2839666	2.6980276	3.3441358	5.0525756	3.3444131	5.0522797	3.7724234	3.1408375	-73.051771	R0:S0:1	-52.6096	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.28e+02	 2.49e-03	2022-07-18@15:36
2x2_2C_8b_C2v_L	8.4708834	0	13.8	3.3038	-0.0022938697	-3.0771179	-3.7002431	-0.10639459	-3.7009744	-0.10670984	0.14429506	-3.2745746	9.89	0.00068091219	-2.8118631e-05	0.011161188	-0.16783514	0.011182451	-0.16791766	-5.3763008e-05	7.069953e-07	-0.11252759	-1.048254	1.6363826	0.054183941	-1.6365148	-0.054301202	0.23223175	-2.1568424	1.9469	1	0.292	0.014773159	1.255663	1.6213052	-0.59173925	-0.19589378	0.079175241	0.14115922	0.23532115	1.9399587	1.8027001	1.5802932	1.8027222	1.5806897	0.016021536	1.5489977	1.1172352	-0.0073637282	-1.1907632e-05	0.10690459	1.12831	0.10697037	1.1278851	0.00029160718	4.3452465e-06	1.1481549	0.73293539	-1.5624173	-0.60491865	1.5624109	0.60535799	-0.2866213	2.543111	0.030273118	0.21288473	0.058481233	0.18066665	0.35116978	0.18065128	0.35084091	0.016115621	0.35062582	0.036987041	3.9446737	5.4434839	5.200913	5.0644506	5.2008844	5.0644352	4.2769546	6.2097547	5.2854778	2.6979884	3.341124	5.0524395	3.3413559	5.0517091	3.7732581	3.1425863	-73.129724	R0:S0:1	-52.6896	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.27e+02	 1.35e-03	2022-07-18@17:08
2x2_2C_8b_C2v_L	8.4912624	0	13.8	3.3038	-0.0025251543	-3.0884499	-3.7092746	-0.10538262	-3.7080012	-0.10538345	0.14272068	-3.2816754	9.9	-0.0031484113	2.7576058e-05	0.011074301	-0.16695342	0.011101099	-0.16691452	-0.0001061982	1.3697156e-05	-0.11217845	-1.0493594	1.6371038	0.054227298	-1.6368157	-0.054460351	0.23090221	-2.156929	1.9469	1	0.292	0.014720287	1.2562138	1.6220453	-0.58983973	-0.19446852	0.078661909	0.141304	0.23119543	1.9405098	1.8040925	1.5870475	1.8040571	1.5869429	0.015736794	1.5522781	1.1177913	0.034039268	0.00012546484	0.10552755	1.1177465	0.10541165	1.117467	0.00032555894	-0.00011791783	1.1373512	0.73022782	-1.5580634	-0.59961208	1.5580597	0.60069677	-0.28480742	2.5360225	0.030299458	0.21075283	0.057979275	0.17959049	0.34743731	0.17961861	0.34744223	0.015826216	0.34909596	0.036888407	3.915225	5.4489581	5.2030184	5.0604976	5.2032049	5.0613055	4.2753906	6.1975321	5.2863362	2.6971848	3.3461495	5.0318596	3.345951	5.0314971	3.7743911	3.1499663	-73.232676	R0:S0:1	-52.7696	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.26e+02	 1.62e-03	2022-07-18@17:23
2x2_2C_8b_C2v_L	8.5095837	0	13.8	3.3038	-0.0036458052	-3.0931962	-3.7143588	-0.10386257	-3.7153814	-0.10402984	0.14108358	-3.288405	9.91	-0.00037298411	-3.833518e-06	0.011118725	-0.16531774	0.011156063	-0.16530041	-0.00015932914	1.9598828e-05	-0.11188271	-1.0495457	1.6371816	0.055145296	-1.6373452	-0.055382948	0.2289784	-2.1572189	1.9469	1	0.292	0.014712744	1.256701	1.6227754	-0.58808002	-0.19326814	0.078219709	0.14145655	0.22660305	1.940846	1.8052351	1.5909007	1.8051943	1.5912355	0.015474311	1.5547535	1.118286	0.0041203625	-1.5461667e-05	0.10438867	1.1090157	0.10435549	1.107583	0.00085761034	3.7192848e-05	1.1310592	0.72863664	-1.5540669	-0.59992372	1.5544759	0.60112788	-0.2825966	2.530775	0.030326872	0.20610626	0.057670456	0.17868339	0.34470143	0.17872098	0.34447421	0.015559313	0.34793115	0.036811772	3.8955677	5.4520349	5.2037706	5.0632192	5.2037232	5.0636307	4.273763	6.188403	5.2893544	2.6964888	3.347715	5.0184386	3.3484445	5.0172819	3.7752649	3.1551338	-73.313631	R0:S0:1	-52.8496	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.25e+02	 2.08e-03	2022-07-18@17:54
2x2_2C_8b_C2v_L	8.5251896	0	13.8	3.3038	-0.0049399538	-3.1042207	-3.7232973	-0.10235913	-3.7238668	-0.10241844	0.13863543	-3.2937875	9.92	0.00061075072	-4.0662838e-05	0.011258826	-0.16381124	0.011261516	-0.1637668	-0.00014227945	1.8494216e-05	-0.11173705	-1.0505894	1.6378996	0.056605148	-1.637958	-0.056777204	0.22684488	-2.1569588	1.9469	1	0.292	0.014762505	1.2571097	1.6234245	-0.58655073	-0.19228748	0.077855706	0.14157786	0.22603857	1.9410485	1.8063078	1.5907089	1.8062595	1.5910502	0.015271096	1.5565197	1.1186736	-0.0070977784	-2.6318446e-05	0.10350147	1.1036452	0.1035136	1.1021363	0.0009307586	0.00011789142	1.1279401	0.72826396	-1.5504275	-0.60483499	1.550871	0.605715	-0.2805463	2.5267166	0.030348613	0.20562891	0.057479414	0.17779657	0.344014	0.1778416	0.34382635	0.01535113	0.3471013	0.036753916	3.8920966	5.451771	5.2016567	5.0716014	5.2016526	5.0718059	4.2714143	6.1819444	5.2911421	2.6968089	3.3464941	5.0153851	3.3473325	5.0141564	3.7765485	3.1586215	-73.414718	R0:S0:1	-52.9296	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.24e+02	 1.20e-03	2022-07-18@18:10
2x2_2C_8b_C2v_L	8.5455264	0	13.8	3.3038	-0.0065153424	-3.1135786	-3.7321745	-0.10167636	-3.7308097	-0.10154554	0.1372727	-3.2996703	9.93	0.00072842512	-2.510291e-05	0.01139721	-0.16209278	0.011341804	-0.16209247	3.7142109e-05	5.8334882e-06	-0.11137052	-1.0515135	1.6388313	0.057995618	-1.638555	-0.057773128	0.22463457	-2.1570954	1.9469	1	0.292	0.014730877	1.2576473	1.6242424	-0.58458989	-0.19095974	0.077367462	0.14174064	0.2220412	1.9414692	1.8075153	1.5985863	1.8075441	1.5984577	0.014908397	1.5592642	1.1192147	-0.0088208322	-4.2888351e-05	0.10248948	1.0896252	0.10259416	1.0905107	-4.2024831e-05	6.8411331e-05	1.120243	0.72618892	-1.5467604	-0.60558356	1.5464557	0.60446762	-0.27765588	2.520871	0.030377924	0.20275307	0.057094969	0.17686547	0.33867909	0.17684087	0.33878727	0.014984791	0.34579253	0.036668099	3.8681437	5.4562705	5.2038676	5.0714996	5.203987	5.0710252	4.2696911	6.1719913	5.2916144	2.695999	3.3512231	4.992222	3.3508228	4.9927478	3.7774958	3.1646266	-73.513342	R0:S0:1	-53.0096	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.22e+02	 2.70e-03	2022-07-18@18:25
2x2_2C_8b_C2v_L	8.5625904	0	13.8	3.3038	-0.0078306595	-3.1202844	-3.73747	-0.10028296	-3.736018	-0.099742925	0.13529255	-3.3065838	9.94	0.0015817421	-1.8185598e-05	0.011442	-0.16043545	0.011334867	-0.16036391	0.00039636064	-5.4687899e-05	-0.11115485	-1.0519159	1.6388388	0.059212885	-1.6386074	-0.058515645	0.22261886	-2.1573841	1.9469	1	0.292	0.01471821	1.2580979	1.6249277	-0.5829404	-0.18985276	0.076960291	0.14187971	0.22072788	1.9417206	1.8085828	1.6009473	1.8086101	1.6006336	0.014692444	1.5614486	1.1196622	-0.019988281	-0.00021989967	0.10145015	1.0812366	0.10166565	1.0828901	-0.0016653664	0.00020177875	1.1152295	0.72524172	-1.5430766	-0.60799169	1.5427949	0.60492033	-0.27553227	2.5161855	0.030402805	0.20207705	0.056861622	0.17600401	0.33663254	0.17597971	0.33702557	0.014765672	0.34474122	0.036599246	3.8578979	5.457706	5.2036476	5.076804	5.2037267	5.0753382	4.2679234	6.1639543	5.2929119	2.6957971	3.3518579	4.9825082	3.3514167	4.9839039	3.7784192	3.1689324	-73.593959	R0:S0:1	-53.0896	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.21e+02	 2.75e-03	2022-07-18@18:57
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	8.4354333	0	13.8	3.3038	0.00046182785	-3.0673956	-3.6864925	-0.10866275	-3.6870017	-0.10864166	0.1468292	-3.2621712	9.87	-0.0035016388	-1.3951549e-05	0.010762488	-0.17093786	0.010741034	-0.1709241	6.8541648e-06	5.6050437e-06	-0.11298254	-1.0479012	1.6356955	0.05115209	-1.6357974	-0.051139116	0.23594506	-2.1567511	1.9469	1	0.292	0.014656502	1.2547226	1.6198407	-0.59517791	-0.19815448	0.080017504	0.14086441	0.24179961	1.9393683	1.8004326	1.5727447	1.800423	1.5728163	0.016573882	1.5444408	1.1162999	0.035511943	-7.726708e-06	0.10864666	1.145907	0.10867756	1.145587	1.598858e-05	1.7899801e-05	1.1580308	0.73555085	-1.5699348	-0.59793591	1.5700717	0.59793753	-0.29096461	2.5528737	0.030220035	0.21879787	0.059024465	0.18246541	0.35708732	0.1824744	0.35707599	0.016678996	0.35271112	0.037127036	3.9755172	5.4387115	5.2009337	5.055717	5.2008922	5.0556458	4.280389	6.2265716	5.282672	2.6989619	3.338121	5.0783813	3.3383673	5.0781902	3.7714421	3.1329176	-72.960594	R0:S0:1	-52.5296	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.29e+02	 5.32e-03	2022-07-19@13:14
2x2_2C_8b_C2v_L	8.41372	0	13.8	3.3038	0.00024915152	-3.055938	-3.6793262	-0.1098349	-3.6799313	-0.10982391	0.14830813	-3.254332	9.86	0.00163694	1.3303945e-05	0.010954699	-0.17165555	0.010950665	-0.17167186	-2.3572443e-05	1.7291105e-05	-0.11335137	-1.0468208	1.6354401	0.051602094	-1.6355879	-0.051572114	0.23697603	-2.1565749	1.9469	1	0.292	0.014727886	1.2541285	1.6190881	-0.59717013	-0.19971395	0.080576053	0.14071811	0.24776808	1.9386879	1.7989401	1.5646568	1.7989494	1.5645853	0.016870927	1.540605	1.1156893	-0.016814051	-2.3931065e-05	0.11031533	1.1572192	0.11030649	1.157368	0.00013453697	1.0476785e-06	1.1708837	0.73903932	-1.5746972	-0.60624469	1.5747142	0.60609454	-0.29255465	2.5611114	0.030193235	0.22246896	0.059641372	0.18360159	0.36101624	0.18359322	0.36107062	0.016981392	0.35445383	0.03724106	4.013694	5.4315794	5.1977065	5.0624485	5.1976068	5.0623366	4.2817303	6.2410217	5.2813535	2.6999882	3.3316984	5.1027953	3.3317034	5.1031197	3.7703108	3.1239932	-72.860623	R0:S0:1	-52.4496	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.30e+02	 4.66e-03	2022-07-19@13:29
