model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-06-15@13:33
2x2_2C_8b_C2v_L	4.9892558	0	14	2.4115333	-0.0033557155	-3.3185459	-4.0537371	-0.10540518	-4.0537104	-0.10540586	0.14493725	-3.6886029	9.6822222	-3.1084272e-05	1.2452214e-06	0.011224766	-0.16637519	0.011224717	-0.16637564	-9.1761369e-07	2.7094693e-06	-0.11278753	-1.1005843	1.7348833	0.053602799	-1.7348783	-0.053602987	0.23180461	-2.2896913	2.0829889	1	0.21022222	0.014657171	1.2604978	1.6218116	-0.5807601	-0.18291018	0.076013895	0.13292683	0.22680819	1.9429895	1.8105686	1.5885476	1.810569	1.5885442	0.016809503	1.5746943	1.1064838	0.000340024	1.0955492e-06	0.10177082	1.1249689	0.10177124	1.1249861	-6.2130861e-07	-5.441872e-06	1.1295077	0.71843484	-1.540713	-0.59723785	1.5407065	0.59723693	-0.28731512	2.4955443	0.028779949	0.20679878	0.055627422	0.17403097	0.34639436	0.17403065	0.34639484	0.016912305	0.33622596	0.036090195	3.9287197	5.4187996	5.1476426	5.0404746	5.1476458	5.0404783	4.3405853	6.0783666	5.2718092	2.7249042	3.3812973	5.0700681	3.381284	5.0700776	3.7133529	3.2230898	-75.158304	R0:S0:1	-58.165511	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.54e+02	 4.18e-03	2022-06-15@13:48
2x2_2C_8b_C2v_L	5.3968522	0	14	2.5230667	-0.00098088907	-3.2741001	-3.9917894	-0.10820452	-3.9917804	-0.10820292	0.14815114	-3.6229471	9.6844444	-1.8379403e-05	-5.3074308e-07	0.010843975	-0.16961851	0.010843291	-0.16961789	3.6057674e-06	6.7771268e-06	-0.11329087	-1.093084	1.72158	0.05033507	-1.7215779	-0.050333333	0.23562489	-2.2732132	2.0659778	1	0.22044444	0.014421661	1.2591456	1.6202163	-0.58500578	-0.18635438	0.077143115	0.13297905	0.23464769	1.9420758	1.8077383	1.5818228	1.8077385	1.5818236	0.017396393	1.567959	1.1060748	0.00019011787	6.356847e-06	0.10376559	1.1412426	0.10376814	1.1412529	-2.6756509e-05	-1.3344371e-05	1.1428732	0.72289053	-1.5493117	-0.58868668	1.5493076	0.58868002	-0.2918073	2.5082432	0.028790398	0.21320117	0.056474913	0.17632233	0.35166737	0.17632218	0.35166618	0.017513912	0.33964123	0.036251487	3.970697	5.4116307	5.1509996	5.0334015	5.1510021	5.0333989	4.3381657	6.1069359	5.2693218	2.7275336	3.3766304	5.0939707	3.3766226	5.0939723	3.7174921	3.2091274	-74.68028	R0:S0:1	-57.291022	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.52e+02	 5.13e-03	2022-06-15@14:04
2x2_2C_8b_C2v_L	5.7938117	0	14	2.6346	-0.00040914507	-3.2277314	-3.9298805	-0.1101985	-3.9298842	-0.11020343	0.15059998	-3.5544747	9.6866667	-2.7873499e-05	-4.0480314e-05	0.010857987	-0.1717052	0.010856617	-0.1717048	-2.1764382e-06	1.8723202e-06	-0.11394381	-1.0855485	1.7084879	0.049328544	-1.7084889	-0.049334349	0.23833049	-2.2565247	2.0489667	1	0.23066667	0.01434913	1.2574817	1.6183945	-0.59009652	-0.19073076	0.078590111	0.13300067	0.2523381	1.9404385	1.8041914	1.5618357	1.8041897	1.5618336	0.018240049	1.558073	1.1053233	0.00028897488	9.5576591e-05	0.10693152	1.1675769	0.10692322	1.1675639	-1.2495794e-06	-2.4318628e-05	1.1691912	0.73206262	-1.5597823	-0.59747409	1.5597889	0.59751226	-0.2964271	2.5276288	0.028794192	0.22677539	0.05797082	0.17907142	0.36251635	0.17907273	0.36251638	0.018373243	0.34449249	0.036500446	4.0662153	5.3935859	5.1468872	5.0484026	5.1468899	5.0484179	4.334729	6.1479948	5.2684554	2.7321608	3.3605417	5.1516308	3.3605418	5.1516308	3.7214879	3.1868437	-74.192552	R0:S0:1	-56.416533	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.51e+02	 3.89e-03	2022-06-15@14:23
2x2_2C_8b_C2v_L	6.1958616	0	14	2.7461333	0.0017948825	-3.1842291	-3.8678473	-0.11316307	-3.8678437	-0.11316624	0.15319368	-3.4867741	9.6888889	1.3578095e-05	-4.1196817e-07	0.010303058	-0.17516379	0.010302329	-0.17516446	5.4744486e-07	-1.1610387e-07	-0.11455379	-1.0781451	1.6951829	0.045581331	-1.6951835	-0.04558259	0.24210053	-2.2394287	2.0319556	1	0.24088889	0.013972434	1.2559726	1.6165964	-0.59474073	-0.19452404	0.07982874	0.1330477	0.26318934	1.9393001	1.8010974	1.5530623	1.8010966	1.5530678	0.018958813	1.5504061	1.1048676	-0.00013518934	1.0245487e-06	0.10915819	1.1857891	0.10916032	1.1857796	-4.868066e-06	-1.6355625e-06	1.1845896	0.73782506	-1.5689373	-0.58676512	1.5689407	0.58677283	-0.3012517	2.5416727	0.028803267	0.23542527	0.059020466	0.18154616	0.3687855	0.1815468	0.36878176	0.019114789	0.34817876	0.036673334	4.1213934	5.3839725	5.1501182	5.0414459	5.150121	5.0414469	4.3317098	6.1801374	5.2669829	2.7355706	3.3542974	5.1816885	3.3543011	5.1816735	3.7262521	3.1710524	-73.712979	R0:S0:1	-55.542044	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.50e+02	 3.09e-03	2022-06-15@14:42
2x2_2C_8b_C2v_L	6.6035638	0	14	2.8576667	0.0047811996	-3.1414606	-3.8077299	-0.11713563	-3.8077364	-0.11713764	0.15698169	-3.4209519	9.6911111	6.5442223e-06	2.1562549e-05	0.0094055463	-0.17916843	0.0094010238	-0.17916768	4.8960774e-06	6.1993512e-06	-0.11506854	-1.0708947	1.6822107	0.040388768	-1.682211	-0.040385884	0.24656255	-2.2227497	2.0149444	1	0.25111111	0.013346435	1.2546213	1.6149459	-0.59882393	-0.19781318	0.080874664	0.1331398	0.26669927	1.9386285	1.7983728	1.5565859	1.7983726	1.5566058	0.019430407	1.5446997	1.104689	-6.0293887e-05	-4.8680727e-05	0.11069909	1.193158	0.11071571	1.1931368	-2.9122787e-05	-3.4795904e-06	1.190688	0.74023575	-1.5771556	-0.56351395	1.5771572	0.56350367	-0.30557771	2.5512699	0.028821144	0.23909847	0.059656381	0.18381796	0.36938109	0.18381824	0.36936926	0.019614666	0.35089593	0.036784969	4.1348676	5.3831952	5.1605561	5.0182957	5.1605604	5.0182875	4.3292881	6.2041395	5.2626472	2.7373481	3.3576544	5.1821944	3.3576665	5.1821475	3.7313528	3.1606652	-73.250192	R0:S0:1	-54.667556	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.47e+02	 4.85e-03	2022-06-15@14:57
2x2_2C_8b_C2v_L	6.9926821	0	14	2.9692	0.0054294368	-3.0907277	-3.7437338	-0.11939111	-3.743733	-0.11938923	0.1585333	-3.3499282	9.6933333	-2.734471e-05	-3.28407e-07	0.0090392933	-0.18179257	0.0090378377	-0.18179243	7.7530315e-06	8.7411311e-06	-0.11574362	-1.062613	1.6687296	0.037751113	-1.66873	-0.037742121	0.24937524	-2.2051474	1.9979333	1	0.26133333	0.012880305	1.2527407	1.61278	-0.60446882	-0.20260196	0.082449442	0.13315897	0.2889634	1.9366226	1.7945165	1.534923	1.7945179	1.5349225	0.020552289	1.5337788	1.1039352	0.00025855817	4.3527763e-06	0.11370616	1.2216116	0.11371252	1.2216438	-4.8877599e-05	-1.7315748e-05	1.2171289	0.75123352	-1.5880546	-0.56296837	1.5880444	0.56292489	-0.3110151	2.5717006	0.028823713	0.25590747	0.061483727	0.18677765	0.38105406	0.18677648	0.38105491	0.020771109	0.35586121	0.037032884	4.2462472	5.3623893	5.1574801	5.0285724	5.1574794	5.0285465	4.3251173	6.2491262	5.2648265	2.743045	3.340474	5.2461896	3.3404597	5.2462124	3.7364799	3.1367902	-72.740383	R0:S0:1	-53.793067	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.46e+02	 2.41e-03	2022-06-15@15:15
2x2_2C_8b_C2v_L	7.398538	0	14	3.0807333	0.0077878247	-3.0483536	-3.6841016	-0.12405188	-3.6841134	-0.12405135	0.16261667	-3.2826416	9.6955556	7.3277196e-06	2.4564386e-07	0.0080536714	-0.18563257	0.0080543807	-0.18563209	-1.4702814e-06	1.053628e-06	-0.11624631	-1.0555142	1.6560127	0.032457326	-1.6560159	-0.032459099	0.25356517	-2.1883227	1.9809222	1	0.27155556	0.011968762	1.2513259	1.611126	-0.60853764	-0.20603431	0.083511016	0.13328242	0.29102315	1.9359847	1.7915372	1.5442605	1.7915362	1.5442619	0.020890075	1.5278807	1.1038275	-6.6771578e-05	3.9080957e-07	0.11505489	1.2228563	0.11505387	1.2228403	7.0942578e-06	-1.0002122e-06	1.221347	0.75300001	-1.5970527	-0.53697862	1.5970599	0.53699092	-0.31455636	2.5811429	0.028847286	0.25928511	0.062095877	0.189282	0.37843289	0.18928283	0.37843298	0.021147959	0.35852738	0.037138675	4.2476519	5.3645163	5.1719693	5.0022413	5.1719698	5.0022471	4.3224132	6.2731968	5.2571831	2.7444527	3.3473272	5.2352581	3.3473358	5.2352464	3.7420805	3.1263004	-72.281434	R0:S0:1	-52.918578	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.44e+02	 5.60e-03	2022-06-15@15:30
2x2_2C_8b_C2v_L	7.7921483	0	14	3.1922667	0.0086835043	-2.9998385	-3.6203414	-0.12760469	-3.6203477	-0.12760533	0.16538909	-3.2125814	9.6977778	1.0128245e-05	-6.3722856e-07	0.0072025837	-0.18864718	0.0072022218	-0.18864491	-6.8672609e-08	3.0443913e-06	-0.11680669	-1.0476242	1.6427398	0.028053669	-1.642741	-0.028055154	0.25673469	-2.1711464	1.9639111	1	0.28177778	0.010957288	1.2495625	1.6091152	-0.61360237	-0.21041795	0.084905365	0.13336949	0.3054446	1.9344604	1.7877587	1.5387923	1.7877562	1.5388044	0.021690209	1.5187188	1.1033912	-9.1999329e-05	2.995891e-06	0.11716151	1.2366614	0.11716505	1.2366178	-4.0557184e-06	-6.8541671e-06	1.2369051	0.76025433	-1.6078681	-0.52072131	1.6078829	0.52074328	-0.31888916	2.5972034	0.028862807	0.27152595	0.063501202	0.19229086	0.38237224	0.19229305	0.38236778	0.021998012	0.36249705	0.037324408	4.3092004	5.3545622	5.1792589	4.9940544	5.1792659	4.9940646	4.31866	6.3102845	5.2539898	2.7484282	3.3420221	5.2627196	3.3420435	5.2626712	3.7478625	3.1074389	-71.784694	R0:S0:1	-52.044089	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.42e+02	 7.82e-03	2022-06-15@15:44
2x2_2C_8b_C2v_L	8.1789116	0	14	3.3038	0.0092175982	-2.9444601	-3.553843	-0.13081096	-3.553849	-0.13081536	0.16784762	-3.1408229	9.7	0.00020965224	1.7777897e-05	0.0062439081	-0.19150114	0.0062484433	-0.1915015	-1.0117992e-05	1.5259546e-06	-0.11737569	-1.0387578	1.6288909	0.023424227	-1.6288901	-0.023450421	0.25980054	-2.1535206	1.9469	1	0.292	0.009606936	1.2476089	1.6068482	-0.61921164	-0.21524917	0.086458676	0.13343549	0.32650892	1.9324204	1.7836197	1.5272436	1.78362	1.5272053	0.022822408	1.5081079	1.1028312	-0.0019415198	-1.0300232e-05	0.11947538	1.2557225	0.11945789	1.2558047	2.2570315e-05	-1.2752198e-05	1.2558965	0.77037456	-1.6193298	-0.50476983	1.6193118	0.50488415	-0.32416222	2.6158078	0.028873639	0.28857045	0.065370834	0.19552425	0.38913373	0.1955233	0.38913277	0.023195494	0.36691772	0.037536424	4.3980725	5.3392167	5.1840873	4.9913888	5.184074	4.9914659	4.3143919	6.3529764	5.2536787	2.7539851	3.3319075	5.3066807	3.3318381	5.3067947	3.7541894	3.0851646	-71.257824	R0:S0:1	-51.1696	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.40e+02	 8.94e-03	2022-06-15@15:59
