model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-07-18@10:10
2x2_2C_8b_C2v_L	5.0185221	0	14.022222	2.4115333	-0.0050419915	-3.3326738	-4.0683749	-0.10107695	-4.068325	-0.10107199	0.13917924	-3.6983178	9.7022222	-3.3229617e-05	5.4211266e-07	0.011335517	-0.16358999	0.011334958	-0.16358894	1.2525574e-06	-1.2354481e-06	-0.11249004	-1.1015068	1.7355736	0.055578209	-1.7355644	-0.055577126	0.22810393	-2.288905	2.0829889	1	0.21022222	0.014720935	1.2612353	1.622794	-0.57770048	-0.18116159	0.075325404	0.13262655	0.2295717	1.9431689	1.8127611	1.5796713	1.812761	1.5796587	0.016734657	1.5778921	1.1066356	0.00038235256	3.5283545e-06	0.099577876	1.1215925	0.099575632	1.1216196	-1.2790464e-05	-2.3011365e-06	1.1259609	0.71943055	-1.5323149	-0.60633088	1.5323077	0.60632601	-0.28533319	2.4858744	0.028725354	0.20843874	0.055443184	0.17214326	0.35027293	0.17214325	0.35028041	0.01682509	0.33457104	0.035903005	3.9480157	5.4089884	5.1367378	5.0641645	5.1367426	5.0641735	4.335605	6.0651563	5.2769605	2.7305786	3.3758561	5.0862616	3.3758356	5.0862863	3.7162106	3.2326768	-75.313066	R0:S0:1	-58.325511	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.52e+02	 6.98e-03	2022-07-18@11:22
2x2_2C_8b_C2v_L	5.4617431	0	14.044444	2.5230667	-0.0042453017	-3.3070365	-4.0224955	-0.10044108	-4.0224866	-0.10044008	0.13830783	-3.6442485	9.7244444	-4.3951606e-06	3.9239698e-07	0.011039427	-0.16400355	0.011039253	-0.16400308	2.6284849e-07	4.9664729e-08	-0.11244973	-1.0958754	1.7236299	0.053996183	-1.7236283	-0.053996074	0.22837415	-2.2724806	2.0659778	1	0.22044444	0.014517424	1.2607958	1.6224149	-0.57830235	-0.18239474	0.075591328	0.13242943	0.23529938	1.9427798	1.8124692	1.5731798	1.8124689	1.5731789	0.017014711	1.5757357	1.1065853	4.9451026e-05	-2.735314e-07	0.099325715	1.1267236	0.099325754	1.1267233	-2.084069e-06	-3.7793429e-07	1.1296537	0.72258694	-1.531664	-0.6010192	1.5316645	0.60101955	-0.28694293	2.4861661	0.028690814	0.21287095	0.055796356	0.17233602	0.35428208	0.17233625	0.35428292	0.017106154	0.33569042	0.035839198	3.9819215	5.3980701	5.1335471	5.0697975	5.1335482	5.069799	4.3288262	6.0753316	5.2780155	2.7374382	3.3718365	5.1040751	3.3718358	5.1040748	3.7229566	3.2321618	-75.0138	R0:S0:1	-57.611022	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.48e+02	 8.18e-03	2022-07-18@11:45
2x2_2C_8b_C2v_L	5.9052333	0	14.066667	2.6346	-0.0034132238	-3.2804078	-3.9741209	-0.10021691	-3.9741205	-0.10021536	0.13796027	-3.5908677	9.7466667	-4.3061629e-06	7.9904646e-07	0.010723532	-0.16459863	0.010723871	-0.16459823	8.2789508e-07	7.6067336e-07	-0.11237723	-1.0900524	1.7111955	0.052193896	-1.7111954	-0.052193177	0.22889124	-2.2562759	2.0489667	1	0.23066667	0.014290326	1.2603664	1.6220392	-0.57884798	-0.18360658	0.075851895	0.13224377	0.24029084	1.9424389	1.8121311	1.5687781	1.8121312	1.5687762	0.017277675	1.5737314	1.1065653	4.7511239e-05	-6.8841385e-07	0.099155914	1.1304845	0.099155454	1.1304879	-5.4593277e-06	-1.265324e-06	1.1322758	0.72528527	-1.5311412	-0.5936561	1.5311406	0.59365332	-0.28857548	2.4861829	0.028658332	0.21683109	0.056107114	0.17258358	0.35722343	0.17258355	0.35722492	0.017371425	0.33672788	0.035771331	4.0107666	5.3884834	5.1317457	5.0720357	5.1317455	5.0720357	4.322435	6.0848716	5.2788418	2.7439395	3.3692666	5.1169779	3.3692648	5.1169822	3.7295353	3.2322305	-74.705122	R0:S0:1	-56.896533	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.44e+02	 8.25e-03	2022-07-18@12:10
2x2_2C_8b_C2v_L	6.3472388	0	14.088889	2.7461333	-0.0023662849	-3.2511365	-3.9251179	-0.10011793	-3.925123	-0.10011729	0.13779583	-3.5373684	9.7688889	-5.7301114e-07	-2.8963574e-09	0.010376847	-0.16532183	0.010376823	-0.165322	4.5737549e-07	-2.5248059e-07	-0.1123101	-1.0839464	1.6986373	0.050226687	-1.6986388	-0.05022585	0.22961819	-2.2400208	2.0319556	1	0.24088889	0.01405063	1.2599012	1.6216046	-0.57952023	-0.18489047	0.076131918	0.13206093	0.24520347	1.9420709	1.8117248	1.5644663	1.8117249	1.5644645	0.017564021	1.5716218	1.1065385	6.1764924e-06	7.2400015e-08	0.09904565	1.1344766	0.09904533	1.1344808	-2.3311586e-06	2.554602e-07	1.1347595	0.72802434	-1.5308333	-0.58548316	1.5308332	0.58547901	-0.29042423	2.4863865	0.028626272	0.22068222	0.056443812	0.17288972	0.36021885	0.17288963	0.36022026	0.017660872	0.33781189	0.035706564	4.0390032	5.3791519	5.1302479	5.0732913	5.1302469	5.0732892	4.3162088	6.0947672	5.2798539	2.7503072	3.3669167	5.1297032	3.3669156	5.1297094	3.736089	3.2322305	-74.388836	R0:S0:1	-56.182044	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.40e+02	 8.51e-03	2022-07-18@12:34
2x2_2C_8b_C2v_L	6.7881851	0	14.111111	2.8576667	-0.0014352878	-3.2291247	-3.8799162	-0.10010965	-3.8799085	-0.1001054	0.13756466	-3.4830478	9.7911111	8.2712014e-06	4.0427097e-06	0.010045517	-0.1661181	0.010046066	-0.16611701	1.4413071e-07	-3.4128596e-06	-0.11229782	-1.0788763	1.6868581	0.048279793	-1.6868568	-0.048275758	0.23029575	-2.2235298	2.0149444	1	0.25111111	0.013803889	1.2594046	1.6211435	-0.58024719	-0.18625857	0.076437538	0.13186419	0.25112526	1.9416932	1.8113714	1.5592539	1.8113715	1.559246	0.01786647	1.5692731	1.1064808	-8.696555e-05	-1.1045801e-05	0.098914043	1.139364	0.098912758	1.1393736	4.5077628e-06	8.5193654e-06	1.1381308	0.73111354	-1.5303835	-0.57761468	1.5303831	0.57759616	-0.29232192	2.4868249	0.02859148	0.22531477	0.056787743	0.17314417	0.36359295	0.17314408	0.36359989	0.017966583	0.33900819	0.035644679	4.0723113	5.3687497	5.1279533	5.0757585	5.127952	5.0757537	4.3095313	6.105644	5.2813837	2.7571909	3.3638804	5.1452292	3.3638784	5.1452468	3.7429678	3.2320074	-74.102381	R0:S0:1	-55.467556	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.36e+02	 8.62e-03	2022-07-18@12:59
2x2_2C_8b_C2v_L	7.226471	0	14.133333	2.9692	-0.00033253808	-3.1979548	-3.8285734	-0.10011612	-3.8285704	-0.10011734	0.13754831	-3.4284406	9.8133333	1.3127923e-05	-4.3316306e-07	0.0096487583	-0.16697895	0.0096492641	-0.16697883	-1.1725377e-06	1.4748657e-06	-0.11228361	-1.0724176	1.6737862	0.046066905	-1.6737851	-0.04606985	0.23120702	-2.2069137	1.9979333	1	0.26133333	0.013540821	1.2588443	1.6205702	-0.58121498	-0.18777685	0.076793444	0.13167095	0.25753749	1.9412236	1.8107708	1.5532572	1.8107703	1.5532619	0.018237545	1.5665975	1.1063964	-0.00013456947	1.3522686e-06	0.098971445	1.1453151	0.098971461	1.1453003	5.6348996e-06	-1.8917359e-06	1.1420377	0.73442432	-1.5305728	-0.56893136	1.530576	0.56894629	-0.2945723	2.4880468	0.028557189	0.23023953	0.057216374	0.17359883	0.36751608	0.17359931	0.36751283	0.018342722	0.34035327	0.035591819	4.1076724	5.3581329	5.1259954	5.0777842	5.125997	5.07779	4.3033252	6.1176781	5.2833912	2.7638393	3.3604452	5.1627127	3.3604513	5.1626955	3.7495689	3.2311271	-73.770357	R0:S0:1	-54.753067	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.33e+02	 9.19e-03	2022-07-18@13:22
2x2_2C_8b_C2v_L	7.66466	0	14.155556	3.0807333	0.00079834761	-3.1700884	-3.780157	-0.10064052	-3.7801599	-0.10063978	0.13770308	-3.3735321	9.8355556	1.2173904e-05	6.0030203e-07	0.0092671794	-0.16812524	0.0092668463	-0.16812489	4.3881199e-07	-1.340748e-06	-0.11228511	-1.0664691	1.6613598	0.043780187	-1.6613608	-0.043778053	0.23225055	-2.1902429	1.9809222	1	0.27155556	0.013255749	1.2582819	1.6199978	-0.58215588	-0.18928712	0.077141519	0.13148488	0.2633492	1.9408152	1.8102253	1.5493467	1.8102253	1.5493441	0.018568367	1.5640106	1.1063334	-0.0001219065	-1.9639493e-06	0.099061084	1.1499508	0.099061316	1.1499555	-1.3984123e-06	2.1516526e-06	1.1450846	0.73735672	-1.5306975	-0.55903541	1.5306974	0.5590265	-0.29672615	2.4889447	0.028524184	0.23484512	0.057590648	0.17402373	0.37035088	0.17402367	0.3703532	0.018679948	0.34164868	0.035535964	4.1387453	5.3486493	5.1250106	5.0769905	5.1250097	5.0769873	4.2971127	6.1293659	5.2849952	2.7703335	3.3584409	5.1754409	3.3584398	5.175449	3.7563008	3.2308157	-73.459523	R0:S0:1	-54.038578	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.29e+02	 9.70e-03	2022-07-18@13:47
2x2_2C_8b_C2v_L	8.0997525	0	14.177778	3.1922667	0.0019463093	-3.1399906	-3.73025	-0.10078789	-3.7302511	-0.10079244	0.13800751	-3.3190058	9.8577778	2.7408778e-05	-5.1459593e-07	0.0088475527	-0.16909226	0.0088490547	-0.16909268	-6.8251946e-08	5.0540124e-06	-0.11231779	-1.0601936	1.6485623	0.041463796	-1.648562	-0.041470193	0.23339247	-2.1736772	1.9639111	1	0.28177778	0.01296635	1.2576368	1.6193192	-0.58334269	-0.19101652	0.077562019	0.13128464	0.27117073	1.9402607	1.8095441	1.54188	1.8095432	1.5418933	0.019015658	1.5608641	1.1062053	-0.00026915142	4.5668279e-06	0.099208152	1.1574186	0.099209143	1.1573927	-6.7554535e-06	-1.0139005e-05	1.1500871	0.74121469	-1.5310772	-0.55020556	1.5310817	0.55023969	-0.29938466	2.4909444	0.028488184	0.24070774	0.058095739	0.17453347	0.37494316	0.17453427	0.37493309	0.019134351	0.34319786	0.035492274	4.1806206	5.3368869	5.1223739	5.0800872	5.1223775	5.0800994	4.2908583	6.1431411	5.2882251	2.777241	3.35403	5.1972125	3.3540384	5.197174	3.7629987	3.2292943	-73.137131	R0:S0:1	-53.324089	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.26e+02	 1.03e-02	2022-07-18@14:13
2x2_2C_8b_C2v_L	8.5491872	0	14.2	3.3038	0.0034270242	-3.106385	-3.6797749	-0.10338561	-3.6797763	-0.10338544	0.14075497	-3.2664111	9.88	1.0158223e-05	7.0258114e-07	0.0082775012	-0.17044902	0.0082772297	-0.17044938	-2.1040644e-06	-7.2385965e-06	-0.11199068	-1.0537397	1.636135	0.038225405	-1.6361358	-0.038223762	0.23483053	-2.1580506	1.9469	1	0.292	0.012483599	1.2573887	1.6191556	-0.58319803	-0.19165448	0.077572064	0.13121446	0.26295861	1.9406336	1.8093037	1.5633525	1.8093042	1.5633447	0.018690544	1.5612939	1.1065792	-9.5317161e-05	-5.3033926e-06	0.099204585	1.1400764	0.099202267	1.1400891	1.7327843e-05	1.2721807e-05	1.1385342	0.73801361	-1.5308296	-0.52770746	1.5308273	0.52769736	-0.29898753	2.4859926	0.028477907	0.23604504	0.057778181	0.17489707	0.36511191	0.17489656	0.36511704	0.018820496	0.34304109	0.03535985	4.1340951	5.3444248	5.1351023	5.050454	5.1350992	5.0504534	4.2868408	6.1428576	5.2803041	2.7796173	3.3693427	5.1462069	3.3693381	5.1462292	3.7688552	3.2367619	-72.819528	R0:S0:1	-52.6096	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.22e+02	 3.40e-03	2022-07-18@14:44
