w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-20	0.00032091	0.000216587	0.000216592	0	0	0
-19.975	0.00032319	0.000217598	0.000217603	8.07975e-06	5.43996e-06	5.44008e-06
-19.95	0.000325612	0.000218622	0.000218627	1.62201e-05	1.09055e-05	1.09057e-05
-19.925	0.000328173	0.000219658	0.000219662	2.44244e-05	1.6397e-05	1.63973e-05
-19.9	0.000330873	0.000220706	0.00022071	3.26962e-05	2.19146e-05	2.19151e-05
-19.875	0.000333716	0.000221767	0.000221771	4.10391e-05	2.74588e-05	2.74593e-05
-19.85	0.00033671	0.000222841	0.000222844	4.94568e-05	3.30298e-05	3.30304e-05
-19.825	0.000339871	0.000223928	0.000223932	5.79536e-05	3.86281e-05	3.86287e-05
-19.8	0.000343219	0.000225031	0.000225034	6.65341e-05	4.42538e-05	4.42546e-05
-19.775	0.000346785	0.000226149	0.000226152	7.52037e-05	4.99075e-05	4.99084e-05
-19.75	0.000350614	0.000227285	0.000227288	8.3969e-05	5.55897e-05	5.55906e-05
-19.725	0.000354771	0.000228442	0.000228444	9.28383e-05	6.13007e-05	6.13017e-05
-19.7	0.000359344	0.000229623	0.000229626	0.000101822	6.70413e-05	6.70423e-05
-19.675	0.000364457	0.000230834	0.000230837	0.000110933	7.28121e-05	7.28132e-05
-19.65	0.000370254	0.000232081	0.000232084	0.00012019	7.86142e-05	7.86153e-05
-19.625	0.000376861	0.000233368	0.00023337	0.000129611	8.44484e-05	8.44496e-05
-19.6	0.000384235	0.00023469	0.000234693	0.000139217	9.03156e-05	9.03169e-05
-19.575	0.000391929	0.000236023	0.000236025	0.000149015	9.62162e-05	9.62175e-05
-19.55	0.000399101	0.000237321	0.000237323	0.000158993	0.000102149	0.000102151
-19.525	0.000405277	0.000238556	0.000238558	0.000169125	0.000108113	0.000108115
-19.5	0.000411012	0.000239753	0.000239756	0.0001794	0.000114107	0.000114108
-19.475	0.000416992	0.000240955	0.000240958	0.000189825	0.000120131	0.000120132
-19.45	0.000422683	0.00024217	0.000242172	0.000200392	0.000126185	0.000126187
