w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000226005	0.000237134	0.000237134	8.81863e-05	6.26529e-05	6.26529e-05	0	0	0	0	0	0
-24.95	0.000228124	0.000238679	0.000238679	8.85344e-05	6.28564e-05	6.28564e-05	1.14062e-05	1.19339e-05	1.19339e-05	4.42672e-06	3.14282e-06	3.14282e-06
-24.9	0.000230307	0.00024024	0.00024024	8.88846e-05	6.30609e-05	6.30609e-05	2.29215e-05	2.3946e-05	2.3946e-05	8.87095e-06	6.29587e-06	6.29587e-06
-24.85	0.000232559	0.000241819	0.000241819	8.9237e-05	6.32664e-05	6.32664e-05	3.45495e-05	3.60369e-05	3.60369e-05	1.33328e-05	9.45919e-06	9.45919e-06
-24.8	0.00023489	0.000243416	0.000243416	8.95916e-05	6.3473e-05	6.3473e-05	4.6294e-05	4.82077e-05	4.82077e-05	1.78124e-05	1.26328e-05	1.26328e-05
-24.75	0.000237311	0.00024503	0.000245031	8.99484e-05	6.36806e-05	6.36806e-05	5.81595e-05	6.04592e-05	6.04593e-05	2.23098e-05	1.58169e-05	1.58169e-05
-24.7	0.000239837	0.000246664	0.000246665	9.03074e-05	6.38892e-05	6.38892e-05	7.01514e-05	7.27924e-05	7.27925e-05	2.68252e-05	1.90113e-05	1.90113e-05
-24.65	0.000242488	0.000248317	0.000248318	9.06687e-05	6.40989e-05	6.40989e-05	8.22757e-05	8.52083e-05	8.52084e-05	3.13586e-05	2.22163e-05	2.22163e-05
-24.6	0.000245286	0.000249991	0.000249992	9.10322e-05	6.43097e-05	6.43097e-05	9.454e-05	9.77078e-05	9.7708e-05	3.59102e-05	2.54318e-05	2.54318e-05
-24.55	0.000248259	0.000251686	0.000251688	9.13978e-05	6.45215e-05	6.45215e-05	0.000106953	0.000110292	0.000110292	4.04801e-05	2.86578e-05	2.86578e-05
-24.5	0.000251433	0.000253405	0.000253406	9.17657e-05	6.47344e-05	6.47344e-05	0.000119525	0.000122962	0.000122963	4.50684e-05	3.18946e-05	3.18946e-05
-24.45	0.000254809	0.000255147	0.000255149	9.21359e-05	6.49484e-05	6.49484e-05	0.000132265	0.00013572	0.00013572	4.96752e-05	3.5142e-05	3.5142e-05
-24.4	0.000258367	0.000256914	0.000256917	9.25084e-05	6.51635e-05	6.51635e-05	0.000145183	0.000148565	0.000148566	5.43006e-05	3.84002e-05	3.84002e-05
-24.35	0.000262113	0.000258709	0.000258713	9.28833e-05	6.53797e-05	6.53797e-05	0.000158289	0.000161501	0.000161502	5.89448e-05	4.16691e-05	4.16691e-05
-24.3	0.000266149	0.000260533	0.000260539	9.32607e-05	6.5597e-05	6.5597e-05	0.000171597	0.000174528	0.000174529	6.36078e-05	4.4949e-05	4.4949e-05
-24.25	0.000270597	0.00026239	0.000262398	9.36404e-05	6.58155e-05	6.58155e-05	0.000185126	0.000187647	0.000187648	6.82898e-05	4.82398e-05	4.82398e-05
-24.2	0.000275421	0.000264277	0.000264288	9.40226e-05	6.6035e-05	6.6035e-05	0.000198897	0.000200861	0.000200863	7.2991e-05	5.15415e-05	5.15415e-05
-24.15	0.000280319	0.000266182	0.000266195	9.44073e-05	6.62557e-05	6.62557e-05	0.000212913	0.00021417	0.000214173	7.77113e-05	5.48543e-05	5.48543e-05
-24.1	0.000284899	0.00026809	0.000268105	9.47946e-05	6.64775e-05	6.64775e-05	0.000227158	0.000227575	0.000227578	8.24511e-05	5.81782e-05	5.81782e-05
