CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
7	Broyden	0	6.28781301e-09	-67.55504609	-43.6848	16.31202443	YY	16	0.1772264217	self-energy	sharp_wc_5_b_50	8.0097	2	1.032413904	-0.4204790168	0.9581105304	-1.572188095	1.641796821	-1.559229898	1.012143046	0.7319783312	0.03422289705	-1.559186095	1.012133934	0.7320081254	0.03422350502	0.6533343956	0.07832126616	-0.3724330412	0.8029492494	a248bdd	2x2_2C_8b_C2v_L	10.74	1.085615897	2	1.387812002	0.9999999997788901	0.9999999999999999	-0.5039733391	2.659254311	-0.002153617212	-0.002266694019	-0.003073788717	0.001501299404	0.0072620088	-0.01929567618	0.003018921714	-0.001441148109	-0.007161346888	0.0190412976	0.008442391264	-0.01183868134	0.0003317486602	-0.001326719158	new_boucle_param.py	R0:S0:1	uncorrelated	-0.002735207449	0.01957663461	1.207408797	-1.809124279	-1.872611869	3.43919758	0.6074087511	-0.6694072576	1.872587124	-3.439193768	-0.6074187219	0.6694254459	0.8807549615	-1.074824026	-2.293250556	3.38210905	2025-02-04@15:42	2.1394	-1.082380317	1	2.74243328e-16	-0.5618742477	0.2577	-1.580850063e-16	0.1766958619	v2.7.1	
4	Broyden	0	6.403966988e-09	-67.91917239	-44.4848	16.37520281	YY	16	0.1778077167	self-energy	sharp_wc_5_b_50	8.0097	2	1.034237179	-0.4071307746	0.967135533	-1.589581684	1.642388282	-1.598077617	1.014590277	0.7360352281	0.03331434635	-1.598033222	1.014581817	0.7360638882	0.03331570808	0.7283134325	0.07592991862	-0.4184672326	0.806464925	a248bdd	2x2_2C_8b_C2v_L	10.79	1.086639701	2	1.390302073	0.9999999997215332	1.0	-0.4953232585	2.652256002	0.001075384694	-0.004160667651	-0.0001803149198	-0.0009963252698	0.001641530647	-0.004852701555	0.0001270171393	0.001054107931	-0.001544476806	0.004603834113	-0.0007408970837	0.0009889115493	0.0003511431258	-0.0004793010739	new_boucle_param.py	R0:S0:1	uncorrelated	0.00059986205	-2.772798688e-05	1.207471764	-1.799186261	-1.874070403	3.439716389	0.6043038418	-0.6609125302	1.874045123	-3.439711592	-0.6043131338	0.6609302543	0.8876128128	-1.059856795	-2.302501129	3.3880424	2025-02-04@15:44	2.1394	-1.080174098	1	1.795654265e-16	-0.5604197953	0.2577	-1.059843833e-16	0.1777868146	v2.7.1	
2	Broyden	0	6.246474741e-09	-68.30233834	-45.2848	16.44452091	YY	16	0.1784425222	self-energy	sharp_wc_5_b_50	8.0097	2	1.036235148	-0.4092293893	0.985707786	-1.596871623	1.646835911	-1.643039694	1.018992759	0.7332956567	0.03246452657	-1.642994157	1.018984314	0.7333245231	0.03246600868	0.742973921	0.0735125067	-0.4659623407	0.811009659	a248bdd	2x2_2C_8b_C2v_L	10.84	1.087861085	2	1.392854709	0.9999999997538129	0.9999999999999996	-0.4891083852	2.6465104	0.0005589756467	-0.001672339486	-0.000594542021	0.0006164471273	0.0009486346555	-0.002478077715	0.0005429745275	-0.0005616277219	-0.0008558120709	0.002235001249	-0.0004713392798	0.0005965754567	0.0005025056497	-0.0007509095894	new_boucle_param.py	R0:S0:1	uncorrelated	0.0003263665157	-0.0006662723276	1.207295577	-1.774741983	-1.877229921	3.43924918	0.6011019987	-0.6518693885	1.877204702	-3.439244383	-0.6011113511	0.651887205	0.8836029738	-1.042893031	-2.310233881	3.39404408	2025-02-04@15:46	2.1394	-1.077782017	1	-9.939454171e-16	-0.5586842476	0.2577	-1.652766809e-16	0.1787559113	v2.7.1	
2	Broyden	0	6.083363575e-09	-68.68641983	-46.0848	16.5158992	YY	16	0.179067227	self-energy	sharp_wc_5_b_50	8.0097	2	1.038276589	-0.4087867446	1.00604161	-1.612890201	1.653501099	-1.68568506	1.023101012	0.7287075728	0.03169053479	-1.685637822	1.023092386	0.7287368498	0.03169204898	0.7549811811	0.0707699987	-0.511455378	0.815751894	a248bdd	2x2_2C_8b_C2v_L	10.89	1.089110132	2	1.395453685	0.9999999997412874	1.0	-0.4851577757	2.643411201	0.0005310659369	-0.002914430462	-0.0004322785581	0.0002960100618	0.0006592939959	-0.001826227274	0.0003833479462	-0.0002445529128	-0.0005727779551	0.00159488792	-0.0002329201724	0.0001770267427	0.001142003743	-0.001803834392	new_boucle_param.py	R0:S0:1	uncorrelated	6.942450028e-05	0.001950622198	1.20709417	-1.745777866	-1.879874848	3.438406991	0.5979049866	-0.6435082458	1.879849347	-3.438402236	-0.5979144859	0.6435262378	0.8758478114	-1.023215978	-2.316605153	3.400303479	2025-02-04@15:47	2.1394	-1.075257345	1	4.483440785e-16	-0.5568839497	0.2577	5.102646175e-17	0.1796866514	v2.7.1	
2	Broyden	0	6.313765044e-09	-69.08592358	-46.8848	16.58225532	YY	16	0.1795011383	self-energy	sharp_wc_5_b_50	8.0097	2	1.040100287	-0.3890872664	1.014427998	-1.660131908	1.655749056	-1.722654362	1.024881522	0.7273341971	0.03080406271	-1.72260463	1.024872417	0.7273640463	0.03080533095	0.8067545391	0.06877207989	-0.5566180394	0.8185780728	a248bdd	2x2_2C_8b_C2v_L	10.94	1.089935394	2	1.398196691	0.9999999997524929	0.9999999999999998	-0.4771025253	2.638477377	-0.0004945295068	0.0154330605	0.0001732287298	-0.0001661260768	0.002112089067	-0.005971128542	-0.0002179468468	0.0002136314778	-0.002034766437	0.005760845444	-0.002033734853	0.002699707849	0.002257441919	-0.003034658495	new_boucle_param.py	R0:S0:1	uncorrelated	0.003141235637	-0.03053683672	1.214044414	-1.735866879	-1.880822594	3.438601399	0.5931107248	-0.6346212227	1.880796576	-3.438596973	-0.5931200377	0.6346391198	0.8785213043	-1.009736357	-2.322554708	3.404731501	2025-02-04@15:49	2.1394	-1.072500197	1	7.77946751e-17	-0.5555715633	0.2577	-1.133379781e-16	0.1808523631	v2.7.1	
2	Broyden	0	5.225948902e-09	-69.50528166	-47.6848	16.65357743	YY	16	0.1799167487	self-energy	sharp_wc_5_b_50	8.0097	2	1.042032637	-0.3901932338	1.042949026	-1.692300369	1.655845873	-1.76488076	1.028802207	0.7250329723	0.0325037696	-1.764837996	1.028799872	0.7250804737	0.03251373252	0.811854856	0.06979041873	-0.6031242875	0.8250763866	a248bdd	2x2_2C_8b_C2v_L	10.99	1.090692163	2	1.401142538	0.9999999997587694	1.0	-0.4697077365	2.595187997	-0.02573918658	-0.09490199851	0.01492229446	-0.01339145855	-0.05008617271	0.142494169	-0.01497228199	0.01344133317	0.05017494092	-0.1427377565	0.1417318786	-0.1958555171	-0.05680630366	0.06774555876	new_boucle_param.py	R0:S0:1	uncorrelated	-0.06000346273	0.4231387899	1.216532815	-1.728197847	-1.882130494	3.435734873	0.5893391288	-0.6272367792	1.882103711	-3.435719417	-0.5893518106	0.6272581156	0.8709323687	-0.9919233544	-2.324291342	3.404061495	2025-02-04@15:50	2.1394	-1.069384064	1	6.065004598e-17	-0.5542617327	0.2577	-2.339411945e-17	0.1820941607	v2.7.1	
3	Broyden	0	6.866416242e-09	-69.91459964	-48.4848	16.71827726	YY	16	0.1797443894	self-energy	sharp_wc_5_b_50	8.0097	2	1.043588279	-0.3710956336	1.068718039	-1.743899976	1.648078937	-1.811712009	1.036404508	0.7002343148	0.04310757384	-1.811686796	1.036412053	0.7003773594	0.0431310556	0.8248699397	0.09514952785	-0.6472659048	0.8561168492	a248bdd	2x2_2C_8b_C2v_L	11.04	1.090417286	2	1.404486181	0.9999999997530384	0.9999999999999997	-0.4558641335	2.492267457	-0.0495173197	-0.1393117315	0.03164434018	-0.0124819639	-0.1104822925	0.3353897314	-0.0317016173	0.01253949496	0.1105862812	-0.3356593271	0.4372802796	-0.6087844277	-0.1690086892	0.1997821812	new_boucle_param.py	R0:S0:1	uncorrelated	-0.1261092299	0.8131737337	1.211287772	-1.749913361	-1.87895037	3.424267045	0.5779283129	-0.6203724517	1.878925602	-3.424233395	-0.5779628391	0.6204093329	0.8436102353	-0.9510249695	-2.293933053	3.361246263	2025-02-04@15:52	2.1394	-1.06546516	1	3.129599835e-16	-0.5540059197	0.2577	5.685643488e-16	0.1839042611	v2.7.1	
4	Broyden	0	6.291143137e-09	-70.2536151	-49.2848	16.79990392	YY	16	0.1805648074	self-energy	sharp_wc_5_b_50	8.0097	2	1.045916191	-0.3691004518	1.074995074	-1.762861086	1.658853184	-1.848818114	1.038693322	0.7187100903	0.03997375514	-1.848771175	1.038694838	0.7187366102	0.03998957221	0.7382895558	0.3732251941	-0.6755464918	1.143715411	a248bdd	2x2_2C_8b_C2v_L	11.09	1.092118154	2	1.407193907	0.999999999785905	0.9999999999999999	-0.4538426409	2.5310284	-0.04168829857	-0.1163926599	0.0301455152	-0.01289784959	-0.09914537068	0.3015515474	-0.03018697024	0.01294084904	0.09921505276	-0.3017472079	1.275889005	-1.844827085	-0.4563619099	0.5260969086	new_boucle_param.py	R0:S0:1	uncorrelated	-0.1046169091	0.6723477783	1.219744998	-1.709795667	-1.884422553	3.424867682	0.5815081529	-0.6158714092	1.884392465	-3.424845045	-0.581515722	0.6158930756	0.6914141353	-0.7843743969	-1.956827744	2.883014057	2025-02-04@15:54	2.1394	-1.062650422	1	-1.396027665e-16	-0.5516121171	0.2577	6.32510445e-17	0.1844760959	v2.7.1	
6	Broyden	0	5.736653249e-09	-70.63361765	-50.0848	16.89315637	YY	16	0.1816170353	self-energy	sharp_wc_5_b_50	8.0097	2	1.048639498	-0.3737470302	1.091842825	-1.771307428	1.681424799	-1.884719203	1.040064907	0.7229997872	0.02790744193	-1.884663795	1.040055359	0.7230309424	0.02790880645	0.7384420032	0.6939283578	-0.7409822549	1.472548699	a248bdd	2x2_2C_8b_C2v_L	11.14	1.094642624	2	1.409668634	0.9999999997165203	0.9999999999999999	-0.4530280311	2.611454909	-0.0004011764611	-0.0002962771817	-0.0002539169458	-0.0002293703524	0.0007077686531	-0.002365018557	0.0002167904097	0.0002678472468	-0.0006475229368	0.002188518617	1.774980227	-2.598080819	-0.6269294307	0.70521711	new_boucle_param.py	R0:S0:1	uncorrelated	-0.0006399426621	0.003900652772	1.226776718	-1.628949567	-1.888988839	3.431819476	0.5791753257	-0.6020626755	1.888962073	-3.431815351	-0.5791846853	0.6020804712	0.5390479869	-0.6068249123	-1.526884089	2.233210871	2025-02-04@15:57	2.1394	-1.059899355	1	2.078466723e-16	-0.5482233255	0.2577	1.897988776e-16	0.1844638983	v2.7.1	
2	Broyden	0	5.488830514e-09	-71.00547473	-50.8848	16.97849929	YY	16	0.1823973412	self-energy	sharp_wc_5_b_50	8.0097	2	1.051014485	-0.3803142177	1.117809852	-1.776037429	1.689652384	-1.924713471	1.045171904	0.7193025249	0.02731510962	-1.924657673	1.045162416	0.7193330756	0.02731647098	0.7852261817	0.6914220362	-0.7864782348	1.473621969	a248bdd	2x2_2C_8b_C2v_L	11.19	1.096213482	2	1.412589019	0.9999999997498477	0.9999999999999999	-0.4486453702	2.600131959	0.0001892740979	-0.0003605280303	-0.0002801741723	0.0001692600798	0.0005291119046	-0.001651849756	0.0002443640108	-0.0001325267468	-0.0004718862626	0.001480684058	1.778805742	-2.598540044	-0.6338801393	0.7019434649	new_boucle_param.py	R0:S0:1	uncorrelated	0.0001717953785	-0.0007088093918	1.2247515	-1.593342984	-1.890655752	3.429117255	0.5756087378	-0.5944749666	1.890629148	-3.429113291	-0.5756180233	0.5944925776	0.5452576831	-0.6040073167	-1.530579851	2.235084469	2025-02-04@15:59	2.1394	-1.05665527	1	3.449584336e-16	-0.5459012301	0.2577	2.369122965e-16	0.1850933599	v2.7.1	
