CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
13	Broyden	0	0.02553687511	-88.35411266	-120.9648	3.16160656	YY	11	0.2143556145	self-energy	sharp_wc_5_b_50	2.0097	2	1.25501502	0.2719546924	0.01230015384	-5.429081474	1.963219708	-5.504046352	1.801212569	0.2251040206	0.1930316315	-5.505858703	1.804669777	0.2275732662	0.2030573097	0.390876899	0.01044289327	-4.482773943	1.527378149	a248bdd	2x2_2C_8b_C2v_L	9.57	1.199149329	2	1.65208564	0.9999999998178999	0.9999999999999996	0.2268980554	-0.2131670447	-0.004644291454	-0.004984030419	-0.01489047581	-0.1621387451	-0.1804062456	0.8057483053	-0.01640233226	-0.1572165276	-0.1830105291	0.8113711775	0.03205042243	-0.1038223607	-0.005788992394	-0.01058015298	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.01560602975	0.1385199517	1.34970445	-0.508654521	-1.977315406	1.614389421	-0.1297384944	0.7956816209	1.977875042	-1.590146591	0.1344059485	-0.8320290376	0.2282976196	-0.2261356165	-2.488394386	2.809325348	2024-11-27@11:31	2.1394	-0.6050838693	1	4.232566151e-16	-0.1948600357	0.2577	2.519582328e-16	0.08165165851	v2.7.1	
22	Broyden	0	-0.02692075437	-89.18006624	-121.1248	3.126408782	YY	11	0.2143738471	self-energy	sharp_wc_5_b_50	2.0097	2	1.254138365	0.262786608	0.01151606352	-5.454325507	1.964133807	-5.528281418	1.798354314	0.2299751655	0.206547974	-5.520280728	1.803449313	0.2238956037	0.224389311	-0.2534568965	1.958487716	-4.56992365	1.539461811	a248bdd	2x2_2C_8b_C2v_L	9.58	1.198745026	2	1.650728715	0.9999999997681387	0.9999999999999996	-0.2244952123	0.1996131858	0.004075256892	0.01325375516	0.01517350545	0.1732612432	0.1814660378	-0.8451656971	0.01635462804	0.1670843628	0.1821541423	-0.8572902391	0.1148425438	-0.1457006208	0.01854272031	0.007487143479	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.01428092475	0.1666628577	1.352415466	-0.5032712542	-1.979309971	1.631397851	-0.1299654525	0.8111716606	1.979044105	-1.593005397	0.1331999269	-0.8662001586	0.1859082381	-0.5877903086	-2.480842137	2.771276804	2024-11-27@11:44	2.1394	-0.6087134772	1	3.76986957e-16	-0.1972860985	0.2577	2.661496637e-16	0.0825071804	v2.7.1	
16	Broyden	0	0.0267962431	-89.30900317	-121.2848	3.13404146	YY	11	0.2144637943	self-energy	sharp_wc_5_b_50	2.0097	2	1.254345649	0.2692346582	0.009255369617	-5.474030375	1.96440377	-5.532592988	1.799102708	0.2237184902	0.2084097483	-5.543214239	1.803677161	0.2252868982	0.2224884727	-0.2358086859	1.957264563	-4.587567296	1.541647143	a248bdd	2x2_2C_8b_C2v_L	9.59	1.199046195	2	1.651026773	0.999999999776085	0.9999999999999998	0.2263842738	-0.1952603802	-0.003358026523	-0.01048869545	-0.01471238894	-0.172247574	-0.1802176328	0.8443572695	-0.01633777087	-0.1662541524	-0.1829144629	0.8562517702	0.08981613347	-0.1172956866	-0.01538338748	-0.005451279734	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.01154688709	0.134160963	1.352735993	-0.5015133933	-1.978995735	1.626632111	-0.1281629328	0.811776584	1.980897559	-1.59417127	0.1320469312	-0.8560369028	-0.1948298988	0.6157803318	-2.480018211	2.765322881	2024-11-27@11:54	2.1394	-0.6079427896	1	-2.72296282e-17	-0.1967584618	0.2577	1.839100717e-16	0.08231781952	v2.7.1	
22	Broyden	0	-0.0263750674	-89.27445718	-121.4448	3.144819143	YY	11	0.2146342185	self-energy	sharp_wc_5_b_50	2.0097	2	1.254635247	0.2538191093	0.008060339744	-5.46476137	1.964315568	-5.54286681	1.799937398	0.2192426278	0.2078713059	-5.527629832	1.803332702	-0.2160412876	1.780010065	0.2261545884	0.04222174606	-4.588134386	1.542653716	a248bdd	2x2_2C_8b_C2v_L	9.6	1.199490217	2	1.651416469	0.9999999997905333	1.0	-0.2213236334	0.1894957466	0.002723558715	0.008829332944	0.01469380379	0.1679426987	0.1787147714	-0.8375307288	0.01538899086	0.1641452103	0.1298500868	-0.8463537485	-0.1971642842	0.6224650339	0.01295712945	0.004244801167	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.009657855932	0.1149057486	1.353147981	-0.5023167603	-1.979674277	1.622371696	-0.1271949643	0.8074221104	1.97821	-1.596022411	-0.178676334	0.8438585129	0.0738503404	-0.09763286341	-2.477214057	2.762558845	2024-11-27@12:08	2.1394	-0.6068641459	1	7.206229401e-16	-0.1959852051	0.2577	3.290993292e-16	0.0820448253	v2.7.1	
22	Broyden	0	0.02643738403	-89.42309178	-121.6048	3.154912326	YY	11	0.2147535194	self-energy	sharp_wc_5_b_50	2.0097	2	1.254902038	0.253021749	0.005643113781	-5.46532497	1.964513623	-5.553120988	1.801870954	0.2243862666	0.2081237978	-5.560930904	1.803299853	0.2214732613	0.2134883427	-0.2041865455	1.957683885	-4.61122164	1.544912039	a248bdd	2x2_2C_8b_C2v_L	9.61	1.199855153	2	1.651868262	0.9999999997978155	0.9999999999999998	0.221265604	-0.1836486435	-0.001451179753	-0.003771768059	-0.01465980403	-0.1688129052	-0.1815643849	0.8370407097	-0.01516748592	-0.1664825424	-0.1821111755	0.8438963121	-0.03024020648	0.04163270634	-0.005474761395	-0.001958993664	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.004831183687	0.05602395501	1.352707346	-0.5008893155	-1.979983259	1.610579176	-0.1265555154	0.8119186753	1.981002776	-1.600438306	0.1264353524	-0.8237562545	0.203849751	-0.6445116761	-2.478270692	2.757073894	2024-11-27@12:22	2.1394	-0.6058145467	1	5.445479755e-17	-0.1953411066	0.2577	-1.216737813e-16	0.08180661012	v2.7.1	
12	Broyden	0	-0.0262643486	-89.46121888	-121.7648	3.166954602	YY	11	0.2149261218	self-energy	sharp_wc_5_b_50	2.0097	2	1.255218801	0.2420026041	0.004778598574	-5.417101139	1.964350512	-5.573600704	1.803675917	0.2253352356	0.2073713859	-5.57054826	1.803429298	0.2240395149	0.2068080441	-0.2065146586	1.957949542	-4.627107253	1.546469022	a248bdd	2x2_2C_8b_C2v_L	9.62	1.200288605	2	1.652377261	0.9999999998304155	0.9999999999999994	-0.2164861262	0.1788107186	-0.0001607586029	-0.0008214053977	0.01489981821	0.1665201371	0.1838941507	-0.8363746229	0.01476962326	0.1669941392	0.1831996611	-0.8345881741	-0.006855101836	0.009218866448	-0.001270891152	-0.000194633022	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0006644129522	-0.008748041792	1.349178873	-0.5019176236	-1.981175082	1.600669298	-0.1244653875	0.8079077843	1.980819703	-1.602253128	0.1242705546	-0.8068520692	0.2071345086	-0.6506734687	-2.479119721	2.753647514	2024-11-27@12:29	2.1394	-0.6045757914	1	2.914495971e-17	-0.1945379867	0.2577	2.642013895e-16	0.08151239776	v2.7.1	
25	Broyden	0	0.02558943084	-89.29708807	-121.9248	3.185027682	YY	11	0.2151350564	self-energy	sharp_wc_5_b_50	2.0097	2	1.255691017	0.2666942605	0.005233838162	-5.567683127	1.964765607	-5.537558142	1.803112403	0.2189622587	0.1983083454	-5.549612634	1.804203301	0.2201390774	0.2009877289	0.2140707175	0.04146899328	-4.63859866	1.548289106	a248bdd	2x2_2C_8b_C2v_L	9.63	1.200909285	2	1.653072277	0.9999999997716674	0.9999999999999994	0.2253987168	-0.1858234372	-0.0005951298059	-0.001904735995	-0.01387807232	-0.1641206802	-0.1797831632	0.8115383859	-0.01426186956	-0.1627125749	0.1806686174	-0.8141973303	0.2086643939	-0.6486179573	-0.003195505255	-0.0005959890412	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.002010298872	0.02405473204	1.360583837	-0.4993631585	-1.975963473	1.603579345	-0.1211456992	0.786805946	1.977772243	-1.596694875	-0.1221944337	0.7957880403	0.01699810832	-0.02280306563	-2.48007298	2.749447808	2024-11-27@12:45	2.1394	-0.6027360825	1	1.309403492e-16	-0.1932813363	0.2577	1.040794312e-16	0.08105769358	v2.7.1	
3	Broyden	0	-0.002318357066	-88.47274612	-122.0848	3.5174707	YY	11	0.2179148385	self-energy	sharp_wc_5_b_50	2.0097	2	1.264499573	0.212211374	0.004684051095	-5.374042462	1.964437894	-5.730215278	1.828396557	0.3314876603	0.01891056558	-5.095731411	1.855571556	5.211674825	0.03599739939	0.1850012698	0.01836249406	-4.684284867	1.580512463	a248bdd	2x2_2C_8b_C2v_L	9.64	1.212113331	2	1.665261465	0.9999999998094957	0.9999999999999994	0.2242659282	-0.181776197	0.0001832701636	-0.00263157192	7.534491054e-05	0.008074628631	0.2468497516	-0.4930171097	-0.02060937905	0.03122082604	0.878483886	-0.6766141769	0.2279197568	-0.5611433169	-0.001083442793	-0.0001282674162	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	9.71123923e-05	0.006268830161	1.35116233	-0.5021625459	-1.992828127	1.505004217	-0.004524555122	0.02687261817	1.735560966	-1.356311542	-0.0362195116	0.03038767917	0.006937328596	-0.009162926053	-2.496827225	2.686876648	2024-11-27@12:47	2.1394	-0.5693141345	1	2.817940797e-16	-0.1693946997	0.2577	2.723205101e-16	0.07221886246	v2.7.1	
9	Broyden	0	-0.02286956582	-79.15633229	-122.2448	3.315806039	YY	11	0.2164010553	self-energy	sharp_wc_5_b_50	2.0097	2	1.259044908	0.3553117963	0.005810777678	-5.661460283	1.9651227	-5.673660601	1.815428575	0.2763798759	0.1348892206	-0.2714951365	1.864656554	5.649206019	0.1847962408	4.684021148	0.0613568746	-4.544800281	1.596438946	a248bdd	2x2_2C_8b_C2v_L	9.65	1.204698939	2	1.658580019	0.9999999997942649	0.9999999999999998	0.2475019474	-0.200262157	-9.070929432e-06	0.0004039831544	0.01250042054	0.1535857137	-0.2142276652	0.7223807081	-0.09420166957	0.6434904074	1.984769107	-1.549777181	0.908921908	-0.9971924371	-0.1254071858	0.06848547406	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0001631893656	-0.001962864488	1.363478896	-0.4958278106	-1.987689741	1.55007187	0.09441732099	-0.6406731171	0.2121920462	-0.7190800211	-0.0121464869	-0.1544344689	0.3283873127	-0.1765769848	-2.332584897	2.606439169	2024-11-27@12:53	2.1394	-0.5891733548	1	6.823339006e-17	-0.1846234822	0.2577	3.448578099e-16	0.07786995017	v2.7.1	
16	Broyden	0	-0.02473665539	-68.32430647	-122.4048	3.227185009	YY	11	0.2155608577	self-energy	sharp_wc_5_b_50	2.0097	2	1.256785024	5.608246546	0.03519892467	-0.2729708727	1.994900632	-5.579516801	1.806469434	-0.2225669418	1.815504301	0.2261612972	0.1847203946	5.584657762	0.1931195102	0.2104879563	0.03983553297	-4.673316927	1.552022351	a248bdd	2x2_2C_8b_C2v_L	9.66	1.202228728	2	1.654819997	0.9999999998590006	0.9999999999999998	1.362749644	-0.4992349501	1.258896004e-05	0.0005034129804	0.0131817293	0.1596722398	-0.1133588777	0.7496449288	0.185224282	-0.7876377778	1.978475237	-1.586052258	0.2089131191	-0.6426184173	0.000152168249	0.0002193308551	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	7.037046809e-05	-0.0003585146711	0.2258831379	-0.1862944252	-1.977772207	1.588271505	-0.1842349503	0.787712908	0.1146494355	-0.7531637471	-0.01363583285	-0.1590558941	-0.00139322472	0.001879490606	-2.482353306	2.741776527	2024-11-27@13:03	2.1394	-0.5983856108	1	-1.281708595e-16	-0.1904672802	0.2577	8.92108667e-19	0.08001912743	v2.7.1	
