model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-07-18@14:22
2x2_2C_8b_C2v_L	4.4227869	0	14	2.2677444	-0.0046316155	-3.3497088	-4.113304	-0.10252009	-4.1132216	-0.10251611	0.14169096	-3.7628376	9.6488889	-8.1162069e-05	2.0209403e-06	0.011493085	-0.16422556	0.011493332	-0.16422557	1.8993656e-06	4.7671791e-07	-0.11293059	-1.1079407	1.7498969	0.055855527	-1.7498808	-0.055857032	0.22896514	-2.3106955	2.1043778	1	0.20641111	0.014931302	1.2610749	1.6220378	-0.57960305	-0.18142613	0.075561051	0.13226473	0.23063072	1.9429048	1.8113007	1.5758965	1.8113016	1.5758766	0.016906419	1.5766976	1.1053287	0.00092433075	7.1799288e-06	0.10142431	1.1329687	0.1014198	1.1330265	-2.6171925e-05	-9.5970432e-06	1.1354345	0.71958604	-1.5389953	-0.61446915	1.5389756	0.6144715	-0.2859042	2.4941963	0.028656673	0.20900967	0.055685558	0.17330581	0.35247681	0.17330487	0.35248517	0.017002631	0.33501737	0.036091342	3.9546758	5.4119107	5.1349711	5.0613632	5.1349789	5.0613835	4.3485955	6.0662092	5.274036	2.7255706	3.3748632	5.101357	3.3748181	5.1014013	3.70399	3.2260875	-75.496303	R0:S0:1	-59.049156	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.59e+02	 5.92e-03	2022-07-18@16:00
2x2_2C_8b_C2v_L	4.274788	0	14	2.2354889	-0.0031356234	-3.3469559	-4.1137457	-0.10485333	-4.1136846	-0.10485146	0.14447764	-3.7731277	9.6177778	-6.9013436e-05	-8.3009646e-07	0.011354561	-0.16640104	0.011354985	-0.16640129	1.1217116e-06	6.2504447e-07	-0.11342994	-1.109461	1.7523467	0.05407133	-1.7523349	-0.054071806	0.23110964	-2.3156035	2.1087556	1	0.21282222	0.01487405	1.2606021	1.620998	-0.58174803	-0.18252887	0.075934759	0.13171903	0.23435241	1.9424933	1.809861	1.5731027	1.8098616	1.57309	0.01727379	1.5745676	1.1040951	0.00075443127	8.8688856e-06	0.10288965	1.1446389	0.10288665	1.1446797	-1.5829953e-05	-7.0455929e-06	1.1445334	0.72134918	-1.5442077	-0.61070718	1.544194	0.61070566	-0.28839538	2.5000801	0.02855627	0.21207949	0.056066529	0.17446315	0.3549271	0.17446251	0.35493214	0.017380011	0.33597144	0.036185451	3.9764841	5.4081552	5.1339621	5.0523928	5.1339679	5.052403	4.3551647	6.0727968	5.2700418	2.7271436	3.3753999	5.1159221	3.375369	5.1159529	3.6989067	3.2221717	-75.403179	R0:S0:1	-59.058311	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.62e+02	 5.64e-03	2022-07-18@16:16
2x2_2C_8b_C2v_L	4.1241693	0	14	2.2032333	-0.0016691409	-3.3434961	-4.1141019	-0.10650238	-4.1140595	-0.10649532	0.14642058	-3.7820675	9.5866667	-5.9034773e-05	1.0929176e-06	0.011174868	-0.1684656	0.011173811	-0.16846349	2.4236519e-06	-2.609941e-07	-0.1139748	-1.1107528	1.7546253	0.052222014	-1.7546175	-0.052217896	0.23310151	-2.3199529	2.1131333	1	0.21923333	0.014806791	1.2600589	1.6198445	-0.58416356	-0.18380965	0.076377915	0.13114154	0.24060096	1.9419226	1.8083139	1.5653278	1.8083135	1.565316	0.017776819	1.571844	1.1027517	0.00062336663	7.7775832e-07	0.10422601	1.16035	0.10422545	1.1603726	-1.6094167e-05	-1.7649764e-06	1.1561086	0.7242858	-1.5496757	-0.60874141	1.5496718	0.60872445	-0.29134283	2.5071636	0.028449711	0.21693066	0.056589395	0.17567011	0.36012485	0.17567039	0.36013328	0.017893723	0.33720533	0.036296035	4.0123965	5.4011781	5.1305119	5.0487577	5.1305155	5.0487576	4.3613644	6.0817597	5.2676484	2.7295625	3.372735	5.1425877	3.3727205	5.1426127	3.693977	3.2165088	-75.301935	R0:S0:1	-59.067467	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.65e+02	 5.71e-03	2022-07-18@16:33
2x2_2C_8b_C2v_L	3.9743232	0	14	2.1709778	-0.00038063553	-3.3395814	-4.1144238	-0.10834073	-4.1143885	-0.10833655	0.14848095	-3.7907927	9.5555556	-5.5569096e-05	-8.7249987e-07	0.010984825	-0.17039161	0.01098416	-0.17038971	1.6517237e-06	-8.4268198e-07	-0.11450691	-1.1119621	1.7569311	0.050446331	-1.7569243	-0.050442496	0.23491196	-2.3243031	2.1175111	1	0.22564444	0.014714259	1.2595351	1.6187228	-0.58650924	-0.18503825	0.076800787	0.13057371	0.24638069	1.9413766	1.8067836	1.5592058	1.806783	1.5591993	0.018230664	1.569228	1.1014286	0.00057137736	2.6429705e-06	0.10565567	1.1742509	0.10565583	1.174262	-9.6296449e-06	-3.0615259e-07	1.1671899	0.7269702	-1.5551245	-0.6063162	1.555123	0.60630158	-0.2938903	2.5141154	0.028344784	0.22146953	0.0570901	0.17687206	0.36428198	0.17687245	0.36428726	0.018359706	0.33837221	0.036403948	4.0452326	5.3949934	5.127919	5.043768	5.1279225	5.0437657	4.3676892	6.0903821	5.2646626	2.7317352	3.3710108	5.1654143	3.3710035	5.1654268	3.6889316	3.2110146	-75.199949	R0:S0:1	-59.076622	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.68e+02	 5.59e-03	2022-07-18@16:49
2x2_2C_8b_C2v_L	3.8267683	0	14	2.1387222	0.00085144338	-3.328053	-4.1149903	-0.11112558	-4.1149724	-0.11112521	0.15171059	-3.8004883	9.5244444	-4.8161306e-05	-1.687751e-06	0.010797548	-0.17280832	0.010797377	-0.17280812	-5.183113e-06	-4.392809e-06	-0.1150517	-1.1120991	1.7592148	0.04839459	-1.7592123	-0.048398038	0.23740932	-2.3287401	2.1218889	1	0.23205556	0.014554372	1.2590778	1.6176546	-0.58866076	-0.18605847	0.077149148	0.13002708	0.25029677	1.940895	1.8054226	1.5585174	1.8054211	1.5585175	0.018649489	1.5673734	1.1001968	0.00048330003	-3.6335473e-07	0.10696896	1.1840495	0.10696683	1.1840263	3.5117609e-05	9.9895612e-06	1.1757968	0.7287896	-1.560126	-0.59975523	1.560135	0.59977135	-0.29669733	2.5194871	0.028243747	0.22494566	0.057538404	0.17797579	0.36564267	0.17797707	0.36564399	0.018794157	0.33915956	0.036493754	4.0654228	5.3918644	5.1281996	5.0317496	5.1282021	5.0317576	4.3746421	6.0959089	5.2600316	2.7333486	3.3730324	5.1756292	3.3730444	5.1756129	3.683911	3.2074546	-75.089221	R0:S0:1	-59.085778	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.71e+02	 1.29e-03	2022-07-18@17:14
2x2_2C_8b_C2v_L	3.6727597	0	14	2.1064667	0.0020481456	-3.3250152	-4.1153036	-0.11174656	-4.1152904	-0.11174538	0.15217406	-3.8081439	9.4933333	-4.4059743e-05	-2.1316249e-07	0.010574605	-0.17413904	0.010574032	-0.17413839	1.5387395e-06	5.0230142e-06	-0.11556573	-1.1133971	1.7614702	0.04684065	-1.7614678	-0.046840994	0.23840311	-2.3329169	2.1262667	1	0.23846667	0.014452104	1.2584382	1.6163812	-0.59142926	-0.18759471	0.077688805	0.1294306	0.25986515	1.9401015	1.8036395	1.5443445	1.8036386	1.5443508	0.019250554	1.5636159	1.0986986	0.00043489341	1.7567957e-06	0.10838951	1.2038463	0.10839245	1.2038322	-1.0636393e-05	-7.3938832e-06	1.190732	0.73326344	-1.5662824	-0.6017136	1.5662864	0.6017169	-0.29917584	2.5291286	0.028132831	0.23185337	0.05825725	0.17931857	0.37383979	0.1793194	0.37383683	0.019408674	0.34084401	0.036636522	4.1200933	5.3808925	5.121778	5.0359449	5.1217822	5.0359437	4.3805935	6.1092971	5.2599314	2.7362787	3.3658827	5.2175118	3.3658891	5.21749	3.6785783	3.1983243	-74.982045	R0:S0:1	-59.094933	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.74e+02	 5.63e-03	2022-07-18@17:29
2x2_2C_8b_C2v_L	3.524823	0	14	2.0742111	0.0031141254	-3.3181959	-4.1164629	-0.11402155	-4.1164642	-0.11402222	0.15448264	-3.8192414	9.4622222	-2.3481626e-05	-4.1472674e-07	0.010301019	-0.17606013	0.01030098	-0.17605999	3.3592715e-07	2.024428e-07	-0.11604349	-1.11422	1.7640195	0.044837338	-1.7640194	-0.04483711	0.24016966	-2.3379991	2.1306444	1	0.24487778	0.014249975	1.257965	1.6153164	-0.59362042	-0.18866357	0.07805393	0.12889153	0.26426565	1.9396138	1.802183	1.5422553	1.8021829	1.5422594	0.019646006	1.561542	1.0974331	0.00022814095	-5.0220273e-07	0.10976598	1.213855	0.10976714	1.2138462	-6.0459485e-07	2.4216055e-07	1.1996023	0.73523093	-1.5716195	-0.59602753	1.5716212	0.59602769	-0.30126892	2.5352774	0.028032748	0.2355641	0.058708036	0.18048369	0.37586846	0.18048385	0.37586661	0.019821636	0.34171057	0.036736861	4.1430135	5.3772394	5.1215974	5.0262743	5.1215982	5.0262729	4.3875767	6.1157908	5.256054	2.7377197	3.3668332	5.231102	3.3668385	5.2310906	3.6731692	3.1936017	-74.885299	R0:S0:1	-59.104089	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.77e+02	 5.57e-03	2022-07-18@17:45
2x2_2C_8b_C2v_L	3.3743614	0	14	2.0419556	0.0041738456	-3.3089084	-4.1179209	-0.11584653	-4.1179273	-0.11584618	0.15628797	-3.8285015	9.4311111	7.7103801e-06	-3.3753056e-06	0.0099796544	-0.17795632	0.0099805726	-0.17795581	2.8690169e-06	9.7367071e-06	-0.11654347	-1.1145678	1.7665339	0.042757564	-1.7665336	-0.042757737	0.24187352	-2.3424711	2.1350222	1	0.25128889	0.014017276	1.2574254	1.6141342	-0.59608388	-0.18988912	0.078482728	0.12832993	0.27106129	1.9389618	1.8006268	1.5359193	1.8006272	1.5359219	0.020175666	1.5588842	1.0960687	-7.5109643e-05	1.4565029e-05	0.1110995	1.2275076	0.11110018	1.2275148	-2.631802e-05	-1.9006567e-05	1.2105213	0.7382726	-1.5772372	-0.59145064	1.5772328	0.59145314	-0.30380164	2.542671	0.027928181	0.24090037	0.059305545	0.18169791	0.38010228	0.1816975	0.38009921	0.020371072	0.3428416	0.036854202	4.1785961	5.3708489	5.1194282	5.020334	5.1194286	5.0203336	4.3943191	6.1247441	5.2538488	2.7397918	3.3651024	5.2549272	3.3650959	5.2549275	3.6678569	3.1871364	-74.778685	R0:S0:1	-59.113244	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.80e+02	 5.54e-03	2022-07-18@18:00
2x2_2C_8b_C2v_L	3.22386	0	14	2.0097	0.0050108344	-3.3031006	-4.1182941	-0.11787286	-4.1182957	-0.11787084	0.15795643	-3.8356298	9.4	-1.2383504e-05	2.7473734e-06	0.0097340862	-0.17969928	0.0097336427	-0.17969919	-3.8981432e-07	-6.6076909e-06	-0.11706032	-1.1154881	1.7688571	0.040934938	-1.7688581	-0.040930395	0.24321412	-2.3463889	2.1394	1	0.2577	0.013756834	1.2568827	1.6129576	-0.59855334	-0.19112799	0.078913018	0.12776866	0.2779992	1.9383039	1.7990061	1.5304245	1.7990068	1.5304162	0.020649216	1.5560578	1.0946905	0.00011852032	-1.1112127e-05	0.11250442	1.2400867	0.11250358	1.240102	1.0316336e-05	1.3353961e-05	1.2218938	0.74144435	-1.5830633	-0.58785924	1.5830607	0.58783491	-0.30582343	2.5503888	0.027823583	0.24637894	0.059908114	0.18296482	0.38362333	0.1829642	0.38362984	0.02086581	0.34403829	0.036975176	4.2148067	5.3643648	5.1176914	5.0147763	5.1176879	5.0147667	4.4008341	6.1345255	5.2507519	2.7420348	3.3635338	5.2772278	3.3635303	5.2772534	3.6626338	3.1802207	-74.670739	R0:S0:1	-59.1224	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.83e+02	 5.38e-03	2022-07-18@18:16
