model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	3.0428	0.0092388169	-3.0050553	-3.67358	-0.13647509	-3.6735857	-0.13647527	0.17613079	-3.267394	9.7	1.2193589e-05	-3.5642196e-07	0.0074661613	-0.19521259	0.007470207	-0.19521045	-4.7254174e-06	-7.9567577e-06	-0.11908535	-1.0566234	1.6717689	0.027905868	-1.6717689	-0.027914478	0.26790033	-2.2110514	2.0089	1	0.226	0.13515184	0.30866898	1.932883	1.7786107	1.5323623	1.7786074	1.5323737	0.022393102	1.5041647	1.1029505	-0.00010918388	-2.8508009e-06	0.12433939	1.2659625	0.12433219	1.2658935	3.1319351e-05	1.5243472e-05	1.2662483	0.76213767	-1.6435373	-0.53396409	1.6435594	0.53401777	-0.32432311	2.6430211	0.029183115	0.27455846	0.064969615	0.19958658	0.38720313	0.19958939	0.38719968	0.022764244	0.36876654	0.038288238	4.3094306	5.3790817	5.2049329	4.9730379	5.2049413	4.9730695	4.3354013	6.3670931	5.2409453	2.7215668	3.3309968	5.288039	3.3310294	5.2879719	3.7341682	3.0442858	-72.332586	R0:S0:1	-53.2576	uncorrelated	b7fd39a	v1.0.3	 1.60e+02	 1.10e-03	 1.00e+06	2022-07-20@21:10
2x2_2C_8b_C2v_L	0	14	3.0428	0.0098058222	-3.00081	-3.6724641	-0.13601055	-3.6717882	-0.13600004	0.1752116	-3.2663768	9.7	-4.7860225e-05	-4.8543665e-06	0.007330487	-0.19554208	0.0073157516	-0.19552515	2.3021539e-05	-9.328524e-06	-0.11911789	-1.0557717	1.6711407	0.027220786	-1.6709914	-0.027181432	0.26826318	-2.2102256	2.0089	1	0.226	0.13511107	0.31065351	1.9327548	1.7787226	1.5285979	1.7787156	1.5285763	0.022635228	1.504124	1.1029054	0.00042886852	6.3182919e-06	0.12395407	1.2695447	0.12399	1.2696794	-0.0001266186	-5.1274517e-06	1.2664523	0.76298862	-1.6430331	-0.5315282	1.6429738	0.53134405	-0.32545116	2.6428229	0.029175572	0.27577939	0.065084178	0.1994734	0.3895839	0.19947887	0.38959637	0.023014162	0.36877892	0.038282376	4.3191793	5.3766788	5.2029517	4.9735829	5.2030306	4.973523	4.3352263	6.3673514	5.2440954	2.722496	3.3292061	5.2966074	3.3290939	5.2966453	3.7346067	3.0445564	-72.31119	R0:S0:1	-53.2576	uncorrelated	b7fd39a	v1.0.3	 1.60e+02	 3.82e-04	 2.40e-03	2022-07-20@22:58
2x2_2C_8b_C2v_L	0	14	3.0428	0.010058984	-3.0007186	-3.6731914	-0.13663245	-3.6729097	-0.13643195	0.17562855	-3.2665096	9.71	5.7726109e-05	-5.7047809e-06	0.0071671779	-0.19577704	0.007191338	-0.19567029	-9.9999771e-06	3.6673977e-06	-0.11904261	-1.0557411	1.6713327	0.026606101	-1.6712499	-0.026683498	0.26838458	-2.2102359	2.0089	1	0.226	0.13541352	0.30044008	1.9334109	1.7790631	1.5416354	1.7789792	1.5417227	0.022136337	1.5061895	1.1035334	-0.00050408883	2.7106174e-05	0.12288911	1.2577755	0.12281805	1.256575	9.0177057e-05	2.3331635e-05	1.2571385	0.75852298	-1.6423366	-0.52276088	1.6427944	0.52337603	-0.32394276	2.6386864	0.029231482	0.26887981	0.064504054	0.19932258	0.38328171	0.19939232	0.38334877	0.022505393	0.36802359	0.038244818	4.2656502	5.3886673	5.2115237	4.9616946	5.2117355	4.9621266	4.3345813	6.359173	5.2401481	2.7187878	3.3380054	5.2648834	3.3385678	5.2638202	3.7355651	3.0490811	-72.360779	R0:S0:1	-53.3376	uncorrelated	b7fd39a	v1.0.3	 1.59e+02	 2.13e-03	 1.00e+06	2022-07-21@00:54
2x2_2C_8b_C2v_L	0	14	3.0428	0.0089786449	-3.0035831	-3.6779626	-0.13529202	-3.6764464	-0.13514727	0.1746513	-3.2737508	9.71	0.00052905104	5.5282631e-05	0.0074206652	-0.19460235	0.0073810019	-0.19447536	-2.658464e-05	4.1571216e-06	-0.1188321	-1.0556289	1.6713393	0.027741714	-1.6710021	-0.027655009	0.26701644	-2.210605	2.0089	1	0.226	0.13528682	0.30384124	1.9333616	1.7800568	1.5377715	1.7799911	1.537619	0.022203335	1.5074486	1.1035293	-0.0048319195	-7.4627506e-05	0.12269918	1.2583464	0.12276544	1.2581651	9.2541837e-05	-1.2001914e-05	1.2578024	0.75960799	-1.6387447	-0.528934	1.6388696	0.52877421	-0.32349042	2.6357781	0.029208173	0.27124024	0.064537906	0.19848976	0.38458782	0.1985419	0.38473595	0.022564342	0.36747557	0.038184229	4.2826734	5.3835684	5.2055776	4.9704588	5.2058187	4.9706441	4.3340613	6.3545011	5.2431368	2.7209941	3.3349976	5.2715641	3.3349512	5.2714743	3.7353924	3.0531243	-72.386179	R0:S0:1	-53.3376	uncorrelated	b7fd39a	v1.0.3	 1.59e+02	 5.56e-04	 4.54e-03	2022-07-21@02:11
2x2_2C_8b_C2v_L	0	14	3.0428	0.0083193334	-3.0098356	-3.6831483	-0.13264892	-3.6823007	-0.1325971	0.17245295	-3.2793508	9.72	0.00020316969	2.1349213e-05	0.0078322921	-0.19280138	0.0078201187	-0.19280102	4.8130917e-05	-1.8250906e-05	-0.11849428	-1.0562386	1.6715387	0.029897222	-1.6713969	-0.029758976	0.2651312	-2.2107926	2.0089	1	0.226	0.13540506	0.30897641	1.9331472	1.7807998	1.5252312	1.7808283	1.5248161	0.022308066	1.5074843	1.1037602	-0.001919832	6.3041451e-06	0.12307488	1.265048	0.12305434	1.2663049	-0.00028556329	-8.5166044e-06	1.2608528	0.76205703	-1.6358761	-0.54368307	1.6355454	0.54284462	-0.32287177	2.635637	0.029229062	0.27351778	0.064710621	0.197789	0.39014102	0.19776113	0.3903323	0.022652295	0.36748333	0.038174741	4.3143147	5.3759277	5.1961918	4.9886168	5.196118	4.9882652	4.331652	6.3555045	5.2513232	2.7218491	3.3249801	5.2941211	3.3242925	5.2955767	3.7361076	3.0528374	-72.461497	R0:S0:1	-53.4176	uncorrelated	b7fd39a	v1.0.3	 1.59e+02	 2.41e-03	 1.00e+06	2022-07-21@02:56
2x2_2C_8b_C2v_L	0	14	3.0428	0.0096323867	-3.0189116	-3.6877936	-0.13371964	-3.6871265	-0.13368072	0.17311554	-3.2807774	9.72	0.00048956004	2.8188665e-05	0.0076207518	-0.19374314	0.0076808487	-0.19371205	-4.8982853e-05	3.6693185e-06	-0.11856683	-1.0574371	1.6720612	0.028980862	-1.6718852	-0.029161874	0.26614602	-2.210678	2.0089	1	0.226	0.1354268	0.29842704	1.9339357	1.7814321	1.5376201	1.7813903	1.5376452	0.021916591	1.5099998	1.1040217	-0.0044205535	2.2566261e-05	0.12208604	1.2548908	0.1219651	1.254444	0.00019104102	-1.6601382e-05	1.2514252	0.75733766	-1.6343577	-0.53394985	1.6344861	0.53482604	-0.32243463	2.6301156	0.029234103	0.26610969	0.064007913	0.19739956	0.38461115	0.19743312	0.3845633	0.022255074	0.3664857	0.038108243	4.2625952	5.3862426	5.2026989	4.9744589	5.2028441	4.9749867	4.3321295	6.3449488	5.2472244	2.7199969	3.335316	5.2644127	3.3353851	5.2638927	3.7364118	3.0597487	-72.505196	R0:S0:1	-53.4176	uncorrelated	b7fd39a	v1.0.3	 1.58e+02	 7.58e-04	 3.18e-03	2022-07-21@03:03
2x2_2C_8b_C2v_L	0	14	3.0428	0.0094912383	-3.0325203	-3.7011745	-0.13401397	-3.7015342	-0.13383185	0.17383042	-3.2910649	9.73	-0.0015745321	-0.000137023	0.0083528055	-0.19281552	0.0082195419	-0.19274738	0.00010004619	6.9806838e-06	-0.11839612	-1.0592915	1.6739513	0.032027199	-1.674017	-0.031775809	0.26507415	-2.212355	2.0089	1	0.226	0.13565643	0.28662482	1.9348356	1.782837	1.5496069	1.7828223	1.5498161	0.02108238	1.5135239	1.1046865	0.014110595	7.9365008e-05	0.1214716	1.2403165	0.12169309	1.2395778	-0.00026774007	6.772861e-05	1.2425115	0.75229869	-1.6303203	-0.54319365	1.6305609	0.54219259	-0.31924512	2.6230836	0.029276791	0.25687114	0.063191927	0.19637394	0.37717632	0.19639103	0.37725792	0.021386191	0.36509785	0.038022743	4.2087334	5.396827	5.2060107	4.9732335	5.2060674	4.972637	4.3312369	6.3311392	5.2425283	2.7164144	3.3428454	5.2289366	3.3434801	5.2282282	3.7363972	3.0680584	-72.65384	R0:S0:1	-53.4976	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 3.91e-03	 1.00e+06	2022-07-21@03:10
2x2_2C_8b_C2v_L	0	14	3.0428	0.0080179164	-3.0182193	-3.6928709	-0.13189836	-3.6940683	-0.13210186	0.17231316	-3.2885474	9.73	4.0753021e-05	-2.5539875e-05	0.0085618902	-0.19175022	0.0086193073	-0.19177129	-0.00015265291	2.8659502e-05	-0.11838593	-1.0570637	1.6723952	0.033173458	-1.6726172	-0.033480077	0.26411933	-2.2118854	2.0089	1	0.226	0.13558358	0.3037279	1.9335704	1.782014	1.5258379	1.7819419	1.5266255	0.021819959	1.5094827	1.1042106	-0.00031601227	-7.8394472e-06	0.12335425	1.2619002	0.12337171	1.2595559	0.00080939075	1.558033e-05	1.258569	0.76010589	-1.6317842	-0.55859129	1.6324297	0.5604108	-0.32093355	2.6317404	0.02926189	0.26846215	0.064317101	0.19682022	0.38852796	0.19688694	0.3881208	0.022132856	0.36672732	0.038128553	4.2968082	5.378687	5.1932429	4.9966689	5.1934473	4.9974493	4.3303782	6.3479726	5.2506639	2.7198852	3.3239117	5.2850094	3.3251141	5.2822259	3.7361137	3.0571485	-72.579694	R0:S0:1	-53.4976	uncorrelated	b7fd39a	v1.0.3	 1.58e+02	 2.20e-03	 3.49e-03	2022-07-21@03:17
2x2_2C_8b_C2v_L	0	14	3.0428	0.0093518488	-3.027832	-3.6957413	-0.13240757	-3.6955859	-0.13210773	0.17202096	-3.2881571	9.73	-0.00074587805	1.1572149e-05	0.008259001	-0.19268199	0.0081595094	-0.19254984	0.0001812445	-3.1490058e-05	-0.11843833	-1.0582594	1.6723965	0.031924039	-1.6723646	-0.031484122	0.26500672	-2.2109771	2.0089	1	0.226	0.13555739	0.29817131	1.9340871	1.7825453	1.5327064	1.7825611	1.5323278	0.021751513	1.5113735	1.1043766	0.0067531946	-0.00013513429	0.12212073	1.2552499	0.12226554	1.2558755	-0.00079386522	7.4356545e-05	1.2513132	0.75743059	-1.6305505	-0.54925648	1.6304628	0.54733368	-0.32151799	2.6271733	0.029257814	0.26469226	0.063856062	0.19646873	0.38605216	0.19645458	0.38645796	0.022067349	0.36596404	0.038068016	4.2681033	5.3839426	5.1967813	4.9870593	5.1966833	4.9862927	4.3302384	6.3402206	5.2506691	2.7198469	3.3309788	5.2680691	3.3308461	5.26919	3.7370099	3.0628788	-72.604817	R0:S0:1	-53.4976	uncorrelated	b7fd39a	v1.0.3	 1.58e+02	 6.44e-04	 4.11e-03	2022-07-21@03:25
2x2_2C_8b_C2v_L	0	14	3.0428	0.0094411468	-3.0345325	-3.7028314	-0.13128031	-3.7019955	-0.13175655	0.17144528	-3.2959764	9.74	0.0039810511	0.00016722843	0.0083088783	-0.19174169	0.0086781979	-0.19170133	-0.00077440952	0.00014182315	-0.11810099	-1.0587147	1.6727545	0.032556034	-1.6724172	-0.034093938	0.26403227	-2.2113871	2.0089	1	0.226	0.13573395	0.29095011	1.9347638	1.7839592	1.5385159	1.7836366	1.5399594	0.021263692	1.5144764	1.104958	-0.03562773	8.9745326e-05	0.12180776	1.2487717	0.12128917	1.2428299	0.0035119614	-0.00017446688	1.242436	0.75378754	-1.6258058	-0.54843706	1.627483	0.55640936	-0.31956559	2.6206582	0.029290671	0.25958878	0.063241005	0.1953902	0.38295091	0.19566274	0.38185814	0.021558973	0.36472977	0.037982147	4.230789	5.3908224	5.1975247	4.9843424	5.1984944	4.9884883	4.3290514	6.3281754	5.2495829	2.7177184	3.3344932	5.2495849	3.3366412	5.242681	3.7375662	3.0705116	-72.696489	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 2.11e-03	 1.00e+06	2022-07-21@03:32
