model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	8.5970361	0	14	3.0428	-0.92123349	-6.0322318	-5.9066038	-0.88531019	-5.8793505	-0.86464792	0.80277552	-4.8944341	11	-6.1001941e-06	1.9115664e-06	-4.4740621e-06	-1.0822117e-07	9.8049722e-06	-9.6327665e-06	0.21741948	1.0651936e-05	-0.22056499	-1.2954217	1.8736587	0.21807314	-1.871343	-0.2131621	-1.5195657e-05	-2.3475394	2.0089	1	0.226	-4.3412464e-07	1.2873215	1.6662154	-0.47390135	-0.11015358	0.047747174	0.14377653	1.9966105	1.9659472	1.8821575	1.9937254	1.8819533	1.9939647	0.0075131373	1.7278088	1.1413364	1.8404273e-05	1.3064469e-06	1.0790787e-06	-4.3232235e-07	-6.9339775e-06	1.7807719e-05	-0.35624705	-9.2194169e-06	0.18418304	0.58385133	-1.2834203	-0.29494619	1.2840199	0.28913852	1.1633448e-05	2.1444412	2	2	0	0	-100.82935	R0:S0:1	1.1413364	-127.3152	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:27
2x2_2C_8b_C2v_L	8.5969243	0	14	3.0428	-0.92140991	-6.0244834	-5.9000881	-0.88095971	-5.8910139	-0.8754163	0.80560365	-4.9022708	11.01	0.00019942195	-0.0001500182	-2.6677142e-05	3.1472318e-05	-3.8783314e-05	0.00010113903	0.21607346	-4.3677297e-06	-0.21864655	-1.2945824	1.8722944	0.21495153	-1.8714475	-0.21355242	-6.6220936e-06	-2.3473886	2.0089	1	0.226	-4.4888812e-07	1.2873196	1.6662107	-0.47391478	-0.11015853	0.047749338	0.14380615	1.9966584	1.9658841	1.8819863	1.9938715	1.8819333	1.9939411	0.0074416639	1.7277049	1.1413655	-0.00054802476	0.00016660307	2.4165546e-05	-6.1566635e-05	4.2443423e-05	-0.00017588913	-0.35454831	-8.7187146e-06	0.18287096	0.58436925	-1.2841636	-0.291442	1.2842606	0.28973485	9.3267869e-06	2.14485	2	2	0	0	-100.89206	R0:S0:1	1.1413655	-127.4752	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:31
2x2_2C_8b_C2v_L	8.5968308	0	14	3.0428	-0.92964782	-6.0204083	-5.9093442	-0.89122975	-5.8912119	-0.87709844	0.81182625	-4.9090944	11.02	-4.0242325e-05	3.1399046e-05	-1.2370399e-05	2.0879091e-05	2.8112921e-05	-8.1246635e-05	0.21475958	1.1516646e-05	-0.21781101	-1.2936239	1.8722724	0.21478612	-1.8707098	-0.21147676	-2.8294022e-05	-2.3470331	2.0089	1	0.226	-4.0546881e-07	1.287318	1.6662064	-0.473926	-0.11016274	0.047751077	0.14383024	1.9966818	1.9658483	1.8819478	1.9938798	1.8818202	1.99404	0.0073629394	1.7275875	1.1413894	0.00011004752	-3.2093137e-05	1.4623359e-05	-3.086999e-05	-2.0017535e-05	0.00014400896	-0.35266554	-6.4818255e-06	0.18222308	0.58465806	-1.2844407	-0.291261	1.2847709	0.28733377	2.1365896e-05	2.1452978	2	2	0	0	-100.99596	R0:S0:1	1.1413894	-127.6352	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:38
2x2_2C_8b_C2v_L	8.5968612	0	14	3.0428	-0.93493057	-6.0246623	-5.9126286	-0.89769138	-5.9189247	-0.90499707	0.82091144	-4.9178462	11.03	-3.2322469e-05	2.4830746e-05	-3.8657073e-05	7.6448435e-05	5.1386432e-05	-0.00012004334	0.21440738	4.4323302e-06	-0.21688278	-1.2935138	1.8716178	0.213835	-1.8720141	-0.21540268	-2.8204459e-05	-2.3468593	2.0089	1	0.226	-3.5947856e-07	1.2873185	1.6662074	-0.47392229	-0.11016149	0.047750457	0.14382376	1.9967047	1.9658175	1.8819336	1.9939295	1.8820102	1.9938566	0.0073414518	1.7275564	1.1413832	8.6599694e-05	-2.6220721e-05	3.305531e-05	-0.00012788366	-3.9030561e-05	0.00020751325	-0.35214649	-1.8780439e-06	0.18159544	0.58492479	-1.284316	-0.29002736	1.2839746	0.29178499	2.0931211e-05	2.1453956	2	2	0	0	-101.20339	R0:S0:1	1.1413832	-127.7952	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:46
2x2_2C_8b_C2v_L	8.5967993	0	14	3.0428	-0.93858154	-6.0149147	-5.9287891	-0.91384666	-5.9226074	-0.903741	0.83123685	-4.9284699	11.04	-9.1704013e-05	5.5553561e-05	-9.1195003e-06	3.5426392e-05	-5.7588778e-05	0.00015281648	0.21455875	1.585359e-05	-0.21526363	-1.292343	1.8720784	0.2152035	-1.8718475	-0.21316	-3.5850938e-05	-2.3469782	2.0089	1	0.226	6.1209444e-08	1.2873173	1.6662073	-0.47392865	-0.110166	0.047752381	0.14383387	1.9967472	1.9657614	1.8820062	1.9938656	1.8818986	1.9939579	0.0073515735	1.7275476	1.1413918	0.00024852312	-5.9875586e-05	4.5600917e-06	-6.864454e-05	4.3735691e-05	-0.00027029368	-0.35239474	-8.9822599e-06	0.18041001	0.5853737	-1.2839708	-0.29156348	1.2845286	0.28934971	2.7427875e-05	2.145464	2	2	0	0	-101.32196	R0:S0:1	1.1413918	-127.9552	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:51
2x2_2C_8b_C2v_L	8.5968758	0	14	3.0428	-0.94864066	-6.0275912	-5.9148517	-0.90031942	-5.9658547	-0.94323134	0.83313244	-4.9324034	11.05	-3.348843e-05	3.8908583e-05	6.5843071e-06	-1.9981523e-05	-3.1927441e-05	5.7109162e-05	0.21220338	1.0121224e-05	-0.21536365	-1.2925697	1.8703101	0.21004563	-1.8744407	-0.21993699	-4.9804252e-05	-2.3462333	2.0089	1	0.226	6.6098016e-07	1.2873187	1.6662085	-0.47392005	-0.11016173	0.047750288	0.14383232	1.9967434	1.9657599	1.8818004	1.99411	1.8822232	1.993634	0.0072137431	1.7273737	1.1413923	8.6374887e-05	-4.7293331e-05	1.0733222e-06	3.5723948e-05	2.9568449e-05	-9.6469265e-05	-0.34906061	3.2598277e-06	0.18052258	0.58540999	-1.2846404	-0.28558239	1.2832459	0.29713355	4.1964947e-05	2.1460561	2	2	0	0	-101.52561	R0:S0:1	1.1413923	-128.1152	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@13:57
2x2_2C_8b_C2v_L	8.5967213	0	14	3.0428	-0.95992419	-6.031598	-5.9488615	-0.932449	-5.9273826	-0.91243436	0.85737097	-4.9498073	11.06	-1.0196038e-05	1.2044826e-05	-1.7068796e-05	3.9494036e-05	5.9816996e-06	1.9109343e-05	0.21581533	-2.3817559e-05	-0.2153502	-1.2919876	1.872202	0.2149088	-1.8705409	-0.21045498	7.4993042e-05	-2.3470015	2.0089	1	0.226	6.2617347e-07	1.2873159	1.6662045	-0.47393799	-0.1101695	0.047753969	0.14385275	1.9967463	1.9657617	1.8819466	1.9938756	1.8817509	1.9940862	0.0074204758	1.727613	1.14141	2.709901e-05	-1.6817522e-05	5.9949791e-06	-7.190149e-05	-7.9780876e-06	-3.5526807e-05	-0.3540466	1.9372366e-05	0.18043142	0.58535686	-1.2844305	-0.29135551	1.2851385	0.28621091	-5.9593171e-05	2.1452326	2	2	0	0	-101.62445	R0:S0:1	1.14141	-128.2752	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@14:04
2x2_2C_8b_C2v_L	8.5968309	0	14	3.0428	-0.96222391	-6.034619	-5.9465807	-0.93104037	-5.973156	-0.95821378	0.84451009	-4.9482228	11.07	-0.00010687915	6.5409764e-05	-3.5871035e-05	9.3820532e-05	-6.6981665e-05	0.00015255781	0.21001381	8.9247092e-06	-0.21390838	-1.2919795	1.8712974	0.21236513	-1.873161	-0.21832072	-4.9811693e-05	-2.3458775	2.0089	1	0.226	4.0856775e-07	1.287318	1.6662064	-0.47392552	-0.11016366	0.047751049	0.14384887	1.9967802	1.9657104	1.8818757	1.9939999	1.8821621	1.9937197	0.0070897982	1.7272056	1.141409	0.00028145867	-7.3886095e-05	3.4654514e-05	-0.00016358208	5.6421885e-05	-0.00026257352	-0.34604335	-1.8542722e-06	0.1794965	0.58582146	-1.2844996	-0.28830683	1.2833032	0.29505972	3.8415261e-05	2.1466839	2	2	0	0	-101.84736	R0:S0:1	1.141409	-128.4352	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@14:12
2x2_2C_8b_C2v_L	8.5968191	0	14	3.0428	-1.0025493	-6.112795	-5.9285242	-0.9171321	-5.941488	-0.92715499	0.85729417	-4.9610675	11.08	1.2506131e-05	-1.0315929e-05	-3.0398581e-05	8.0287228e-05	-2.1003048e-05	3.2258557e-05	0.21100785	6.0397234e-07	-0.2208898	-1.2954162	1.8689821	0.20684176	-1.8700977	-0.20921376	4.8274097e-06	-2.346268	2.0089	1	0.226	-3.0977592e-07	1.2873182	1.6662028	-0.47393001	-0.11015901	0.047749607	0.14388876	1.9966011	1.9659462	1.8814912	1.9942512	1.8815866	1.9941378	0.0071471865	1.7273266	1.1414516	-3.1764904e-05	1.3021396e-05	3.0832439e-05	-0.00013674571	1.9997794e-05	-5.7035854e-05	-0.34744276	-2.9284481e-06	0.18443724	0.58385565	-1.2865278	-0.2821807	1.2862584	0.28501319	-4.4170225e-06	2.1462183	2	2	0	0	-101.95941	R0:S0:1	1.1414516	-128.5952	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@14:18
2x2_2C_8b_C2v_L	8.5968357	0	14	3.0428	-0.98746734	-6.0654104	-5.9712259	-0.95592599	-5.9683629	-0.95199877	0.86132878	-4.9656068	11.09	-1.7646216e-05	8.988258e-06	8.6612135e-06	-1.800303e-05	9.644753e-07	-9.3277782e-06	0.20906435	1.9426201e-05	-0.21501811	-1.2925833	1.8716424	0.21338824	-1.8714944	-0.21256747	-5.2367928e-05	-2.3455617	2.0089	1	0.226	-4.8565783e-07	1.2873182	1.6662056	-0.47392582	-0.11016199	0.047750359	0.14387056	1.9967521	1.9657425	1.881889	1.99395	1.8818476	1.9939876	0.0070342001	1.727137	1.1414321	4.6709718e-05	-6.4083649e-06	-5.9580257e-06	3.1416062e-05	-1.1731855e-06	1.5969987e-05	-0.34467722	-1.4493021e-05	0.18028378	0.58556193	-1.2845877	-0.28954247	1.2847879	0.28863491	4.091201e-05	2.1469128	2	2	0	0	-102.15057	R0:S0:1	1.1414321	-128.7552	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@14:25
