w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-20	0.000323315	0.0002294	0.000229401	0	0	0
-19.975	0.000326403	0.000230546	0.000230548	8.16008e-06	5.76366e-06	5.76369e-06
-19.95	0.000329632	0.000231707	0.000231708	1.64009e-05	1.15563e-05	1.15564e-05
-19.925	0.000333001	0.000232881	0.000232882	2.47259e-05	1.73783e-05	1.73784e-05
-19.9	0.000336514	0.000234069	0.000234071	3.31387e-05	2.32301e-05	2.32302e-05
-19.875	0.000340178	0.000235272	0.000235274	4.16432e-05	2.91119e-05	2.91121e-05
-19.85	0.000344005	0.000236492	0.000236494	5.02433e-05	3.50242e-05	3.50244e-05
-19.825	0.000348009	0.000237728	0.00023773	5.89435e-05	4.09673e-05	4.09676e-05
-19.8	0.000352214	0.000238982	0.000238985	6.77489e-05	4.69419e-05	4.69423e-05
-19.775	0.000356649	0.000240256	0.000240259	7.66651e-05	5.29483e-05	5.29487e-05
-19.75	0.000361355	0.000241553	0.000241557	8.5699e-05	5.89871e-05	5.89877e-05
-19.725	0.000366389	0.000242876	0.00024288	9.48587e-05	6.5059e-05	6.50597e-05
-19.7	0.000371831	0.000244229	0.000244234	0.000104154	7.11648e-05	7.11655e-05
-19.675	0.000377791	0.000245618	0.000245624	0.000113599	7.73052e-05	7.73061e-05
-19.65	0.000384424	0.000247053	0.000247059	0.00012321	8.34816e-05	8.34826e-05
-19.625	0.00039193	0.000248544	0.000248552	0.000133008	8.96952e-05	8.96964e-05
-19.6	0.000400541	0.000250105	0.000250113	0.000143022	9.59478e-05	9.59492e-05
-19.575	0.000410401	0.000251743	0.000251753	0.000153282	0.000102241	0.000102243
-19.55	0.000421258	0.000253444	0.000253456	0.000163813	0.000108577	0.000108579
-19.525	0.000431933	0.000255143	0.000255157	0.000174611	0.000114956	0.000114958
-19.5	0.000440324	0.000256722	0.000256739	0.00018562	0.000121374	0.000121377
-19.475	0.000445067	0.000258104	0.000258124	0.000196746	0.000127827	0.00012783
-19.45	0.000447205	0.000259347	0.000259372	0.000207926	0.00013431	0.000134314
-19.425	0.000448995	0.000260577	0.000260608	0.000219151	0.000140825	0.000140829
-19.4	0.000451985	0.000261879	0.000261919	0.000230451	0.000147372	0.000147377
-19.375	0.000456742	0.000263285	0.000263335	0.000241869	0.000153954	0.000153961
-19.35	0.000463377	0.000264798	0.000264863	0.000253454	0.000160574	0.000160582
-19.325	0.000471941	0.00026642	0.000266504	0.000265252	0.000167234	0.000167245
-19.3	0.000482601	0.000268157	0.000268267	0.000277317	0.000173938	0.000173952
-19.275	0.00049572	0.000270023	0.000270171	0.00028971	0.000180689	0.000180706
-19.25	0.000511913	0.000272048	0.000272249	0.000302508	0.00018749	0.000187512
-19.225	0.000532097	0.000274272	0.000274547	0.000315811	0.000194347	0.000194376
-19.2	0.000557491	0.000276756	0.000277127	0.000329748	0.000201266	0.000201304
-19.175	0.000589346	0.000279565	0.000280049	0.000344482	0.000208255	0.000208305
-19.15	0.000627927	0.000282732	0.000283304	0.00036018	0.000215323	0.000215388
-19.125	0.000670077	0.000286158	0.000286681	0.000376932	0.000222477	0.000222555
-19.1	0.000706409	0.000289446	0.000289644	0.000394592	0.000229713	0.000229796
-19.075	0.000723978	0.000291936	0.000291571	0.000412691	0.000237012	0.000237085
-19.05	0.000717744	0.000293214	0.000292375	0.000430635	0.000244342	0.000244395
-19.025	0.000696454	0.000293595	0.000292609	0.000448046	0.000251682	0.00025171
-19	0.000673025	0.000293761	0.000292873	0.000464872	0.000259026	0.000259032
-18.975	0.000655015	0.000294168	0.000293462	0.000481247	0.00026638	0.000266368
-18.95	0.00064438	0.00029496	0.000294425	0.000497357	0.000273754	0.000273729
-18.925	0.000640555	0.000296122	0.000295723	0.000513371	0.000281157	0.000281122
-18.9	0.00064245	0.0002976	0.000297302	0.000529432	0.000288597	0.000288554
-18.875	0.000649192	0.000299348	0.000299123	0.000545662	0.000296081	0.000296033
-18.85	0.000660302	0.000301339	0.000301168	0.000562169	0.000303614	0.000303562
-18.825	0.000675707	0.000303568	0.000303438	0.000579062	0.000311204	0.000311148
-18.8	0.000695745	0.000306051	0.000305952	0.000596456	0.000318855	0.000318796
-18.775	0.000721197	0.000308829	0.000308754	0.000614485	0.000326576	0.000326515
-18.75	0.000753366	0.000311969	0.000311913	0.00063332	0.000334375	0.000334313
-18.725	0.000794135	0.000315567	0.000315527	0.000653173	0.000342264	0.000342201
-18.7	0.000845844	0.000319737	0.000319711	0.000674319	0.000350257	0.000350194
-18.675	0.000910498	0.000324558	0.000324544	0.000697082	0.000358371	0.000358308
