model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-07-26@15:09
2x2_2C_8b_C2v_L	4.8565589	0	14	2.3527222	-0.0078741933	-3.3473061	-4.0849246	-0.098907249	-4.0848797	-0.098901691	0.13628483	-3.7168079	9.6711111	-2.2286219e-06	-1.12886e-06	0.011328311	-0.15962398	0.011328426	-0.15962299	5.4116119e-06	6.0507418e-06	-0.11118448	-1.1003982	1.7337799	0.056940858	-1.7337724	-0.056936878	0.2233396	-2.2864444	2.0793222	1	0.20811111	0.014549574	1.2626766	1.6244656	-0.57212619	-0.17763274	0.073965743	0.13192159	0.22156856	1.9442526	1.8164751	1.596723	1.816475	1.5967173	0.016112284	1.5859564	1.1067191	3.2591374e-05	8.8621065e-06	0.096980638	1.0937626	0.096981377	1.0937879	-3.7636305e-05	-1.3367745e-05	1.1076433	0.71429229	-1.5191424	-0.60031957	1.5191359	0.60030346	-0.28068672	2.4658	0.028596955	0.20280924	0.054439452	0.16916069	0.33913326	0.16916077	0.33913698	0.016195184	0.33031126	0.035530652	3.9052344	5.4108873	5.1342129	5.0595663	5.1342194	5.0595645	4.3348873	6.0313085	5.2750066	2.7355518	3.3890407	5.0421541	3.3890229	5.0421675	3.7159343	3.2567087	-75.276355	R0:S0:1	-58.547111	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.48e+02	 4.59e-03	2022-07-26@15:23
2x2_2C_8b_C2v_L	5.1353318	0	14	2.4054444	-0.0087443967	-3.3484626	-4.054683	-0.094439863	-4.0546751	-0.094443002	0.13049386	-3.6790066	9.6622222	-1.6516908e-05	2.634557e-07	0.010734553	-0.15650453	0.010736193	-0.1565053	-2.3043085e-06	3.1708227e-06	-0.11009501	-1.0951422	1.7195533	0.055389807	-1.7195516	-0.055394433	0.21906486	-2.266429	2.0586444	1	0.21622222	0.014139454	1.2636234	1.6255841	-0.56743074	-0.17543126	0.072937356	0.13093911	0.22199062	1.9448605	1.819811	1.5985733	1.8198112	1.5985715	0.015994576	1.5914747	1.1065963	0.00021813005	5.2247523e-06	0.093493275	1.0791261	0.093490935	1.079132	3.4477808e-06	-7.6972081e-06	1.0950473	0.71365016	-1.5054498	-0.58686664	1.5054453	0.58688658	-0.27890352	2.4462935	0.028418886	0.20338791	0.053862418	0.16637669	0.33796617	0.16637643	0.33796476	0.01606897	0.32733189	0.035103816	3.9136983	5.3971122	5.1246831	5.0666286	5.124685	5.0666429	4.3261977	6.0091454	5.2769951	2.749346	3.393631	5.036146	3.393621	5.0361468	3.7233115	3.2785936	-74.948497	R0:S0:1	-58.054222	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.40e+02	 4.51e-03	2022-07-26@15:38
2x2_2C_8b_C2v_L	5.4142735	0	14	2.4581667	-0.0098070062	-3.3505439	-4.0274764	-0.090238752	-4.0274661	-0.090240474	0.12459091	-3.6398636	9.6533333	-1.6412482e-05	1.4072892e-07	0.010248365	-0.15335221	0.010249306	-0.15335355	-3.2244709e-06	-1.060737e-05	-0.10899393	-1.0900455	1.7059512	0.054150515	-1.7059495	-0.05415393	0.21453615	-2.2460816	2.0379667	1	0.22433333	0.013740513	1.2645803	1.6267195	-0.56267936	-0.17319895	0.071899621	0.1299432	0.2225771	1.945463	1.8231829	1.6006901	1.8231835	1.6006785	0.015826841	1.5969658	1.106448	0.00022441922	-1.5495361e-06	0.090034951	1.0637148	0.09002875	1.0637337	1.7759527e-05	1.2558663e-05	1.0826491	0.71304405	-1.4917157	-0.57463701	1.4917099	0.57464887	-0.27670141	2.4266868	0.028237772	0.20414038	0.053289814	0.16355147	0.33647076	0.16355082	0.33647701	0.015892822	0.32432934	0.034677774	3.9229253	5.3831316	5.1149292	5.074364	5.114928	5.0743808	4.3171602	5.9871739	5.2786125	2.7632824	3.3982235	5.0295318	3.3982097	5.0295569	3.7308717	3.3000421	-74.634028	R0:S0:1	-57.561333	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.32e+02	 4.45e-03	2022-07-26@15:53
2x2_2C_8b_C2v_L	5.6915816	0	14	2.5108889	-0.01068944	-3.3539703	-3.9942107	-0.085241727	-3.9942003	-0.085236233	0.11871345	-3.6026389	9.6444444	1.0149641e-05	-2.9889307e-05	0.00958532	-0.14999827	0.009584757	-0.14999695	-2.9725015e-06	2.9706231e-06	-0.10794073	-1.0850502	1.6910142	0.05241572	-1.6910132	-0.052410728	0.21018015	-2.2261875	2.0172889	1	0.23244444	0.013333741	1.2655025	1.6277764	-0.55806434	-0.17104551	0.070899498	0.12891314	0.22488972	1.9459723	1.8264053	1.5986415	1.8264046	1.5986276	0.01578581	1.6022937	1.1062231	-0.00013883368	6.4273198e-05	0.086600888	1.0511228	0.086595494	1.0511377	1.6073316e-05	-1.4375772e-05	1.0716196	0.71320573	-1.4782047	-0.56192524	1.4782071	0.5619096	-0.2751492	2.4073773	0.028049552	0.20608604	0.052800295	0.16081505	0.33767418	0.16081555	0.33768642	0.015842681	0.32136978	0.034257363	3.9419787	5.3667339	5.1035939	5.0867075	5.1035931	5.0867003	4.3080289	5.9656472	5.2818893	2.7780121	3.400324	5.0328159	3.4003206	5.0328507	3.7384209	3.3203023	-74.297398	R0:S0:1	-57.068444	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.25e+02	 4.25e-03	2022-07-26@16:10
2x2_2C_8b_C2v_L	5.9699691	0	14	2.5636111	-0.011757885	-3.3558769	-3.9646391	-0.080971006	-3.9646565	-0.080974767	0.11300313	-3.5638748	9.6355556	-1.520846e-05	4.7259354e-06	0.0090688622	-0.14676778	0.0090684106	-0.14677036	8.2735746e-06	1.8194512e-06	-0.10682212	-1.0798919	1.6769375	0.051112216	-1.6769414	-0.051111674	0.20563487	-2.2059365	1.9966111	1	0.24055556	0.012942747	1.2664601	1.628891	-0.55330583	-0.16879149	0.069865964	0.12788802	0.22618186	1.9465367	1.829666	1.5992064	1.8296683	1.5992041	0.015632285	1.6077812	1.1060101	0.00024564492	-2.1552612e-07	0.083301853	1.0360689	0.08330288	1.0361183	-6.8444435e-05	-1.3957078e-05	1.0595143	0.71282557	-1.4647655	-0.54990768	1.4647463	0.54990179	-0.27291376	2.3876473	0.027861763	0.2073623	0.052261636	0.1580534	0.33716173	0.15805127	0.33715868	0.01568101	0.31829043	0.033835214	3.9548287	5.3518184	5.0932937	5.0964984	5.0932966	5.096507	4.2988059	5.9436007	5.284044	2.7923157	3.4040195	5.029679	3.4039835	5.0296994	3.7460425	3.3406202	-73.974	R0:S0:1	-56.575556	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.18e+02	 4.11e-03	2022-07-26@16:26
2x2_2C_8b_C2v_L	6.2483028	0	14	2.6163333	-0.012670169	-3.3576086	-3.9344049	-0.076624496	-3.9343861	-0.076620657	0.10703278	-3.5236513	9.6266667	-6.3564695e-06	-1.5660904e-08	0.0085193758	-0.14349448	0.0085194168	-0.1434951	5.3273195e-06	9.6567358e-06	-0.10565862	-1.0746853	1.662668	0.049681755	-1.6626649	-0.04968032	0.20085936	-2.1851941	1.9759333	1	0.24866667	0.012546519	1.2674258	1.62999	-0.54852871	-0.16649858	0.068823146	0.12684163	0.2273721	1.9471078	1.8329141	1.599182	1.8329153	1.5991748	0.015448916	1.6133164	1.1057731	0.00012133888	1.1663417e-05	0.080016999	1.0209559	0.080017171	1.0209963	-4.994215e-05	-2.1777819e-05	1.046945	0.71242116	-1.4513467	-0.53740909	1.4513322	0.53740056	-0.2703705	2.3676081	0.02766945	0.20848811	0.051716265	0.15528975	0.33711297	0.15528866	0.33711591	0.015489399	0.31514472	0.033409643	3.9676232	5.3366354	5.0827548	5.1068471	5.0827613	5.1068549	4.2892414	5.9213761	5.2863939	2.8068134	3.407554	5.0277433	3.4075235	5.0277612	3.7538731	3.3606363	-73.643479	R0:S0:1	-56.082667	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.12e+02	 4.29e-03	2022-07-26@16:43
2x2_2C_8b_C2v_L	6.526895	0	14	2.6690556	-0.013546262	-3.3591964	-3.9053531	-0.072442577	-3.9053292	-0.072448569	0.10134623	-3.485851	9.6177778	-2.1534667e-05	1.8548386e-07	0.0079885187	-0.14037173	0.0079896886	-0.140372	-1.4469967e-05	4.32772e-06	-0.10452329	-1.0694145	1.6486352	0.048287003	-1.6486302	-0.048296263	0.19625879	-2.1651361	1.9552556	1	0.25677778	0.01216259	1.2684058	1.6311038	-0.54369519	-0.16415204	0.0677673	0.12579044	0.22835754	1.9476971	1.8361572	1.5991159	1.8361574	1.5991044	0.015252303	1.619033	1.1055184	0.00037919658	1.0369034e-05	0.076801469	1.0056624	0.076797206	1.0056766	6.3781521e-05	-1.0885659e-05	1.0339991	0.71180113	-1.4379806	-0.5248355	1.4379718	0.52488243	-0.26782455	2.3472767	0.027475563	0.20946181	0.05115411	0.15252292	0.33718117	0.15252258	0.33718327	0.015285039	0.31185602	0.032985676	3.9789693	5.3218336	5.0723283	5.1168234	5.0723334	5.1168654	4.2799148	5.8982859	5.288717	2.8211107	3.4113037	5.0253921	3.4112805	5.0254094	3.7614991	3.3802542	-73.324763	R0:S0:1	-55.589778	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.05e+02	 4.23e-03	2022-07-26@16:59
2x2_2C_8b_C2v_L	6.805008	0	14	2.7217778	-0.014264806	-3.3599551	-3.8746966	-0.068343783	-3.8746867	-0.068332204	0.095597017	-3.4464693	9.6088889	1.6015294e-05	-1.609489e-06	0.0074178127	-0.13729313	0.0074163908	-0.13729344	3.3627883e-06	1.0048779e-06	-0.10337399	-1.0639657	1.6342033	0.046872631	-1.6342021	-0.046858754	0.1916562	-2.1445341	1.9345778	1	0.26488889	0.011788132	1.2693831	1.6321881	-0.53888691	-0.1617957	0.06671339	0.1247183	0.22934484	1.9482804	1.8393323	1.59837	1.8393327	1.5983609	0.01504864	1.6247193	1.1052262	-0.00030898871	-5.1860776e-06	0.073771556	0.9905753	0.073773527	0.99059872	5.6954243e-06	1.0052773e-05	1.0209258	0.71119993	-1.424815	-0.51236417	1.4248164	0.51228927	-0.26521111	2.3268298	0.027277178	0.2103765	0.05059727	0.1498018	0.33773543	0.14980143	0.33774871	0.015073992	0.30854131	0.032562515	3.9907671	5.3067265	5.0617215	5.1273768	5.0617173	5.1273339	4.2703763	5.8752714	5.2910029	2.8356138	3.4148878	5.0244138	3.4148956	5.0244435	3.7693063	3.3993163	-72.994251	R0:S0:1	-55.096889	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.92e+01	 3.94e-03	2022-07-26@17:15
2x2_2C_8b_C2v_L	7.0828843	0	14	2.7745	-0.015139227	-3.3606728	-3.8447335	-0.064300236	-3.8447732	-0.064320849	0.090057134	-3.4088571	9.6	-3.3108591e-05	1.8779863e-06	0.006937284	-0.1342314	0.0069390931	-0.13423124	-1.4000813e-05	1.0915016e-06	-0.10219962	-1.0584719	1.6198608	0.045604752	-1.6198664	-0.045624499	0.18710412	-2.1244668	1.9139	1	0.273	0.011421393	1.2703601	1.6332727	-0.53406319	-0.15943515	0.065662694	0.12363294	0.23093866	1.9488419	1.8424864	1.5965149	1.842488	1.5965144	0.014855459	1.6304202	1.1048962	0.00070705368	1.776529e-05	0.070664324	0.97589261	0.070659478	0.97590761	2.296013e-05	-2.5843916e-05	1.0081307	0.71071373	-1.4117123	-0.50065645	1.4116918	0.50076983	-0.26263641	2.3063703	0.027075479	0.21179336	0.050059752	0.14708313	0.33888499	0.14708152	0.33887008	0.014873878	0.30517342	0.032143088	4.0051548	5.2910845	5.0505643	5.139744	5.0505726	5.1398327	4.2608501	5.8520169	5.293799	2.8502356	3.4179132	5.0263155	3.4178651	5.0263145	3.7770511	3.4175487	-72.671652	R0:S0:1	-54.604	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.34e+01	 3.78e-03	2022-07-26@17:30
