model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	 1.56e+02	 0.00e+00	 1.00e+06	2022-07-26@15:32
2x2_2C_8b_C2v_L	0	14	2.3678889	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.6711111	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.0811778	1	0.20912222	0.13264131	0.22535993	1.9434169	1.8128004	1.5867691	1.8128012	1.5867326	0.016458984	1.5794092	1.1063522	0.001228656	4.0583621e-06	0.10057548	1.1159659	0.10056771	1.1160595	-8.309035e-05	-1.4988146e-05	1.1253251	0.71678192	-1.5337354	-0.61580825	1.5337096	0.61579215	-0.28336561	2.4871133	0.028726219	0.20530496	0.055218034	0.17214821	0.34516041	0.17214712	0.34518094	0.016550308	0.33373128	0.035975098	3.9222963	5.4180799	5.1388807	5.0604285	5.1388891	5.0604589	4.3439137	6.0569242	5.2741375	2.7243123	3.3798878	5.0696306	3.3798191	5.0697148	3.7079584	3.2325569	-75.559707	R0:S0:1	-58.425778	uncorrelated	b7fd39a	v1.0.3	 1.52e+02	 1.58e-02	 1.00e+06	2022-07-26@15:37
2x2_2C_8b_C2v_L	0	14	2.3678889	-0.0067339178	-3.3388362	-4.0767534	-0.10155658	-4.0766922	-0.1015557	0.13943969	-3.7043985	9.6711111	-4.1157348e-05	-1.4415242e-08	0.011666805	-0.16253632	0.011667153	-0.16253739	6.0490555e-06	5.5828047e-06	-0.11212186	-1.1010285	1.7347143	0.057377514	-1.7347032	-0.057380505	0.22695502	-2.2868925	2.0811778	1	0.20912222	0.13214684	0.23054758	1.9433077	1.8138351	1.5829671	1.8138359	1.5829569	0.016671595	1.5797383	1.1061685	0.00050505907	1.3831336e-05	0.099561224	1.1160181	0.099559217	1.1160656	-5.4017363e-05	-2.0358374e-05	1.1260778	0.71924904	-1.528551	-0.61274659	1.528533	0.61275583	-0.28481932	2.4810466	0.028637449	0.20961153	0.055310538	0.17125405	0.34701809	0.17125321	0.34701976	0.016761495	0.33355231	0.03580615	3.9538125	5.4052673	5.1325137	5.0677986	5.1325227	5.0678163	4.336885	6.0564494	5.2742547	2.7341614	3.3785118	5.0801134	3.3784713	5.0801368	3.7148099	3.2393092	-75.232055	R0:S0:1	-58.425778	uncorrelated	b7fd39a	v1.0.3	 1.51e+02	 8.16e-04	 1.50e-02	2022-07-26@15:42
2x2_2C_8b_C2v_L	0	14	2.4357778	-0.0057171866	-3.3388936	-4.0764817	-0.10072625	-4.0764256	-0.10072463	0.13872495	-3.7067788	9.6622222	-4.2015258e-05	9.9790334e-07	0.011295151	-0.1623611	0.011294661	-0.16236149	-5.9212411e-07	-2.7270743e-06	-0.11189831	-1.1007421	1.7346511	0.05560157	-1.7346414	-0.055603888	0.2266079	-2.2874641	2.0623556	1	0.21824444	0.13193646	0.22803648	1.9435429	1.8140663	1.5848931	1.8140662	1.5848803	0.016639925	1.5806793	1.1059963	0.00049481406	3.3061096e-06	0.098895503	1.1146366	0.09889236	1.1146659	-4.7664577e-06	-1.1774117e-06	1.1216259	0.71777669	-1.5277429	-0.60372343	1.5277341	0.60373098	-0.28448948	2.4787655	0.028599048	0.20753609	0.05509354	0.17107781	0.3468762	0.17107773	0.34688221	0.016729524	0.33302719	0.03575268	3.9419634	5.4064203	5.1328585	5.0612473	5.1328643	5.0612634	4.3379638	6.0521181	5.274848	2.7345664	3.3816819	5.0765505	3.3816571	5.0765744	3.7139005	3.2428194	-75.190963	R0:S0:1	-57.811556	uncorrelated	b7fd39a	v1.0.3	 1.46e+02	 1.68e-02	 1.00e+06	2022-07-26@15:47
2x2_2C_8b_C2v_L	0	14	2.4357778	-0.0064086699	-3.3239353	-4.0354039	-0.099966712	-4.0353744	-0.0999618	0.13760719	-3.6575893	9.6622222	-6.4938109e-06	1.3112034e-05	0.011207638	-0.1617058	0.011207638	-0.16170426	-1.5530996e-06	-7.3973747e-06	-0.11155181	-1.0952585	1.7210942	0.055469402	-1.7210886	-0.0554673	0.22574344	-2.268614	2.0623556	1	0.21824444	0.13145815	0.2340909	1.9433471	1.8148836	1.5813753	1.814883	1.5813695	0.016840674	1.5806178	1.1057942	7.5067025e-05	-3.3182819e-05	0.098338408	1.1137972	0.098338423	1.1137953	1.7954509e-05	1.9127788e-05	1.1238492	0.72061902	-1.5231496	-0.6028733	1.5231521	0.60286332	-0.28556312	2.4737498	0.028512851	0.21259484	0.055265505	0.17035892	0.34814678	0.17035942	0.34815258	0.016929389	0.3330442	0.035596375	3.9773082	5.3931554	5.1267542	5.0706074	5.1267552	5.0706094	4.3312009	6.05324	5.2745825	2.7442756	3.3796257	5.0870266	3.3796282	5.0870307	3.7203718	3.2485399	-74.83867	R0:S0:1	-57.811556	uncorrelated	b7fd39a	v1.0.3	 1.46e+02	 1.01e-03	 1.41e-02	2022-07-26@15:52
2x2_2C_8b_C2v_L	0	14	2.4357778	-0.005371329	-3.3240586	-4.0352974	-0.098875246	-4.0352751	-0.098873491	0.13646825	-3.6610976	9.6622222	-3.8806072e-06	-7.9055447e-06	0.010846902	-0.16156562	0.010846542	-0.16156341	-2.10532e-06	4.6821822e-07	-0.11144967	-1.0949762	1.7209985	0.053711691	-1.7209931	-0.053713623	0.22538181	-2.2694395	2.0623556	1	0.21824444	0.13146006	0.23060629	1.9436212	1.8152231	1.5837371	1.8152219	1.5837356	0.016754434	1.5818721	1.1059477	4.5821059e-05	1.8370558e-05	0.097370547	1.1112155	0.097368673	1.1112003	9.5271238e-06	-4.0227479e-06	1.1180985	0.71886009	-1.5220239	-0.59302196	1.5220283	0.59303668	-0.28499586	2.4710751	0.028513357	0.20970898	0.05501448	0.17010518	0.34794436	0.17010616	0.34794601	0.016841831	0.332395	0.03554996	3.9593037	5.3963461	5.1285497	5.0637631	5.1285528	5.0637733	4.3314168	6.0481869	5.275896	2.7433838	3.3826017	5.0800768	3.382606	5.0800676	3.7202001	3.2516672	-74.839399	R0:S0:1	-57.811556	uncorrelated	b7fd39a	v1.0.3	 1.45e+02	 2.00e-04	 2.68e-03	2022-07-26@15:57
2x2_2C_8b_C2v_L	0	14	2.5036667	-0.005868173	-3.324035	-4.0352301	-0.099059746	-4.0352077	-0.099057634	0.13681581	-3.661093	9.6533333	-2.8237538e-06	1.4626207e-06	0.01088353	-0.16124561	0.010883201	-0.16124491	1.3897662e-06	-3.8696257e-07	-0.11140046	-1.0950434	1.721223	0.053860366	-1.7212189	-0.053857043	0.22509666	-2.269713	2.0435333	1	0.22736667	0.13125585	0.2325445	1.9435193	1.8150771	1.5829156	1.8150772	1.5829118	0.016808568	1.5813711	1.1056102	3.3748602e-05	-2.7065704e-06	0.097712077	1.1123389	0.097712945	1.112352	-8.2554144e-06	1.6510399e-07	1.1209642	0.719525	-1.52241	-0.59493821	1.5224067	0.59492422	-0.28497453	2.4720377	0.0284757	0.21135293	0.055105342	0.17020758	0.34802402	0.17020751	0.3480269	0.016897255	0.33261146	0.035550021	3.9701773	5.3935375	5.1268083	5.0658637	5.1268106	5.0658606	4.3323717	6.049696	5.2748761	2.7447417	3.3820437	5.0847597	3.3820361	5.0847698	3.7192206	3.2514411	-74.801207	R0:S0:1	-57.197333	uncorrelated	b7fd39a	v1.0.3	 1.41e+02	 1.70e-02	 1.00e+06	2022-07-26@16:03
2x2_2C_8b_C2v_L	0	14	2.5036667	-0.0061094412	-3.3095245	-3.9943834	-0.098004163	-3.9943777	-0.098007514	0.13482876	-3.6103651	9.6533333	-2.9095346e-07	1.9698181e-06	0.010787174	-0.16095892	0.01078506	-0.16096292	-7.4180561e-07	-1.04302e-05	-0.1111489	-1.0894664	1.7074592	0.053522942	-1.7074592	-0.053517018	0.22437192	-2.2501007	2.0435333	1	0.22736667	0.13073831	0.24035117	1.9432408	1.8158262	1.5752437	1.8158289	1.5752332	0.017125988	1.5808783	1.1053124	2.1553651e-06	-1.0349813e-05	0.096989894	1.1156961	0.09699036	1.1157531	1.1194872e-05	1.6293887e-05	1.1247067	0.72309364	-1.5179908	-0.5947003	1.5179735	0.59466078	-0.28669829	2.4676622	0.028381949	0.21754641	0.055350574	0.16951816	0.35179282	0.16951571	0.35179759	0.017213221	0.33284587	0.035403505	4.015481	5.3778967	5.1186777	5.0785718	5.1186745	5.0785551	4.3251954	6.0524447	5.276374	2.755218	3.3777806	5.1055133	3.3777551	5.1055643	3.7260151	3.2562134	-74.445476	R0:S0:1	-57.197333	uncorrelated	b7fd39a	v1.0.3	 1.41e+02	 9.94e-04	 1.51e-02	2022-07-26@16:08
2x2_2C_8b_C2v_L	0	14	2.5715556	-0.0046671056	-3.3096987	-3.9944432	-0.097087682	-3.994437	-0.097084445	0.13422432	-3.6134811	9.6444444	6.6292024e-07	-8.8412413e-07	0.010381008	-0.16101161	0.010382504	-0.16101094	-1.0625995e-06	1.9054271e-06	-0.11096837	-1.0891971	1.7073087	0.051400692	-1.7073064	-0.051403413	0.22437481	-2.2507272	2.0247111	1	0.23648889	0.13052008	0.23732762	1.9434999	1.8161249	1.5766476	1.8161247	1.5766445	0.017127467	1.582035	1.1051457	-7.1591627e-06	3.6198078e-06	0.096092667	1.1149017	0.09608932	1.1148972	5.7028952e-06	-1.8926768e-06	1.1194688	0.72149161	-1.5169572	-0.5839392	1.5169578	0.58395044	-0.2867727	2.4648756	0.028341993	0.21499717	0.055112173	0.16928641	0.35234318	0.16928655	0.35234524	0.017214325	0.33220969	0.035344479	4.0016558	5.3792818	5.1189455	5.070951	5.1189455	5.0709588	4.3263494	6.0472039	5.277325	2.7556588	3.3811899	5.1023637	3.3811906	5.1023629	3.7251688	3.2601707	-74.406811	R0:S0:1	-56.583111	uncorrelated	b7fd39a	v1.0.3	 1.36e+02	 1.66e-02	 1.00e+06	2022-07-26@16:13
2x2_2C_8b_C2v_L	0	14	2.5715556	-0.0053373467	-3.2954688	-3.9523866	-0.096442527	-3.952382	-0.096443265	0.1335575	-3.5669369	9.6444444	-1.1385244e-05	-2.4125863e-06	0.010223686	-0.16041231	0.010223593	-0.16041173	-2.0112766e-06	-7.8335813e-06	-0.11060273	-1.0837449	1.6936286	0.051025736	-1.6936275	-0.051027481	0.22372966	-2.2327025	2.0247111	1	0.23648889	0.13004175	0.24322	1.9433549	1.8169455	1.5741095	1.816945	1.5741058	0.017341791	1.5821753	1.1049541	0.00013251432	2.0493068e-06	0.095610808	1.1133791	0.095607781	1.1133716	1.4836654e-05	1.0341336e-05	1.1207976	0.72396616	-1.5123147	-0.5813324	1.5123178	0.5813427	-0.28797676	2.4595122	0.028255201	0.21996738	0.055238119	0.16857182	0.3531149	0.16857221	0.3531176	0.017428235	0.33212092	0.035183541	4.0346364	5.3667218	5.1134627	5.0786129	5.1134619	5.0786219	4.3199865	6.0474546	5.2777616	2.7651673	3.3798567	5.110729	3.3798599	5.1107311	3.7313678	3.266357	-74.058775	R0:S0:1	-56.583111	uncorrelated	b7fd39a	v1.0.3	 1.36e+02	 6.52e-04	 1.40e-02	2022-07-26@16:18
