model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	8.591492	0	14	2.9738	-0.45175348	-5.2869924	-5.2649186	-0.44373539	-5.2747602	-0.44581817	0.42038375	-4.3294908	10.3	-5.0753767e-05	1.8793023e-05	3.982296e-05	-0.00012073057	7.4973934e-05	-0.00023831508	0.21806311	-4.2467601e-05	-0.19603733	-1.235444	1.7950294	0.20159721	-1.7962735	-0.2023894	0.00010126583	-2.2584619	1.926	1	0.2481	6.775007e-06	1.2905401	1.6661232	-0.45828076	-0.10228543	0.044162798	0.13321761	1.9972761	1.9665336	1.8899275	1.9949173	1.8898915	1.9948756	0.0070002496	1.749262	1.1310791	0.00023009654	-1.9429007e-05	3.0095806e-05	0.00041465324	-1.4948807e-05	0.00071145278	-0.34359113	1.7938371e-05	0.16840872	0.59034031	-1.2464106	-0.26691352	1.2469849	0.26808867	-0.00011415283	2.0564798	0.028854552	0.0027246163	0.033498306	0.10743812	0.0050775012	0.10746672	0.0051191766	0.0069794122	0.22542587	0.02862695	5.4121383	5.5942793	5.2222777	4.4959515	5.2206684	4.4941874	4.200504	5.45446	2.6144326	2.7286063	3.6276114	3.5442887	3.6289415	3.5463548	3.8291334	3.6218725	-89.770765	R0:S0:1	-58.6096	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:11
2x2_2C_8b_C2v_L	8.591232	0	14	2.9738	-0.43583257	-5.2560797	-5.2484094	-0.42838093	-5.2496599	-0.42842482	0.40312198	-4.3134173	10.29	-3.3699195e-05	3.7567362e-05	-1.354929e-05	1.9073523e-05	-2.6192078e-06	-1.0728858e-05	0.21599025	1.3167412e-05	-0.19466682	-1.2338336	1.7943926	0.20047272	-1.794586	-0.2004738	-1.5903056e-05	-2.2575833	1.926	1	0.2481	9.6615093e-07	1.2905359	1.6661052	-0.45831472	-0.10229518	0.044166843	0.13325215	1.9973083	1.9664897	1.8898142	1.9949603	1.8898024	1.9949594	0.0068880201	1.7490981	1.1311139	0.00014758095	-4.3429279e-05	2.1109606e-05	-4.5347734e-05	8.5290472e-06	2.8836518e-05	-0.34082155	-6.5933227e-06	0.16740537	0.59070993	-1.2471778	-0.26581025	1.2473027	0.26584556	1.2269371e-05	2.0571254	0.028860923	0.0026923927	0.033542437	0.10754381	0.0050346345	0.10755417	0.005035491	0.0068678418	0.22555513	0.028633414	5.4120968	5.5946722	5.2223879	4.4949339	5.2221778	4.4946173	4.2006714	5.4555781	2.6141602	2.7286384	3.6281339	3.5449556	3.6283475	3.5452746	3.8284874	3.6213753	-89.453565	R0:S0:1	-58.5296	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:25
2x2_2C_8b_C2v_L	8.5907852	0	14	2.9738	-0.41805027	-5.2095163	-5.2250486	-0.41101506	-5.2218896	-0.40990286	0.38712496	-4.2982811	10.28	-1.3096392e-05	1.3336382e-05	9.3377464e-06	-1.5720936e-05	3.2522315e-06	-1.1269429e-05	0.214301	1.9012985e-05	-0.19264031	-1.2308762	1.792939	0.19857932	-1.7925594	-0.19829288	-5.3450416e-05	-2.256821	1.926	1	0.2481	2.2902825e-07	1.2905284	1.6660786	-0.45837189	-0.10231382	0.044174825	0.13330385	1.9973572	1.9664271	1.8896653	1.9950382	1.8896704	1.995052	0.0067984476	1.7489324	1.131164	5.3015921e-05	-1.5492304e-05	-5.477293e-06	5.1311704e-05	-1.3868882e-06	3.5334663e-05	-0.33860347	-1.2584973e-05	0.16586195	0.59120385	-1.2480561	-0.26375153	1.2479226	0.26336253	5.3745696e-05	2.0578368	0.02887025	0.0026434762	0.033605546	0.10768498	0.0049568448	0.10768165	0.0049431084	0.0067787856	0.2256837	0.028642675	5.4123063	5.5955031	5.2231886	4.494156	5.2236723	4.4946371	4.2010193	5.4565169	2.613475	2.7284273	3.6283893	3.5451139	3.6280183	3.5445316	3.8277529	3.6209089	-89.077004	R0:S0:1	-58.4496	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:31
2x2_2C_8b_C2v_L	8.5904461	0	14	2.9738	-0.39954336	-5.1683219	-5.2030768	-0.39370299	-5.1993363	-0.39345498	0.37146941	-4.2836858	10.27	5.1064962e-05	-3.1662946e-05	2.0462904e-06	2.2843712e-05	-7.4197057e-06	1.0336127e-05	0.21277796	-7.7603786e-06	-0.19056925	-1.2285454	1.791676	0.1968197	-1.7911185	-0.19672349	1.1777298e-05	-2.2561329	1.926	1	0.2481	-1.1860327e-06	1.2905228	1.6660579	-0.45841537	-0.10232781	0.044180777	0.1333458	1.9974062	1.9663617	1.8895386	1.9951104	1.8895715	1.9951173	0.0067183187	1.7487931	1.1312049	-0.00023589009	3.5786043e-05	-8.8572896e-06	-7.44282e-05	-6.3526595e-06	-4.3902839e-05	-0.33660398	9.6746279e-06	0.16430351	0.59173858	-1.2487713	-0.26182425	1.2484106	0.26160179	-4.915462e-06	2.0584195	0.028877815	0.0025943894	0.03367143	0.10780546	0.0048848505	0.10777681	0.0048779589	0.0066991133	0.22579223	0.028650219	5.4123727	5.5962164	5.2240226	4.493629	5.2246727	4.4945501	4.2012626	5.4573545	2.6129307	2.7283538	3.6284891	3.5450697	3.6278518	3.5441068	3.8271652	3.620505	-88.728978	R0:S0:1	-58.3696	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:37
2x2_2C_8b_C2v_L	8.5901571	0	14	2.9738	-0.38271012	-5.1334094	-5.1824033	-0.3781052	-5.1825398	-0.37975874	0.35575235	-4.2698776	10.26	0.00017322798	-0.00011389906	6.2302656e-06	3.1610833e-05	-3.3231614e-05	9.3889099e-05	0.21115086	-2.4690865e-06	-0.18878219	-1.2266703	1.790465	0.19535777	-1.7902831	-0.19583157	-3.1774587e-05	-2.255625	1.926	1	0.2481	-4.0998399e-06	1.290518	1.6660398	-0.45845248	-0.10233964	0.044185811	0.13337361	1.9974487	1.9663098	1.8894555	1.995172	1.8895037	1.9951529	0.0066318186	1.748662	1.1312318	-0.00083007944	0.00012707712	-4.1159768e-05	-0.00014051354	-4.3948807e-06	-0.00031561806	-0.33443225	1.8653586e-05	0.1629423	0.59216194	-1.2491735	-0.26015244	1.2488158	0.26064901	6.3612512e-05	2.0589722	0.028882792	0.0025519331	0.033723681	0.10788556	0.0048233479	0.10784105	0.0048424331	0.0066131009	0.22589453	0.028655161	5.4124055	5.5967842	5.2249037	4.4935491	5.2250108	4.4941612	4.201537	5.4581414	2.6124842	2.7282959	3.6283298	3.5446673	3.6279948	3.5442128	3.8265202	3.6201444	-88.422005	R0:S0:1	-58.2896	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:41
2x2_2C_8b_C2v_L	8.5898541	0	14	2.9738	-0.36930039	-5.108007	-5.1556194	-0.36161589	-5.1575371	-0.3626576	0.34166939	-4.2548293	10.25	2.3002581e-05	6.8348095e-06	-5.5112254e-06	-1.8675256e-05	-7.5106216e-06	4.6184174e-06	0.20976197	-1.6324633e-05	-0.18788242	-1.2254104	1.7884901	0.19354191	-1.7886568	-0.19371794	5.4901803e-05	-2.2548087	1.926	1	0.2481	1.8961843e-06	1.2905131	1.6660181	-0.45849257	-0.10235011	0.04419031	0.13341453	1.9974697	1.9662802	1.8893288	1.9952487	1.8893504	1.995242	0.0065561471	1.7485438	1.1312731	-0.00010972262	-1.7887329e-05	1.8349349e-05	6.4723469e-05	2.4686213e-05	2.5877857e-06	-0.33251547	2.6593821e-05	0.16226726	0.5924081	-1.2498007	-0.25805645	1.2496792	0.25823986	-4.9656832e-05	2.059434	0.028890491	0.0025308631	0.033753468	0.10800716	0.004746747	0.10798668	0.0047534759	0.0065378524	0.22598758	0.028662972	5.4124016	5.5970668	5.2261553	4.493475	5.2260201	4.4935248	4.2016343	5.4589514	2.6122832	2.7283	3.6280993	3.5441368	3.6280904	3.5441412	3.8261007	3.6197778	-88.10038	R0:S0:1	-58.2096	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:47
2x2_2C_8b_C2v_L	8.5893893	0	14	2.9738	-0.35201243	-5.0685424	-5.1280438	-0.34414251	-5.1273776	-0.34363363	0.32430018	-4.2374507	10.24	-1.28722e-07	2.2309346e-05	-2.6240669e-06	1.625171e-05	-2.6234571e-05	6.5401295e-05	0.2075392	9.8373412e-06	-0.18605819	-1.2230466	1.7863229	0.19148141	-1.7862878	-0.19135577	-2.3088204e-05	-2.2536196	1.926	1	0.2481	-1.9408406e-06	1.2905056	1.6659853	-0.45855356	-0.10236698	0.044197501	0.13346626	1.997512	1.9662225	1.8891914	1.9953341	1.8891789	1.9953392	0.006437938	1.7483602	1.1313249	-9.0655284e-06	-3.6248473e-05	-1.5966522e-05	-8.2023927e-05	8.1403117e-06	-0.00022752891	-0.32950068	6.6937829e-06	0.16089759	0.59288672	-1.2505215	-0.25571387	1.2505997	0.2555757	3.0381304e-05	2.0601647	0.028900072	0.0024885457	0.033811586	0.10813855	0.0046615336	0.10815028	0.0046564567	0.0064202934	0.22613178	0.02867266	5.4123958	5.5976283	5.2273195	4.4931502	5.2273605	4.4930694	4.2018387	5.4601741	2.6118766	2.7282998	3.6280103	3.5437876	3.6280452	3.5438274	3.8253921	3.6192206	-87.719138	R0:S0:1	-58.1296	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:53
2x2_2C_8b_C2v_L	8.5888294	0	14	2.9738	-0.33311944	-5.020559	-5.0980537	-0.32436191	-5.0951397	-0.32484447	0.30557403	-4.2182148	10.23	-3.000164e-05	2.5151171e-05	9.5149758e-06	-9.3402607e-06	4.6914452e-06	9.6071422e-06	0.20484502	-3.512025e-06	-0.1838059	-1.2199221	1.7840436	0.18886279	-1.7835151	-0.18896335	-2.633329e-06	-2.2521188	1.926	1	0.2481	-1.3091554e-06	1.2904965	1.6659467	-0.45862669	-0.10238795	0.044206373	0.133529	1.997564	1.9661525	1.8889844	1.9954403	1.8890359	1.9954389	0.0062953216	1.7481294	1.1313875	0.00014904171	-3.594792e-05	-2.0468501e-05	2.0557819e-05	-1.403458e-05	-3.5655524e-05	-0.3258271	5.1769025e-06	0.15919668	0.59346152	-1.2517286	-0.25279408	1.2512489	0.25279335	-5.7584235e-07	2.0610873	0.028911626	0.0024365291	0.033882176	0.10833452	0.0045555862	0.10828849	0.0045569649	0.0062784457	0.22631266	0.028684324	5.4124331	5.5983549	5.2284627	4.4921433	5.2290629	4.4932039	4.2021002	5.4616899	2.6113326	2.7282574	3.6283024	3.5439488	3.6276053	3.5429124	3.8245218	3.6185171	-87.29999	R0:S0:1	-58.0496	uncorrelated	b7fd39a	v1.0.3	2022-07-28@14:59
2x2_2C_8b_C2v_L	8.5883792	0	14	2.9738	-0.31410074	-4.9751057	-5.0731479	-0.30698999	-5.0684399	-0.30548669	0.28723081	-4.1997115	10.22	2.5569255e-06	-1.5121125e-05	3.12902e-06	4.7494836e-06	2.7016835e-06	-1.0752983e-05	0.20226113	2.832887e-06	-0.1814598	-1.2170902	1.7822408	0.18702013	-1.7816982	-0.18651364	1.9599814e-05	-2.2507309	1.926	1	0.2481	-1.7401888e-07	1.2904892	1.6659155	-0.45868527	-0.10240517	0.044213518	0.13357894	1.997618	1.9660811	1.8888685	1.9955149	1.8888705	1.9955385	0.0061593837	1.7479185	1.1314374	-1.7580438e-06	2.9425795e-05	-2.6774747e-06	-1.438106e-05	-5.3738952e-06	3.5582824e-05	-0.32228594	-1.2589936e-05	0.15741507	0.59405565	-1.2523168	-0.25070151	1.252159	0.25000903	-2.471283e-05	2.0619246	0.028920769	0.0023825376	0.03395406	0.10844561	0.0044811042	0.10844605	0.0044574925	0.0061432248	0.22647818	0.028693568	5.4123858	5.5990207	5.2295372	4.4919534	5.2302503	4.4925974	4.2023299	5.4630979	2.6108538	2.7282864	3.6281643	3.5435514	3.6276508	3.5427299	3.8237128	3.617873	-86.91301	R0:S0:1	-57.9696	uncorrelated	b7fd39a	v1.0.3	2022-07-28@15:05
2x2_2C_8b_C2v_L	8.58783	0	14	2.9738	-0.29615293	-4.9253333	-5.0466021	-0.28915393	-5.040558	-0.28795989	0.27052246	-4.1824444	10.21	-3.0774299e-05	4.1880806e-05	5.4830293e-05	-9.1821782e-05	-1.8528752e-05	1.9787336e-05	0.20000902	-3.3732804e-06	-0.17915644	-1.2136844	1.7803767	0.1846512	-1.7795294	-0.18430556	6.3321113e-06	-2.2495545	1.926	1	0.2481	1.2008178e-06	1.2904801	1.6658804	-0.45875607	-0.10242732	0.044222916	0.13363282	1.9976716	1.9660175	1.8886979	1.9956119	1.8887401	1.9956299	0.0060411532	1.7477127	1.1314899	0.00015595693	-6.8385135e-05	-3.9392108e-05	0.00032870647	2.7888991e-05	-2.6070235e-05	-0.31918106	1.7769003e-05	0.15561987	0.59455597	-1.2532908	-0.24797388	1.2527859	0.247412	-3.2955693e-06	2.0627877	0.028930531	0.0023289414	0.034018276	0.1086077	0.0043842404	0.10857172	0.0043663101	0.0060256045	0.22663803	0.028703302	5.4125579	5.5998472	5.2305919	4.4911625	5.231636	4.4925145	4.2027081	5.464322	2.6101602	2.7280934	3.6283584	3.5435728	3.6273986	3.5420965	3.8228278	3.6172799	-86.518869	R0:S0:1	-57.8896	uncorrelated	b7fd39a	v1.0.3	2022-07-28@15:12
