model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-05-30@18:12
2x2_2C_8b_C2v_L	4.870989	0	14	2.3748667	-0.0032271296	-3.3307001	-4.0618606	-0.10260902	-4.0618085	-0.10259876	0.1413935	-3.6903801	9.66	-3.6211117e-05	9.6482643e-07	0.011047556	-0.16537266	0.011047234	-0.16536913	2.5514209e-06	5.4279609e-07	-0.11253817	-1.1000007	1.7332896	0.053163526	-1.7332792	-0.053160203	0.23051305	-2.2859465	2.0806667	1	0.20534444	0.014584156	1.2609488	1.6220175	-0.57895727	-0.18184067	0.075655824	0.13205317	0.23136843	1.943127	1.8121555	1.5787148	1.8121546	1.5787012	0.017111906	1.576734	1.1056427	0.000395795	2.4986138e-06	0.10006219	1.1296842	0.10005997	1.1297005	-1.7845421e-05	-3.1843867e-06	1.1294639	0.71949393	-1.5345302	-0.59771439	1.534528	0.59770386	-0.28849493	2.4881941	0.028620286	0.21002382	0.055481225	0.17263044	0.35199627	0.1726311	0.35200681	0.017209939	0.33506163	0.035916232	3.959705	5.4056016	5.1350268	5.0536013	5.1350318	5.0536085	4.3397405	6.0682316	5.2750153	2.7333027	3.3785721	5.0953303	3.378559	5.0953506	3.7135964	3.2324072	-75.088874	R0:S0:1	-58.281067	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.53e+02	 6.65e-03	2022-05-30@19:03
2x2_2C_8b_C2v_L	5.171439	0	14	2.4497333	-0.0020645421	-3.2965129	-4.0028885	-0.1044501	-4.0028677	-0.1044491	0.14400755	-3.6308042	9.64	1.4408748e-05	-4.6342678e-08	0.010551358	-0.16663954	0.010550793	-0.16663921	1.1366484e-06	-4.8318238e-06	-0.11228277	-1.0921302	1.7182525	0.049764012	-1.718249	-0.04976029	0.23242562	-2.2679325	2.0613333	1	0.21068889	0.014184685	1.2603371	1.6211114	-0.58030212	-0.18352587	0.076155499	0.13135294	0.23625191	1.9428209	1.8112096	1.5807653	1.8112096	1.5807615	0.017526676	1.5740369	1.104772	-0.00015335999	-2.9904677e-06	0.10073605	1.1330557	0.10073642	1.1330668	-2.370214e-06	7.0364502e-06	1.134021	0.72129376	-1.536159	-0.58283422	1.5361569	0.58281772	-0.29148001	2.4900198	0.028493317	0.21459611	0.055763716	0.17340815	0.35170233	0.17340811	0.3517058	0.017637039	0.33634715	0.035846152	3.9874337	5.3959088	5.1349888	5.0423992	5.1349901	5.0423936	4.3381148	6.0791872	5.2709021	2.7413879	3.3819966	5.100204	3.3819918	5.1002151	3.7168665	3.2332253	-74.53462	R0:S0:1	-57.522133	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.49e+02	 3.93e-03	2022-05-30@20:11
2x2_2C_8b_C2v_L	5.4603702	0	14	2.5246	0.00096529599	-3.272242	-3.9489359	-0.10438089	-3.9489441	-0.10437775	0.14368188	-3.565539	9.62	-5.1650128e-06	9.7044383e-07	0.0097473726	-0.16917472	0.0097472124	-0.16917459	2.152743e-06	1.0972121e-08	-0.11260355	-1.0852098	1.7031263	0.045182577	-1.7031288	-0.045178358	0.23539432	-2.2470465	2.042	1	0.21603333	0.013770943	1.2594207	1.6196207	-0.58282721	-0.18589894	0.076942422	0.13049117	0.25023389	1.9420438	1.8101237	1.5621036	1.8101243	1.5620966	0.018596839	1.5693374	1.1034961	5.139486e-05	-1.5619216e-06	0.1009081	1.1561218	0.10090776	1.1561408	-1.1525608e-05	-1.0296986e-07	1.1469107	0.72731121	-1.5379007	-0.5700403	1.5378976	0.57001972	-0.29813044	2.4948836	0.028335673	0.22520297	0.056464705	0.17416706	0.36401232	0.17416653	0.36401773	0.018720661	0.33859951	0.035820775	4.0676479	5.3738247	5.1247811	5.0474426	5.1247786	5.0474342	4.3344303	6.0979047	5.2748547	2.7536359	3.3740213	5.1544674	3.3740142	5.1544912	3.7218721	3.2294709	-73.998651	R0:S0:1	-56.7632	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.47e+02	 8.07e-03	2022-05-30@21:01
2x2_2C_8b_C2v_L	5.751378	0	14	2.5994667	0.0025997585	-3.2386843	-3.8921421	-0.10542445	-3.8921384	-0.10542315	0.1447603	-3.5027203	9.6	4.8804633e-06	-1.0619338e-06	0.0091755701	-0.17094387	0.009173406	-0.1709417	-1.251322e-06	-1.2257649e-06	-0.11267196	-1.0771665	1.688015	0.041533969	-1.6880137	-0.041536971	0.23766027	-2.2276044	2.0226667	1	0.22137778	0.013315196	1.2585451	1.6182978	-0.58506504	-0.18822763	0.077691855	0.12970091	0.26281982	1.9413031	1.8089175	1.5509486	1.8089156	1.5509545	0.019474038	1.5647448	1.102338	-4.7127694e-05	9.6024423e-07	0.10150001	1.1715393	0.10150204	1.1715016	8.2536048e-06	1.8537783e-06	1.1583244	0.73235584	-1.5400095	-0.5583788	1.5400216	0.55840066	-0.30317724	2.5000408	0.028190564	0.23508546	0.057136285	0.17506661	0.37103321	0.17506834	0.37103169	0.019616181	0.34075742	0.035791901	4.135996	5.3553308	5.1183083	5.048484	5.1183114	5.048495	4.3317682	6.1162892	5.2766933	2.7642825	3.3693761	5.1922641	3.3693949	5.1922308	3.7259281	3.2261326	-73.444005	R0:S0:1	-56.004267	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.44e+02	 9.49e-03	2022-05-30@21:51
2x2_2C_8b_C2v_L	6.0442238	0	14	2.6743333	0.0042254919	-3.2069884	-3.8377967	-0.10713394	-3.8377985	-0.10713462	0.14631406	-3.4394574	9.58	1.2355896e-05	2.8562441e-08	0.0085091312	-0.17284709	0.0085097436	-0.17284784	-1.3067481e-06	-3.2709972e-06	-0.11267135	-1.0694626	1.6734752	0.037667874	-1.6734758	-0.037668367	0.24002727	-2.2080992	2.0033333	1	0.22672222	0.012605725	1.2577124	1.6170326	-0.58709558	-0.19042532	0.078388429	0.12892621	0.27354009	1.9407029	1.8078487	1.5449502	1.8078493	1.5449454	0.020265439	1.5606101	1.1012693	-0.00011717723	-8.0460529e-07	0.10212071	1.1823789	0.10211812	1.1823904	8.938132e-06	5.2224857e-06	1.1666004	0.73638907	-1.5417832	-0.54336476	1.54178	0.5433639	-0.30785694	2.5039748	0.028048039	0.24380558	0.057683413	0.17588952	0.37527112	0.17588901	0.37527297	0.020430734	0.34266127	0.035743101	4.1917187	5.3397084	5.1143399	5.0439141	5.1143379	5.0439158	4.3291819	6.1328733	5.2777983	2.7744988	3.3681758	5.2181662	3.3681698	5.2181817	3.7302355	3.2245194	-72.905577	R0:S0:1	-55.245333	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.41e+02	 9.48e-03	2022-05-30@22:41
2x2_2C_8b_C2v_L	6.3366659	0	14	2.7492	0.0060096108	-3.1747452	-3.7814709	-0.1089474	-3.78147	-0.10894541	0.14809262	-3.3756887	9.56	-5.7600898e-06	8.8079317e-07	0.0077240541	-0.17477565	0.0077235741	-0.17477538	6.045133e-06	9.5959009e-06	-0.11268873	-1.0617346	1.65844	0.03334002	-1.6584404	-0.033335455	0.24254731	-2.1883939	1.984	1	0.23206667	0.012043872	1.2568652	1.6157211	-0.5891484	-0.19263569	0.079090433	0.1281451	0.28421048	1.9401073	1.8067688	1.5402864	1.8067692	1.5402875	0.021099004	1.5565246	1.100221	5.1562154e-05	3.9186889e-06	0.10257513	1.1918343	0.10257944	1.1918524	-4.2674996e-05	-1.8155925e-05	1.1736421	0.74034003	-1.5434626	-0.52531511	1.5434575	0.52529357	-0.31270917	2.5075485	0.027903873	0.2525803	0.058228523	0.17673147	0.37894318	0.17673109	0.37894276	0.02129393	0.34450656	0.035684431	4.2450828	5.3246065	5.1113576	5.0373518	5.111359	5.037338	4.3266396	6.1492061	5.2794048	2.7849193	3.3680023	5.2414198	3.3679922	5.2414271	3.734777	3.2235112	-72.356461	R0:S0:1	-54.4864	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.37e+02	 9.79e-03	2022-05-30@23:31
2x2_2C_8b_C2v_L	6.6306278	0	14	2.8240667	0.0077174935	-3.1419177	-3.7267057	-0.1114055	-3.7267082	-0.11140546	0.15004542	-3.3118754	9.54	-3.7146618e-07	-4.00042e-07	0.0069169032	-0.17691432	0.0069170047	-0.17691311	-5.3609078e-06	-6.250459e-06	-0.11263951	-1.053886	1.6437791	0.028935735	-1.6437788	-0.028938309	0.24510899	-2.1687031	1.9646667	1	0.23741111	0.011200658	1.2560528	1.6144681	-0.59102001	-0.19474318	0.079747197	0.12738291	0.29231578	1.9396806	1.8057245	1.5411873	1.8057233	1.5411884	0.021804639	1.5528846	1.099251	5.6548819e-06	-4.2372208e-06	0.10287713	1.1965379	0.10287509	1.1965079	3.7661844e-05	1.3742906e-05	1.1773141	0.74295028	-1.545186	-0.50493393	1.5451956	0.50495138	-0.31701345	2.5100216	0.027763089	0.2599296	0.058624598	0.17758251	0.37970887	0.17758351	0.37971019	0.022035445	0.34611608	0.035610774	4.2820502	5.3131166	5.1112755	5.0253311	5.1112754	5.0253427	4.3243648	6.163536	5.2791495	2.7945829	3.3715565	5.2518373	3.3715741	5.2518187	3.73941	3.2239611	-71.815783	R0:S0:1	-53.727467	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.34e+02	 1.05e-02	2022-05-31@00:20
2x2_2C_8b_C2v_L	6.9205528	0	14	2.8989333	0.0057463282	-3.1045755	-3.6711531	-0.1137341	-3.6711558	-0.11373699	0.15256099	-3.2477365	9.52	2.2477343e-05	-7.8804578e-08	0.0065468685	-0.17688824	0.0065487252	-0.17688965	-5.0987742e-06	-8.4655972e-07	-0.11216505	-1.0462964	1.6307082	0.026569522	-1.6307097	-0.026578364	0.24507298	-2.1509345	1.9453333	1	0.24275556	0.010400455	1.2550811	1.6133775	-0.59300379	-0.19752449	0.080611591	0.12669528	0.30979161	1.9386451	1.8039054	1.5397998	1.803904	1.5398043	0.022519547	1.5464805	1.0981444	-0.00021347458	1.1157825e-06	0.10409156	1.2021232	0.10408786	1.2020992	2.6973435e-05	2.2836173e-06	1.18914	0.74903306	-1.5491274	-0.49568715	1.5491359	0.49573062	-0.31909635	2.5189712	0.027634435	0.27533638	0.059572938	0.17900723	0.37896638	0.17900842	0.37896171	0.022788104	0.34892595	0.035610681	4.3551516	5.2958926	5.1093153	5.0282905	5.1093175	5.0283092	4.3217574	6.1893364	5.2787746	2.8048847	3.3683979	5.2760798	3.368408	5.2760567	3.7431852	3.2174007	-71.269565	R0:S0:1	-52.968533	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.31e+02	 1.00e-02	2022-05-31@01:25
2x2_2C_8b_C2v_L	7.2096745	0	14	2.9738	0.0092191492	-3.0660352	-3.6115063	-0.11554729	-3.6115069	-0.11554642	0.15346903	-3.1801795	9.5	4.2972744e-06	1.832662e-06	0.0051668874	-0.17978245	0.0051659395	-0.17978251	2.6585383e-06	-6.5841096e-07	-0.11220993	-1.0372646	1.6141442	0.020031942	-1.6141437	-0.020026425	0.24869583	-2.1291836	1.926	1	0.2481	0.0089190346	1.2541456	1.6117289	-0.59540637	-0.19978483	0.081354727	0.12584988	0.31933232	1.938157	1.8028095	1.5361902	1.8028118	1.5361785	0.023657835	1.5426767	1.0971056	-4.0030149e-05	-2.838879e-06	0.10342588	1.210597	0.10342593	1.2106432	-1.5238573e-05	7.334172e-08	1.1893211	0.75209012	-1.5506625	-0.46492864	1.5506475	0.46489354	-0.32563988	2.5206409	0.027477238	0.28341568	0.06002772	0.17988384	0.38339853	0.17988178	0.38340335	0.023989041	0.35053132	0.035516206	4.3962326	5.2827489	5.1084009	5.0142845	5.1083954	5.0142732	4.3190789	6.2038838	5.2847296	2.8160373	3.3714483	5.2971887	3.3714239	5.2972387	3.7491225	3.2187649	-70.681293	R0:S0:1	-52.2096	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.28e+02	 5.93e-03	2022-05-31@02:48
