model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	5.8465399	0	14	2.7960444	0.010623989	-2.9787711	-3.7320488	-0.1490127	-3.7307616	-0.14896957	0.18740401	-3.3661391	9.6	0.00021538988	1.8806054e-05	0.0046387966	-0.20545101	0.004662054	-0.20544355	5.3345653e-07	-1.2337135e-06	-0.12246525	-1.0691297	1.7103893	0.015105957	-1.7100997	-0.015139143	0.27862354	-2.2684701	2.0707556	1	0.216	0.0064032996	1.2440131	1.6004419	-0.64085213	-0.22213718	0.091277961	0.13490254	0.30976486	1.9303758	1.7642769	1.5492663	1.7642831	1.5489637	0.023475001	1.4892117	1.0986235	-0.001982944	3.1125335e-05	0.1255582	1.2863199	0.12547354	1.2871771	-3.9484049e-05	-1.2567832e-05	1.2949954	0.76417599	-1.6984159	-0.47179965	1.698155	0.4717293	-0.32846111	2.6939447	0.029133672	0.28212689	0.067363003	0.21103776	0.38461749	0.21102884	0.38471187	0.024035378	0.37427553	0.039371827	4.2712844	5.4129154	5.2567785	4.898059	5.2567806	4.8981102	4.3733401	6.4179542	5.2004222	2.6994564	3.3468771	5.3056788	3.3463152	5.3065772	3.7047854	2.975637	-72.545081	R0:S0:1	-54.431645	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.84e+02	 2.68e-03	2022-06-01@10:22
2x2_2C_8b_C2v_L	5.8630758	0	14	2.7960444	0.0094794256	-2.9798001	-3.7338906	-0.14740416	-3.7347371	-0.14751646	0.18561975	-3.371975	9.61	0.00022996535	2.8855712e-05	0.0045051518	-0.20439567	0.0045218101	-0.20446965	2.1597489e-05	-8.5915714e-06	-0.12221851	-1.0687439	1.7098805	0.014674813	-1.710105	-0.014689407	0.27711349	-2.2683509	2.0707556	1	0.216	0.0065072331	1.2444605	1.6010925	-0.63925012	-0.22110783	0.090881884	0.13504203	0.3105935	1.9305483	1.7655264	1.5505457	1.7655706	1.5504475	0.023492198	1.4914206	1.099136	-0.0021106859	-3.4148175e-05	0.12441879	1.2831106	0.12438972	1.2837013	-0.00016142238	-2.0150654e-05	1.2901347	0.76375526	-1.6937703	-0.46752757	1.6936146	0.4674792	-0.32776167	2.688978	0.029158949	0.28353785	0.06720617	0.21007577	0.38377916	0.21003866	0.38376786	0.024051292	0.37344712	0.039291576	4.2677065	5.4131087	5.2551122	4.8996652	5.2548896	4.8995425	4.3717162	6.4099981	5.204269	2.7001983	3.3467797	5.3004096	3.3465305	5.3011126	3.7061166	2.9822382	-72.600367	R0:S0:1	-54.511645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.83e+02	 4.80e-03	2022-06-01@10:34
2x2_2C_8b_C2v_L	5.8765853	0	14	2.7960444	0.0096706377	-2.9904945	-3.7406913	-0.1457896	-3.7401751	-0.14591212	0.18450506	-3.3793147	9.62	0.00029600856	1.8599731e-05	0.00482437	-0.2032047	0.004851318	-0.20326639	-1.7260648e-05	8.0066609e-06	-0.12187936	-1.0700832	1.7104184	0.016138086	-1.7103027	-0.016188034	0.27595709	-2.2689649	2.0707556	1	0.216	0.0072200998	1.2448293	1.6016251	-0.63795491	-0.22024529	0.090544935	0.13519706	0.30954098	1.930806	1.7667531	1.5466539	1.7667955	1.5464857	0.023368557	1.4930976	1.0995869	-0.0027247287	2.3289119e-05	0.12501354	1.2834896	0.12496769	1.2844518	1.102316e-05	-4.4919724e-05	1.2875453	0.76337821	-1.6895952	-0.47709314	1.689243	0.4770958	-0.32695467	2.6854089	0.029187068	0.28147998	0.066957596	0.20908306	0.38564215	0.20904633	0.38560511	0.023903907	0.3728416	0.039236387	4.2689107	5.4117841	5.2495145	4.9073365	5.2494078	4.907299	4.3699657	6.4044196	5.2110008	2.6997789	3.343468	5.3010298	3.3429101	5.301908	3.7067692	2.9870162	-72.693886	R0:S0:1	-54.591645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.82e+02	 1.76e-03	2022-06-01@10:46
2x2_2C_8b_C2v_L	5.8860521	0	14	2.7960444	0.010317045	-3.0033509	-3.7539195	-0.145465	-3.7537428	-0.1455447	0.18453976	-3.3882691	9.63	0.00051926711	-9.9753141e-06	0.0060213905	-0.20264159	0.006080538	-0.20268294	-9.5314216e-05	6.6840696e-06	-0.1218776	-1.071466	1.7116873	0.02075773	-1.7116471	-0.021043809	0.27547167	-2.269545	2.0707556	1	0.216	0.0086907526	1.2450943	1.601987	-0.63706963	-0.21960897	0.090291575	0.13532923	0.31076302	1.9308426	1.7684336	1.536179	1.768389	1.5363754	0.023183491	1.4942058	1.0999116	-0.0047161811	0.000114799	0.12794635	1.290887	0.12781664	1.2902787	0.00041148736	-2.9779312e-05	1.2924965	0.76462641	-1.6838184	-0.50675207	1.684015	0.50807459	-0.32663004	2.6831847	0.029210849	0.27948382	0.066893722	0.2076766	0.3898455	0.20771262	0.38965063	0.023673189	0.37248405	0.039207735	4.2924939	5.4054254	5.2374719	4.9240865	5.237635	4.9246541	4.3680743	6.4014362	5.2165966	2.6995858	3.3348248	5.3104133	3.3349982	5.3095729	3.7068499	2.9900944	-72.831915	R0:S0:1	-54.671645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.82e+02	 1.22e-03	2022-06-01@10:55
2x2_2C_8b_C2v_L	5.8934714	0	14	2.7960444	0.010702793	-3.0139292	-3.7680372	-0.14508126	-3.7695946	-0.14507821	0.18484638	-3.3980272	9.64	0.0010746461	8.2157002e-05	0.0074311272	-0.20191467	0.0075575853	-0.20192705	-0.00026997251	5.9802947e-05	-0.12195844	-1.0725154	1.7131601	0.026543971	-1.7134277	-0.027057116	0.27492263	-2.2705502	2.0707556	1	0.216	0.010187338	1.2452962	1.6023494	-0.63633652	-0.21917857	0.090105897	0.13546875	0.31282356	1.9307587	1.7698386	1.5235659	1.7697883	1.5238205	0.022943034	1.494607	1.1001471	-0.0097268021	-3.1219369e-05	0.13123406	1.299627	0.13092367	1.2980593	0.0013414887	2.6560805e-05	1.3000473	0.76639731	-1.6790024	-0.54273273	1.6795019	0.5451996	-0.3260114	2.682744	0.029235868	0.27781227	0.066936001	0.20646295	0.39439958	0.2065042	0.39418365	0.023384031	0.37240315	0.03920787	4.3222597	5.3979996	5.2244176	4.9450215	5.2244191	4.9463249	4.3663637	6.4011823	5.2209016	2.6989411	3.324291	5.3234706	3.3249621	5.3219993	3.7063939	2.9906327	-72.975328	R0:S0:1	-54.751645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.83e+02	 2.01e-03	2022-06-01@11:03
2x2_2C_8b_C2v_L	5.9095696	0	14	2.7960444	0.010637334	-3.0223836	-3.7765337	-0.14394248	-3.7773458	-0.14394984	0.18431912	-3.4063671	9.65	0.00090254933	4.5118378e-05	0.0079105119	-0.20088736	0.0079740175	-0.20082736	-0.00021907973	4.5686466e-05	-0.12172437	-1.0733577	1.7138059	0.028702819	-1.713921	-0.029036366	0.27393508	-2.2712934	2.0707556	1	0.216	0.010803973	1.2457258	1.6030447	-0.63475205	-0.21820967	0.089712209	0.1356338	0.30859365	1.9311951	1.7711185	1.5240313	1.7710225	1.5244643	0.022612424	1.4967788	1.1006425	-0.0081226109	-1.5007984e-05	0.13107813	1.296055	0.130964	1.2939829	0.0010737226	-8.1164498e-08	1.2960609	0.76459575	-1.6747958	-0.55248063	1.6754557	0.55444108	-0.32467786	2.6781696	0.029266087	0.27373616	0.066531646	0.20545848	0.39343284	0.20553925	0.39322003	0.023025906	0.37160458	0.039143646	4.3071837	5.4000944	5.2212485	4.9511721	5.2214811	4.9523098	4.3649047	6.3931088	5.2235085	2.6976571	3.3239484	5.3150628	3.3248725	5.3129044	3.7068595	2.9964317	-73.076801	R0:S0:1	-54.831645	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.82e+02	 3.20e-03	2022-06-01@11:11
2x2_2C_8b_C2v_L	5.9278779	0	14	2.7960444	0.0098829688	-3.0292534	-3.7804505	-0.14230348	-3.778255	-0.14214103	0.18235933	-3.4117967	9.66	-0.0009573911	-4.0310964e-05	0.007774308	-0.19973758	0.0076713757	-0.19966131	0.00021529651	-4.3153106e-05	-0.12135059	-1.0740223	1.7138273	0.028320151	-1.7133714	-0.027897133	0.27236954	-2.2712146	2.0707556	1	0.216	0.010811554	1.2462166	1.6037707	-0.63297196	-0.21706888	0.089266668	0.13578723	0.30594296	1.9316132	1.7722222	1.5283112	1.7722456	1.5279454	0.022490815	1.4993404	1.1012111	0.0086881664	-1.8766817e-05	0.1291908	1.2880941	0.12939799	1.2894476	-0.0010306732	1.2029257e-05	1.2884104	0.76285978	-1.6712384	-0.54714265	1.6708082	0.54506285	-0.32353937	2.6723338	0.029294128	0.27234767	0.066154277	0.20462813	0.39136676	0.20460721	0.39165389	0.022898596	0.37061668	0.039052993	4.2887954	5.4031219	5.2218037	4.9513918	5.2218875	4.950446	4.3631031	6.3834832	5.2271609	2.6976506	3.3269553	5.3030561	3.3262951	5.3043956	3.7083241	3.0038715	-73.140456	R0:S0:1	-54.911645	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.81e+02	 2.14e-03	2022-06-01@11:24
2x2_2C_8b_C2v_L	5.9423989	0	14	2.7960444	0.0099951388	-3.0376113	-3.7869357	-0.1408801	-3.7865611	-0.14100199	0.18144508	-3.4188678	9.67	0.0022620617	8.769899e-05	0.0080518553	-0.1987904	0.008276169	-0.19878424	-0.00050034547	0.00010280466	-0.12116078	-1.0747446	1.7138797	0.029639161	-1.713715	-0.030656813	0.27150531	-2.2712991	2.0707556	1	0.216	0.011355712	1.2466078	1.6043647	-0.6315627	-0.21616256	0.088904814	0.13592751	0.30358212	1.9319464	1.7736102	1.5258339	1.7734043	1.5265901	0.022275748	1.5012882	1.1016584	-0.020497818	0.00012408045	0.1294459	1.2889617	0.12900322	1.2854578	0.0023611714	-6.0946751e-05	1.2853446	0.761813	-1.6661887	-0.55362939	1.6672648	0.55869706	-0.32270064	2.6680224	0.029319774	0.26968636	0.06584119	0.20351406	0.39214537	0.20368366	0.39156506	0.022660989	0.36989073	0.038991277	4.2820777	5.4033021	5.2171476	4.9570391	5.2177697	4.9597283	4.3613745	6.3763743	5.2305382	2.6970753	3.3242699	5.3024142	3.3255052	5.2983082	3.7090896	3.0092286	-73.234282	R0:S0:1	-54.991645	uncorrelated	b7fd39a	v1.0.3	16	sharp_wc_2.0_b_50	 1.80e+02	 1.82e-03	2022-06-01@12:31
2x2_2C_8b_C2v_L	5.9585538	0	14	2.7960444	0.0097937599	-3.0445322	-3.7952717	-0.13980723	-3.79571	-0.13982097	0.18050829	-3.4260806	9.68	0.0022903661	8.7293654e-05	0.0084250893	-0.19785044	0.0086630578	-0.19779046	-0.00049405468	9.4959832e-05	-0.12092738	-1.075315	1.714495	0.031352904	-1.7144598	-0.032427327	0.27040526	-2.2716244	2.0707556	1	0.216	0.01181214	1.2470383	1.605046	-0.62997826	-0.21517634	0.088506989	0.13608462	0.29995027	1.9323455	1.7748982	1.5266999	1.7746795	1.5275091	0.021987981	1.5034661	1.1021513	-0.020735698	0.00012048528	0.12904307	1.2852433	0.1285306	1.2810385	0.0023749037	-2.2851903e-05	1.2809046	0.76015836	-1.6618863	-0.56063543	1.6631801	0.56606096	-0.32142135	2.6632687	0.029348495	0.26634825	0.065472534	0.20250359	0.39106072	0.20268491	0.3905135	0.022351254	0.36906444	0.03892369	4.2674564	5.4053349	5.2145123	4.9622247	5.2150795	4.9652017	4.3597201	6.3682371	5.233037	2.6961105	3.3241848	5.2942855	3.3258035	5.2896852	3.7098551	3.0150887	-73.332508	R0:S0:1	-55.071645	uncorrelated	b7fd39a	v1.0.3	23	sharp_wc_2.0_b_50	 1.79e+02	 1.92e-03	2022-06-01@13:55
2x2_2C_8b_C2v_L	5.9740993	0	14	2.7960444	0.009354583	-3.0486492	-3.8044066	-0.13880397	-3.8033926	-0.13878906	0.17920061	-3.432632	9.69	0.00010981959	5.4820079e-05	0.0087642921	-0.19693006	0.0089826184	-0.19683482	-0.00026253011	4.1314319e-05	-0.12070471	-1.0755079	1.7154102	0.033262889	-1.7150964	-0.033981352	0.26906282	-2.2718217	2.0707556	1	0.216	0.012238655	1.247451	1.6057189	-0.62844499	-0.2142416	0.088128018	0.13624899	0.29661789	1.9326729	1.7760634	1.52734	1.7758257	1.5285447	0.02170803	1.5054163	1.1026264	-0.00091364042	-0.00015365326	0.1286672	1.2816745	0.12843644	1.2769549	0.0014569606	0.00013350544	1.2771594	0.75875276	-1.6580811	-0.5685832	1.6594333	0.57246945	-0.31996281	2.6590348	0.029378503	0.26314798	0.06516954	0.20158502	0.38997855	0.2017893	0.38941492	0.022051188	0.36832195	0.038864619	4.2545356	5.4071925	5.2119801	4.9680247	5.2128579	4.9701063	4.3580578	6.3610134	5.2354221	2.6950987	3.3238489	5.2870302	3.3259056	5.2813113	3.7105995	3.0202226	-73.423308	R0:S0:1	-55.151645	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.79e+02	 1.00e+06	2022-06-01@13:58
