CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	0	-9.050732949e-06	-112.7392038	-148.1904	11.67320328	YY	14	0.1947984837	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272691994	1.718118251	0.002628080338	-6.061659939	1.956333752	-6.386467977	1.829886424	-1.132500296	1.997635265	-6.422877927	1.829697218	1.187953373	0.002511257073	1.474944039	0.001431906144	-5.848431942	1.613087796	a248bdd	2x2_2C_8b_C2v_L	13.34	1.190520693	2	1.666307064	0.9999999999240895	0.9999999999999998	0.006568019157	-0.005582073719	0.001708474742	-0.001734317645	0.0001456083165	-0.0001281684478	-0.1353606878	0.1721777728	0.0007198974618	-0.0006340638167	0.002886533118	-0.005722568921	-0.004456933395	0.009681010199	0.001150550297	-0.0005950661171	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.1247572219	0.221985796	-1.340107258	0.6036533808	1.948482765	-1.49810595	0.0004330869002	-0.0009279818114	-1.95520897	1.500727699	-0.1414493433	0.177555307	0.2187883793	-0.1324431014	-2.506054325	2.542044715	2024-09-11@10:04	2.1719	-0.5352425695	1	5.784702857e-16	-0.1468884294	0.1609	-2.893555522e-16	0.06391738334	v2.7.1	
3	Broyden	0	-5.113932539e-07	-112.4080745	-148.3504	11.6728912	YY	14	0.1950433718	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272705156	0.8206168218	0.001299147685	-5.824545265	1.95630394	-6.42599556	1.829957356	-1.16400903	1.997507797	-6.422455461	1.829948134	1.15727309	0.002474153432	1.378841432	0.001346405094	-5.840393731	1.612812512	a248bdd	2x2_2C_8b_C2v_L	13.35	1.190841546	2	1.666258967	0.9999999998786901	0.9999999999999998	-0.0001809894376	0.0001901957879	-4.04157548e-05	4.922590506e-05	2.407350097e-05	-2.129412103e-05	-0.1403033844	0.1769385538	2.532719202e-05	-2.217127492e-05	9.591489558e-05	-0.0001937633051	-0.0001584718138	0.0003541952357	4.324602002e-05	-3.322959403e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.07123495167	0.153129471	-1.305848463	0.6027208565	1.954058478	-1.499021066	9.300781894e-05	-0.0001875703353	-1.953427562	1.498951267	-0.1395684025	0.1762593175	0.2091170293	-0.1280049702	-2.501144358	2.543916756	2024-09-11@10:07	2.1719	-0.535325378	1	6.110667372e-17	-0.1468648908	0.1609	-6.58535532e-17	0.06390874939	v2.7.1	
1	Broyden	0	-1.081559798e-06	-113.5575865	-148.5104	11.670585	YY	14	0.1949178058	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272614937	5.740386507	0.009579676008	-6.260045994	1.960423355	-6.44379254	1.82972356	-1.192187381	1.997441384	-6.444127703	1.829716444	1.19391967	0.002560936244	1.40950101	0.00138345222	-5.856309475	1.612249316	a248bdd	2x2_2C_8b_C2v_L	13.36	1.1904121	2	1.666330405	0.9999999999226855	0.9999999999999999	-0.4573263318	0.2135490349	-0.1086583886	0.1068876839	3.873426776e-06	-6.38198865e-05	-0.1437528459	0.1796745674	6.301240226e-05	-3.445432302e-07	0.0002964581791	-0.0006327543775	-0.0003000424924	0.0006791893196	5.786473659e-05	-0.0004117610163	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.2833930566	0.2918435552	-1.293507075	0.5711050834	1.955485947	-1.49959915	-6.240322617e-05	0.0001641733565	-1.955562157	1.49965802	-0.1438818183	0.1797656073	0.2139239977	-0.1304664058	-2.502762286	2.543247564	2024-09-11@10:09	2.1719	-0.5354091822	1	1.664181442e-16	-0.1470989319	0.1609	9.700954177e-17	0.06400347647	v2.7.1	
1	Broyden	0	9.231807623e-08	-125.0166647	-148.6704	11.67060327	YY	14	0.1948952493	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272614675	-5.643826232	1.990360539	-6.277922408	1.960589466	-6.457913227	1.829741826	-1.196051072	1.997411753	-6.459314879	1.829745546	1.196689193	0.00259236717	1.414219759	0.001403288841	-5.870261441	1.612280786	a248bdd	2x2_2C_8b_C2v_L	13.37	1.190386222	2	1.666336113	0.9999999999493225	1.0000000000000004	0.2780490584	-0.2888039451	0.1087890745	-0.1068295901	2.96522184e-05	4.262347977e-05	-0.1451061755	0.1808313113	-2.723416405e-05	-4.308798482e-05	-0.0002017817537	0.0004533084537	0.0001943629289	-0.0004477628202	-1.981884419e-05	0.0004718530024	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.4575726194	-0.2162023981	-1.291871468	0.5698506111	1.956340578	-1.499542368	0.000215928842	-0.0004822534907	-1.956575207	1.499570718	-0.1452415882	0.1809734481	0.2158645155	-0.1314207843	-2.503896738	2.543260587	2024-09-11@10:11	2.1719	-0.5354050379	1	3.60288948e-16	-0.1471008951	0.1609	1.805249604e-16	0.06400424166	v2.7.1	
4	Broyden	0	2.982593305e-07	-114.6245012	-148.8304	11.67281142	YY	14	0.1949511812	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272697264	-0.8528117997	1.998598658	-5.875730677	1.956315145	-6.467569864	1.829990671	-1.171952866	1.997425947	-6.469002665	1.830009552	1.16960696	0.00257451673	1.394308983	0.00140673405	-5.882962754	1.612876989	a248bdd	2x2_2C_8b_C2v_L	13.38	1.19071276	2	1.66628399	0.999999999958799	0.9999999999999998	-0.07527043234	0.1593289847	-4.298177401e-05	4.720184453e-05	3.55829125e-05	-2.456190204e-05	-0.1440564393	0.1801641588	1.533046444e-05	-8.377030452e-06	7.849979764e-05	-0.0001626445419	0.0001550365711	-0.000348230191	-3.393933234e-05	1.492842193e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.000212388073	-0.0002217072517	-1.308746737	0.6026267579	1.956435048	-1.49886594	0.0001466942182	-0.0002981061659	-1.956631028	1.498796677	-0.1439757606	0.1801576596	0.2152290061	-0.1310129533	-2.504720754	2.54378675	2024-09-11@10:15	2.1719	-0.5353125763	1	-1.546731389e-16	-0.1468886188	0.1609	1.331783465e-16	0.0639181592	v2.7.1	
3	Broyden	0	2.778808793e-07	-140.1343023	-148.9904	11.66746228	YY	14	0.1951898296	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.27253188	-12.77528288	1.993314412	-6.525916155	1.954321913	-6.487015516	1.829604581	-1.195605787	1.997345552	-6.490805946	1.829584937	1.205028374	0.002674240928	1.413073586	0.001434490729	-5.895865286	1.611672538	a248bdd	2x2_2C_8b_C2v_L	13.39	1.190354866	2	1.666371998	0.9999999999547379	1.0000000000000002	0.6249518839	-0.3831641622	-0.01491744337	0.01376921081	8.49155964e-05	2.705548122e-06	-0.1477884318	0.1833787062	-3.208269405e-05	-3.728672632e-05	-0.0001683136552	0.0003751466169	4.740704213e-05	-0.0001145758289	-4.415403498e-07	0.0002984624892	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.06582595721	0.01734992434	-1.437146761	0.6168876073	1.958010327	-1.499956806	0.0003958398407	-0.0008411871456	-1.958740142	1.500224484	-0.1486866072	0.184114107	0.2191448644	-0.1333246782	-2.505432993	2.544447686	2024-09-11@10:19	2.1719	-0.5356363878	1	-5.158787122e-16	-0.1473226221	0.1609	-2.653313586e-16	0.06409650177	v2.7.1	
1	Broyden	0	-3.24442172e-07	-109.7026602	-145.1504	11.67458866	YY	14	0.1955622751	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.27279594	2.689158634	0.004654661185	-5.974834865	1.961499171	-6.107570448	1.829571296	-1.001017458	1.99832637	-6.105045578	1.829567417	0.9919710152	0.001656989189	1.308923171	0.0009966874245	-5.574977807	1.613043341	a248bdd	2x2_2C_8b_C2v_L	13.15	1.191661131	2	1.666093605	0.9999999999259566	0.9999999999999998	0.286275142	-0.1961346433	-0.001088886214	0.00116555682	-2.146361006e-05	1.10129153e-05	-0.1037961017	0.142264014	3.263645642e-05	-2.427350721e-05	0.0001689972121	-0.0003365661237	-0.0002390392184	0.00051887522	4.219280847e-05	-5.582251369e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.002471753641	-0.003848479614	-1.274160938	0.5659656389	1.930697268	-1.500305991	-0.0001252334772	0.0002494390165	-1.930229267	1.500236048	-0.1030196974	0.1414964879	0.1717158896	-0.1086584046	-2.482030173	2.543887971	2024-09-11@10:21	2.1719	-0.5353525853	1	4.687926348e-16	-0.146592913	0.1609	-3.767530382e-16	0.06380124881	v2.7.1	
1	Broyden	0	-1.21607307e-05	-109.2884676	-145.3104	11.67464167	YY	14	0.1955927746	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272793244	0.9300558683	0.0007711737464	-5.663087157	1.957366052	-6.12704238	1.829507896	-1.040919389	1.998263137	-6.107046846	1.829586703	0.945515267	0.001612876466	1.350819313	0.001052983959	-5.595774628	1.613146629	a248bdd	2x2_2C_8b_C2v_L	13.16	1.191673579	2	1.666114235	0.9999999999363638	1.0000000000000002	0.07952300543	-0.07730067057	0.002480278008	-0.002867397907	0.0003132647732	-0.0003190081338	-0.1072558415	0.1452635897	-0.0002076416944	6.475821196e-05	-0.00141775163	0.002882075846	0.000983983396	-0.002119557581	-0.0002164477157	0.0003379343452	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.01126688527	0.02482120535	-1.294689699	0.5953637078	1.932600725	-1.500969422	0.001223152424	-0.002386230317	-1.928731006	1.499701313	-0.1006013631	0.1393593028	0.1777254872	-0.1118142568	-2.485149972	2.543586573	2024-09-11@10:23	2.1719	-0.5353358683	1	4.028787695e-16	-0.1466011423	0.1609	3.498683341e-17	0.06380492341	v2.7.1	
1	Broyden	0	5.37074812e-07	-109.9130814	-145.4704	11.67428343	YY	14	0.195549859	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272785474	2.790270687	0.004299034883	-5.912282614	1.961040211	-6.140471652	1.829622064	-1.03164221	1.998236772	-6.140066279	1.829624119	1.029971163	0.001760569467	1.32164636	0.001031907564	-5.600818174	1.612967451	a248bdd	2x2_2C_8b_C2v_L	13.17	1.191619534	2	1.666107193	0.9999999999398533	0.9999999999999996	0.2787267251	-0.1883611906	0.002786338216	-0.002993221898	-2.130391255e-06	1.608619237e-05	-0.1081237408	0.1464395516	-1.78408022e-05	6.876099386e-06	-9.988144074e-05	0.0002043341834	0.0001863995149	-0.0004076309176	-3.260319188e-05	0.0001167430108	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.006613058313	0.01009476371	-1.270600921	0.5691527095	1.933282082	-1.500117129	2.24654824e-05	-5.212215513e-05	-1.933202564	1.500088323	-0.1079916698	0.1463183748	0.1756298951	-0.1107262841	-2.483793633	2.544172059	2024-09-11@10:25	2.1719	-0.5353655246	1	-2.724802527e-16	-0.1466260129	0.1609	2.375679571e-16	0.06381456104	v2.7.1	
4	Broyden	0	-2.667819176e-05	-109.9239083	-145.7904	11.67348553	YY	14	0.1954442143	self-energy/D	sharp_wc_2_b_50	4.0781	2	1.272744484	1.08462875	0.001343801465	-5.675675155	1.956336508	-6.205102678	1.829245487	-1.138037496	1.99797516	-6.108141923	1.829502985	0.9613208215	0.001616903221	1.381569293	0.001140461096	-5.652418016	1.613205101	a248bdd	2x2_2C_8b_C2v_L	13.19	1.191404343	2	1.666153109	0.9999999998965506	0.9999999999999998	0.008866707998	-0.008384762075	-0.001626134162	0.001787984838	0.0002906773108	-0.0004433042422	-0.1200843589	0.1577332067	0.001104807665	-0.001006257227	0.004734459749	-0.009601826279	0.001123397257	-0.002378203885	-0.0003419087289	0.0001702539575	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.07391100331	-0.1555192262	-1.306839692	0.6029902848	1.94183662	-1.503509263	0.001364091555	-0.002624905078	-1.924235742	1.498108458	-0.1020074674	0.1398438018	0.1880374443	-0.1172590645	-2.491954939	2.54273169	2024-09-11@10:29	2.1719	-0.5353617706	1	3.53740482e-16	-0.1467403813	0.1609	4.878086692e-17	0.06386063804	v2.7.1	
