CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
8	Broyden	0	0.02293859408	-92.212614	-114.4304	10.82793074	YY	14	0.1839379944	self-energy	sharp_wc_5_b_50	4.0781	2	1.252956475	0.2185649344	0.01149068211	-5.148809663	1.961108102	-5.10320242	1.800354045	-0.2008725529	1.723468539	-5.103347381	1.80036478	-0.2007620082	1.723358523	0.2953965402	0.01492753689	-4.007413861	1.545417615	a248bdd	2x2_2C_8b_C2v_L	11.23	1.167100153	2	1.638565711	0.999999999698552	0.9999999999999997	-0.2253979412	0.2119753586	7.605925874e-06	9.045905184e-05	0.01957704748	0.1527803038	-0.164330663	0.9125749069	0.01957368359	0.1527419777	-0.1643053201	0.9127597014	0.0003086119391	-0.0009555596783	-5.478125253e-05	-7.858850772e-05	new_boucle_param.py	R0:S0:1	uncorrelated	5.801932589e-05	-0.0007752613295	-1.37280393	0.5668959691	2.017391636	-1.615196905	0.1741505592	-0.8488128941	-2.017423297	1.61509863	-0.1741467759	0.8489591868	0.2632018331	-0.2635540549	-2.529679443	2.661980488	2024-11-26@14:45	2.1719	-0.6051372931	1	-4.376431873e-16	-0.1995734466	0.1609	-8.053070284e-17	0.0839004262	v2.7.1	
2	Broyden	0	0.0228043517	-92.25313033	-114.5904	10.84651592	YY	14	0.1841394902	self-energy	sharp_wc_5_b_50	4.0781	2	1.253397829	0.2185520852	0.01129878172	-5.149013831	1.961109158	-5.103042895	1.801161192	-0.2010417069	1.727839473	-5.103190535	1.801172328	-0.2009712882	1.727739498	0.2961486768	0.01453707253	-4.009634648	1.546863917	a248bdd	2x2_2C_8b_C2v_L	11.24	1.167587327	2	1.639214728	0.9999999997265907	0.9999999999999998	-0.225200577	0.2112046984	1.409032997e-05	6.148315913e-05	0.01927624328	0.1526278349	-0.1621439086	0.9033147438	0.0192794706	0.1525892729	-0.1621351876	0.9035020444	0.0002397344374	-0.0007445420923	-5.344960837e-05	-5.721865952e-05	new_boucle_param.py	R0:S0:1	uncorrelated	6.262885668e-05	-0.0007511052253	-1.372696747	0.5670205721	2.016382061	-1.6119015	0.1746478218	-0.84180373	-2.016415585	1.611810055	-0.1746501963	0.8419231693	0.2602267583	-0.2603574457	-2.528579074	2.659219046	2024-11-26@14:47	2.1719	-0.6035862747	1	5.160576712e-16	-0.1984810879	0.1609	1.497456814e-16	0.08349124154	v2.7.1	
2	Broyden	0	0.02264967473	-92.31338642	-114.7504	10.86417928	YY	14	0.1842786515	self-energy	sharp_wc_5_b_50	4.0781	2	1.253814346	0.2192231651	0.01124876729	-5.150320339	1.961082594	-5.10370076	1.802007006	-0.1993481839	1.729839105	-5.103874047	1.802011113	-0.1993839606	1.729812493	0.2947755257	0.01442707784	-4.022063953	1.548664817	a248bdd	2x2_2C_8b_C2v_L	11.25	1.167983685	2	1.639827079	0.9999999997119379	0.9999999999999999	-0.2249093512	0.2110094644	9.553793633e-06	1.799741948e-05	0.01898076059	0.1516991552	-0.1597840862	0.894917465	0.01899139333	0.1516739297	-0.1597934099	0.8949501921	8.744294119e-05	-0.0002757043914	-2.558910697e-05	-2.009884308e-05	new_boucle_param.py	R0:S0:1	uncorrelated	3.478932835e-05	-0.000370120715	-1.372380008	0.5673595658	2.015024542	-1.608377752	0.1753092724	-0.8383771542	-2.015057079	1.608356432	-0.1753330566	0.8384444491	0.2587795068	-0.259002293	-2.529703196	2.655782944	2024-11-26@14:49	2.1719	-0.6021055707	1	6.829323083e-17	-0.1974449403	0.1609	3.272347543e-16	0.08310030709	v2.7.1	
5	Broyden	0	0.02255627516	-92.35831469	-114.9104	10.87971097	YY	14	0.1844554961	self-energy	sharp_wc_5_b_50	4.0781	2	1.254182932	0.2202311663	0.01110067506	-5.150964657	1.961075439	-5.104714038	1.802758109	-0.19879534	1.731884309	-5.104901751	1.802760114	-0.1988308436	1.731878097	0.2941741126	0.01413134878	-4.025446586	1.549836806	a248bdd	2x2_2C_8b_C2v_L	11.26	1.168396742	2	1.640375657	0.9999999996633269	1.0000000000000002	-0.2247493654	0.2104784122	-2.869394624e-06	1.818898504e-05	0.01868402052	0.1516507901	-0.1572363909	0.8865074961	0.01869095403	0.1516343088	-0.1572449894	0.8865055901	7.915622615e-05	-0.0002318854467	-2.093818058e-05	-3.004666846e-06	new_boucle_param.py	R0:S0:1	uncorrelated	5.665454541e-06	-9.297282871e-05	-1.372060356	0.5675461693	2.013653897	-1.605292852	0.1764514985	-0.836414522	-2.013689601	1.60529077	-0.1764725541	0.8364576394	0.2563281497	-0.2564580236	-2.528844059	2.653531838	2024-11-26@14:53	2.1719	-0.6008046681	1	1.041895251e-16	-0.1965403518	0.1609	-2.697698451e-16	0.08275274569	v2.7.1	
5	Broyden	0	0.02233839057	-92.45270944	-115.0704	10.89963783	YY	14	0.1845860724	self-energy	sharp_wc_5_b_50	4.0781	2	1.254649941	0.2250374047	0.01106332013	-5.156132819	1.961104357	-5.112990886	1.803810306	-0.1968406361	1.735007791	-5.113261117	1.803809031	-0.1968935729	1.73502006	0.2891907048	0.01391539278	-4.035631945	1.55174101	a248bdd	2x2_2C_8b_C2v_L	11.27	1.168825455	2	1.641060351	0.9999999997013918	0.9999999999999997	-0.2258107583	0.2108982528	-9.620070797e-06	-1.814260427e-05	0.01833176947	0.1503300657	-0.1546147864	0.8765826874	0.01833449827	0.1503104792	-0.1546284013	0.8765172479	4.166943726e-05	-9.666599748e-05	-7.287512391e-05	8.528049585e-05	new_boucle_param.py	R0:S0:1	uncorrelated	-6.22629612e-06	8.915833468e-05	-1.371787763	0.5675247411	2.014027582	-1.601131719	0.1766840687	-0.8299755342	-2.014075206	1.601170138	-0.1767148258	0.8300076358	0.2530096924	-0.2536227641	-2.529645391	2.649891371	2024-11-26@14:56	2.1719	-0.5991296706	1	-1.408103966e-16	-0.1953690918	0.1609	2.471377711e-16	0.08230894861	v2.7.1	
2	Broyden	0	0.02231732218	-92.50404724	-115.2304	10.91367589	YY	14	0.184757582	self-energy	sharp_wc_5_b_50	4.0781	2	1.254979194	0.2259621065	0.01088530645	-5.157061712	1.961097611	-5.114620602	1.804456642	-0.1969806296	1.73623216	-5.11490088	1.804457278	-0.1970349313	1.736244015	0.2889957195	0.01355200632	-4.039321231	1.552747355	a248bdd	2x2_2C_8b_C2v_L	11.28	1.169199438	2	1.641581776	0.9999999996540611	1.0	-0.2258386178	0.2103587152	-9.253858834e-06	1.031627501e-05	0.01796097933	0.1511397423	-0.151897105	0.8684763996	0.01797151505	0.1511216965	-0.1519089586	0.8684314105	4.969249463e-05	-0.0001329045991	-1.8941516e-05	1.664459296e-05	new_boucle_param.py	R0:S0:1	uncorrelated	-1.128349256e-05	8.415694376e-05	-1.371647545	0.5677319227	2.012765018	-1.598458658	0.178592272	-0.8310334966	-2.012814971	1.598479375	-0.1786205905	0.8310688669	0.2499956624	-0.2504910722	-2.52850705	2.647922816	2024-11-26@14:59	2.1719	-0.5979328413	1	1.245575716e-16	-0.1945825302	0.1609	1.086075237e-16	0.08200236064	v2.7.1	
4	Broyden	0	0.02206507399	-92.60715838	-115.3904	10.93576109	YY	14	0.1849067983	self-energy	sharp_wc_5_b_50	4.0781	2	1.255500379	0.2287885857	0.01078474002	-5.161170656	1.96113414	-5.122343683	1.805668223	-0.1960753498	1.741511475	-5.122660215	1.805668384	-0.1961329872	1.741531794	0.2857539318	0.01331195342	-4.053125097	1.554969498	a248bdd	2x2_2C_8b_C2v_L	11.29	1.169685224	2	1.642319015	0.9999999997743969	0.9999999999999998	-0.2259771452	0.2099526545	-1.718577266e-05	1.998239186e-05	0.0176954555	0.1495422563	-0.1496195754	0.8573262612	0.01770243825	0.1495283201	-0.1496294764	0.857260666	4.854688112e-05	-0.0001240879341	-1.139606487e-05	1.36011957e-05	new_boucle_param.py	R0:S0:1	uncorrelated	-2.367372213e-05	0.0001850054157	-1.371538776	0.5675424719	2.012957776	-1.593695389	0.1786388864	-0.8201856551	-2.01301206	1.593722313	-0.1786692254	0.8202198666	0.2472056175	-0.2477354603	-2.53073214	2.643994257	2024-11-26@15:02	2.1719	-0.5961020622	1	-1.891570644e-16	-0.1932414844	0.1609	-2.495542334e-16	0.08149878207	v2.7.1	
5	Broyden	0	0.02194777023	-92.65920702	-115.5504	10.95240667	YY	14	0.185065656	self-energy	sharp_wc_5_b_50	4.0781	2	1.255894658	0.2301835075	0.01063843727	-5.162387487	1.961127228	-5.124778468	1.806489982	-0.1963897712	1.744794527	-5.125102539	1.806490092	-0.1964507994	1.744813143	0.2854792444	0.01301566168	-4.055310676	1.556361781	a248bdd	2x2_2C_8b_C2v_L	11.3	1.17010067	2	1.642885237	0.9999999997423965	1.0000000000000002	-0.2259168817	0.2095023836	-1.056260884e-05	1.237037901e-05	0.0174444256	0.1493760994	-0.1473457253	0.848316794	0.01745196968	0.1493607106	-0.1473549568	0.8482497853	5.092797707e-05	-0.0001340891205	-1.526249995e-05	1.378446332e-05	new_boucle_param.py	R0:S0:1	uncorrelated	-1.393843804e-05	0.0001030516146	-1.371178198	0.567775103	2.012012566	-1.590393534	0.1797461326	-0.8155142358	-2.012066967	1.590420313	-0.1797770924	0.8155530005	0.2447046988	-0.2451386884	-2.528992375	2.641126605	2024-11-26@15:05	2.1719	-0.594716479	1	2.860645509e-16	-0.192249277	0.1609	1.17606519e-16	0.08112005247	v2.7.1	
2	Broyden	0	0.02197836863	-92.99643311	-115.7104	10.9744739	YY	14	0.1851096297	self-energy	sharp_wc_5_b_50	4.0781	2	1.256402805	0.2433952078	0.01046978518	-5.190326834	1.961336837	-5.172750827	1.808528015	-0.2023236534	1.750417512	-5.173199843	1.808532542	-0.2024014699	1.7504264	0.2842212007	0.01246291592	-4.06511448	1.558204496	a248bdd	2x2_2C_8b_C2v_L	11.31	1.17044292	2	1.643684979	0.9999999997135502	0.9999999999999998	-0.2298495167	0.210832018	-1.154535042e-05	2.100175372e-05	0.01764535042	0.1497558326	-0.1453032964	0.836751742	0.01765552773	0.1497326741	-0.1453173216	0.8367120131	0.0001047125713	-0.0002862166613	-2.807430498e-05	1.261003941e-05	new_boucle_param.py	R0:S0:1	uncorrelated	-1.211918481e-05	5.977318514e-05	-1.372359893	0.5663822906	2.01798093	-1.583087889	0.1842202391	-0.8122667	-2.018052963	1.58309202	-0.1842618917	0.8123265891	0.2405062611	-0.2404254038	-2.530060278	2.637878163	2024-11-26@15:08	2.1719	-0.5928324114	1	2.952615882e-16	-0.1909799628	0.1609	-2.378304047e-16	0.08063619327	v2.7.1	
4	Broyden	0	0.02183507874	-93.03988449	-115.8704	10.99060656	YY	14	0.185282405	self-energy	sharp_wc_5_b_50	4.0781	2	1.256786105	0.2433302691	0.01032190896	-5.191214707	1.961325691	-5.173369675	1.809285494	-0.2022684551	1.753721567	-5.173818496	1.809290374	-0.2023467258	1.753727064	0.2841748187	0.01218908658	-4.067407671	1.559498147	a248bdd	2x2_2C_8b_C2v_L	11.32	1.17086533	2	1.64422534	0.9999999996786448	1.0	-0.2293341876	0.2101055512	-8.59744618e-06	2.182286709e-05	0.01740768464	0.1492335582	-0.1432164622	0.828187039	0.01741872408	0.1492090394	-0.1432303241	0.828153193	0.0001078713641	-0.0002977105686	-2.558648401e-05	5.322446579e-06	new_boucle_param.py	R0:S0:1	uncorrelated	-5.770959855e-06	3.328210208e-06	-1.372107477	0.5665985356	2.016698535	-1.579999437	0.1849486134	-0.8065968468	-2.016770182	1.579999817	-0.1849910929	0.8066618787	0.2381460753	-0.23790712	-2.528679142	2.635328633	2024-11-26@15:11	2.1719	-0.5914997867	1	3.902463306e-16	-0.1900001459	0.1609	-1.202008116e-16	0.08026499767	v2.7.1	
