model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-08-10@12:12
2x2_2C_8b_C2v_L	4.9208404	0	14	2.3616444	-0.0069218462	-3.3434977	-4.065241	-0.09777948	-4.0651965	-0.097777242	0.13508467	-3.6956728	9.6466667	-3.8734185e-05	2.0063844e-06	0.010852298	-0.15936847	0.01085335	-0.15936948	-1.302504e-06	-5.4696693e-06	-0.11069192	-1.0972013	1.7260501	0.054721357	-1.7260421	-0.054722816	0.22285809	-2.2762216	2.0691778	1	0.21146667	0.01428295	1.2629383	1.6244517	-0.5706975	-0.17703243	0.073656216	0.13099633	0.22274187	1.9444848	1.8176177	1.5968204	1.8176188	1.5968013	0.016296647	1.587921	1.1059261	0.00047562239	7.3820517e-07	0.09576401	1.0922999	0.095757731	1.0923467	-3.6961588e-07	3.0231265e-06	1.1036332	0.71415475	-1.5140726	-0.5888738	1.5140581	0.58887552	-0.28185144	2.4574941	0.028428411	0.20389732	0.054217392	0.16819509	0.33976095	0.168194	0.33977106	0.016379428	0.32916897	0.035322112	3.9169541	5.4014201	5.1280919	5.0562603	5.1280945	5.0562791	4.3335409	6.0221525	5.2742559	2.7445193	3.3931693	5.0456549	3.3931362	5.0456988	3.717686	3.2680219	-74.99724	R0:S0:1	-58.280178	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.45e+02	 6.38e-03	2022-08-10@13:43
2x2_2C_8b_C2v_L	5.262335	0	14	2.4232889	-0.0068166846	-3.3421127	-4.0165925	-0.09181989	-4.0165747	-0.091824294	0.12812014	-3.6386896	9.6133333	-1.5119071e-05	-8.6155339e-08	0.0098606584	-0.1559071	0.0098614308	-0.15590764	-4.1959584e-06	1.9552053e-07	-0.10918064	-1.0890369	1.7043178	0.051022409	-1.7043137	-0.051028836	0.21820133	-2.246673	2.0383556	1	0.22293333	0.013630145	1.2641089	1.6255196	-0.56466107	-0.1743414	0.072362253	0.1290737	0.22612286	1.9452197	1.8220553	1.5949475	1.822055	1.5949502	0.016457408	1.5950801	1.1049421	0.00018512128	2.1479371e-06	0.090919839	1.0790089	0.090918381	1.0789985	1.9082852e-05	-1.2754832e-06	1.0888671	0.71414097	-1.495302	-0.5658351	1.4953017	0.56586317	-0.28171391	2.4303371	0.028077186	0.20680682	0.053512281	0.16444496	0.34149634	0.16444523	0.34149208	0.016530183	0.32518697	0.034698535	3.947147	5.3759895	5.1104178	5.0650548	5.1104209	5.0650701	4.3233666	5.9920028	5.2769994	2.7677783	3.3994141	5.0520491	3.3994129	5.0520351	3.7267598	3.2998271	-74.40252	R0:S0:1	-57.520356	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.34e+02	 6.15e-03	2022-08-10@15:08
2x2_2C_8b_C2v_L	5.6027327	0	14	2.4849333	-0.0068277605	-3.3462594	-3.9701894	-0.086135708	-3.9701697	-0.086130011	0.12116502	-3.5785349	9.58	2.8821283e-05	-2.0248209e-06	0.0089568888	-0.15251611	0.0089557431	-0.15251516	4.2952347e-06	-7.6757419e-06	-0.107728	-1.0815603	1.6830251	0.047485024	-1.6830223	-0.047478728	0.21338617	-2.2162099	2.0075333	1	0.2344	0.013005159	1.2652627	1.6265561	-0.55864091	-0.17168898	0.071089341	0.12711494	0.23105738	1.9459182	1.8264644	1.5908714	1.8264639	1.5908675	0.016629114	1.6019476	1.1038805	-0.00035697164	-3.7713504e-06	0.086222431	1.0669801	0.086222568	1.066981	-1.0481221e-05	1.3633856e-05	1.0754037	0.71458173	-1.4765825	-0.54402229	1.4765865	0.54399236	-0.28152502	2.4032861	0.027717029	0.210905	0.052838354	0.16068703	0.3444692	0.16068749	0.34447605	0.016690954	0.32130243	0.034080119	3.9854836	5.3486245	5.0913936	5.0772072	5.0913935	5.0771911	4.3122965	5.9631158	5.2806396	2.7919408	3.4042779	5.0638151	3.4042847	5.0638218	3.7364108	3.330433	-73.823637	R0:S0:1	-56.760533	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.25e+02	 5.71e-03	2022-08-10@18:17
2x2_2C_8b_C2v_L	5.9415957	0	14	2.5465778	-0.0069382641	-3.3412451	-3.9182664	-0.080466982	-3.9182911	-0.080467725	0.11455525	-3.5190134	9.5466667	8.3802939e-06	-1.0357637e-06	0.0080517367	-0.1488031	0.008051276	-0.14880305	1.9012921e-07	1.6745421e-06	-0.10612574	-1.0727324	1.6606227	0.044309965	-1.660628	-0.044309514	0.20841242	-2.1860244	1.9767111	1	0.24586667	0.012434678	1.2663926	1.6275493	-0.55268839	-0.16910202	0.0698425	0.12514592	0.23657312	1.9465573	1.8306744	1.58486	1.830674	1.5848647	0.016814434	1.6086285	1.1027693	-0.00010545875	1.0796125e-06	0.082020632	1.0553289	0.082022294	1.0553147	9.9188655e-07	-1.3033077e-06	1.0622513	0.71507932	-1.4583269	-0.5243687	1.458333	0.52436904	-0.28121214	2.3766548	0.027352558	0.2152553	0.05221797	0.15706902	0.3484066	0.15706943	0.34840455	0.016864516	0.31745997	0.033468813	4.0268507	5.3205876	5.0717059	5.0930466	5.0717029	5.0930396	4.301376	5.9347601	5.2854563	2.8159115	3.4079826	5.079874	3.4079942	5.0798651	3.7457281	3.3596437	-73.205134	R0:S0:1	-56.000711	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.16e+02	 5.41e-03	2022-08-10@20:30
2x2_2C_8b_C2v_L	6.2790326	0	14	2.6082222	-0.0097398949	-3.3379085	-3.8718675	-0.075338325	-3.8718749	-0.075339685	0.1081361	-3.4578446	9.5133333	2.936366e-06	-4.0327418e-07	0.0076384181	-0.14368014	0.0076383571	-0.14368015	-6.9568176e-07	2.3987643e-07	-0.10465922	-1.0644627	1.6400458	0.043536618	-1.6400467	-0.043538129	0.20158771	-2.1563461	1.9458889	1	0.25733333	0.011967548	1.2674708	1.628684	-0.54664106	-0.16680853	0.068691728	0.12318656	0.24848657	1.9468971	1.8347587	1.5776572	1.8347585	1.5776619	0.016915225	1.6139566	1.1015488	-4.302475e-05	-3.4922169e-07	0.078418745	1.0422545	0.078419405	1.0422423	5.970555e-06	6.7738983e-07	1.0574004	0.71761536	-1.4403066	-0.51676796	1.4403092	0.51677562	-0.27908858	2.3529112	0.026986751	0.22500524	0.05186866	0.15350729	0.35044502	0.15350746	0.35044177	0.016954035	0.31431155	0.032893265	4.0972272	5.2875304	5.0494409	5.1231089	5.0494399	5.1231084	4.2894724	5.91215	5.2907309	2.8410433	3.4072913	5.1050918	3.4072984	5.1050806	3.7549606	3.3852952	-72.616878	R0:S0:1	-55.240889	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.07e+02	 5.86e-03	2022-08-10@21:09
2x2_2C_8b_C2v_L	6.6163644	0	14	2.6698667	-0.0066283735	-3.3353041	-3.8232171	-0.069909517	-3.8232184	-0.069911536	0.10160139	-3.3959608	9.48	-3.054726e-06	-5.5269876e-07	0.0064105125	-0.14195288	0.0064107903	-0.14195345	-2.3114565e-06	-2.5545748e-06	-0.1030789	-1.0556417	1.6175918	0.037907947	-1.6175921	-0.037910727	0.19837548	-2.12453	1.9150667	1	0.2688	0.011365981	1.2686131	1.6294379	-0.54081445	-0.16399393	0.067398167	0.12113658	0.2505358	1.9477695	1.8390429	1.5652635	1.8390428	1.5652652	0.017198551	1.6215029	1.1003707	3.7171958e-05	-2.9203285e-07	0.073685346	1.0367532	0.073684111	1.036747	1.5548922e-05	4.1125172e-06	1.0377508	0.71667528	-1.4219564	-0.48478204	1.4219577	0.48479495	-0.28066373	2.3233075	0.026602934	0.22559782	0.051034612	0.14980264	0.36071292	0.14980274	0.36071053	0.017221514	0.30989092	0.032259583	4.1252935	5.2609084	5.0291139	5.1334645	5.0291132	5.13347	4.2778043	5.8798275	5.2994881	2.8651603	3.4124078	5.1303638	3.4124104	5.1303607	3.7653796	3.4148186	-72.011846	R0:S0:1	-54.481067	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 9.93e+01	 4.22e-03	2022-08-10@22:07
2x2_2C_8b_C2v_L	6.9597662	0	14	2.7315111	-0.0073976218	-3.3266841	-3.7752241	-0.066397293	-3.7752278	-0.06639489	0.096765912	-3.338107	9.4466667	7.2654698e-06	4.4877753e-07	0.0059350602	-0.13852264	0.0059346215	-0.1385226	1.9748157e-06	-1.2509044e-06	-0.10123044	-1.0461946	1.5958886	0.03642383	-1.5958897	-0.036419456	0.19346478	-2.0948343	1.8842444	1	0.28026667	0.01088658	1.269914	1.6306655	-0.53413218	-0.16092124	0.065989307	0.11916159	0.25203616	1.9486868	1.843424	1.5694046	1.8434243	1.5694	0.01700962	1.6294818	1.0993215	-9.5324515e-05	-2.647499e-06	0.070210536	1.0149313	0.0702108	1.0149417	-7.4712391e-06	3.2266466e-06	1.019404	0.71461853	-1.4032313	-0.46879204	1.4032304	0.46876862	-0.27852438	2.2935427	0.02623109	0.22733845	0.050163012	0.14605347	0.35815521	0.1460532	0.35816048	0.017023105	0.30515339	0.031620521	4.1416743	5.2384284	5.0132511	5.1406656	5.0132497	5.1406554	4.2672842	5.8462302	5.3006739	2.8878233	3.4221402	5.1202149	3.4221392	5.1202269	3.7744316	3.4446482	-71.418606	R0:S0:1	-53.721244	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 9.14e+01	 4.83e-03	2022-08-10@22:37
2x2_2C_8b_C2v_L	7.29112	0	14	2.7931556	-0.0065438425	-3.3230915	-3.7278617	-0.061493771	-3.727873	-0.061493296	0.090573812	-3.2760233	9.4133333	-4.5890086e-06	7.4221054e-07	0.0051505506	-0.13577068	0.0051504629	-0.1357716	2.9060595e-06	-7.6820239e-07	-0.099875583	-1.037258	1.5741552	0.03306995	-1.5741575	-0.033066851	0.18901612	-2.0637078	1.8534222	1	0.29173333	0.010447881	1.2708977	1.6313666	-0.52859476	-0.15866477	0.064895864	0.11708084	0.26338952	1.9491458	1.8472972	1.5475235	1.8472983	1.5475196	0.017403391	1.6350894	1.0978871	6.0385105e-05	-4.7695372e-08	0.066303194	1.0145736	0.066302613	1.0146	-2.1940194e-05	-1.3625627e-06	1.0106071	0.71650125	-1.3857967	-0.4493497	1.3857887	0.44932969	-0.27967506	2.2678538	0.025835227	0.23490435	0.0497023	0.14260381	0.37097592	0.14260275	0.37097799	0.017399365	0.30170848	0.031043854	4.2144764	5.2034302	4.9877559	5.1740933	4.9877568	5.1740886	4.254447	5.8213004	5.3140375	2.9139295	3.4194438	5.1749696	3.4194291	5.174986	3.7848193	3.4678711	-70.824428	R0:S0:1	-52.961422	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	 8.49e+01	 5.97e-03	2022-08-10@23:40
2x2_2C_8b_C2v_L	7.6357163	0	14	2.8548	-0.007613453	-3.3130175	-3.679713	-0.058493116	-3.6797133	-0.058497355	0.086027721	-3.2168466	9.38	-1.4857438e-05	-1.088201e-06	0.0048197248	-0.13223843	0.0048204947	-0.13223893	3.5716e-06	-2.197081e-06	-0.097946657	-1.0276247	1.5525048	0.032151288	-1.5525049	-0.032158485	0.1838022	-2.0336868	1.8226	1	0.3032	0.0099937556	1.2722651	1.6326795	-0.52159258	-0.15540096	0.063429839	0.11508614	0.26406334	1.9501297	1.8516416	1.5552296	1.8516415	1.5552411	0.017044279	1.6434262	1.096822	0.00020546355	5.6846021e-06	0.063132641	0.98887771	0.063131545	0.98887177	-3.7535003e-05	-6.0035175e-06	0.99073309	0.71368754	-1.3670914	-0.43539513	1.3670882	0.43543554	-0.27639243	2.236902	0.025455301	0.23631294	0.048769921	0.13887001	0.3662684	0.13887002	0.36625608	0.017033041	0.29662388	0.030396483	4.2245188	5.1822597	4.9730678	5.1789248	4.9730726	5.178944	4.2437409	5.7862885	5.3137781	2.9364825	3.430885	5.1561291	3.4308755	5.1561056	3.7939794	3.4968492	-70.22907	R0:S0:1	-52.2016	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 7.78e+01	 4.32e-03	2022-08-11@00:12
