w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000219411	0.000164264	0.000164279	4.08444e-05	2.72519e-05	2.72519e-05	0	0	0	0	0	0
-24.975	0.000218775	0.000164822	0.000164866	4.0922e-05	2.72931e-05	2.72931e-05	5.46939e-06	4.12056e-06	4.12165e-06	1.02305e-06	6.82327e-07	6.82327e-07
-24.95	0.000215556	0.000165302	0.000165357	4.09997e-05	2.73343e-05	2.73343e-05	1.08583e-05	8.25311e-06	8.25558e-06	2.04804e-06	1.36568e-06	1.36568e-06
-24.925	0.000211763	0.000165774	0.000165825	4.10777e-05	2.73757e-05	2.73757e-05	1.61524e-05	1.23975e-05	1.24012e-05	3.07499e-06	2.05008e-06	2.05008e-06
-24.9	0.0002087	0.000166278	0.00016632	4.1156e-05	2.74171e-05	2.74171e-05	2.13698e-05	1.65544e-05	1.65592e-05	4.10388e-06	2.7355e-06	2.7355e-06
-24.875	0.000206742	0.000166826	0.000166857	4.12344e-05	2.74586e-05	2.74586e-05	2.65384e-05	2.07251e-05	2.07306e-05	5.13475e-06	3.42197e-06	3.42197e-06
-24.85	0.000205816	0.000167412	0.000167436	4.13131e-05	2.75003e-05	2.75003e-05	3.16838e-05	2.49104e-05	2.49165e-05	6.16757e-06	4.10948e-06	4.10948e-06
-24.825	0.000205736	0.000168031	0.000168049	4.1392e-05	2.7542e-05	2.7542e-05	3.68272e-05	2.91111e-05	2.91178e-05	7.20237e-06	4.79803e-06	4.79803e-06
-24.8	0.00020634	0.000168676	0.000168691	4.14712e-05	2.75838e-05	2.75838e-05	4.19857e-05	3.3328e-05	3.3335e-05	8.23915e-06	5.48762e-06	5.48762e-06
-24.775	0.000207522	0.000169345	0.000169356	4.15506e-05	2.76258e-05	2.76258e-05	4.71737e-05	3.75617e-05	3.75689e-05	9.27792e-06	6.17827e-06	6.17827e-06
-24.75	0.000209228	0.000170033	0.000170042	4.16302e-05	2.76678e-05	2.76678e-05	5.24045e-05	4.18125e-05	4.182e-05	1.03187e-05	6.86996e-06	6.86996e-06
-24.725	0.000211454	0.000170742	0.000170749	4.17101e-05	2.77099e-05	2.77099e-05	5.76908e-05	4.6081e-05	4.60887e-05	1.13614e-05	7.56271e-06	7.56271e-06
-24.7	0.000214239	0.00017147	0.000171477	4.17902e-05	2.77521e-05	2.77521e-05	6.30468e-05	5.03678e-05	5.03756e-05	1.24062e-05	8.25651e-06	8.25651e-06
-24.675	0.000217654	0.00017222	0.000172226	4.18706e-05	2.77945e-05	2.77945e-05	6.84881e-05	5.46733e-05	5.46813e-05	1.34529e-05	8.95137e-06	8.95137e-06
-24.65	0.000221757	0.000172993	0.000172999	4.19512e-05	2.78369e-05	2.78369e-05	7.4032e-05	5.89981e-05	5.90063e-05	1.45017e-05	9.64729e-06	9.64729e-06
-24.625	0.000226465	0.000173787	0.000173793	4.2032e-05	2.78794e-05	2.78794e-05	7.96937e-05	6.33428e-05	6.33511e-05	1.55525e-05	1.03443e-05	1.03443e-05
-24.6	0.000231338	0.000174595	0.000174601	4.21132e-05	2.7922e-05	2.7922e-05	8.54771e-05	6.77077e-05	6.77161e-05	1.66054e-05	1.10423e-05	1.10423e-05
-24.575	0.000235518	0.0001754	0.000175406	4.21945e-05	2.79647e-05	2.79647e-05	9.13651e-05	7.20927e-05	7.21013e-05	1.76602e-05	1.17414e-05	1.17414e-05
-24.55	0.000238352	0.00017619	0.000176196	4.22761e-05	2.80076e-05	2.80076e-05	9.73239e-05	7.64974e-05	7.65062e-05	1.87171e-05	1.24416e-05	1.24416e-05
-24.525	0.000240182	0.000176974	0.000176979	4.23579e-05	2.80505e-05	2.80505e-05	0.000103328	8.09218e-05	8.09307e-05	1.97761e-05	1.31429e-05	1.31429e-05
-24.5	0.000241993	0.000177773	0.000177776	4.24399e-05	2.80935e-05	2.80935e-05	0.000109378	8.53661e-05	8.53751e-05	2.08371e-05	1.38452e-05	1.38452e-05
-24.475	0.000244556	0.000178606	0.000178607	4.25221e-05	2.81366e-05	2.81366e-05	0.000115492	8.98312e-05	8.98403e-05	2.19001e-05	1.45487e-05	1.45487e-05
-24.45	0.000248236	0.000179482	0.000179481	4.26046e-05	2.81799e-05	2.81799e-05	0.000121698	9.43183e-05	9.43273e-05	2.29652e-05	1.52532e-05	1.52532e-05
-24.425	0.000253201	0.000180411	0.000180408	4.26873e-05	2.82232e-05	2.82232e-05	0.000128028	9.88286e-05	9.88375e-05	2.40324e-05	1.59587e-05	1.59587e-05
-24.4	0.000259613	0.000181402	0.000181396	4.27702e-05	2.82666e-05	2.82666e-05	0.000134518	0.000103364	0.000103372	2.51017e-05	1.66654e-05	1.66654e-05
-24.375	0.000267729	0.00018247	0.000182461	4.28535e-05	2.83102e-05	2.83102e-05	0.000141212	0.000107925	0.000107934	2.6173e-05	1.73732e-05	1.73732e-05
-24.35	0.00027796	0.000183635	0.000183624	4.29369e-05	2.83538e-05	2.83538e-05	0.000148161	0.000112516	0.000112525	2.72464e-05	1.8082e-05	1.8082e-05
-24.325	0.000290928	0.000184929	0.000184914	4.30207e-05	2.83976e-05	2.83976e-05	0.000155434	0.000117139	0.000117147	2.83219e-05	1.87919e-05	1.87919e-05
-24.3	0.000307518	0.000186394	0.000186374	4.31047e-05	2.84414e-05	2.84414e-05	0.000163122	0.000121799	0.000121807	2.93996e-05	1.9503e-05	1.9503e-05
-24.275	0.000328904	0.000188086	0.000188061	4.3189e-05	2.84854e-05	2.84854e-05	0.000171344	0.000126501	0.000126508	3.04793e-05	2.02151e-05	2.02151e-05
-24.25	0.000356361	0.000190065	0.000190032	4.32735e-05	2.85294e-05	2.85294e-05	0.000180253	0.000131253	0.000131259	3.15611e-05	2.09283e-05	2.09283e-05
-24.225	0.000390514	0.000192359	0.000192315	4.33582e-05	2.85736e-05	2.85736e-05	0.000190016	0.000136062	0.000136067	3.26451e-05	2.16427e-05	2.16427e-05
-24.2	0.000429405	0.000194869	0.000194811	4.34433e-05	2.86179e-05	2.86179e-05	0.000200751	0.000140934	0.000140937	3.37312e-05	2.23581e-05	2.23581e-05
-24.175	0.000466154	0.000197256	0.000197178	4.35286e-05	2.86623e-05	2.86623e-05	0.000212405	0.000145865	0.000145867	3.48194e-05	2.30747e-05	2.30747e-05
-24.15	0.000491235	0.00019905	0.000198944	4.36141e-05	2.87067e-05	2.87067e-05	0.000224686	0.000150841	0.00015084	3.59097e-05	2.37924e-05	2.37924e-05
-24.125	0.00050257	0.00020014	0.000199995	4.37e-05	2.87513e-05	2.87513e-05	0.00023725	0.000155845	0.00015584	3.70022e-05	2.45111e-05	2.45111e-05
-24.1	0.000509977	0.000200985	0.000200789	4.3786e-05	2.8796e-05	2.8796e-05	0.00025	0.00016087	0.00016086	3.80969e-05	2.5231e-05	2.5231e-05
-24.075	0.000525673	0.000202157	0.000201903	4.38724e-05	2.88408e-05	2.88408e-05	0.000263142	0.000165924	0.000165907	3.91937e-05	2.59521e-05	2.59521e-05
-24.05	0.000555275	0.000203912	0.000203617	4.3959e-05	2.88857e-05	2.88857e-05	0.000277023	0.000171021	0.000170998	4.02927e-05	2.66742e-05	2.66742e-05
-24.025	0.000594443	0.000206052	0.000205794	4.40459e-05	2.89308e-05	2.89308e-05	0.000291885	0.000176173	0.000176143	4.13938e-05	2.73975e-05	2.73975e-05
-24	0.000627175	0.00020789	0.000207816	4.4133e-05	2.89759e-05	2.89759e-05	0.000307564	0.00018137	0.000181338	4.24971e-05	2.81219e-05	2.81219e-05
-23.975	0.000632858	0.000208602	0.000208819	4.42204e-05	2.90211e-05	2.90211e-05	0.000323385	0.000186585	0.000186559	4.36026e-05	2.88474e-05	2.88474e-05
-23.95	0.000606024	0.000208046	0.000208482	4.43081e-05	2.90665e-05	2.90665e-05	0.000338536	0.000191786	0.000191771	4.47103e-05	2.95741e-05	2.95741e-05
-23.925	0.000562525	0.000206893	0.000207381	4.4396e-05	2.91119e-05	2.91119e-05	0.000352599	0.000196958	0.000196955	4.58203e-05	3.03019e-05	3.03019e-05
-23.9	0.000521527	0.000205874	0.000206301	4.44842e-05	2.91575e-05	2.91575e-05	0.000365637	0.000202105	0.000202113	4.69324e-05	3.10308e-05	3.10308e-05
-23.875	0.000492624	0.000205326	0.00020566	4.45727e-05	2.92032e-05	2.92032e-05	0.000377953	0.000207238	0.000207254	4.80467e-05	3.17609e-05	3.17609e-05
-23.85	0.000476794	0.000205275	0.000205526	4.46615e-05	2.9249e-05	2.9249e-05	0.000389873	0.00021237	0.000212392	4.91632e-05	3.24921e-05	3.24921e-05
-23.825	0.000469745	0.000205596	0.00020578	4.47505e-05	2.92949e-05	2.92949e-05	0.000401616	0.00021751	0.000217537	5.0282e-05	3.32245e-05	3.32245e-05
-23.8	0.00046407	0.00020609	0.000206225	4.48398e-05	2.93409e-05	2.93409e-05	0.000413218	0.000222662	0.000222692	5.1403e-05	3.3958e-05	3.3958e-05
-23.775	0.00045384	0.000206602	0.0002067	4.49294e-05	2.9387e-05	2.9387e-05	0.000424564	0.000227827	0.00022786	5.25262e-05	3.46927e-05	3.46927e-05
-23.75	0.000439736	0.000207133	0.000207204	4.50193e-05	2.94332e-05	2.94332e-05	0.000435558	0.000233006	0.00023304	5.36517e-05	3.54285e-05	3.54285e-05
-23.725	0.000426879	0.000207792	0.00020784	4.51094e-05	2.94796e-05	2.94796e-05	0.000446229	0.000238201	0.000238236	5.47794e-05	3.61655e-05	3.61655e-05
-23.7	0.00041935	0.000208672	0.000208703	4.51999e-05	2.9526e-05	2.9526e-05	0.000456713	0.000243417	0.000243454	5.59094e-05	3.69036e-05	3.69036e-05
-23.675	0.000418858	0.000209827	0.000209842	4.52906e-05	2.95726e-05	2.95726e-05	0.000467185	0.000248663	0.0002487	5.70417e-05	3.7643e-05	3.7643e-05
-23.65	0.00042604	0.000211297	0.000211297	4.53816e-05	2.96193e-05	2.96193e-05	0.000477836	0.000253945	0.000253982	5.81762e-05	3.83834e-05	3.83834e-05
-23.625	0.000441607	0.000213138	0.000213124	4.54729e-05	2.96661e-05	2.96661e-05	0.000488876	0.000259274	0.00025931	5.93131e-05	3.91251e-05	3.91251e-05
-23.6	0.000466819	0.000215435	0.000215405	4.55645e-05	2.9713e-05	2.9713e-05	0.000500546	0.00026466	0.000264695	6.04522e-05	3.98679e-05	3.98679e-05
-23.575	0.000503363	0.000218291	0.000218243	4.56564e-05	2.97601e-05	2.97601e-05	0.00051313	0.000270117	0.000270151	6.15936e-05	4.06119e-05	4.06119e-05
-23.55	0.000552201	0.000221765	0.000221696	4.57486e-05	2.98072e-05	2.98072e-05	0.000526935	0.000275661	0.000275694	6.27373e-05	4.13571e-05	4.13571e-05
-23.525	0.00061031	0.000225706	0.000225609	4.58411e-05	2.98545e-05	2.98545e-05	0.000542193	0.000281304	0.000281334	6.38833e-05	4.21035e-05	4.21035e-05
-23.5	0.000665454	0.000229472	0.00022934	4.59339e-05	2.99018e-05	2.99018e-05	0.00055883	0.000287041	0.000287067	6.50317e-05	4.2851e-05	4.2851e-05
