w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000100914	0.000105481	0.000105481	4.25182e-05	3.33525e-05	3.33525e-05	0	0	0	0	0	0
-24.975	0.00010108	0.000105796	0.000105796	4.25996e-05	3.34083e-05	3.34083e-05	2.52699e-06	2.64491e-06	2.6449e-06	1.06499e-06	8.35207e-07	8.35207e-07
-24.95	0.000101258	0.000106113	0.000106113	4.26813e-05	3.34641e-05	3.34641e-05	5.05845e-06	5.29774e-06	5.29773e-06	2.13202e-06	1.67181e-06	1.67181e-06
-24.925	0.000101475	0.000106433	0.000106433	4.27632e-05	3.35202e-05	3.35202e-05	7.59531e-06	7.95856e-06	7.95854e-06	3.2011e-06	2.50981e-06	2.50981e-06
-24.9	0.00010173	0.000106755	0.000106755	4.28453e-05	3.35763e-05	3.35763e-05	1.01386e-05	1.06274e-05	1.06274e-05	4.27224e-06	3.34922e-06	3.34922e-06
-24.875	0.000102018	0.000107079	0.000107079	4.29277e-05	3.36326e-05	3.36326e-05	1.2689e-05	1.33044e-05	1.33044e-05	5.34543e-06	4.19004e-06	4.19004e-06
-24.85	0.00010233	0.000107405	0.000107405	4.30104e-05	3.36891e-05	3.36891e-05	1.52473e-05	1.59895e-05	1.59895e-05	6.42069e-06	5.03227e-06	5.03227e-06
-24.825	0.000102662	0.000107734	0.000107734	4.30932e-05	3.37457e-05	3.37457e-05	1.78138e-05	1.86829e-05	1.86829e-05	7.49802e-06	5.87591e-06	5.87591e-06
-24.8	0.00010301	0.000108064	0.000108064	4.31764e-05	3.38024e-05	3.38024e-05	2.03891e-05	2.13845e-05	2.13845e-05	8.57743e-06	6.72097e-06	6.72097e-06
-24.775	0.000103369	0.000108396	0.000108396	4.32598e-05	3.38593e-05	3.38593e-05	2.29733e-05	2.40944e-05	2.40944e-05	9.65892e-06	7.56745e-06	7.56745e-06
-24.75	0.000103738	0.00010873	0.00010873	4.33434e-05	3.39164e-05	3.39164e-05	2.55667e-05	2.68127e-05	2.68126e-05	1.07425e-05	8.41536e-06	8.41536e-06
-24.725	0.000104116	0.000109066	0.000109066	4.34273e-05	3.39735e-05	3.39735e-05	2.81696e-05	2.95393e-05	2.95393e-05	1.18282e-05	9.2647e-06	9.2647e-06
-24.7	0.000104502	0.000109404	0.000109404	4.35114e-05	3.40309e-05	3.40309e-05	3.07822e-05	3.22744e-05	3.22744e-05	1.2916e-05	1.01155e-05	1.01155e-05
-24.675	0.000104895	0.000109743	0.000109743	4.35958e-05	3.40884e-05	3.40884e-05	3.34045e-05	3.5018e-05	3.50179e-05	1.40059e-05	1.09677e-05	1.09677e-05
-24.65	0.000105295	0.000110084	0.000110084	4.36804e-05	3.4146e-05	3.4146e-05	3.60369e-05	3.77701e-05	3.777e-05	1.50979e-05	1.18213e-05	1.18213e-05
-24.625	0.000105703	0.000110427	0.000110427	4.37653e-05	3.42038e-05	3.42038e-05	3.86795e-05	4.05307e-05	4.05307e-05	1.6192e-05	1.26764e-05	1.26764e-05
-24.6	0.000106118	0.000110771	0.000110771	4.38504e-05	3.42617e-05	3.42617e-05	4.13325e-05	4.33e-05	4.33e-05	1.72883e-05	1.3533e-05	1.3533e-05
-24.575	0.000106541	0.000111118	0.000111118	4.39358e-05	3.43198e-05	3.43198e-05	4.3996e-05	4.6078e-05	4.60779e-05	1.83867e-05	1.4391e-05	1.4391e-05
-24.55	0.000106972	0.000111466	0.000111466	4.40215e-05	3.4378e-05	3.4378e-05	4.66703e-05	4.88646e-05	4.88646e-05	1.94872e-05	1.52504e-05	1.52504e-05
-24.525	0.000107412	0.000111816	0.000111817	4.41074e-05	3.44364e-05	3.44364e-05	4.93556e-05	5.166e-05	5.166e-05	2.05899e-05	1.61113e-05	1.61113e-05
-24.5	0.000107864	0.000112169	0.000112169	4.41936e-05	3.4495e-05	3.4495e-05	5.20522e-05	5.44643e-05	5.44642e-05	2.16947e-05	1.69737e-05	1.69737e-05
-24.475	0.000108328	0.000112523	0.000112523	4.428e-05	3.45537e-05	3.45537e-05	5.47604e-05	5.72773e-05	5.72773e-05	2.28017e-05	1.78375e-05	1.78375e-05
-24.45	0.000108808	0.00011288	0.00011288	4.43667e-05	3.46125e-05	3.46125e-05	5.74806e-05	6.00993e-05	6.00993e-05	2.39109e-05	1.87029e-05	1.87029e-05
-24.425	0.000109306	0.000113238	0.000113238	4.44537e-05	3.46715e-05	3.46715e-05	6.02132e-05	6.29303e-05	6.29302e-05	2.50222e-05	1.95696e-05	1.95696e-05
-24.4	0.000109828	0.0001136	0.0001136	4.45409e-05	3.47307e-05	3.47307e-05	6.29589e-05	6.57703e-05	6.57702e-05	2.61358e-05	2.04379e-05	2.04379e-05
-24.375	0.000110382	0.000113963	0.000113964	4.46284e-05	3.479e-05	3.479e-05	6.57185e-05	6.86194e-05	6.86193e-05	2.72515e-05	2.13077e-05	2.13077e-05
-24.35	0.000110977	0.000114331	0.000114331	4.47162e-05	3.48495e-05	3.48495e-05	6.84929e-05	7.14776e-05	7.14776e-05	2.83694e-05	2.21789e-05	2.21789e-05
-24.325	0.000111626	0.000114701	0.000114701	4.48041e-05	3.49091e-05	3.49091e-05	7.12835e-05	7.43451e-05	7.43451e-05	2.94895e-05	2.30516e-05	2.30516e-05
-24.3	0.000112349	0.000115076	0.000115076	4.48924e-05	3.49689e-05	3.49689e-05	7.40923e-05	7.7222e-05	7.7222e-05	3.06118e-05	2.39258e-05	2.39258e-05
-24.275	0.000113163	0.000115456	0.000115456	4.49809e-05	3.50288e-05	3.50288e-05	7.69213e-05	8.01084e-05	8.01084e-05	3.17363e-05	2.48016e-05	2.48016e-05
-24.25	0.000114072	0.00011584	0.00011584	4.50697e-05	3.50889e-05	3.50889e-05	7.97731e-05	8.30044e-05	8.30044e-05	3.28631e-05	2.56788e-05	2.56788e-05
-24.225	0.000115038	0.000116229	0.000116229	4.51588e-05	3.51492e-05	3.51492e-05	8.26491e-05	8.59102e-05	8.59101e-05	3.3992e-05	2.65575e-05	2.65575e-05
-24.2	0.000115934	0.000116616	0.000116616	4.52481e-05	3.52096e-05	3.52096e-05	8.55474e-05	8.88255e-05	8.88255e-05	3.51232e-05	2.74378e-05	2.74378e-05
-24.175	0.000116596	0.000116996	0.000116997	4.53377e-05	3.52701e-05	3.52701e-05	8.84623e-05	9.17505e-05	9.17504e-05	3.62567e-05	2.83195e-05	2.83195e-05
-24.15	0.000116983	0.000117369	0.000117369	4.54276e-05	3.53309e-05	3.53309e-05	9.13869e-05	9.46847e-05	9.46847e-05	3.73924e-05	2.92028e-05	2.92028e-05
