w	up_1	up_2	up_3	down_1	down_2	down_3	cumul_up_1	cumul_up_2	cumul_up_3	cumul_down_1	cumul_down_2	cumul_down_3	
-25	0.000140668	0.000140542	0.000140543	4.16214e-05	2.89048e-05	2.89048e-05	0	0	0	0	0	0
-24.965	0.000140935	0.000141212	0.000141212	4.17324e-05	2.89679e-05	2.89679e-05	4.93767e-06	4.94735e-06	4.94735e-06	1.4621e-06	1.01489e-06	1.01489e-06
-24.9299	0.000141652	0.0001419	0.0001419	4.18438e-05	2.90311e-05	2.90311e-05	9.90045e-06	9.91882e-06	9.91882e-06	2.92809e-06	2.032e-06	2.032e-06
-24.8949	0.000142625	0.000142602	0.000142602	4.19557e-05	2.90946e-05	2.90946e-05	1.48973e-05	1.49149e-05	1.49149e-05	4.39801e-06	3.05133e-06	3.05133e-06
-24.8599	0.000143508	0.000143312	0.000143312	4.2068e-05	2.91583e-05	2.91583e-05	1.99251e-05	1.99358e-05	1.99358e-05	5.87187e-06	4.07289e-06	4.07289e-06
-24.8248	0.000144095	0.000144024	0.000144024	4.21808e-05	2.92222e-05	2.92222e-05	2.49735e-05	2.49817e-05	2.49817e-05	7.34967e-06	5.09669e-06	5.09669e-06
-24.7898	0.000144592	0.000144742	0.000144741	4.22941e-05	2.92864e-05	2.92864e-05	3.00393e-05	3.00527e-05	3.00527e-05	8.83145e-06	6.12274e-06	6.12274e-06
-24.7548	0.000145226	0.000145469	0.000145469	4.24078e-05	2.93507e-05	2.93507e-05	3.51273e-05	3.51492e-05	3.51492e-05	1.03172e-05	7.15105e-06	7.15105e-06
-24.7197	0.000146056	0.000146206	0.000146206	4.25221e-05	2.94153e-05	2.94153e-05	4.02443e-05	4.02716e-05	4.02716e-05	1.1807e-05	8.18161e-06	8.18161e-06
-24.6847	0.000147065	0.000146954	0.000146954	4.26367e-05	2.94801e-05	2.94801e-05	4.53968e-05	4.54201e-05	4.54201e-05	1.33008e-05	9.21445e-06	9.21445e-06
-24.6496	0.000148238	0.000147712	0.000147712	4.27519e-05	2.95451e-05	2.95451e-05	5.05903e-05	5.05952e-05	5.05952e-05	1.47986e-05	1.02496e-05	1.02496e-05
