CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
7	Broyden	0	0.01265767715	-62.95880208	-97.5762963	4.092381639	YY	8	0.4254465493	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.17418325	0.02979992287	0.2507120061	2.104863816	0.1096730412	-3.210621148	1.625961274	-0.2693541117	1.052373163	-0.2681270317	1.051023979	-3.206070567	1.624863643	-0.2888721611	1.987923354	2.966722673	0.9228157812	a248bdd	2x2_2C_8b_C2v_L	9.08	1.396026021	2	1.608386597	0.9999999998083398	0.9999999999999998	-0.0008475032412	0.007399884441	1.011478139	-0.5847733988	0.004287016482	0.1151603639	-0.2922889115	2.701511367	-0.2917585179	2.699243862	0.004379746047	0.1175474737	0.3692179357	-0.3801856393	2.269699929	-3.713961086	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1495279734	-1.741896304	-0.0002369076139	0.001064372093	1.677292902	-1.867817252	0.01480238391	-0.2777881784	-0.01578309075	0.2890137974	-1.67602883	1.871440495	0.000780665164	-0.004423301354	0.0001803079981	9.187474994e-05	2024-09-21@08:27	2.148148148	-0.8400374929	1	1.397720596e-16	-0.3887997817	0.3888888889	2.9649715e-16	0.1456620784	v2.7.1	
2	Broyden	0	-3.704806826e-06	-59.54617333	-112.1362963	5.553925115	YY	8	0.5282101889	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.211015078	2.474207903	0.04658843628	0.01048255256	0.2069017356	-0.1488306618	1.308081473	3.305694575	0.2783043085	0.1482114058	0.6924383231	-3.288587099	1.720783675	3.280546015	0.9225511597	0.1837325401	0.03820386797	a248bdd	2x2_2C_8b_C2v_L	9.99	1.513307697	2	1.695745017	0.9999999998417373	0.9999999999999999	-1.031691732	0.2900773169	0.03933891911	-0.2941140109	-0.2361051086	2.630046962	-1.602205795	1.365573245	0.01456553215	-0.1245165326	0.003570199049	-0.0003197457824	2.1830924	-3.719499645	-0.016417829	0.2802509696	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0002485215177	0.00486690007	-0.1220788426	1.14754494	-0.01474506111	0.1258012236	-0.003712510023	0.0006356673493	-0.2357516756	2.628132472	-1.598176938	1.366905408	0.004098593089	0.05506529996	0.3038075407	-0.3456392412	2024-09-21@08:32	2.148148148	-0.6862014359	1	-4.823150099e-16	-0.3340391998	0.3888888889	-1.067571919e-16	0.1254622835	v2.7.1	
7	Broyden	0	0.01451841514	-62.89448584	-97.4162963	4.077052562	YY	8	0.4242867792	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.173761871	0.03018062044	0.2522766534	2.10036494	0.110478245	-3.204544049	1.623459196	-0.2704827413	1.054966441	-0.269667854	1.05444181	-3.199148939	1.622821105	-0.2897690033	1.987885082	2.959672307	0.9233439088	a248bdd	2x2_2C_8b_C2v_L	9.07	1.394651911	2	1.607449382	0.9999999998032921	0.9999999999999998	8.90104141e-05	-0.0008526951414	1.011324516	-0.5880994391	0.004882637967	0.137876704	-0.2923962395	2.689296544	-0.2920433219	2.687701664	0.005177094045	0.1384331927	0.3695490695	-0.3807809948	2.269699461	-3.714121323	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1496032236	-1.74515189	2.955593866e-05	-0.0003697698177	1.677042695	-1.877782328	0.01756774297	-0.3312690429	-0.01806943986	0.336643476	-1.675485558	1.87941332	-0.0001639837083	0.001083012261	-5.42783277e-06	-0.0002775610523	2024-09-21@08:44	2.148148148	-0.8416251816	1	-3.269383695e-16	-0.3893522267	0.3888888889	6.774968992e-17	0.1459441057	v2.7.1	
11	Broyden	0	0.01567042207	-62.88722857	-97.2562963	4.061616417	YY	8	0.4230974053	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.173330091	0.0309955234	0.2549332313	2.09579127	0.1115645742	-3.206922354	1.62224796	-0.2726727926	1.057221569	-0.2725524249	1.057152506	-3.204075944	1.622041549	-0.2920393003	1.987819485	2.956292737	0.923630534	a248bdd	2x2_2C_8b_C2v_L	9.06	1.393212311	2	1.606530717	0.9999999997802108	0.9999999999999999	0.0003141383553	-0.002614424333	1.011092187	-0.5927271523	0.005441482664	0.1521058623	-0.2934186979	2.682047607	-0.2932867595	2.681504697	0.005534094528	0.1519828408	0.3708041427	-0.3818881738	2.271233454	-3.71427024	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1503337515	-1.752193143	-0.0002217510074	0.00100455747	1.679021587	-1.884056332	0.01929014225	-0.3648414043	-0.01939725941	0.3658020694	-1.678300405	1.884365671	-6.600033381e-05	0.0004169602442	-2.639037194e-05	-7.805843334e-05	2024-09-21@09:00	2.148148148	-0.8432006499	1	-2.995996299e-16	-0.3899371216	0.3888888889	-1.37101799e-17	0.1462300436	v2.7.1	
6	Broyden	0	0.01745169851	-62.81501526	-97.0962963	4.04934985	YY	8	0.421734425	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.172964951	0.03108188594	0.2555982692	2.093757961	0.1120432744	-3.198384017	1.619127932	-0.2725371129	1.061364089	-0.2726476637	1.06190223	-3.197616718	1.618906077	-0.2926340959	1.987792463	2.949369037	0.9242935702	a248bdd	2x2_2C_8b_C2v_L	9.05	1.391597974	2	1.605813596	0.9999999998155574	1.0	-0.000566890265	0.004740271529	1.01134404	-0.5949076183	0.006254585195	0.1736124864	-0.2932101408	2.665797972	-0.2933393385	2.664160081	0.006448752022	0.1754178606	0.371211272	-0.3824938165	2.271382988	-3.714508882	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1504739013	-1.753330512	0.0001188002236	-0.0008033384441	1.67807923	-1.895740711	0.02191680685	-0.4161703448	-0.02270446313	0.4246276063	-1.677816772	1.896592315	0.0003354827063	-0.001805212056	9.805246911e-05	-5.487536479e-05	2024-09-21@09:10	2.148148148	-0.8443888742	1	-5.329051514e-16	-0.3904799197	0.3888888889	-2.283154202e-16	0.1464745398	v2.7.1	
3	Broyden	0	1.968331063e-05	-59.58897526	-112.2962963	5.569362757	YY	8	0.5295837704	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.211382011	2.46893149	0.04623519891	-0.009568360522	1.782718264	-0.1460137534	1.310876343	3.291154977	0.2783139429	0.1447930945	0.6893387416	-3.282329557	1.7211969	3.27472199	0.9247914769	0.1814403776	0.03086117046	a248bdd	2x2_2C_8b_C2v_L	10	1.514819907	2	1.696644876	0.9999999998290929	1.0	-1.030085716	0.2877785637	0.120973371	-1.136110185	-0.234662629	2.626025172	-1.597948732	1.361861886	-0.01244778116	0.1064384993	-0.003264181703	0.001885056108	2.179424803	-3.723378863	0.01371536995	-0.2432688097	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0007646312719	-0.005768411617	-0.04047644069	0.3071655106	0.01268747397	-0.1086016678	0.00328246064	-0.001094885188	-0.233878104	2.624594978	-1.595587274	1.362326911	-0.003317768394	-0.04905843929	0.3023134818	-0.336890357	2024-09-21@09:17	2.148148148	-0.6845702047	1	1.101151886e-16	-0.3334173796	0.3888888889	2.618219977e-17	0.1252718129	v2.7.1	
8	Broyden	0	0.01808131021	-62.77923117	-96.9362963	4.032916797	YY	8	0.4206457925	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.172515053	0.03184387257	0.2583477425	2.088042655	0.1132139208	-3.202918896	1.618027898	-0.2751541891	1.062942688	-0.2736264107	1.061272211	-3.191603064	1.617320741	-0.293452035	1.987749899	2.943667109	0.9247200006	a248bdd	2x2_2C_8b_C2v_L	9.04	1.390279827	2	1.604819556	0.9999999998051738	1.0	0.0008610049607	-0.00732162337	1.010989236	-0.5997061369	0.006525470774	0.1836420809	-0.2943095232	2.659865672	-0.2935373126	2.660224433	0.006264490614	0.181453431	0.3715455684	-0.3830094854	2.271827308	-3.714708057	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.150928806	-1.75994941	2.128714553e-05	8.796823418e-05	1.68074691	-1.902034329	0.02323877237	-0.4404876538	-0.02216783741	0.4295447775	-1.677749007	1.902706605	-0.0002793346346	0.001443871134	-1.290849353e-05	6.690674591e-05	2024-09-21@09:30	2.148148148	-0.8460972232	1	1.142347487e-17	-0.3910640325	0.3888888889	3.814943375e-17	0.1467768805	v2.7.1	
1	Broyden	0	-4.501746455e-05	-61.12045585	-112.4562963	5.593911591	YY	8	0.5321460763	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.211903043	3.082978643	0.03903039569	0.1973105749	0.2047072444	-0.2212789855	1.27156836	3.5554206	0.2515320542	0.2371245465	0.7287667229	-3.830555555	1.760771261	3.514140753	0.8161524036	0.2470243299	0.3716183392	a248bdd	2x2_2C_8b_C2v_L	10.01	1.516471452	2	1.698142723	0.9999999998257052	1.0	-1.11632943	0.2794214125	0.1599487392	-0.3260087182	-0.2462543521	2.488990734	-1.635165348	1.296265853	-0.149855274	1.092242549	-0.02515095954	-0.1066759825	2.230880591	-3.457726673	0.165656742	-1.286995246	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.02026105457	-0.04325382531	0.1575457777	-1.333467318	0.1413295891	-1.068432107	0.01888432063	0.1197427318	-0.2553962954	2.515775536	-1.693163797	1.278136164	-0.02319611025	-0.1288937019	0.3135392051	-0.7760354315	2024-09-21@09:33	2.148148148	-0.6817907585	1	-2.761084396e-16	-0.3327448451	0.3888888889	-7.711614861e-17	0.1252365907	v2.7.1	
8	Broyden	0	0.01974698742	-62.7232994	-96.7762963	4.022293975	YY	8	0.419164017	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.172177464	0.03235135902	0.2590501822	2.084874531	0.1137913979	-3.195973343	1.614663904	-0.2753681432	1.069714178	-0.2734145529	1.067318273	-3.187141915	1.614121431	-0.2964754224	1.987687526	2.93842698	0.9253626788	a248bdd	2x2_2C_8b_C2v_L	9.03	1.388515028	2	1.604226175	0.9999999998980631	1.0	0.001241849599	-0.01051944891	1.011270347	-0.6022117002	0.007357578392	0.2066527538	-0.2943789524	2.639303836	-0.2934500315	2.640960385	0.007281881828	0.2029128701	0.3730659603	-0.3844169624	2.272885197	-3.714915493	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.151332609	-1.761286322	6.823587795e-05	-2.740732021e-05	1.680246685	-1.914826274	0.02649027379	-0.4976807135	-0.02518021236	0.4838162524	-1.677775296	1.915234991	-0.0009488539125	0.005199963812	-0.0001777388994	-0.0001496228177	2024-09-21@09:45	2.148148148	-0.8470642909	1	-1.011491411e-15	-0.3916083029	0.3888888889	-3.119705133e-16	0.1470012349	v2.7.1	
5	Broyden	0	0.0198731015	-62.61063859	-96.6162963	4.009132621	YY	8	0.4178950287	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.171795162	0.03347345191	0.2637405867	2.090866533	0.1140886893	-3.184294118	1.614457342	-0.2738788371	1.067763645	-0.2718650119	1.070803706	-3.170952881	1.607359658	-0.2954447072	1.987417952	2.932993829	0.9257207968	a248bdd	2x2_2C_8b_C2v_L	9.02	1.387012602	2	1.603437992	0.9999999998080955	1.0000000000000004	-0.01022707428	0.08556074126	1.013294902	-0.6046916258	0.005840695013	0.2034584308	-0.2934195007	2.643300281	-0.2921736767	2.610458892	0.009413107576	0.2250429512	0.3729449538	-0.3847819594	2.273248518	-3.714918785	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.151596786	-1.762766665	0.0007493949488	-0.004595951556	1.678681081	-1.913635351	0.02100254827	-0.4511440677	-0.03278098488	0.5774678131	-1.674193067	1.94039726	0.006323580307	-0.03471007292	0.001211645996	0.001337085581	2024-09-21@09:53	2.148148148	-0.8483674979	1	-4.314597213e-16	-0.3921535426	0.3888888889	9.766146372e-17	0.1472517731	v2.7.1	
