CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
1	Broyden	0	-8.430868083e-06	-59.75197381	-112.7762963	5.61650811	YY	8	0.5336274254	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.212487516	2.480065368	0.04493909034	0.007440721878	0.0900024212	-0.1470924804	1.326649309	3.307549599	0.2722175391	0.1448575153	0.6751212286	-3.29563953	1.726484323	3.274219249	0.9296370367	0.1765752571	0.008772290387	a248bdd	2x2_2C_8b_C2v_L	10.03	1.519218608	2	1.699447811	0.9999999998194093	0.9999999999999994	-1.030727753	0.280635407	0.004527110771	-0.0353871523	0.23509849	-2.621732625	-1.599600279	1.334912291	0.002837403812	-0.02373260311	0.0008335889748	-0.001063554357	2.173851875	-3.734257417	-0.003225593573	0.06479352949	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0006102763863	0.000489208479	0.1262513282	-1.16009932	0.00275972011	-0.0231471523	-0.0007013125509	0.0003871295105	-0.2336826633	2.620678224	-1.596786056	1.338069698	0.0007545393455	0.01410736837	0.2992577449	-0.3108380662	2024-09-21@22:58	2.148148148	-0.6795398533	1	-1.929088982e-16	-0.3315796727	0.3888888889	7.564303868e-17	0.1246943468	v2.7.1	
1	Broyden	0	1.001097649e-05	-59.80910074	-112.9362963	5.630175705	YY	8	0.5353722323	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.21281978	2.475834515	0.04453476679	0.01047798766	0.2126051744	-0.1435844749	1.325733602	3.293666467	0.2725111289	0.1448884327	0.6731042725	-3.302198569	1.728302291	3.287360363	0.9231541865	0.1769884554	0.05061794414	a248bdd	2x2_2C_8b_C2v_L	10.04	1.521087481	2	1.700248497	0.9999999998675762	0.9999999999999998	-1.029452845	0.2779985325	-0.04069883279	0.2989324316	0.232809764	-2.616359324	-1.594849738	1.332357165	0.01570773723	-0.1323832579	0.003966435547	-0.002330917381	2.176039523	-3.718087959	-0.01688838888	0.3241204921	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.000536887058	0.007008417984	0.119859272	-1.117624871	0.01558769893	-0.1317357127	-0.003935471445	0.002676440308	-0.2333931331	2.616829467	-1.596940615	1.33035834	0.004137922786	0.06711780452	0.2992600001	-0.3549230551	2024-09-21@23:02	2.148148148	-0.6781185966	1	-6.355682704e-16	-0.3310004326	0.3888888889	-3.049757979e-16	0.1245218419	v2.7.1	
1	Broyden	0	1.01773946e-05	-59.8229985	-113.0962963	5.643555214	YY	8	0.5370933302	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.213151133	2.488864056	0.04397970247	0.01195268564	0.2680537948	-0.1392801594	1.325481831	3.283262367	0.2728566431	0.1428205966	0.6715343046	-3.292181538	1.728726349	3.281993143	0.9209899259	0.1742498753	0.07459385231	a248bdd	2x2_2C_8b_C2v_L	10.05	1.522964359	2	1.701016582	0.9999999998176423	0.9999999999999999	-1.03159535	0.2752507865	-0.05007477663	0.3593719045	0.2302403517	-2.611709947	-1.590924931	1.330428472	0.01880377963	-0.1587509969	0.004619637722	-0.003093516517	2.172424422	-3.709439623	-0.02073280525	0.3995727665	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0007293188351	0.007692837306	0.1161698713	-1.094561708	0.01915605541	-0.1636144189	-0.004877505087	0.004309451804	-0.2321409623	2.612112261	-1.593274361	1.325901938	0.004815632926	0.08303235335	0.2970971101	-0.378933161	2024-09-21@23:05	2.148148148	-0.6767466325	1	-3.74281341e-16	-0.3304063928	0.3888888889	-2.711435095e-18	0.1243436176	v2.7.1	
11	Broyden	0	4.238142052e-05	-59.87394433	-113.2562963	5.664104688	YY	8	0.5375911313	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.213600916	2.507200114	0.04347921778	0.007352983935	0.0871840414	-0.1435396394	1.338458534	3.314065189	0.2679371357	0.1390947684	0.6637576303	-3.285849286	1.729900946	3.288542961	0.9299639249	0.1740724517	0.007632840494	a248bdd	2x2_2C_8b_C2v_L	10.06	1.52353624	2	1.702234586	0.9999999999128871	1.0000000000000002	-1.034035675	0.2733183306	-0.004636552701	0.03548589852	0.2331295883	-2.613220976	-1.59826107	1.313433596	-0.001318306958	0.01047155938	-0.0004582381099	0.001472447993	2.173003427	-3.736178612	0.001963642825	-0.04173605834	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0001373636136	-0.001277151212	-0.1256119504	1.144435392	-0.001997863255	0.01663508735	0.0007013825992	-0.0009169114782	-0.2305076361	2.609760108	-1.591080325	1.317508475	-0.0005674726665	-0.008977726054	0.297158554	-0.3071935795	2024-09-21@23:21	2.148148148	-0.6744767911	1	-1.134985734e-16	-0.3296844237	0.3888888889	-3.129299158e-16	0.1241144557	v2.7.1	
10	Broyden	0	-2.60425954e-06	-59.94696062	-113.4162963	5.680427749	YY	8	0.5389040229	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.213978729	2.501262411	0.04325089947	-0.00819117362	1.909809498	-0.1394995158	1.339897038	3.303367393	0.2681177171	0.1383219616	0.6604461448	-3.29309495	1.731306422	3.283989588	0.9308252777	0.1727461079	0.01001903319	a248bdd	2x2_2C_8b_C2v_L	10.07	1.524958803	2	1.703190012	0.9999999997930398	1.0	-1.032987471	0.2716059249	-0.1252283805	1.138438453	0.2312407512	-2.609575039	-1.594865121	1.310728245	0.00334461485	-0.02752123266	0.001046429746	-0.002374504181	2.170186316	-3.736023	-0.003983933398	0.08642091588	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	1.952493103e-05	0.001553746252	-0.008270472674	0.0619441837	0.002705494603	-0.02254292994	-0.0004591426047	0.0003991955303	-0.2304461718	2.60792131	-1.59224336	1.311406958	0.00105757147	0.01878348476	0.2959909595	-0.3090780867	2024-09-21@23:35	2.148148148	-0.6727316114	1	-3.648847642e-16	-0.3290440784	0.3888888889	1.20539676e-16	0.1239224456	v2.7.1	
8	Broyden	0	0.01021921334	-63.049976	-97.8962963	4.124242518	YY	8	0.4276748279	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.175055554	0.02881445673	0.245576737	2.110828903	0.1076244025	-3.21685351	1.62849323	-0.2659392024	1.051104568	-0.2655275595	1.050603244	-3.212738966	1.628370053	-0.2857973644	1.988041451	2.97473697	0.9222895148	a248bdd	2x2_2C_8b_C2v_L	9.1	1.398704407	2	1.610304611	0.9999999998272069	0.9999999999999998	0.0008402867377	-0.007169693471	1.01130359	-0.5757759927	0.003493001603	0.09046736749	-0.2910816416	2.711532371	-0.2909328872	2.712066583	0.003278788463	0.08803419962	0.3677400139	-0.3787069871	2.267521987	-3.713646752	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1485367315	-1.728299751	-4.97439203e-05	0.000519329582	1.676112996	-1.856675426	0.01262983603	-0.2255415768	-0.01162221821	0.2143164256	-1.675061275	1.856433786	-0.0004645320328	0.002671663197	-5.940590396e-05	-0.0001122642787	2024-09-21@23:48	2.148148148	-0.8367448007	1	-8.321051149e-16	-0.3876337385	0.3888888889	7.064147031e-17	0.1450971358	v2.7.1	
6	Broyden	0	0.006893664674	-63.1064518	-98.0562963	4.138957243	YY	8	0.4288784494	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.175465361	0.02837103589	0.2471620583	2.117829631	0.1065692185	-3.222194905	1.630828943	-0.267133937	1.054016268	-0.2639934427	1.048273041	-3.212154769	1.629862629	-0.2866530078	1.987887463	2.983582863	0.9215381115	a248bdd	2x2_2C_8b_C2v_L	9.11	1.400124167	2	1.61118624	0.9999999998480721	1.0	0.009566698166	-0.08218738504	1.011942942	-0.571469563	0.003789518199	0.07987998138	-0.2915789965	2.715704612	-0.2904053851	2.721144911	0.001512151986	0.05995986744	0.3679352577	-0.3785335421	2.268414278	-3.713398858	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1479462861	-1.721341081	-0.0008873431569	0.005473071948	1.676085822	-1.847342571	0.0140974797	-0.2213963142	-0.005063085512	0.123166951	-1.673874342	1.849268578	-0.005017592023	0.02907785626	-0.0009391812366	-0.001211656346	2024-09-21@23:58	2.148148148	-0.8352496154	1	-5.531712054e-16	-0.3870630539	0.3888888889	2.830959261e-19	0.144841316	v2.7.1	
4	Broyden	0	-2.180443415e-05	-60.23592636	-113.5762963	5.676801251	YY	8	0.5442276922	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.214009853	2.597072046	0.0408390111	0.06287292702	0.2524593154	-0.1531352632	1.29834369	3.392984588	0.2629787467	0.1529537682	0.7012287435	-3.383834275	1.736599141	3.327489964	0.8635994485	0.1745862039	0.3933879544	a248bdd	2x2_2C_8b_C2v_L	10.08	1.530413523	2	1.703021944	0.9999999997865173	1.0	-1.04589577	0.2633094819	-0.09448834821	0.352811861	0.2304225192	-2.565642144	-1.606355352	1.305878387	-0.07764412151	0.6637786689	-0.01731019575	-0.0228041822	2.174189396	-3.550559206	0.08682833315	-1.004798136	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.01142290556	-0.0386970077	-0.1148826448	1.127894648	-0.07765301889	0.6620603066	0.01781015884	0.0196392239	-0.230092587	2.563830896	-1.604253058	1.306332139	-0.01776448596	-0.1383252232	0.2894086832	-0.7384144897	2024-09-22@00:05	2.148148148	-0.6733975786	1	-5.042434216e-16	-0.3289110728	0.3888888889	-2.329858361e-16	0.123912057	v2.7.1	
5	Broyden	0	0.009075926609	-63.14060542	-98.2162963	4.159570706	YY	8	0.4296266283	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.175986252	0.02799727584	0.239986906	2.119227171	0.1053252121	-3.221098537	1.631390163	-0.2631571396	1.054799419	-0.2614387884	1.052934991	-3.218601197	1.629695897	-0.2827414918	1.988179654	2.986200354	0.9216281262	a248bdd	2x2_2C_8b_C2v_L	9.12	1.401041536	2	1.612478201	0.9999999998490905	1.0	-0.00313399538	0.0267687897	1.011851424	-0.5658843325	0.00271032405	0.07537605688	-0.2906656737	2.717355224	-0.2898884009	2.713032396	0.003563941986	0.08386771769	0.366166647	-0.3767431979	2.266756068	-3.713526615	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1477715584	-1.712615785	0.0001236432181	-0.001439991837	1.674759405	-1.843406249	0.009536826161	-0.179085146	-0.01333034174	0.221197975	-1.673880741	1.849852183	0.001979653193	-0.01145078996	0.0004611901461	0.0001587481406	2024-09-22@00:14	2.148148148	-0.832993048	1	-2.739924052e-16	-0.3864619607	0.3888888889	2.934252514e-16	0.1445059787	v2.7.1	
7	Broyden	0	0.007926525403	-63.19550737	-98.3762963	4.175328664	YY	8	0.4307350859	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.176416544	0.02781860874	0.2368536435	2.120090641	0.1042867838	-3.2292506	1.632947898	-0.2624723484	1.055872224	-0.2601478316	1.05322678	-3.219606935	1.631310188	-0.2818084974	1.988258115	2.991441556	0.9212457093	a248bdd	2x2_2C_8b_C2v_L	9.13	1.402370948	2	1.613421021	0.9999999998373322	0.9999999999999996	-0.0001951193058	0.001626693459	1.011257284	-0.5611505587	0.002757304183	0.06464229082	-0.2904408678	2.720796767	-0.2891841522	2.71851201	0.002756976278	0.06628558201	0.3656498198	-0.3760731096	2.266133476	-3.713349274	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1473316113	-1.705116698	-6.311992298e-05	6.449854264e-06	1.675520481	-1.837547058	0.009418314402	-0.1635870668	-0.009921138832	0.170072058	-1.672852411	1.84231936	0.0003338445123	-0.00201658292	3.687555067e-05	0.0001560940983	2024-09-22@00:25	2.148148148	-0.8313712354	1	-2.870781156e-16	-0.3858712027	0.3888888889	1.918657674e-19	0.1442362222	v2.7.1	
