model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.2186468	0	14	3.1695	-0.37949293	-5.1156064	-5.1707173	-0.36921004	-5.1730595	-0.36971044	0.34737472	-4.2705154	10.48	-3.4438027e-06	-7.415213e-06	-5.041459e-07	-1.2253496e-05	1.161006e-06	5.9631415e-06	0.21264909	1.6713453e-06	-0.1919433	-1.2364152	1.8061966	0.19666752	-1.8065084	-0.19683336	-5.6359295e-06	-2.2779637	1.9492	1	0.2373	2.0467667e-08	1.2883515	1.6660174	-0.46882709	-0.10775493	0.046543364	0.14038837	1.9972942	1.9655529	1.8839722	1.994771	1.8839611	1.9947617	0.007180867	1.7344711	1.1380991	1.71743e-05	1.1221565e-05	2.0423656e-07	3.5438667e-05	3.9099146e-06	-1.1423687e-05	-0.34791379	-5.4570488e-06	0.16581674	0.59169312	-1.2752561	-0.2696646	1.2754131	0.26992479	4.7414284e-06	2.115793	2	2	0	0	-89.396878	R0:S0:1	1.1380991	-116.968	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@14:56
2x2_2C_8b_C2v_L	9.2189352	0	14	3.1695	-0.39439228	-5.1443415	-5.1926246	-0.38480467	-5.1932719	-0.38486309	0.36120468	-4.2839406	10.49	-3.2125599e-05	9.2812759e-06	2.98583e-06	-6.722323e-06	1.9300006e-05	-3.1945251e-05	0.21375214	5.5837399e-06	-0.19319535	-1.2378991	1.8075707	0.19818546	-1.8076809	-0.19819611	-1.6381661e-05	-2.2785097	1.9492	1	0.2373	-6.863116e-07	1.2883563	1.6660353	-0.46879063	-0.10774376	0.046538572	0.14035394	1.9972636	1.9655917	1.8840787	1.9947026	1.8840683	1.9947015	0.0072432693	1.7345762	1.1380652	0.0001515423	-5.2694553e-06	-1.935751e-06	2.863903e-05	-1.6626692e-05	9.8165088e-05	-0.34942148	-1.3454942e-05	0.1667612	0.59138715	-1.2747329	-0.27143783	1.2748328	0.27147573	9.0950206e-06	2.1153698	2	2	0	0	-89.699166	R0:S0:1	1.1380652	-117.128	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:06
2x2_2C_8b_C2v_L	9.2192531	0	14	3.1695	-0.41089058	-5.1822263	-5.2100034	-0.39929879	-5.2143686	-0.40052044	0.37602388	-4.2985242	10.5	-1.6323846e-05	7.6779784e-06	6.6069568e-06	-3.0086506e-05	1.2507433e-05	-2.1443505e-05	0.2152446	-5.2312808e-07	-0.19492906	-1.2401301	1.8083727	0.19929593	-1.8089199	-0.19967743	2.2998882e-05	-2.279215	1.9492	1	0.2373	-1.2401274e-07	1.2883616	1.6660535	-0.46875111	-0.10773026	0.0465329	0.1403158	1.9972206	1.9656471	1.8841737	1.9946547	1.8841618	1.9946342	0.0073289104	1.7347249	1.138028	7.9901706e-05	-5.742124e-06	-1.3805807e-07	9.5599787e-05	-9.4318361e-07	7.7153187e-05	-0.35147971	-3.0565263e-06	0.16807781	0.59095092	-1.2741819	-0.27265925	1.2744098	0.27321712	-2.6001528e-05	2.1147684	2	2	0	0	-90.016861	R0:S0:1	1.138028	-117.288	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:15
2x2_2C_8b_C2v_L	9.2195259	0	14	3.1695	-0.42577628	-5.2117144	-5.2357051	-0.41627687	-5.229319	-0.41402508	0.39020787	-4.3122076	10.51	-9.024827e-05	7.8345429e-05	-1.0343661e-05	-1.3426133e-06	2.9624619e-05	-5.2166833e-05	0.21648061	-1.7579816e-05	-0.19617004	-1.2416393	1.8102046	0.20117496	-1.8094542	-0.20054295	1.1716582e-05	-2.2797717	1.9492	1	0.2373	6.8947294e-07	1.2883661	1.6660705	-0.46871662	-0.1077197	0.046528375	0.14028212	1.9971899	1.965689	1.8842669	1.9945668	1.8842688	1.9945993	0.0073998426	1.7348402	1.1379947	0.00039561324	-0.00010552294	1.7083433e-05	2.1371589e-05	-1.7971831e-05	0.00015344316	-0.35317678	1.9407336e-05	0.16900903	0.5906167	-1.2738847	-0.27494356	1.2736699	0.27407317	-2.1760831e-05	2.1143102	2	2	0	0	-90.317587	R0:S0:1	1.1379947	-117.448	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:23
2x2_2C_8b_C2v_L	9.2197239	0	14	3.1695	-0.43977483	-5.2378492	-5.2502965	-0.42877954	-5.2485403	-0.42781789	0.40327412	-4.3248627	10.52	-5.391544e-05	3.1863233e-05	-9.3479705e-07	-1.9333679e-06	-2.7177577e-05	1.377186e-05	0.21741966	-7.3093346e-06	-0.19721897	-1.2428797	1.8106984	0.20186903	-1.8105239	-0.20161331	5.7201983e-06	-2.2801652	1.9492	1	0.2373	2.5035221e-07	1.2883694	1.6660822	-0.46869183	-0.10771164	0.046524949	0.14025728	1.9971638	1.9657236	1.884339	1.9945367	1.8843319	1.9945492	0.007454119	1.7349284	1.1379704	0.00023445832	-4.0775625e-05	1.9017759e-05	1.3095947e-05	3.5413147e-05	-3.2065402e-05	-0.35446904	2.0573911e-06	0.16980046	0.59034075	-1.2734304	-0.27569051	1.2734262	0.27536625	-1.2155291e-05	2.1139545	2	2	0	0	-90.585007	R0:S0:1	1.1379704	-117.608	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:30
2x2_2C_8b_C2v_L	9.2200074	0	14	3.1695	-0.45475104	-5.26337	-5.2733437	-0.44502911	-5.2727393	-0.44515341	0.41906956	-4.340622	10.53	-3.3803948e-05	2.2077052e-05	8.7495461e-06	-2.0418005e-05	-3.2611932e-05	3.4750442e-05	0.21905908	-5.4907154e-06	-0.19832499	-1.2440325	1.8122424	0.20345451	-1.8121482	-0.20345581	6.2781008e-06	-2.2811209	1.9492	1	0.2373	6.1884754e-07	1.2883738	1.6661032	-0.4686549	-0.10770245	0.046521071	0.14021886	1.9971374	1.9657638	1.88446	1.9944659	1.8844659	1.9944666	0.0075485984	1.735065	1.137931	0.000142686	-3.0904036e-05	4.6576637e-06	5.632764e-05	3.7949872e-05	-8.6443477e-05	-0.35671653	4.7689877e-06	0.17058898	0.58999872	-1.2727982	-0.27748147	1.2727368	0.27745788	-8.1455422e-06	2.1134574	2	2	0	0	-90.902295	R0:S0:1	1.137931	-117.768	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:37
2x2_2C_8b_C2v_L	9.2202717	0	14	3.1695	-0.4703908	-5.2964238	-5.2926775	-0.46041854	-5.2912556	-0.45982227	0.43370881	-4.3542039	10.54	2.5507104e-05	-8.1325337e-07	3.2910091e-05	-9.2873061e-05	-1.6099212e-05	3.5634628e-05	0.2204372	-3.2649771e-06	-0.19977099	-1.2458116	1.81323	0.20483651	-1.8130745	-0.20466493	7.5652892e-06	-2.2816016	1.9492	1	0.2373	1.6301956e-06	1.2883783	1.6661181	-0.46862203	-0.10769129	0.046516321	0.14018479	1.9971011	1.9658117	1.8845573	1.9944033	1.8845553	1.9944121	0.0076285072	1.7351963	1.1378978	-0.00011321539	-1.0357122e-05	-2.4376346e-05	0.00024588619	2.9328823e-05	-7.0503672e-05	-0.35859781	1.6761025e-05	0.17167721	0.58962175	-1.2722981	-0.2790561	1.272267	0.27882825	2.2551578e-06	2.1129224	2	2	0	0	-91.204718	R0:S0:1	1.1378978	-117.928	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:45
2x2_2C_8b_C2v_L	9.2203189	0	14	3.1695	-0.47775399	-5.3020011	-5.3080129	-0.47000637	-5.304663	-0.46965991	0.44452895	-4.3669557	10.55	4.7104732e-05	-3.2752936e-05	1.0403062e-05	-1.8950112e-05	-2.2597645e-05	5.7927727e-05	0.22113187	-2.8662789e-06	-0.19930696	-1.2455636	1.8139769	0.2051151	-1.8135139	-0.20493366	1.390241e-05	-2.282057	1.9492	1	0.2373	6.6208184e-07	1.2883789	1.6661246	-0.46861485	-0.10769143	0.046516417	0.14017728	1.9971125	1.9658015	1.8845764	1.9943868	1.8845967	1.9943984	0.0076742109	1.7352462	1.1378889	-0.00019521746	3.6901064e-05	-1.7847223e-05	3.4397583e-05	1.6701342e-05	-0.00015111166	-0.3596783	5.3949409e-06	0.17133384	0.58969033	-1.2722554	-0.27948117	1.2719993	0.27916026	-6.2622198e-06	2.1127699	2	2	0	0	-91.393505	R0:S0:1	1.1378889	-118.088	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:50
2x2_2C_8b_C2v_L	9.2206649	0	14	3.1695	-0.49788953	-5.3479235	-5.325116	-0.48743172	-5.3259341	-0.48688373	0.45853178	-4.377353	10.56	2.9711711e-05	-3.1454392e-05	-7.8916999e-06	1.7575527e-05	-2.1804888e-05	3.603343e-05	0.22178684	7.6247836e-07	-0.20175948	-1.2482474	1.8145671	0.20662652	-1.8147151	-0.20659667	-1.4629483e-05	-2.2820046	1.9492	1	0.2373	-1.7773021e-08	1.2883849	1.6661392	-0.4685733	-0.10767448	0.046509051	0.14013782	1.9970504	1.9658741	1.8847015	1.9943233	1.8846867	1.9943228	0.0077055575	1.7353356	1.1378528	-0.00012144118	3.8581941e-05	7.8693428e-06	-5.1316948e-05	1.9412555e-05	-9.6101083e-05	-0.36039661	-4.131524e-06	0.17318846	0.58913926	-1.2714997	-0.28104571	1.2716369	0.28107105	1.6328207e-05	2.1123215	2	2	0	0	-91.734165	R0:S0:1	1.1378528	-118.248	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:56
2x2_2C_8b_C2v_L	9.2207691	0	14	3.1695	-0.51115456	-5.3640338	-5.3396774	-0.50119628	-5.3450996	-0.50282049	0.47252406	-4.3908935	10.57	4.904429e-05	-2.7069459e-05	-3.2895255e-05	4.3613974e-05	6.5448338e-06	-8.9080177e-06	0.2228277	-1.2722945e-06	-0.202331	-1.2486191	1.8150133	0.20744626	-1.8156892	-0.20792225	-1.4007228e-06	-2.282572	1.9492	1	0.2373	-1.3660545e-07	1.2883865	1.6661481	-0.46855936	-0.10767169	0.046507931	0.14011867	1.9970375	1.9658961	1.8847747	1.9942885	1.8847598	1.9942625	0.007765539	1.7354159	1.1378326	-0.00019660918	3.2102834e-05	3.2249997e-05	-0.00010819831	1.1429686e-06	1.9610281e-05	-0.36180388	4.1572276e-06	0.17356663	0.58894419	-1.2710432	-0.28189496	1.2713273	0.28258302	5.4876484e-06	2.1120434	2	2	0	0	-91.988332	R0:S0:1	1.1378326	-118.408	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:04
