model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-08-01@12:09
2x2_2C_8b_C2v_L	4.9344059	0	14	2.3966111	-0.0032381909	-3.3241519	-4.0599807	-0.10293016	-4.0599119	-0.10293502	0.14196114	-3.690485	9.6822222	-9.8675904e-05	-1.2116676e-06	0.011216058	-0.16582694	0.011222065	-0.16582723	-7.9957193e-06	2.3664633e-06	-0.11288531	-1.1002266	1.7346807	0.053979201	-1.7346674	-0.054010327	0.23134954	-2.2886224	2.0832444	1	0.20414444	0.014736136	1.260589	1.6218572	-0.58041311	-0.1827165	0.076020654	0.13275849	0.23181272	1.9428366	1.8110583	1.5754943	1.8110536	1.5755056	0.017106995	1.574516	1.1062794	0.0010767362	1.2486738e-05	0.10091561	1.1339066	0.10090276	1.1338213	3.2214009e-05	-6.7962615e-06	1.1332091	0.72040797	-1.538675	-0.60382011	1.5386952	0.60395719	-0.28858813	2.4950639	0.028748817	0.21010076	0.055753316	0.1735301	0.35372448	0.17353407	0.35371234	0.017205121	0.33629377	0.036070169	3.959179	5.4102089	5.138975	5.057234	5.1389887	5.0573047	4.3389761	6.0785437	5.2765788	2.7278627	3.3736107	5.0999703	3.3736304	5.0998794	3.7141541	3.2226156	-75.182546	R0:S0:1	-58.284889	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.54e+02	 9.38e-03	2022-08-01@14:32
2x2_2C_8b_C2v_L	5.3028788	0	14	2.4932222	-0.0016773172	-3.2828678	-4.0018073	-0.10621244	-4.0017977	-0.10621326	0.14622006	-3.6300222	9.6844444	-5.8136653e-06	-1.8585155e-06	0.010854056	-0.16796634	0.01085363	-0.1679664	8.923652e-07	-1.246884e-07	-0.11277983	-1.0924409	1.7215849	0.051100772	-1.7215832	-0.051101933	0.23439539	-2.2729016	2.0664889	1	0.20828889	0.014435746	1.2597498	1.6209326	-0.58277977	-0.18488557	0.076737251	0.13280135	0.23195183	1.9425708	1.809307	1.5832452	1.8093066	1.5832466	0.017279765	1.5708529	1.1062405	6.1127731e-05	4.7558952e-06	0.10236084	1.1340298	0.10236108	1.1340272	-6.5115359e-06	-2.0111257e-06	1.1351473	0.72072101	-1.5438105	-0.58935248	1.5438109	0.58935792	-0.29091808	2.5009331	0.028758094	0.21093309	0.056011873	0.17503538	0.35044398	0.17503565	0.35044256	0.0173906	0.33818241	0.036114572	3.9577081	5.4112545	5.1474557	5.038155	5.1474577	5.0381575	4.3368167	6.0949084	5.2719113	2.7290958	3.3785887	5.0873963	3.378588	5.0873906	3.7182025	3.2171967	-74.733517	R0:S0:1	-57.529778	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.51e+02	 3.61e-03	2022-08-01@16:25
2x2_2C_8b_C2v_L	5.6565038	0	14	2.5898333	-0.0016831771	-3.2479078	-3.9475938	-0.10793784	-3.9476005	-0.10793725	0.14800258	-3.5643871	9.6866667	-3.4258452e-05	1.3601854e-06	0.010923174	-0.16935784	0.010922629	-0.16935831	2.5264049e-06	2.714185e-07	-0.11314956	-1.0856363	1.7092057	0.050516529	-1.7092073	-0.050512978	0.23632272	-2.2559213	2.0497333	1	0.21243333	0.014369829	1.2584854	1.6196074	-0.58642944	-0.18829142	0.077902639	0.13274829	0.24611779	1.9413993	1.806762	1.5688971	1.8067631	1.5688919	0.017914863	1.5630512	1.1056571	0.00036432292	-1.1491297e-06	0.10475491	1.1527351	0.10475569	1.1527608	-1.6585522e-05	-2.4658147e-06	1.1554412	0.72761739	-1.551054	-0.59654375	1.5510467	0.59652624	-0.29441993	2.5152533	0.02874859	0.2220723	0.057080553	0.17700592	0.35793896	0.17700494	0.3579415	0.018036936	0.34205894	0.036277249	4.0343213	5.39575	5.1436073	5.0509654	5.1436051	5.050959	4.3326142	6.1275775	5.2707777	2.7341916	3.366692	5.130486	3.3666792	5.1305105	3.7227104	3.2009892	-74.299641	R0:S0:1	-56.774667	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.50e+02	 3.51e-03	2022-08-01@19:01
2x2_2C_8b_C2v_L	6.0131389	0	14	2.6864444	0.0022078963	-3.219971	-3.89532	-0.10936592	-3.8953228	-0.10936808	0.14930603	-3.5009173	9.6888889	-3.9114615e-05	-2.6768497e-05	0.010122928	-0.17321408	0.010122328	-0.17321451	-5.496247e-06	-2.6820154e-06	-0.11371791	-1.0792497	1.6961515	0.045630247	-1.6961522	-0.045632455	0.24095817	-2.2379501	2.0329778	1	0.21657778	0.013958981	1.2573382	1.618063	-0.58996262	-0.19109441	0.078889556	0.13264252	0.2540099	1.9407497	1.8049456	1.5578808	1.8049452	1.5578738	0.018744162	1.5578299	1.1052815	0.00038101871	5.8180612e-05	0.10527237	1.1715055	0.10526489	1.1715061	2.9560248e-05	-4.9449022e-06	1.1638269	0.73157046	-1.5560405	-0.5792091	1.5560428	0.57922233	-0.30076867	2.5230228	0.028730112	0.22801311	0.057678888	0.17844194	0.36665832	0.17844219	0.36666252	0.01888283	0.34462865	0.036352888	4.0776311	5.3860522	5.1434902	5.0426552	5.1434889	5.0426595	4.3285783	6.1496531	5.2735588	2.7393203	3.3620425	5.1623756	3.362042	5.1623929	3.728659	3.1921652	-73.8858	R0:S0:1	-56.019556	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.48e+02	 8.42e-03	2022-08-01@21:14
2x2_2C_8b_C2v_L	6.3767514	0	14	2.7830556	0.0031918419	-3.17629	-3.8361869	-0.11275384	-3.8361951	-0.11275997	0.15312553	-3.4388878	9.6911111	-3.6130922e-05	-2.9940128e-06	0.0096299618	-0.17519343	0.0096310504	-0.17519424	-2.7797672e-06	4.3963497e-06	-0.11369005	-1.0712103	1.6830027	0.042516077	-1.6830038	-0.042525467	0.24369922	-2.2219797	2.0162222	1	0.22072222	0.013522572	1.2563551	1.6170151	-0.59263227	-0.19364165	0.079728461	0.13269181	0.25597174	1.9403068	1.8028077	1.5656063	1.8028057	1.5656281	0.018950878	1.5532033	1.1051993	0.0003471436	5.955053e-06	0.10687756	1.1712694	0.10687904	1.1712102	1.3844784e-05	-5.7674669e-06	1.1677693	0.73272252	-1.562211	-0.56420068	1.5622258	0.56424772	-0.3029392	2.5304792	0.028740212	0.2306596	0.058101008	0.18025046	0.36337929	0.18025232	0.36336532	0.019109272	0.34687858	0.036413351	4.08316	5.386019	5.1528586	5.0252561	5.1528643	5.0252683	4.3260709	6.1694187	5.2680677	2.740893	3.3664332	5.1521599	3.3664619	5.1520893	3.7330641	3.1848337	-73.426048	R0:S0:1	-55.264444	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.45e+02	 4.34e-03	2022-08-01@23:34
2x2_2C_8b_C2v_L	6.7319036	0	14	2.8796667	0.0042978683	-3.145446	-3.7810315	-0.11522668	-3.7810358	-0.11522799	0.1556234	-3.3750045	9.6933333	-1.0859052e-06	-2.8171609e-06	0.0091874715	-0.17747824	0.0091876325	-0.17747824	-1.9391222e-06	-4.4787638e-06	-0.11400914	-1.0649143	1.6703255	0.039566862	-1.6703264	-0.039570821	0.24670948	-2.2051882	1.9994667	1	0.22486667	0.01308773	1.255136	1.6156455	-0.59605384	-0.19678394	0.080796406	0.13266483	0.26560434	1.939462	1.8004558	1.5603182	1.8004548	1.5603217	0.019551551	1.5467388	1.1048465	1.0767581e-05	3.6023976e-06	0.10845052	1.1828232	0.10844831	1.1828	1.3878869e-05	6.7783671e-06	1.1795417	0.73732584	-1.5687664	-0.55487661	1.5687741	0.55489705	-0.30692342	2.5411487	0.028735614	0.23869998	0.058879455	0.18213188	0.36705064	0.18213277	0.3670491	0.019732506	0.34994194	0.036519214	4.1305292	5.3768096	5.155404	5.0211458	5.1554049	5.0211546	4.3221678	6.1963585	5.2667149	2.7452675	3.3621516	5.1740455	3.3621635	5.1740265	3.7383666	3.1730748	-73.002219	R0:S0:1	-54.509333	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.43e+02	 5.65e-03	2022-08-02@00:15
2x2_2C_8b_C2v_L	7.080916	0	14	2.9762778	0.0072426034	-3.111708	-3.7264391	-0.11720547	-3.7264487	-0.11720587	0.15652766	-3.3083736	9.6955556	-1.1792125e-05	4.969291e-06	0.0084141753	-0.18110751	0.0084125712	-0.18110652	-2.5974976e-06	-6.9181753e-06	-0.11469399	-1.0576001	1.6566926	0.035252662	-1.6566947	-0.035252703	0.25100881	-2.1862916	1.9827111	1	0.22901111	0.012484893	1.2537709	1.6138534	-0.60014112	-0.20013106	0.081971364	0.13254528	0.27837971	1.9384541	1.7982593	1.5467286	1.7982579	1.5467362	0.020559919	1.5399546	1.1043653	0.00010989361	-1.8870161e-05	0.10958853	1.2029644	0.10959175	1.2029268	2.437206e-05	1.6659222e-05	1.1924911	0.74328829	-1.5745655	-0.54107141	1.574578	0.54107768	-0.31349632	2.5515124	0.028713863	0.24841041	0.059802424	0.18383973	0.37629775	0.18384099	0.37629667	0.020772177	0.35309228	0.036619751	4.1955828	5.3630888	5.1542294	5.018111	5.1542306	5.0181137	4.3175574	6.224285	5.2703181	2.7515155	3.3546261	5.2143543	3.3546499	5.214321	3.7448399	3.1613241	-72.562519	R0:S0:1	-53.754222	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.41e+02	 9.80e-03	2022-08-02@00:46
2x2_2C_8b_C2v_L	7.4386717	0	14	3.0728889	0.0068551666	-3.0661652	-3.6700494	-0.12076956	-3.6700479	-0.12077158	0.16023036	-3.2447313	9.6977778	-4.6511177e-06	-1.3935786e-06	0.0079971332	-0.18251767	0.007999297	-0.18251744	-2.3255478e-06	7.7395576e-06	-0.1146225	-1.0495809	1.6446604	0.032700056	-1.6446585	-0.032711202	0.25290418	-2.1705642	1.9659556	1	0.23315556	0.011887391	1.2526024	1.6127416	-0.60310298	-0.2032237	0.082977281	0.13262492	0.28346323	1.9377295	1.7955565	1.5542105	1.7955538	1.5542315	0.020746661	1.5336769	1.1042124	4.2853236e-05	6.2148562e-06	0.11132292	1.2021796	0.11132286	1.2021162	7.0311042e-06	-1.1794029e-05	1.1996036	0.74578875	-1.5824405	-0.52913574	1.5824571	0.52919407	-0.31488322	2.5619786	0.028728888	0.25409624	0.060482544	0.18607983	0.37232616	0.18608227	0.3723135	0.020986845	0.35594217	0.036715387	4.2122497	5.3614304	5.1642469	5.0059319	5.1642561	5.0059523	4.3144238	6.2499594	5.2629801	2.7532769	3.3573407	5.2087703	3.3573697	5.2086915	3.7495429	3.1501828	-72.111768	R0:S0:1	-52.999111	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.39e+02	 6.98e-03	2022-08-02@01:20
2x2_2C_8b_C2v_L	7.7761142	0	14	3.1695	0.0074598322	-3.0276461	-3.6124989	-0.12198359	-3.6124967	-0.12198436	0.16089191	-3.1768056	9.7	1.6544161e-05	-1.8717639e-05	0.0074005091	-0.18471827	0.0074006347	-0.18471846	-1.4158129e-05	1.3852885e-05	-0.11509086	-1.0420458	1.6312578	0.029435069	-1.6312575	-0.029439841	0.25580391	-2.1523323	1.9492	1	0.2373	0.011115226	1.2508934	1.6106698	-0.60802872	-0.20755079	0.084499264	0.13250209	0.31023833	1.9357819	1.7925998	1.5282019	1.7925993	1.5281923	0.022258273	1.5234297	1.1034653	-0.0001566106	5.1157602e-05	0.11345765	1.2322482	0.11345183	1.2322563	6.5571354e-05	-2.310826e-05	1.2232299	0.75759006	-1.5898571	-0.52439419	1.5898578	0.52441763	-0.32190657	2.5792692	0.028704521	0.27400526	0.062248092	0.18826865	0.38612788	0.18826905	0.38613035	0.022545769	0.36041503	0.036892319	4.3404742	5.3356149	5.1565025	5.0211268	5.1565024	5.0211371	4.3087084	6.2918303	5.272528	2.7621735	3.337825	5.2842698	3.3378181	5.2842943	3.7562627	3.1301725	-71.648684	R0:S0:1	-52.244	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.38e+02	 2.27e-03	2022-08-02@02:04
