model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346356e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-08-02@13:15
2x2_2C_8b_C2v_L	4.9830892	0	14	2.4257111	-0.0045456322	-3.3063994	-4.059724	-0.10884996	-4.0596935	-0.10883942	0.14916447	-3.6967025	9.7155556	-1.7519197e-05	1.4697045e-06	0.012070283	-0.16765122	0.01206901	-0.16764755	1.879088e-06	-1.8320323e-06	-0.11359892	-1.1024741	1.7420571	0.057054854	-1.7420513	-0.057049706	0.23407034	-2.3002669	2.0936111	1	0.20392222	0.015123995	1.2595076	1.6211334	-0.58487904	-0.18537955	0.077073638	0.13430278	0.22897025	1.9422051	1.8073009	1.5848358	1.8072999	1.5848235	0.01673384	1.5682241	1.1073152	0.00019885607	-1.5833346e-06	0.1054963	1.1343626	0.10549515	1.1343735	-9.7991277e-06	2.1399897e-06	1.1436941	0.72052641	-1.5532559	-0.61943866	1.5532574	0.61942251	-0.28705645	2.5154163	0.029029128	0.2083038	0.056360925	0.17671099	0.34723954	0.17671175	0.34725015	0.016841289	0.33965995	0.036506845	3.9330316	5.4294956	5.1571027	5.0469412	5.1571044	5.046943	4.3426815	6.1064601	5.2704143	2.7118767	3.3717169	5.0767012	3.3717107	5.0767231	3.7110845	3.197435	-75.386313	R0:S0:1	-58.318756	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.59e+02	 6.19e-03	2022-08-02@18:06
2x2_2C_8b_C2v_L	5.3905938	0	14	2.5514222	0.00035683438	-3.2541217	-4.0073847	-0.11449365	-4.0073713	-0.1144922	0.15606372	-3.6405127	9.7511111	4.6365912e-05	1.7279715e-06	0.011658415	-0.17422558	0.011657381	-0.17422528	2.5174746e-06	1.1675816e-06	-0.11488146	-1.0971035	1.7360078	0.052949546	-1.7360061	-0.052945974	0.24222159	-2.2934508	2.0872222	1	0.20784444	0.015041485	1.2573754	1.6188311	-0.59274024	-0.19047031	0.079000909	0.13572737	0.23064566	1.9411051	1.8019432	1.5812388	1.8019432	1.5812367	0.017250046	1.5580013	1.1080642	-0.00046316118	-2.621327e-06	0.10920668	1.156477	0.10920918	1.1564903	-1.525262e-05	-2.8423915e-06	1.1569753	0.72335076	-1.5721995	-0.60775394	1.5721967	0.60773888	-0.29303158	2.540541	0.029287972	0.20950352	0.057403501	0.18114041	0.35239411	0.18114036	0.3523957	0.017377651	0.34493233	0.036985851	3.9349635	5.4411069	5.1754579	5.023524	5.1754595	5.0235178	4.3421019	6.1509937	5.2690374	2.7006469	3.3663395	5.0884167	3.3663326	5.0884263	3.7145512	3.1655083	-75.156226	R0:S0:1	-57.597511	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.62e+02	 4.75e-03	2022-08-02@19:06
2x2_2C_8b_C2v_L	5.7845587	0	14	2.6771333	0.0012400055	-3.1973845	-3.9521217	-0.11974722	-3.9521255	-0.11975062	0.16218225	-3.5800154	9.7866667	1.4778903e-05	-7.8445366e-07	0.012103988	-0.17835294	0.012105218	-0.17835442	-2.5010163e-06	3.9722931e-07	-0.11628496	-1.091384	1.7299523	0.053442226	-1.7299531	-0.053446897	0.24769653	-2.2866715	2.0808333	1	0.21176667	0.015285786	1.2548545	1.6163938	-0.60151813	-0.19679249	0.081338691	0.13716692	0.24441478	1.9390189	1.7953469	1.5638471	1.795347	1.5638501	0.017830227	1.5433703	1.1084039	-0.00014717692	2.1768678e-06	0.11542	1.1866654	0.11541802	1.1866579	1.2602509e-05	-9.7390998e-08	1.1893505	0.73211837	-1.5944946	-0.62650501	1.5944953	0.62652273	-0.29718447	2.5752315	0.029547446	0.21993049	0.059328571	0.18639821	0.3620828	0.1863982	0.36207951	0.017977648	0.35210862	0.037595515	4.0036504	5.4395429	5.1855641	5.030724	5.1855642	5.030731	4.3400385	6.2128529	5.2646188	2.6911628	3.3464577	5.1339061	3.3464598	5.1338956	3.7173974	3.1207663	-74.900172	R0:S0:1	-56.876267	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.66e+02	 4.71e-03	2022-08-02@19:43
2x2_2C_8b_C2v_L	6.1812809	0	14	2.8028444	0.0039011333	-3.1370688	-3.8966916	-0.12511946	-3.8966575	-0.12511479	0.16813571	-3.5214637	9.8222222	-3.1773323e-05	1.482228e-05	0.011938563	-0.18362743	0.011937569	-0.18362648	2.2225786e-06	2.8585362e-06	-0.1176439	-1.0848443	1.7235171	0.051154974	-1.7235105	-0.051148713	0.2543599	-2.279744	2.0744444	1	0.21568889	0.015229002	1.2524414	1.6139277	-0.60997313	-0.2026289	0.083513158	0.13863682	0.25276434	1.937246	1.7891003	1.5537941	1.7891004	1.5537955	0.018386551	1.5306883	1.1090199	0.00030395128	-3.6620483e-05	0.12048791	1.2112838	0.12049557	1.2112941	-7.3815619e-06	4.0478914e-06	1.2123667	0.7383936	-1.6155789	-0.62718952	1.6155751	0.62715772	-0.30213553	2.6050016	0.029811758	0.22624397	0.060974117	0.19141448	0.36931627	0.19141441	0.36931703	0.018559166	0.35815476	0.038136835	4.0409285	5.4442511	5.2014483	5.020603	5.201452	5.0205877	4.3380443	6.2665343	5.2606105	2.6807267	3.3337841	5.1610168	3.3337815	5.1610163	3.7211916	3.0809949	-74.638187	R0:S0:1	-56.155022	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.69e+02	 3.46e-03	2022-08-02@20:19
2x2_2C_8b_C2v_L	6.5730728	0	14	2.9285556	0.0078477442	-3.0990589	-3.8458193	-0.12994459	-3.8458319	-0.12994764	0.17227001	-3.4605824	9.8577778	-3.2357406e-05	-3.1509857e-06	0.011423489	-0.19029712	0.01142443	-0.19029769	-2.7912059e-06	3.4975897e-07	-0.11947042	-1.0811129	1.7171886	0.047106025	-1.7171902	-0.047110737	0.26226481	-2.270969	2.0680556	1	0.21961111	0.014920945	1.2499262	1.6111326	-0.61882792	-0.20851244	0.085738002	0.14003244	0.26418612	1.9354356	1.7832045	1.5376706	1.7832035	1.5376852	0.019274098	1.5181357	1.1095978	0.00029237129	2.4397976e-06	0.12447948	1.2424638	0.12447972	1.2424222	1.9481704e-05	2.8803215e-06	1.2364124	0.74606141	-1.6351594	-0.62017577	1.6351696	0.62019874	-0.30942877	2.6329318	0.030061798	0.23470346	0.062646049	0.19608214	0.3807712	0.19608308	0.38076398	0.019479926	0.36395292	0.038657591	4.0951273	5.4443507	5.2146683	5.0082279	5.214672	5.0082353	4.3342024	6.3194161	5.2589149	2.6731728	3.318621	5.202003	3.3186437	5.2019536	3.7271256	3.0421499	-74.431521	R0:S0:1	-55.433778	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.72e+02	 1.53e-02	2022-08-02@20:41
2x2_2C_8b_C2v_L	6.9649714	0	14	3.0542667	0.0097036918	-3.043684	-3.7920227	-0.13561931	-3.7920459	-0.13562225	0.17758353	-3.4006812	9.8933333	9.6946753e-06	1.0879373e-07	0.011154453	-0.19545665	0.011154449	-0.19545849	-6.9087083e-07	-6.8193108e-08	-0.12084973	-1.0751342	1.7110656	0.044629935	-1.711071	-0.044631742	0.26857555	-2.2635912	2.0616667	1	0.22353333	0.014627183	1.2474078	1.6085775	-0.62736791	-0.21449665	0.087956001	0.14154316	0.27392844	1.9334741	1.7767659	1.5289615	1.7767669	1.5289606	0.019817472	1.5051273	1.1103103	-8.6164287e-05	1.061366e-06	0.1296032	1.2642487	0.12960233	1.2642574	1.858544e-06	-8.2927181e-07	1.2600443	0.75314423	-1.6563617	-0.61856571	1.6563588	0.61857089	-0.31410424	2.6621469	0.03033115	0.24222909	0.064457421	0.20119064	0.38694935	0.20118984	0.38694797	0.020056967	0.36974077	0.039191261	4.1373304	5.4480362	5.2324044	4.9964898	5.2324	4.9964903	4.3306731	6.3736146	5.2526063	2.6633339	3.3060175	5.2261654	3.3060137	5.2261758	3.7322422	3.0010547	-74.186474	R0:S0:1	-54.712533	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.74e+02	 1.76e-02	2022-08-02@21:02
2x2_2C_8b_C2v_L	7.3563062	0	14	3.1799778	0.011326244	-2.9938946	-3.7381569	-0.14161446	-3.738152	-0.14161368	0.18317781	-3.3414867	9.9288889	2.8791516e-06	2.0129246e-07	0.010794131	-0.20050016	0.01079411	-0.20049978	2.3259048e-07	-7.9673879e-08	-0.12222331	-1.0700681	1.7050368	0.041915713	-1.7050357	-0.041915235	0.27481817	-2.2565588	2.0552778	1	0.22745556	0.014191085	1.2448839	1.6060684	-0.6357566	-0.22044897	0.090147153	0.1430939	0.28223298	1.9315691	1.7701913	1.5239784	1.7701913	1.5239764	0.020261336	1.492381	1.1111286	-2.5450735e-05	1.5470283e-07	0.13464918	1.281746	0.1346489	1.2817496	-1.6297667e-06	-2.3053655e-07	1.2819836	0.7596961	-1.6778042	-0.61402713	1.6778035	0.61402512	-0.31841426	2.690303	0.030606506	0.24887154	0.066218195	0.20640243	0.39122571	0.20640244	0.39122681	0.020536852	0.37522324	0.039712918	4.1707385	5.4536606	5.25318	4.9820213	5.25318	4.9820212	4.3266393	6.4261878	5.2441579	2.6532925	3.2956982	5.2420996	3.2956959	5.2421046	3.7378601	2.9603107	-73.956669	R0:S0:1	-53.991289	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.77e+02	 1.75e-02	2022-08-02@21:23
2x2_2C_8b_C2v_L	7.7461108	0	14	3.3056889	0.012765582	-2.9480669	-3.6850183	-0.14774599	-3.6850232	-0.1477443	0.18850464	-3.281348	9.9644444	1.3520565e-06	-2.159949e-06	0.010314024	-0.2054891	0.010311763	-0.20548815	1.7778432e-06	-2.3126469e-06	-0.12360435	-1.0656705	1.6991888	0.038878359	-1.6991903	-0.038873526	0.28088175	-2.2492864	2.0488889	1	0.23137778	0.013588228	1.2423298	1.6035607	-0.64408441	-0.22642511	0.092331878	0.14467083	0.2898198	1.9296645	1.763469	1.5212881	1.7634695	1.5212811	0.020642874	1.47966	1.1120203	-1.2143559e-05	4.6248718e-06	0.13947059	1.2963093	0.1394721	1.2963254	-8.4671437e-06	1.4324212e-06	1.3029103	0.76609199	-1.6995284	-0.60659478	1.6995253	0.60657453	-0.32249875	2.7177132	0.030885302	0.2551532	0.067978768	0.21171495	0.3944183	0.21171446	0.39442302	0.020956679	0.38050351	0.040225933	4.199344	5.4602642	5.2762774	4.9660776	5.2762739	4.9660682	4.3217843	6.4779913	5.2339377	2.6433637	3.2868723	5.2535739	3.2868661	5.2536	3.7442261	2.9195294	-73.737552	R0:S0:1	-53.270044	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.79e+02	 1.73e-02	2022-08-02@21:44
2x2_2C_8b_C2v_L	8.1327032	0	14	3.4314	0.014040317	-2.8930914	-3.6280554	-0.15355154	-3.628038	-0.1535498	0.19364787	-3.220644	10	-3.503766e-06	-9.4686616e-07	0.0096627982	-0.21024639	0.0096652444	-0.21024491	-6.2292661e-06	-2.4917464e-06	-0.12492753	-1.0596907	1.6924792	0.035421778	-1.6924742	-0.035431507	0.28680827	-2.2417985	2.0425	1	0.2353	0.012801625	1.2397065	1.6009918	-0.65251085	-0.23252144	0.094547902	0.14627812	0.29715124	1.9276049	1.7563095	1.5192174	1.7563058	1.5192315	0.021020036	1.4667069	1.1129579	3.2517462e-05	-6.7249104e-07	0.14405972	1.3093109	0.14405464	1.3092467	3.7112323e-05	9.2958459e-06	1.323247	0.77258261	-1.7222653	-0.59644459	1.7222857	0.59649423	-0.32652645	2.7451401	0.031168181	0.26131088	0.069879881	0.21733743	0.39752277	0.21734052	0.3975175	0.021375513	0.38567147	0.040739368	4.2252253	5.4674536	5.3017548	4.9493845	5.3017695	4.949414	4.3165904	6.5298728	5.2224632	2.6330825	3.2785012	5.2641136	3.2785289	5.2640377	3.7509196	2.8777144	-73.481014	R0:S0:1	-52.5488	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	 1.81e+02	 1.69e-02	2022-08-02@22:05
