model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-07-29@12:22
2x2_2C_8b_C2v_L	4.96375	0	14	2.4257111	-0.0036641946	-3.2949421	-4.0483488	-0.11003717	-4.0483254	-0.1100341	0.15094158	-3.6895032	9.7044444	-2.348346e-05	1.6228062e-06	0.011967039	-0.16896018	0.011967	-0.16895844	4.4402285e-06	6.9439336e-06	-0.11390321	-1.1013243	1.7409063	0.055951486	-1.7409012	-0.05594882	0.23583644	-2.300088	2.0936111	1	0.20392222	0.015094655	1.2590038	1.6203493	-0.58682612	-0.18662605	0.077557408	0.13414153	0.23282494	1.9417861	1.8059245	1.5802515	1.8059244	1.5802502	0.017045464	1.5654965	1.1067271	0.00026143679	3.3088637e-06	0.10667994	1.1439404	0.10668217	1.1439535	-3.3129803e-05	-1.4210352e-05	1.1514285	0.72240141	-1.557884	-0.61894048	1.5578791	0.61893268	-0.28912695	2.52184	0.028999554	0.21133769	0.056746388	0.17780343	0.35033521	0.17780346	0.35033542	0.017159742	0.34097025	0.036602724	3.9544961	5.4260674	5.156754	5.0451131	5.1567581	5.0451139	4.3450873	6.1168429	5.2687565	2.7124086	3.3691798	5.0922807	3.3691685	5.0922846	3.7094984	3.190911	-75.26367	R0:S0:1	-58.229867	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.60e+02	 6.97e-03	2022-07-29@19:56
2x2_2C_8b_C2v_L	5.3465981	0	14	2.5514222	0.0003556582	-3.2228422	-3.9883188	-0.11678391	-3.9883298	-0.11678582	0.15894944	-3.6243177	9.7288889	1.8534323e-05	1.7078941e-06	0.011893985	-0.17585771	0.011893903	-0.17585828	-9.6182268e-08	3.6529891e-09	-0.11552134	-1.0936978	1.7346627	0.05299955	-1.7346647	-0.053001412	0.24450941	-2.2931496	2.0872222	1	0.20784444	0.015120844	1.2562061	1.6172126	-0.5970134	-0.19347064	0.08014422	0.13539718	0.2436994	1.939786	1.7987528	1.5657036	1.7987529	1.5657075	0.017901723	1.5506108	1.1066805	-0.00018791921	-4.1786407e-06	0.11254446	1.1792092	0.11254523	1.1792014	5.1971013e-07	5.7422623e-07	1.1806061	0.72975039	-1.5827499	-0.6209339	1.5827511	0.62094138	-0.29625339	2.55769	0.029227087	0.21956447	0.058605445	0.1835966	0.36064804	0.18359658	0.36064508	0.018044154	0.34836884	0.03723538	4.0071108	5.4285236	5.1706843	5.0335598	5.1706838	5.033562	4.3463938	6.1794182	5.2646776	2.7021924	3.3549157	5.1349752	3.3549198	5.134965	3.71098	3.1465769	-74.908247	R0:S0:1	-57.419733	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.65e+02	 4.88e-03	2022-07-29@20:52
2x2_2C_8b_C2v_L	5.7269792	0	14	2.6771333	0.0034987505	-3.1699604	-3.9269354	-0.12357376	-3.9269373	-0.1235747	0.16612109	-3.5578581	9.7533333	1.0441456e-05	1.7069453e-05	0.011645838	-0.18245759	0.0116454	-0.18245873	7.6815013e-06	5.550661e-06	-0.11727743	-1.0888336	1.7282294	0.049724608	-1.7282307	-0.049725943	0.25256676	-2.2858727	2.0808333	1	0.21176667	0.014960128	1.2533462	1.6140334	-0.60721089	-0.20040271	0.082758385	0.13665085	0.25661816	1.937694	1.7913996	1.5516253	1.7913996	1.5516381	0.018742323	1.5354132	1.1066619	-0.00010051702	-3.5976204e-05	0.11858435	1.2123377	0.11859247	1.2123306	-4.5223137e-05	-6.2447104e-06	1.2114147	0.7381009	-1.6077323	-0.62055901	1.607732	0.62056052	-0.30280696	2.5932485	0.029453442	0.22957162	0.060542752	0.18948776	0.37038514	0.1894879	0.37037616	0.018919676	0.3556163	0.037860949	4.0691694	5.4288821	5.1858078	5.0215569	5.1858113	5.0215543	4.3462089	6.2431167	5.2588185	2.693388	3.3400023	5.1769088	3.3400048	5.1768789	3.7135857	3.1009701	-74.584686	R0:S0:1	-56.6096	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.69e+02	 3.78e-03	2022-07-29@21:29
2x2_2C_8b_C2v_L	6.1049407	0	14	2.8028444	0.0062141152	-3.1069501	-3.8635517	-0.13032528	-3.8635809	-0.13032924	0.1729944	-3.4909915	9.7777778	3.4330788e-05	4.6789238e-06	0.011198445	-0.18881454	0.011218354	-0.18881797	-7.5913857e-06	-8.8838456e-06	-0.11897698	-1.0823204	1.7214275	0.045884635	-1.7214161	-0.045883073	0.26038177	-2.2784939	2.0744444	1	0.21568889	0.014571274	1.2504353	1.6107944	-0.6174379	-0.20737088	0.085383153	0.1379324	0.26965738	1.9354334	1.7838006	1.5396145	1.7838159	1.5395655	0.019575351	1.5201735	1.1067244	-0.00032078647	-8.5307005e-06	0.12452089	1.2420555	0.12448832	1.2422262	4.6180604e-05	2.1110314e-05	1.2411798	0.74666709	-1.6331672	-0.61595393	1.6330864	0.61591293	-0.30904466	2.6283128	0.029683925	0.23978807	0.062632468	0.19554311	0.37904574	0.1955301	0.37905954	0.019795962	0.36257695	0.038475363	4.1290268	5.4298144	5.2035901	5.006474	5.2035458	5.0064727	4.3455715	6.3064689	5.2514887	2.6843252	3.326221	5.2141573	3.3261314	5.2143547	3.716713	3.0544568	-74.231451	R0:S0:1	-55.799467	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.73e+02	 3.25e-03	2022-07-29@22:05
2x2_2C_8b_C2v_L	6.4809396	0	14	2.9285556	0.0084503554	-3.050658	-3.8018433	-0.13715218	-3.8018488	-0.13715182	0.17953275	-3.4240129	9.8022222	1.6266406e-06	-2.2735374e-05	0.010587802	-0.19504724	0.010589171	-0.1950478	2.4617725e-07	1.9306394e-06	-0.12070097	-1.0767916	1.7150265	0.041568733	-1.7150293	-0.041567999	0.26794569	-2.2711695	2.0680556	1	0.21961111	0.013912377	1.2474794	1.6075279	-0.62762545	-0.2143637	0.088011737	0.13923086	0.28311243	1.9330997	1.7760814	1.5294101	1.7760818	1.5293937	0.020387243	1.5049313	1.1068553	-1.8891586e-05	5.9942518e-05	0.130187	1.2688683	0.13017626	1.2689014	-8.9212281e-06	-1.4647976e-05	1.2701366	0.75554186	-1.6586585	-0.60738651	1.6586538	0.60738408	-0.31499713	2.6625639	0.029916533	0.25054088	0.06478618	0.20165617	0.38673272	0.20165566	0.38674063	0.020659316	0.36923932	0.039078391	4.1883818	5.4308285	5.2235682	4.9893468	5.2235634	4.9893424	4.3439229	6.3692984	5.2424158	2.6757386	3.3132991	5.2480358	3.31328	5.248089	3.7207608	3.0073588	-73.900427	R0:S0:1	-54.989333	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.77e+02	 2.58e-03	2022-07-29@22:41
2x2_2C_8b_C2v_L	6.8624588	0	14	3.0542667	0.010847145	-2.9936335	-3.7402078	-0.144917	-3.7402281	-0.14491417	0.18632049	-3.3568129	9.8266667	-9.7420574e-06	-5.0852837e-06	0.0095187668	-0.20139704	0.009516765	-0.20139741	-2.082589e-06	-4.5507051e-06	-0.12227795	-1.0711267	1.7086092	0.035857769	-1.7086142	-0.035853948	0.27542373	-2.2636585	2.0616667	1	0.22353333	0.012837172	1.2446831	1.6044977	-0.63708691	-0.22086275	0.090437461	0.1405865	0.28834535	1.9312585	1.768421	1.5335306	1.7684227	1.533517	0.020844036	1.4916033	1.1073045	8.6686073e-05	8.8327386e-06	0.13463354	1.2812026	0.13463075	1.2812294	1.6722735e-05	8.5091563e-06	1.2894605	0.76065227	-1.684069	-0.58469901	1.684063	0.58467638	-0.31976321	2.6919376	0.030159115	0.25602223	0.066508543	0.20780352	0.38766222	0.20780204	0.38767068	0.02117205	0.37487631	0.03961438	4.2005214	5.4417121	5.2534764	4.9594459	5.253467	4.9594345	4.3419142	6.423327	5.2285338	2.6656013	3.3113039	5.2516894	3.3112949	5.2517361	3.7257372	2.9651994	-73.570525	R0:S0:1	-54.1792	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.79e+02	 6.14e-03	2022-07-29@23:10
2x2_2C_8b_C2v_L	7.234072	0	14	3.1799778	0.011844068	-2.9398511	-3.6792299	-0.15162491	-3.6792186	-0.15162505	0.19232502	-3.2886478	9.8511111	1.2246823e-05	1.0959148e-05	0.0085679214	-0.20704147	0.0085692954	-0.20704244	-2.7916082e-06	1.9277787e-06	-0.12394353	-1.0660374	1.702595	0.030971435	-1.7025911	-0.030979944	0.28220084	-2.2563661	2.0552778	1	0.22745556	0.011531467	1.2416183	1.6012502	-0.64716944	-0.22802448	0.093100125	0.14193339	0.3015803	1.9287361	1.7599976	1.5276373	1.7599971	1.5276448	0.021535059	1.4759483	1.1075375	-0.00010804734	-2.5188174e-05	0.13940663	1.3008112	0.13940671	1.3007947	1.4093418e-05	2.4497187e-06	1.3166997	0.76979727	-1.711285	-0.56962671	1.7112867	0.56965886	-0.32479086	2.7255626	0.030398513	0.2673311	0.068833973	0.21439824	0.39310226	0.2143987	0.39309545	0.021927775	0.3811397	0.040211115	4.2528117	5.4443463	5.279603	4.9410801	5.2796066	4.941097	4.3384447	6.4860434	5.2142903	2.6572413	3.3007443	5.2787743	3.3007492	5.2787435	3.7312882	2.9157011	-73.248237	R0:S0:1	-53.369067	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.82e+02	 7.14e-03	2022-07-29@23:39
2x2_2C_8b_C2v_L	7.6042795	0	14	3.3056889	0.012411172	-2.8775838	-3.6148444	-0.15804063	-3.6148409	-0.15803912	0.19770234	-3.2192315	9.8755556	-7.9948506e-06	-8.8081143e-08	0.0072502133	-0.2125095	0.0072500442	-0.21250927	4.2423211e-06	5.6601956e-06	-0.12554978	-1.0595351	1.6958937	0.025004183	-1.6958934	-0.025002851	0.28869168	-2.2487365	2.0488889	1	0.23137778	0.009619317	1.238524	1.598041	-0.65711954	-0.23520438	0.095749367	0.14331199	0.31292561	1.9261471	1.7509639	1.5262977	1.7509634	1.5263018	0.022162809	1.4603686	1.107858	7.0498291e-05	2.5662241e-06	0.14270243	1.3147675	0.1427054	1.3147646	-2.626407e-05	-1.1799346e-05	1.3406335	0.77821845	-1.7401294	-0.54505138	1.7401308	0.5450461	-0.32943751	2.7582468	0.03064278	0.27792174	0.071227223	0.22144852	0.39663688	0.22144895	0.39663541	0.022630218	0.38706912	0.040796886	4.2898027	5.4503809	5.3119738	4.9184525	5.3119767	4.9184473	4.3344012	6.5471156	5.1966304	2.6484387	3.2937323	5.2987902	3.293734	5.2987798	3.7375931	2.8657413	-72.891061	R0:S0:1	-52.558933	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.84e+02	 7.74e-03	2022-07-30@00:08
2x2_2C_8b_C2v_L	7.9948949	0	14	3.4314	0.013630335	-2.8097765	-3.5487007	-0.16456909	-3.5487062	-0.16456872	0.20212598	-3.1479218	9.9	-2.0091922e-07	-5.7190899e-07	0.0047143301	-0.21858997	0.0047151447	-0.21859002	-2.6945586e-06	-4.1404549e-07	-0.12684863	-1.0519896	1.6882261	0.014840062	-1.6882269	-0.014844653	0.29584942	-2.2397284	2.0425	1	0.2353	0.0061897099	1.2359579	1.5958387	-0.66483751	-0.24119444	0.097849518	0.14478341	0.29376919	1.9256406	1.7412332	1.5630575	1.7412321	1.5630644	0.021704495	1.4496146	1.1087924	2.4127851e-06	9.6066116e-07	0.13502786	1.290833	0.1350252	1.2908086	1.4986159e-05	2.6382705e-06	1.3375401	0.77242578	-1.7725193	-0.46946083	1.7725271	0.46948199	-0.33170014	2.7796501	0.030905065	0.26741727	0.071806388	0.22933951	0.38064597	0.22934047	0.38064222	0.02223075	0.39114991	0.041242427	4.1692627	5.4891087	5.3753315	4.8660833	5.3753368	4.8660917	4.3309399	6.5848991	5.1667735	2.6331282	3.3182811	5.253083	3.3182924	5.2530551	3.7449811	2.8288939	-72.506379	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.84e+02	 6.05e-03	2022-07-30@00:44
