model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	8.9086124	0	14	3.0461	-1.1664812	-6.0898874	-5.9045	-1.1049722	-5.9168319	-1.1253799	0.94711315	-4.8694188	11	-5.4134377e-05	1.671212e-05	7.0055263e-05	-0.00016488072	2.1163622e-05	-6.4612631e-05	0.18023827	6.0302035e-06	-0.20093723	-1.2340871	1.778874	0.19571134	-1.7794756	-0.19952377	-1.4655518e-05	-2.2264367	1.9019	1	0.2229	-2.105117e-07	1.2906814	1.6662494	-0.45732546	-0.10206269	0.044158581	0.132836	1.9971158	1.9669432	1.8902231	1.9951114	1.8903867	1.994957	0.0051284064	1.7473309	1.1307651	0.00012451075	-1.5461874e-05	-5.9223173e-05	0.00024767468	-2.5404041e-05	9.6888742e-05	-0.29377045	-7.9258443e-06	0.17362126	0.5878329	-1.2452605	-0.26188634	1.2444531	0.26602607	1.021481e-05	2.0621608	2	2	0	0	-101.8606	R0:S0:1	1.1307651	-127.2624	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:15
2x2_2C_8b_C2v_L	8.9084495	0	14	3.0461	-1.16107	-6.0633185	-5.9057031	-1.1026182	-5.9156519	-1.1154301	0.96092438	-4.8814041	11.01	2.5022189e-05	-1.2777848e-05	-5.16094e-05	0.00012227046	9.962956e-06	-2.4583147e-05	0.18119906	1.2616404e-05	-0.19737374	-1.2322156	1.7783443	0.19334169	-1.7790081	-0.19582891	-4.5612149e-05	-2.226676	1.9019	1	0.2229	-5.4692007e-07	1.2906783	1.6662451	-0.45734475	-0.10207192	0.044162639	0.13286935	1.9972036	1.9668293	1.8900969	1.995206	1.8901953	1.995104	0.005176402	1.7473574	1.130796	-5.6885418e-05	1.5912169e-05	4.293655e-05	-0.00018182039	-1.9506098e-06	3.5967544e-05	-0.2951513	-1.0008029e-05	0.17094362	0.58879206	-1.2459333	-0.25932538	1.2455177	0.26210582	3.5179604e-05	2.0621185	2	2	0	0	-101.83536	R0:S0:1	1.130796	-127.4224	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:20
2x2_2C_8b_C2v_L	8.9084286	0	14	3.0461	-1.1674242	-6.075049	-5.9137466	-1.1074002	-5.9058847	-1.1003989	0.95141378	-4.8864093	11.02	-0.00011631798	6.2311351e-05	-1.1715293e-05	5.5576746e-05	-2.6765287e-05	5.598953e-05	0.177442	5.5904204e-05	-0.19700803	-1.232536	1.7783412	0.1924294	-1.7777176	-0.19082383	-0.00021190162	-2.2263905	1.9019	1	0.2229	-8.7195178e-07	1.2906781	1.6662432	-0.45734815	-0.10207165	0.04416253	0.13289627	1.9972103	1.9668204	1.8900174	1.9952393	1.8899578	1.9953077	0.0050015563	1.7471526	1.130824	0.00026336423	-5.8865225e-05	1.3201415e-05	-8.1673479e-05	1.92453e-05	-8.6514747e-05	-0.29011731	-3.6432033e-05	0.17074015	0.58887652	-1.246492	-0.25844411	1.2466936	0.25655069	0.000163827	2.0629094	2	2	0	0	-101.89673	R0:S0:1	1.130824	-127.5824	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:25
2x2_2C_8b_C2v_L	8.9082457	0	14	3.0461	-1.1437358	-6.0333223	-5.9094609	-1.0984819	-5.9110181	-1.0952572	0.96872763	-4.8978044	11.03	0.00011008598	-7.2435399e-05	0.00013264896	-0.00036162547	5.355744e-06	-2.4601586e-05	0.17886976	-2.1348952e-05	-0.1905997	-1.2303302	1.7773907	0.18882319	-1.7776707	-0.18854618	0.00010954538	-2.2264177	1.9019	1	0.2229	1.1078993e-07	1.2906746	1.6662376	-0.45736986	-0.10208187	0.044166958	0.13293512	1.9973599	1.9666305	1.8898455	1.9953833	1.8898281	1.9953902	0.0050689663	1.7471898	1.1308604	-0.00024805616	7.5173386e-05	-0.00010921373	0.00053735125	-1.2010168e-05	4.2609533e-05	-0.29207332	7.4942846e-06	0.16608279	0.5905026	-1.2473338	-0.25446918	1.2474964	0.25429168	-8.3845208e-05	2.06281	2	2	0	0	-101.8013	R0:S0:1	1.1308604	-127.7424	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:28
2x2_2C_8b_C2v_L	8.9084869	0	14	3.0461	-1.211897	-6.1380684	-5.9365893	-1.1317237	-5.8959069	-1.0795154	0.97253103	-4.9057674	11.04	-2.9357887e-05	2.7294542e-05	7.1691653e-06	-1.9783836e-05	-1.1422757e-05	5.9629103e-05	0.17741141	1.2836454e-05	-0.20203442	-1.2344314	1.7785297	0.19319102	-1.7758017	-0.18292996	-7.0740118e-05	-2.2262983	1.9019	1	0.2229	3.9667901e-07	1.2906793	1.6662441	-0.45734235	-0.1020666	0.044160482	0.13290735	1.9970895	1.9669747	1.8900007	1.9952063	1.8895911	1.9956215	0.0049968266	1.7471649	1.1308371	6.3542654e-05	-3.028185e-05	-9.6997898e-06	2.7016166e-05	6.7790515e-06	-8.9853737e-05	-0.28997596	-1.9457093e-06	0.17440933	0.58754325	-1.2467608	-0.25937986	1.2485166	0.24775878	5.601462e-05	2.0628293	2	2	0	0	-102.2627	R0:S0:1	1.1308371	-127.9024	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:34
2x2_2C_8b_C2v_L	8.9083226	0	14	3.0461	-1.156203	-6.0542156	-5.9191194	-1.1037916	-5.9593545	-1.1647832	0.98288962	-4.9151776	11.05	-1.1512401e-06	-4.8476616e-06	5.3766887e-05	-0.00014888617	1.8608405e-05	-7.2667526e-05	0.1773045	-4.2014892e-05	-0.18959051	-1.2308015	1.7767858	0.18598474	-1.7791417	-0.19730283	0.00016382694	-2.2262159	1.9019	1	0.2229	7.9400809e-07	1.290676	1.6662406	-0.45736032	-0.10207819	0.044165289	0.13292249	1.997381	1.9666081	1.8897491	1.9954986	1.8902151	1.995045	0.0049917158	1.7471005	1.1308486	3.0718337e-06	7.1493484e-07	-4.1566268e-05	0.00022174576	-1.7174887e-05	0.00010830554	-0.28983321	2.6909702e-05	0.16542245	0.59071467	-1.2476965	-0.25122873	1.2455365	0.26371251	-0.00012670298	2.0631323	2	2	0	0	-102.24883	R0:S0:1	1.1308486	-128.0624	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:39
2x2_2C_8b_C2v_L	8.9084405	0	14	3.0461	-1.2239015	-6.1385036	-5.9417814	-1.1367434	-5.929732	-1.1152275	0.97029168	-4.9183486	11.06	-5.0256147e-05	2.9265915e-05	1.889363e-05	-7.2501977e-05	-4.2130623e-06	-6.7935464e-06	0.17280472	2.2383335e-05	-0.20014033	-1.2334449	1.7774518	0.18993527	-1.7768532	-0.18610014	-8.6052391e-05	-2.2256856	1.9019	1	0.2229	-1.808734e-07	1.2906786	1.6662417	-0.4573482	-0.10206877	0.044161248	0.13293035	1.9971359	1.9669082	1.8898686	1.9953428	1.8897078	1.9954931	0.0047823669	1.7468838	1.1308606	0.00011068717	-2.8400137e-05	-1.0278872e-05	0.00010807468	6.9970523e-06	1.2136882e-05	-0.28367691	-1.2984247e-05	0.17300881	0.58812152	-1.2472836	-0.25560716	1.2480773	0.25141738	6.6453491e-05	2.0639182	2	2	0	0	-102.55142	R0:S0:1	1.1308606	-128.2224	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:45
2x2_2C_8b_C2v_L	8.9083051	0	14	3.0461	-1.1946445	-6.0967148	-5.9204505	-1.0932763	-5.9599464	-1.1576621	0.99566711	-4.9330101	11.07	9.9118421e-05	-4.7192448e-05	2.3392098e-05	-7.260692e-05	-1.8255696e-06	-1.773222e-05	0.17587078	-3.765087e-06	-0.19282527	-1.2316651	1.775763	0.18035444	-1.7779909	-0.19203308	1.87564e-05	-2.2260714	1.9019	1	0.2229	-1.3278465e-08	1.2906759	1.666239	-0.45736364	-0.10207721	0.044164979	0.13295426	1.9973073	1.966697	1.8894588	1.9957158	1.8899361	1.9952567	0.0049247247	1.7470266	1.1308816	-0.00021966791	4.8108878e-05	-1.5126914e-05	0.00010823492	2.9937404e-06	2.7977163e-05	-0.28787856	2.2263673e-06	0.16773815	0.58994215	-1.2493005	-0.24507616	1.247046	0.25799325	-1.3034639e-05	2.0634102	2	2	0	0	-102.49405	R0:S0:1	1.1308816	-128.3824	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:52
2x2_2C_8b_C2v_L	8.9087023	0	14	3.0461	-1.3099957	-6.2696291	-5.9369926	-1.1164511	-5.9590571	-1.1496891	1.0015421	-4.9393225	11.08	-0.00014736035	9.332799e-05	-1.3077962e-05	2.4030885e-05	-2.4898543e-05	8.4374073e-05	0.17442713	6.8001426e-05	-0.21361329	-1.2378966	1.7761014	0.18252934	-1.7774524	-0.18867093	-0.00025379601	-2.225619	1.9019	1	0.2229	-7.1972764e-07	1.2906836	1.6662498	-0.45731806	-0.10205262	0.044154424	0.1329004	1.9968066	1.9673246	1.8895446	1.9956339	1.8897912	1.9953912	0.0048493423	1.7470168	1.1308351	0.0003155066	-8.8328831e-05	1.1335341e-05	-3.5251644e-05	2.1827996e-05	-0.00012324228	-0.28564759	-3.917356e-05	0.18271482	0.5845085	-1.248904	-0.24743428	1.2477842	0.25428795	0.00019415388	2.0633119	2	2	0	0	-103.18607	R0:S0:1	1.1308351	-128.5424	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:56
2x2_2C_8b_C2v_L	8.9081636	0	14	3.0461	-1.1696387	-6.0515992	-5.9544086	-1.1441957	-5.9723942	-1.165449	0.9837965	-4.9436428	11.09	6.0201314e-05	-3.1017505e-05	2.2897091e-05	-7.4350506e-05	6.7078753e-06	-1.9863214e-05	0.16959408	1.3264784e-05	-0.18434624	-1.2289965	1.776327	0.185519	-1.777609	-0.18978485	-5.4246287e-05	-2.2253622	1.9019	1	0.2229	-3.3599518e-07	1.2906733	1.6662335	-0.45738047	-0.10208517	0.044168168	0.13299263	1.9975015	1.9664435	1.8896735	1.99552	1.8898404	1.9953464	0.004637917	1.7466365	1.130919	-0.00013359379	3.3475604e-05	-1.8544814e-05	0.00010786083	-5.0577403e-06	3.0120725e-05	-0.27936282	-1.0168718e-05	0.16156256	0.59213228	-1.2481809	-0.25064389	1.2475033	0.2555193	4.2410444e-05	2.0649488	2	2	0	0	-102.66404	R0:S0:1	1.130919	-128.7024	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:01
